Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/28/21 15:19,24.15,DC,DC,S_DCH_H1,20,Herbivore
2,7/28/21 16:19,22.39,DC,DC,S_DCH_H1,20,Herbivore
3,7/28/21 17:19,22.39,DC,DC,S_DCH_H1,20,Herbivore
4,7/28/21 18:19,22.69,DC,DC,S_DCH_H1,20,Herbivore
5,7/28/21 19:19,22.86,DC,DC,S_DCH_H1,20,Herbivore
6,7/28/21 20:19,22.78,DC,DC,S_DCH_H1,20,Herbivore
7,7/28/21 21:19,22.56,DC,DC,S_DCH_H1,20,Herbivore
8,7/28/21 22:19,22.91,DC,DC,S_DCH_H1,20,Herbivore
9,7/28/21 23:19,22.91,DC,DC,S_DCH_H1,20,Herbivore
10,7/29/21 0:19,22.82,DC,DC,S_DCH_H1,20,Herbivore
11,7/29/21 1:19,22.82,DC,DC,S_DCH_H1,20,Herbivore
12,7/29/21 2:19,22.86,DC,DC,S_DCH_H1,20,Herbivore
13,7/29/21 3:19,22.86,DC,DC,S_DCH_H1,20,Herbivore
14,7/29/21 4:19,22.95,DC,DC,S_DCH_H1,20,Herbivore
15,7/29/21 5:19,22.95,DC,DC,S_DCH_H1,20,Herbivore
16,7/29/21 6:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
17,7/29/21 7:19,23.12,DC,DC,S_DCH_H1,20,Herbivore
18,7/29/21 8:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
19,7/29/21 9:19,22.73,DC,DC,S_DCH_H1,20,Herbivore
20,7/29/21 10:19,22.56,DC,DC,S_DCH_H1,20,Herbivore
21,7/29/21 11:19,22.52,DC,DC,S_DCH_H1,20,Herbivore
22,7/29/21 12:19,22.43,DC,DC,S_DCH_H1,20,Herbivore
23,7/29/21 13:19,22.61,DC,DC,S_DCH_H1,20,Herbivore
24,7/29/21 14:19,22.48,DC,DC,S_DCH_H1,20,Herbivore
25,7/29/21 15:19,22.56,DC,DC,S_DCH_H1,20,Herbivore
26,7/29/21 16:19,22.48,DC,DC,S_DCH_H1,20,Herbivore
27,7/29/21 17:19,22.48,DC,DC,S_DCH_H1,20,Herbivore
28,7/29/21 18:19,22.56,DC,DC,S_DCH_H1,20,Herbivore
29,7/29/21 19:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
30,7/29/21 20:19,22.52,DC,DC,S_DCH_H1,20,Herbivore
31,7/29/21 21:19,22.78,DC,DC,S_DCH_H1,20,Herbivore
32,7/29/21 22:19,23.03,DC,DC,S_DCH_H1,20,Herbivore
33,7/29/21 23:19,22.78,DC,DC,S_DCH_H1,20,Herbivore
34,7/30/21 0:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
35,7/30/21 1:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
36,7/30/21 2:19,23.03,DC,DC,S_DCH_H1,20,Herbivore
37,7/30/21 3:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
38,7/30/21 4:19,23.03,DC,DC,S_DCH_H1,20,Herbivore
39,7/30/21 5:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
40,7/30/21 6:19,23.03,DC,DC,S_DCH_H1,20,Herbivore
41,7/30/21 7:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
42,7/30/21 8:19,23.16,DC,DC,S_DCH_H1,20,Herbivore
43,7/30/21 9:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
44,7/30/21 10:19,22.95,DC,DC,S_DCH_H1,20,Herbivore
45,7/30/21 11:19,22.73,DC,DC,S_DCH_H1,20,Herbivore
46,7/30/21 12:19,22.65,DC,DC,S_DCH_H1,20,Herbivore
47,7/30/21 13:19,22.61,DC,DC,S_DCH_H1,20,Herbivore
48,7/30/21 14:19,22.65,DC,DC,S_DCH_H1,20,Herbivore
49,7/30/21 15:19,22.61,DC,DC,S_DCH_H1,20,Herbivore
50,7/30/21 16:19,22.52,DC,DC,S_DCH_H1,20,Herbivore
51,7/30/21 17:19,22.56,DC,DC,S_DCH_H1,20,Herbivore
52,7/30/21 18:19,22.61,DC,DC,S_DCH_H1,20,Herbivore
53,7/30/21 19:19,22.91,DC,DC,S_DCH_H1,20,Herbivore
54,7/30/21 20:19,22.82,DC,DC,S_DCH_H1,20,Herbivore
55,7/30/21 21:19,22.78,DC,DC,S_DCH_H1,20,Herbivore
56,7/30/21 22:19,22.82,DC,DC,S_DCH_H1,20,Herbivore
57,7/30/21 23:19,22.86,DC,DC,S_DCH_H1,20,Herbivore
58,7/31/21 0:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
59,7/31/21 1:19,22.86,DC,DC,S_DCH_H1,20,Herbivore
60,7/31/21 2:19,22.95,DC,DC,S_DCH_H1,20,Herbivore
61,7/31/21 3:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
62,7/31/21 4:19,23.21,DC,DC,S_DCH_H1,20,Herbivore
63,7/31/21 5:19,23.46,DC,DC,S_DCH_H1,20,Herbivore
64,7/31/21 6:19,23.59,DC,DC,S_DCH_H1,20,Herbivore
65,7/31/21 7:19,23.72,DC,DC,S_DCH_H1,20,Herbivore
66,7/31/21 8:19,23.55,DC,DC,S_DCH_H1,20,Herbivore
67,7/31/21 9:19,23.16,DC,DC,S_DCH_H1,20,Herbivore
68,7/31/21 10:19,22.95,DC,DC,S_DCH_H1,20,Herbivore
69,7/31/21 11:19,22.69,DC,DC,S_DCH_H1,20,Herbivore
70,7/31/21 12:19,22.86,DC,DC,S_DCH_H1,20,Herbivore
71,7/31/21 13:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
72,7/31/21 14:19,23.03,DC,DC,S_DCH_H1,20,Herbivore
73,7/31/21 15:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
74,7/31/21 16:19,22.65,DC,DC,S_DCH_H1,20,Herbivore
75,7/31/21 17:19,23.03,DC,DC,S_DCH_H1,20,Herbivore
76,7/31/21 18:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
77,7/31/21 19:19,22.95,DC,DC,S_DCH_H1,20,Herbivore
78,7/31/21 20:19,22.99,DC,DC,S_DCH_H1,20,Herbivore
79,7/31/21 21:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
80,7/31/21 22:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
81,7/31/21 23:19,23.08,DC,DC,S_DCH_H1,20,Herbivore
82,8/1/21 0:19,23.12,DC,DC,S_DCH_H1,20,Herbivore
