Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/28/21 15:21,23.89,DC,DC,S_DCH_H1_60,60,Herbivore
2,7/28/21 15:21,NA,DC,DC,S_DCH_H1_60,60,Herbivore
3,7/28/21 16:21,22.39,DC,DC,S_DCH_H1_60,60,Herbivore
4,7/28/21 17:21,22.39,DC,DC,S_DCH_H1_60,60,Herbivore
5,7/28/21 18:21,22.65,DC,DC,S_DCH_H1_60,60,Herbivore
6,7/28/21 19:21,22.78,DC,DC,S_DCH_H1_60,60,Herbivore
7,7/28/21 20:21,22.65,DC,DC,S_DCH_H1_60,60,Herbivore
8,7/28/21 21:21,22.52,DC,DC,S_DCH_H1_60,60,Herbivore
9,7/28/21 22:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
10,7/28/21 23:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
11,7/29/21 0:21,22.73,DC,DC,S_DCH_H1_60,60,Herbivore
12,7/29/21 1:21,22.73,DC,DC,S_DCH_H1_60,60,Herbivore
13,7/29/21 2:21,22.78,DC,DC,S_DCH_H1_60,60,Herbivore
14,7/29/21 3:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
15,7/29/21 4:21,22.91,DC,DC,S_DCH_H1_60,60,Herbivore
16,7/29/21 5:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
17,7/29/21 6:21,22.91,DC,DC,S_DCH_H1_60,60,Herbivore
18,7/29/21 7:21,23.08,DC,DC,S_DCH_H1_60,60,Herbivore
19,7/29/21 8:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
20,7/29/21 9:21,22.65,DC,DC,S_DCH_H1_60,60,Herbivore
21,7/29/21 10:21,22.52,DC,DC,S_DCH_H1_60,60,Herbivore
22,7/29/21 11:21,22.43,DC,DC,S_DCH_H1_60,60,Herbivore
23,7/29/21 12:21,22.31,DC,DC,S_DCH_H1_60,60,Herbivore
24,7/29/21 13:21,22.56,DC,DC,S_DCH_H1_60,60,Herbivore
25,7/29/21 14:21,22.43,DC,DC,S_DCH_H1_60,60,Herbivore
26,7/29/21 15:21,22.56,DC,DC,S_DCH_H1_60,60,Herbivore
27,7/29/21 16:21,22.52,DC,DC,S_DCH_H1_60,60,Herbivore
28,7/29/21 17:21,22.61,DC,DC,S_DCH_H1_60,60,Herbivore
29,7/29/21 18:21,22.61,DC,DC,S_DCH_H1_60,60,Herbivore
30,7/29/21 19:21,23.03,DC,DC,S_DCH_H1_60,60,Herbivore
31,7/29/21 20:21,22.65,DC,DC,S_DCH_H1_60,60,Herbivore
32,7/29/21 21:21,22.86,DC,DC,S_DCH_H1_60,60,Herbivore
33,7/29/21 22:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
34,7/29/21 23:21,22.86,DC,DC,S_DCH_H1_60,60,Herbivore
35,7/30/21 0:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
36,7/30/21 1:21,23.08,DC,DC,S_DCH_H1_60,60,Herbivore
37,7/30/21 2:21,23.03,DC,DC,S_DCH_H1_60,60,Herbivore
38,7/30/21 3:21,23.03,DC,DC,S_DCH_H1_60,60,Herbivore
39,7/30/21 4:21,23.12,DC,DC,S_DCH_H1_60,60,Herbivore
40,7/30/21 5:21,23.08,DC,DC,S_DCH_H1_60,60,Herbivore
41,7/30/21 6:21,23.03,DC,DC,S_DCH_H1_60,60,Herbivore
42,7/30/21 7:21,23.03,DC,DC,S_DCH_H1_60,60,Herbivore
43,7/30/21 8:21,23.21,DC,DC,S_DCH_H1_60,60,Herbivore
44,7/30/21 9:21,23.16,DC,DC,S_DCH_H1_60,60,Herbivore
45,7/30/21 10:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
46,7/30/21 11:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
47,7/30/21 12:21,22.73,DC,DC,S_DCH_H1_60,60,Herbivore
48,7/30/21 13:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
49,7/30/21 14:21,22.69,DC,DC,S_DCH_H1_60,60,Herbivore
50,7/30/21 15:21,22.61,DC,DC,S_DCH_H1_60,60,Herbivore
51,7/30/21 16:21,22.56,DC,DC,S_DCH_H1_60,60,Herbivore
52,7/30/21 17:21,22.65,DC,DC,S_DCH_H1_60,60,Herbivore
53,7/30/21 18:21,22.73,DC,DC,S_DCH_H1_60,60,Herbivore
54,7/30/21 19:21,22.86,DC,DC,S_DCH_H1_60,60,Herbivore
55,7/30/21 20:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
56,7/30/21 21:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
57,7/30/21 22:21,22.82,DC,DC,S_DCH_H1_60,60,Herbivore
58,7/30/21 23:21,22.91,DC,DC,S_DCH_H1_60,60,Herbivore
59,7/31/21 0:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
60,7/31/21 1:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
61,7/31/21 2:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
62,7/31/21 3:21,23.03,DC,DC,S_DCH_H1_60,60,Herbivore
63,7/31/21 4:21,23.29,DC,DC,S_DCH_H1_60,60,Herbivore
64,7/31/21 5:21,23.51,DC,DC,S_DCH_H1_60,60,Herbivore
65,7/31/21 6:21,23.59,DC,DC,S_DCH_H1_60,60,Herbivore
66,7/31/21 7:21,23.76,DC,DC,S_DCH_H1_60,60,Herbivore
67,7/31/21 8:21,23.64,DC,DC,S_DCH_H1_60,60,Herbivore
68,7/31/21 9:21,23.16,DC,DC,S_DCH_H1_60,60,Herbivore
69,7/31/21 10:21,22.99,DC,DC,S_DCH_H1_60,60,Herbivore
