Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/28 15:38:05,24.02,DC,DC,S_DCH_P1,40,Predator
2,2021/07/28 16:38:05,22.35,DC,DC,S_DCH_P1,40,Predator
3,2021/07/28 17:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
4,2021/07/28 18:38:05,22.91,DC,DC,S_DCH_P1,40,Predator
5,2021/07/28 19:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
6,2021/07/28 20:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
7,2021/07/28 21:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
8,2021/07/28 22:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
9,2021/07/28 23:38:05,22.95,DC,DC,S_DCH_P1,40,Predator
10,2021/07/29 00:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
11,2021/07/29 01:38:05,23.03,DC,DC,S_DCH_P1,40,Predator
12,2021/07/29 02:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
13,2021/07/29 03:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
14,2021/07/29 04:38:05,23.03,DC,DC,S_DCH_P1,40,Predator
15,2021/07/29 05:38:05,23.03,DC,DC,S_DCH_P1,40,Predator
16,2021/07/29 06:38:05,22.95,DC,DC,S_DCH_P1,40,Predator
17,2021/07/29 07:38:05,23.34,DC,DC,S_DCH_P1,40,Predator
18,2021/07/29 08:38:05,23.03,DC,DC,S_DCH_P1,40,Predator
19,2021/07/29 09:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
20,2021/07/29 10:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
21,2021/07/29 11:38:05,22.52,DC,DC,S_DCH_P1,40,Predator
22,2021/07/29 12:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
23,2021/07/29 13:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
24,2021/07/29 14:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
25,2021/07/29 15:38:05,22.48,DC,DC,S_DCH_P1,40,Predator
26,2021/07/29 16:38:05,22.43,DC,DC,S_DCH_P1,40,Predator
27,2021/07/29 17:38:05,22.52,DC,DC,S_DCH_P1,40,Predator
28,2021/07/29 18:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
29,2021/07/29 19:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
30,2021/07/29 20:38:05,22.52,DC,DC,S_DCH_P1,40,Predator
31,2021/07/29 21:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
32,2021/07/29 22:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
33,2021/07/29 23:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
34,2021/07/30 00:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
35,2021/07/30 01:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
36,2021/07/30 02:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
37,2021/07/30 03:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
38,2021/07/30 04:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
39,2021/07/30 05:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
40,2021/07/30 06:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
41,2021/07/30 07:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
42,2021/07/30 08:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
43,2021/07/30 09:38:05,22.91,DC,DC,S_DCH_P1,40,Predator
44,2021/07/30 10:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
45,2021/07/30 11:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
46,2021/07/30 12:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
47,2021/07/30 13:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
48,2021/07/30 14:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
49,2021/07/30 15:38:05,22.52,DC,DC,S_DCH_P1,40,Predator
50,2021/07/30 16:38:05,22.52,DC,DC,S_DCH_P1,40,Predator
51,2021/07/30 17:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
52,2021/07/30 18:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
53,2021/07/30 19:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
54,2021/07/30 20:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
55,2021/07/30 21:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
56,2021/07/30 22:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
57,2021/07/30 23:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
58,2021/07/31 00:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
59,2021/07/31 01:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
60,2021/07/31 02:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
61,2021/07/31 03:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
62,2021/07/31 04:38:05,23.03,DC,DC,S_DCH_P1,40,Predator
63,2021/07/31 05:38:05,23.16,DC,DC,S_DCH_P1,40,Predator
64,2021/07/31 06:38:05,23.25,DC,DC,S_DCH_P1,40,Predator
65,2021/07/31 07:38:05,23.38,DC,DC,S_DCH_P1,40,Predator
66,2021/07/31 08:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
67,2021/07/31 09:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
68,2021/07/31 10:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
69,2021/07/31 11:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
70,2021/07/31 12:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
71,2021/07/31 13:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
72,2021/07/31 14:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
73,2021/07/31 15:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
74,2021/07/31 16:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
75,2021/07/31 17:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
76,2021/07/31 18:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
77,2021/07/31 19:38:05,22.69,DC,DC,S_DCH_P1,40,Predator
78,2021/07/31 20:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
79,2021/07/31 21:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
80,2021/07/31 22:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
81,2021/07/31 23:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
82,2021/08/01 00:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
83,2021/08/01 01:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
84,2021/08/01 02:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
85,2021/08/01 03:38:05,23.03,DC,DC,S_DCH_P1,40,Predator
86,2021/08/01 04:38:05,23.21,DC,DC,S_DCH_P1,40,Predator
87,2021/08/01 05:38:05,23.29,DC,DC,S_DCH_P1,40,Predator
88,2021/08/01 06:38:05,23.38,DC,DC,S_DCH_P1,40,Predator
89,2021/08/01 07:38:05,23.55,DC,DC,S_DCH_P1,40,Predator
90,2021/08/01 08:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
91,2021/08/01 09:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
92,2021/08/01 10:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
93,2021/08/01 11:38:05,22.65,DC,DC,S_DCH_P1,40,Predator
94,2021/08/01 12:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
95,2021/08/01 13:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
96,2021/08/01 14:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
97,2021/08/01 15:38:05,22.56,DC,DC,S_DCH_P1,40,Predator
98,2021/08/01 16:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
99,2021/08/01 17:38:05,22.48,DC,DC,S_DCH_P1,40,Predator
100,2021/08/01 18:38:05,22.52,DC,DC,S_DCH_P1,40,Predator
101,2021/08/01 19:38:05,22.61,DC,DC,S_DCH_P1,40,Predator
102,2021/08/01 20:38:05,22.73,DC,DC,S_DCH_P1,40,Predator
103,2021/08/01 21:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
104,2021/08/01 22:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
105,2021/08/01 23:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
106,2021/08/02 00:38:05,22.86,DC,DC,S_DCH_P1,40,Predator
107,2021/08/02 01:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
108,2021/08/02 02:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
109,2021/08/02 03:38:05,22.82,DC,DC,S_DCH_P1,40,Predator
110,2021/08/02 04:38:05,22.91,DC,DC,S_DCH_P1,40,Predator
111,2021/08/02 05:38:05,22.91,DC,DC,S_DCH_P1,40,Predator
112,2021/08/02 06:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
113,2021/08/02 07:38:05,22.99,DC,DC,S_DCH_P1,40,Predator
114,2021/08/02 08:38:05,22.78,DC,DC,S_DCH_P1,40,Predator
115,2021/08/02 09:38:05,22.95,DC,DC,S_DCH_P1,40,Predator
