Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/28/21 15:41,24.49,DC,DC,S_DCH_P1_60,60,Predator
2,7/28/21 15:41,NA,DC,DC,S_DCH_P1_60,60,Predator
3,7/28/21 16:41,22.31,DC,DC,S_DCH_P1_60,60,Predator
4,7/28/21 17:41,22.52,DC,DC,S_DCH_P1_60,60,Predator
5,7/28/21 18:41,22.91,DC,DC,S_DCH_P1_60,60,Predator
6,7/28/21 19:41,22.95,DC,DC,S_DCH_P1_60,60,Predator
7,7/28/21 20:41,22.43,DC,DC,S_DCH_P1_60,60,Predator
8,7/28/21 21:41,22.86,DC,DC,S_DCH_P1_60,60,Predator
9,7/28/21 22:41,22.95,DC,DC,S_DCH_P1_60,60,Predator
10,7/28/21 23:41,22.95,DC,DC,S_DCH_P1_60,60,Predator
11,7/29/21 0:41,22.91,DC,DC,S_DCH_P1_60,60,Predator
12,7/29/21 1:41,22.95,DC,DC,S_DCH_P1_60,60,Predator
13,7/29/21 2:41,22.95,DC,DC,S_DCH_P1_60,60,Predator
14,7/29/21 3:41,22.99,DC,DC,S_DCH_P1_60,60,Predator
15,7/29/21 4:41,23.03,DC,DC,S_DCH_P1_60,60,Predator
16,7/29/21 5:41,22.99,DC,DC,S_DCH_P1_60,60,Predator
17,7/29/21 6:41,22.95,DC,DC,S_DCH_P1_60,60,Predator
18,7/29/21 7:41,23.29,DC,DC,S_DCH_P1_60,60,Predator
19,7/29/21 8:41,22.99,DC,DC,S_DCH_P1_60,60,Predator
20,7/29/21 9:41,22.61,DC,DC,S_DCH_P1_60,60,Predator
21,7/29/21 10:41,22.52,DC,DC,S_DCH_P1_60,60,Predator
22,7/29/21 11:41,22.52,DC,DC,S_DCH_P1_60,60,Predator
23,7/29/21 12:41,22.56,DC,DC,S_DCH_P1_60,60,Predator
24,7/29/21 13:41,22.65,DC,DC,S_DCH_P1_60,60,Predator
25,7/29/21 14:41,22.56,DC,DC,S_DCH_P1_60,60,Predator
26,7/29/21 15:41,22.48,DC,DC,S_DCH_P1_60,60,Predator
27,7/29/21 16:41,22.48,DC,DC,S_DCH_P1_60,60,Predator
28,7/29/21 17:41,22.48,DC,DC,S_DCH_P1_60,60,Predator
29,7/29/21 18:41,22.61,DC,DC,S_DCH_P1_60,60,Predator
30,7/29/21 19:41,22.61,DC,DC,S_DCH_P1_60,60,Predator
31,7/29/21 20:41,22.43,DC,DC,S_DCH_P1_60,60,Predator
32,7/29/21 21:41,22.65,DC,DC,S_DCH_P1_60,60,Predator
33,7/29/21 22:41,22.56,DC,DC,S_DCH_P1_60,60,Predator
34,7/29/21 23:41,22.69,DC,DC,S_DCH_P1_60,60,Predator
35,7/30/21 0:41,22.69,DC,DC,S_DCH_P1_60,60,Predator
36,7/30/21 1:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
37,7/30/21 2:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
38,7/30/21 3:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
39,7/30/21 4:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
40,7/30/21 5:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
41,7/30/21 6:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
42,7/30/21 7:41,22.78,DC,DC,S_DCH_P1_60,60,Predator
43,7/30/21 8:41,22.86,DC,DC,S_DCH_P1_60,60,Predator
44,7/30/21 9:41,22.82,DC,DC,S_DCH_P1_60,60,Predator
45,7/30/21 10:41,22.86,DC,DC,S_DCH_P1_60,60,Predator
46,7/30/21 11:41,22.65,DC,DC,S_DCH_P1_60,60,Predator
47,7/30/21 12:41,22.56,DC,DC,S_DCH_P1_60,60,Predator
48,7/30/21 13:41,22.56,DC,DC,S_DCH_P1_60,60,Predator
49,7/30/21 14:41,22.61,DC,DC,S_DCH_P1_60,60,Predator
50,7/30/21 15:41,22.52,DC,DC,S_DCH_P1_60,60,Predator
