Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/06 10:19:26,31.57,DC,DC,S_DCH_V1,40,Veg
2,2021/07/06 11:19:26,31.66,DC,DC,S_DCH_V1,40,Veg
3,2021/07/06 12:19:26,33.63,DC,DC,S_DCH_V1,40,Veg
4,2021/07/06 13:19:26,38.31,DC,DC,S_DCH_V1,40,Veg
5,2021/07/06 14:19:26,33.97,DC,DC,S_DCH_V1,40,Veg
6,2021/07/06 15:19:26,37.32,DC,DC,S_DCH_V1,40,Veg
7,2021/07/06 16:19:26,39.72,DC,DC,S_DCH_V1,40,Veg
8,2021/07/06 17:19:26,28.53,DC,DC,S_DCH_V1,40,Veg
9,2021/07/06 18:19:26,26.90,DC,DC,S_DCH_V1,40,Veg
10,2021/07/06 19:19:26,26.72,DC,DC,S_DCH_V1,40,Veg
11,2021/07/06 20:19:26,22.86,DC,DC,S_DCH_V1,40,Veg
12,2021/07/06 21:19:26,22.09,DC,DC,S_DCH_V1,40,Veg
13,2021/07/06 22:19:26,20.98,DC,DC,S_DCH_V1,40,Veg
14,2021/07/06 23:19:26,20.20,DC,DC,S_DCH_V1,40,Veg
15,2021/07/07 00:19:26,19.43,DC,DC,S_DCH_V1,40,Veg
16,2021/07/07 01:19:26,18.74,DC,DC,S_DCH_V1,40,Veg
17,2021/07/07 02:19:26,18.19,DC,DC,S_DCH_V1,40,Veg
18,2021/07/07 03:19:26,17.59,DC,DC,S_DCH_V1,40,Veg
19,2021/07/07 04:19:26,17.29,DC,DC,S_DCH_V1,40,Veg
20,2021/07/07 05:19:26,16.86,DC,DC,S_DCH_V1,40,Veg
21,2021/07/07 06:19:26,16.94,DC,DC,S_DCH_V1,40,Veg
22,2021/07/07 07:19:26,19.26,DC,DC,S_DCH_V1,40,Veg
23,2021/07/07 08:19:26,20.72,DC,DC,S_DCH_V1,40,Veg
24,2021/07/07 09:19:26,21.40,DC,DC,S_DCH_V1,40,Veg
25,2021/07/07 10:19:26,25.87,DC,DC,S_DCH_V1,40,Veg
26,2021/07/07 11:19:26,29.56,DC,DC,S_DCH_V1,40,Veg
27,2021/07/07 12:19:26,29.51,DC,DC,S_DCH_V1,40,Veg
28,2021/07/07 13:19:26,27.24,DC,DC,S_DCH_V1,40,Veg
29,2021/07/07 14:19:26,25.52,DC,DC,S_DCH_V1,40,Veg
30,2021/07/07 15:19:26,26.60,DC,DC,S_DCH_V1,40,Veg
31,2021/07/07 16:19:26,23.46,DC,DC,S_DCH_V1,40,Veg
32,2021/07/07 17:19:26,25.44,DC,DC,S_DCH_V1,40,Veg
33,2021/07/07 18:19:26,22.61,DC,DC,S_DCH_V1,40,Veg
34,2021/07/07 19:19:26,20.42,DC,DC,S_DCH_V1,40,Veg
35,2021/07/07 20:19:26,18.92,DC,DC,S_DCH_V1,40,Veg
36,2021/07/07 21:19:26,16.86,DC,DC,S_DCH_V1,40,Veg
37,2021/07/07 22:19:26,15.40,DC,DC,S_DCH_V1,40,Veg
38,2021/07/07 23:19:26,14.11,DC,DC,S_DCH_V1,40,Veg
39,2021/07/08 00:19:26,13.81,DC,DC,S_DCH_V1,40,Veg
40,2021/07/08 01:19:26,13.77,DC,DC,S_DCH_V1,40,Veg
41,2021/07/08 02:19:26,13.51,DC,DC,S_DCH_V1,40,Veg
42,2021/07/08 03:19:26,15.10,DC,DC,S_DCH_V1,40,Veg
43,2021/07/08 04:19:26,15.01,DC,DC,S_DCH_V1,40,Veg
44,2021/07/08 05:19:26,14.71,DC,DC,S_DCH_V1,40,Veg
45,2021/07/08 06:19:26,15.36,DC,DC,S_DCH_V1,40,Veg
46,2021/07/08 07:19:26,16.04,DC,DC,S_DCH_V1,40,Veg
47,2021/07/08 08:19:26,16.90,DC,DC,S_DCH_V1,40,Veg
48,2021/07/08 09:19:26,17.16,DC,DC,S_DCH_V1,40,Veg
49,2021/07/08 10:19:26,17.76,DC,DC,S_DCH_V1,40,Veg
50,2021/07/08 11:19:26,17.41,DC,DC,S_DCH_V1,40,Veg
51,2021/07/08 12:19:26,20.63,DC,DC,S_DCH_V1,40,Veg
52,2021/07/08 13:19:26,20.20,DC,DC,S_DCH_V1,40,Veg
53,2021/07/08 14:19:26,19.99,DC,DC,S_DCH_V1,40,Veg
54,2021/07/08 15:19:26,19.30,DC,DC,S_DCH_V1,40,Veg
55,2021/07/08 16:19:26,18.27,DC,DC,S_DCH_V1,40,Veg
56,2021/07/08 17:19:26,16.81,DC,DC,S_DCH_V1,40,Veg
57,2021/07/08 18:19:26,16.04,DC,DC,S_DCH_V1,40,Veg
58,2021/07/08 19:19:26,15.53,DC,DC,S_DCH_V1,40,Veg
59,2021/07/08 20:19:26,15.18,DC,DC,S_DCH_V1,40,Veg
60,2021/07/08 21:19:26,15.01,DC,DC,S_DCH_V1,40,Veg
61,2021/07/08 22:19:26,14.80,DC,DC,S_DCH_V1,40,Veg
62,2021/07/08 23:19:26,14.88,DC,DC,S_DCH_V1,40,Veg
63,2021/07/09 00:19:26,15.10,DC,DC,S_DCH_V1,40,Veg
64,2021/07/09 01:19:26,15.27,DC,DC,S_DCH_V1,40,Veg
65,2021/07/09 02:19:26,15.31,DC,DC,S_DCH_V1,40,Veg
66,2021/07/09 03:19:26,15.53,DC,DC,S_DCH_V1,40,Veg
67,2021/07/09 04:19:26,15.57,DC,DC,S_DCH_V1,40,Veg
68,2021/07/09 05:19:26,15.74,DC,DC,S_DCH_V1,40,Veg
69,2021/07/09 06:19:26,16.13,DC,DC,S_DCH_V1,40,Veg
70,2021/07/09 07:19:26,16.99,DC,DC,S_DCH_V1,40,Veg
71,2021/07/09 08:19:26,17.59,DC,DC,S_DCH_V1,40,Veg
72,2021/07/09 09:19:26,19.39,DC,DC,S_DCH_V1,40,Veg
73,2021/07/09 10:19:26,20.50,DC,DC,S_DCH_V1,40,Veg
74,2021/07/09 11:19:26,21.32,DC,DC,S_DCH_V1,40,Veg
75,2021/07/09 12:19:26,22.35,DC,DC,S_DCH_V1,40,Veg
76,2021/07/09 13:19:26,22.31,DC,DC,S_DCH_V1,40,Veg
