Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/6/21 10:17,31.61,DC,DC,S_DCH_V1_60,60,Veg
2,7/6/21 11:17,31.23,DC,DC,S_DCH_V1_60,60,Veg
3,7/6/21 12:17,33.42,DC,DC,S_DCH_V1_60,60,Veg
4,7/6/21 13:17,38.05,DC,DC,S_DCH_V1_60,60,Veg
5,7/6/21 14:17,32.17,DC,DC,S_DCH_V1_60,60,Veg
6,7/6/21 15:17,35.78,DC,DC,S_DCH_V1_60,60,Veg
7,7/6/21 16:17,38.26,DC,DC,S_DCH_V1_60,60,Veg
8,7/6/21 17:17,25.31,DC,DC,S_DCH_V1_60,60,Veg
9,7/6/21 18:17,25.91,DC,DC,S_DCH_V1_60,60,Veg
10,7/6/21 19:17,25.61,DC,DC,S_DCH_V1_60,60,Veg
11,7/6/21 20:17,22.26,DC,DC,S_DCH_V1_60,60,Veg
12,7/6/21 21:17,21.96,DC,DC,S_DCH_V1_60,60,Veg
13,7/6/21 22:17,20.89,DC,DC,S_DCH_V1_60,60,Veg
14,7/6/21 23:17,20.12,DC,DC,S_DCH_V1_60,60,Veg
15,7/7/21 0:17,19.35,DC,DC,S_DCH_V1_60,60,Veg
16,7/7/21 1:17,18.74,DC,DC,S_DCH_V1_60,60,Veg
17,7/7/21 2:17,18.23,DC,DC,S_DCH_V1_60,60,Veg
18,7/7/21 3:17,17.59,DC,DC,S_DCH_V1_60,60,Veg
19,7/7/21 4:17,17.29,DC,DC,S_DCH_V1_60,60,Veg
20,7/7/21 5:17,16.81,DC,DC,S_DCH_V1_60,60,Veg
21,7/7/21 6:17,16.94,DC,DC,S_DCH_V1_60,60,Veg
22,7/7/21 7:17,19.09,DC,DC,S_DCH_V1_60,60,Veg
23,7/7/21 8:17,20.63,DC,DC,S_DCH_V1_60,60,Veg
24,7/7/21 9:17,21.19,DC,DC,S_DCH_V1_60,60,Veg
25,7/7/21 10:17,25.78,DC,DC,S_DCH_V1_60,60,Veg
26,7/7/21 11:17,29.6,DC,DC,S_DCH_V1_60,60,Veg
27,7/7/21 12:17,29.56,DC,DC,S_DCH_V1_60,60,Veg
28,7/7/21 13:17,26.94,DC,DC,S_DCH_V1_60,60,Veg
29,7/7/21 14:17,25.27,DC,DC,S_DCH_V1_60,60,Veg
30,7/7/21 15:17,26.3,DC,DC,S_DCH_V1_60,60,Veg
31,7/7/21 16:17,23.25,DC,DC,S_DCH_V1_60,60,Veg
32,7/7/21 17:17,25.78,DC,DC,S_DCH_V1_60,60,Veg
