Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/29/21 10:28,23.94,UP,DC,S_DCN_H1,40,Herbivore
2,7/29/21 11:28,22.26,UP,DC,S_DCN_H1,40,Herbivore
3,7/29/21 12:28,22.39,UP,DC,S_DCN_H1,40,Herbivore
4,7/29/21 13:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
5,7/29/21 14:28,22.39,UP,DC,S_DCN_H1,40,Herbivore
6,7/29/21 15:28,22.39,UP,DC,S_DCN_H1,40,Herbivore
7,7/29/21 16:28,22.39,UP,DC,S_DCN_H1,40,Herbivore
8,7/29/21 17:28,22.43,UP,DC,S_DCN_H1,40,Herbivore
9,7/29/21 18:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
10,7/29/21 19:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
11,7/29/21 20:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
12,7/29/21 21:28,22.56,UP,DC,S_DCN_H1,40,Herbivore
13,7/29/21 22:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
14,7/29/21 23:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
15,7/30/21 0:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
16,7/30/21 1:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
17,7/30/21 2:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
18,7/30/21 3:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
19,7/30/21 4:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
20,7/30/21 5:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
21,7/30/21 6:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
22,7/30/21 7:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
23,7/30/21 8:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
24,7/30/21 9:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
25,7/30/21 10:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
26,7/30/21 11:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
27,7/30/21 12:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
28,7/30/21 13:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
29,7/30/21 14:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
30,7/30/21 15:28,22.48,UP,DC,S_DCN_H1,40,Herbivore
31,7/30/21 16:28,22.43,UP,DC,S_DCN_H1,40,Herbivore
32,7/30/21 17:28,22.48,UP,DC,S_DCN_H1,40,Herbivore
33,7/30/21 18:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
34,7/30/21 19:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
35,7/30/21 20:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
36,7/30/21 21:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
37,7/30/21 22:28,22.48,UP,DC,S_DCN_H1,40,Herbivore
38,7/30/21 23:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
39,7/31/21 0:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
40,7/31/21 1:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
41,7/31/21 2:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
42,7/31/21 3:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
43,7/31/21 4:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
44,7/31/21 5:28,22.95,UP,DC,S_DCN_H1,40,Herbivore
45,7/31/21 6:28,23.08,UP,DC,S_DCN_H1,40,Herbivore
46,7/31/21 7:28,23.21,UP,DC,S_DCN_H1,40,Herbivore
47,7/31/21 8:28,23.03,UP,DC,S_DCN_H1,40,Herbivore
48,7/31/21 9:28,23.03,UP,DC,S_DCN_H1,40,Herbivore
49,7/31/21 10:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
50,7/31/21 11:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
51,7/31/21 12:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
52,7/31/21 13:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
53,7/31/21 14:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
54,7/31/21 15:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
55,7/31/21 16:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
56,7/31/21 17:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
57,7/31/21 18:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
58,7/31/21 19:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
59,7/31/21 20:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
60,7/31/21 21:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
61,7/31/21 22:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
62,7/31/21 23:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
63,8/1/21 0:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
64,8/1/21 1:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
65,8/1/21 2:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
66,8/1/21 3:28,22.91,UP,DC,S_DCN_H1,40,Herbivore
67,8/1/21 4:28,23.08,UP,DC,S_DCN_H1,40,Herbivore
68,8/1/21 5:28,23.21,UP,DC,S_DCN_H1,40,Herbivore
69,8/1/21 6:28,23.25,UP,DC,S_DCN_H1,40,Herbivore
70,8/1/21 7:28,23.42,UP,DC,S_DCN_H1,40,Herbivore
71,8/1/21 8:28,23.12,UP,DC,S_DCN_H1,40,Herbivore
72,8/1/21 9:28,23.03,UP,DC,S_DCN_H1,40,Herbivore
73,8/1/21 10:28,22.95,UP,DC,S_DCN_H1,40,Herbivore
74,8/1/21 11:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
75,8/1/21 12:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
76,8/1/21 13:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
77,8/1/21 14:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
78,8/1/21 15:28,22.48,UP,DC,S_DCN_H1,40,Herbivore
79,8/1/21 16:28,22.56,UP,DC,S_DCN_H1,40,Herbivore
80,8/1/21 17:28,22.56,UP,DC,S_DCN_H1,40,Herbivore
81,8/1/21 18:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
82,8/1/21 19:28,22.43,UP,DC,S_DCN_H1,40,Herbivore
83,8/1/21 20:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
84,8/1/21 21:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
85,8/1/21 22:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
86,8/1/21 23:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
87,8/2/21 0:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
88,8/2/21 1:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
89,8/2/21 2:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
90,8/2/21 3:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
91,8/2/21 4:28,22.91,UP,DC,S_DCN_H1,40,Herbivore
92,8/2/21 5:28,22.91,UP,DC,S_DCN_H1,40,Herbivore
93,8/2/21 6:28,22.91,UP,DC,S_DCN_H1,40,Herbivore
94,8/2/21 7:28,22.91,UP,DC,S_DCN_H1,40,Herbivore
95,8/2/21 8:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
96,8/2/21 9:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
97,8/2/21 10:28,22.95,UP,DC,S_DCN_H1,40,Herbivore
98,8/2/21 11:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
99,8/2/21 12:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
100,8/2/21 13:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
101,8/2/21 14:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
102,8/2/21 15:28,22.56,UP,DC,S_DCN_H1,40,Herbivore
103,8/2/21 16:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
104,8/2/21 17:28,22.52,UP,DC,S_DCN_H1,40,Herbivore
105,8/2/21 18:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
106,8/2/21 19:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
107,8/2/21 20:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
108,8/2/21 21:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
109,8/2/21 22:28,22.73,UP,DC,S_DCN_H1,40,Herbivore
110,8/2/21 23:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
111,8/3/21 0:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
112,8/3/21 1:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
113,8/3/21 2:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
114,8/3/21 3:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
115,8/3/21 4:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
116,8/3/21 5:28,22.86,UP,DC,S_DCN_H1,40,Herbivore
117,8/3/21 6:28,23.12,UP,DC,S_DCN_H1,40,Herbivore
118,8/3/21 7:28,22.95,UP,DC,S_DCN_H1,40,Herbivore
119,8/3/21 8:28,22.65,UP,DC,S_DCN_H1,40,Herbivore
120,8/3/21 9:28,22.82,UP,DC,S_DCN_H1,40,Herbivore
121,8/3/21 10:28,22.78,UP,DC,S_DCN_H1,40,Herbivore
122,8/3/21 11:28,22.69,UP,DC,S_DCN_H1,40,Herbivore
123,8/3/21 12:28,22.61,UP,DC,S_DCN_H1,40,Herbivore
124,8/3/21 13:28,22.48,UP,DC,S_DCN_H1,40,Herbivore
125,8/3/21 14:28,22.56,UP,DC,S_DCN_H1,40,Herbivore
126,8/3/21 15:28,22.43,UP,DC,S_DCN_H1,40,Herbivore
127,8/3/21 16:28,22.48,UP,DC,S_DCN_H1,40,Herbivore
128,8/3/21 17:28,22.56,UP,DC,S_DCN_H1,40,Herbivore
