Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021-07-29 10:38:59,23.72,UP,DC,S_DCN_P1,40,Predator
2,2021-07-29 11:38:59,22.48,UP,DC,S_DCN_P1,40,Predator
3,2021-07-29 12:38:59,22.35,UP,DC,S_DCN_P1,40,Predator
4,2021-07-29 13:38:59,22.56,UP,DC,S_DCN_P1,40,Predator
5,2021-07-29 14:38:59,22.39,UP,DC,S_DCN_P1,40,Predator
6,2021-07-29 15:38:59,22.35,UP,DC,S_DCN_P1,40,Predator
7,2021-07-29 16:38:59,22.35,UP,DC,S_DCN_P1,40,Predator
8,2021-07-29 17:38:59,22.48,UP,DC,S_DCN_P1,40,Predator
9,2021-07-29 18:38:59,22.61,UP,DC,S_DCN_P1,40,Predator
10,2021-07-29 19:38:59,22.69,UP,DC,S_DCN_P1,40,Predator
11,2021-07-29 20:38:59,22.48,UP,DC,S_DCN_P1,40,Predator
12,2021-07-29 21:38:59,22.78,UP,DC,S_DCN_P1,40,Predator
13,2021-07-29 22:38:59,22.61,UP,DC,S_DCN_P1,40,Predator
14,2021-07-29 23:38:59,22.78,UP,DC,S_DCN_P1,40,Predator
15,2021-07-30 0:38:59,22.91,UP,DC,S_DCN_P1,40,Predator
16,2021-07-30 1:38:59,22.91,UP,DC,S_DCN_P1,40,Predator
17,2021-07-30 2:38:59,22.91,UP,DC,S_DCN_P1,40,Predator
18,2021-07-30 3:38:59,22.95,UP,DC,S_DCN_P1,40,Predator
19,2021-07-30 4:38:59,23.03,UP,DC,S_DCN_P1,40,Predator
20,2021-07-30 5:38:59,22.99,UP,DC,S_DCN_P1,40,Predator
21,2021-07-30 6:38:59,22.91,UP,DC,S_DCN_P1,40,Predator
22,2021-07-30 7:38:59,22.86,UP,DC,S_DCN_P1,40,Predator
23,2021-07-30 8:38:59,22.99,UP,DC,S_DCN_P1,40,Predator
24,2021-07-30 9:38:59,22.91,UP,DC,S_DCN_P1,40,Predator
25,2021-07-30 10:38:59,22.82,UP,DC,S_DCN_P1,40,Predator
26,2021-07-30 11:38:59,22.65,UP,DC,S_DCN_P1,40,Predator
27,2021-07-30 12:38:59,22.48,UP,DC,S_DCN_P1,40,Predator
28,2021-07-30 13:38:59,22.61,UP,DC,S_DCN_P1,40,Predator
29,2021-07-30 14:38:59,22.56,UP,DC,S_DCN_P1,40,Predator
30,2021-07-30 15:38:59,22.52,UP,DC,S_DCN_P1,40,Predator
31,2021-07-30 16:38:59,22.52,UP,DC,S_DCN_P1,40,Predator
32,2021-07-30 17:38:59,22.48,UP,DC,S_DCN_P1,40,Predator
33,2021-07-30 18:38:59,22.65,UP,DC,S_DCN_P1,40,Predator
34,2021-07-30 19:38:59,22.73,UP,DC,S_DCN_P1,40,Predator
35,2021-07-30 20:38:59,22.69,UP,DC,S_DCN_P1,40,Predator
36,2021-07-30 21:38:59,22.69,UP,DC,S_DCN_P1,40,Predator
37,2021-07-30 22:38:59,22.69,UP,DC,S_DCN_P1,40,Predator
38,2021-07-30 23:38:59,22.82,UP,DC,S_DCN_P1,40,Predator
39,2021-07-31 0:38:59,22.82,UP,DC,S_DCN_P1,40,Predator
40,2021-07-31 1:38:59,22.82,UP,DC,S_DCN_P1,40,Predator
41,2021-07-31 2:38:59,22.82,UP,DC,S_DCN_P1,40,Predator
42,2021-07-31 3:38:59,22.86,UP,DC,S_DCN_P1,40,Predator
