Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
10170,2/19/24 8:36,3.47,YF,DC,DCS_H1,60,Herbivore
10169,2/19/24 7:36,3.09,YF,DC,DCS_H1,60,Herbivore
10168,2/19/24 6:36,1.16,YF,DC,DCS_H1,60,Herbivore
10167,2/19/24 5:36,0.25,YF,DC,DCS_H1,60,Herbivore
10166,2/19/24 4:36,-2.45,YF,DC,DCS_H1,60,Herbivore
10165,2/19/24 3:36,-4.51,YF,DC,DCS_H1,60,Herbivore
10164,2/19/24 2:36,-5.54,YF,DC,DCS_H1,60,Herbivore
10163,2/19/24 1:36,-7.6,YF,DC,DCS_H1,60,Herbivore
10162,2/19/24 0:36,-7,YF,DC,DCS_H1,60,Herbivore
10161,2/18/24 23:36,-6.35,YF,DC,DCS_H1,60,Herbivore
10160,2/18/24 22:36,-6.01,YF,DC,DCS_H1,60,Herbivore
10159,2/18/24 21:36,-4.81,YF,DC,DCS_H1,60,Herbivore
10158,2/18/24 20:36,-4.04,YF,DC,DCS_H1,60,Herbivore
10157,2/18/24 19:36,-3.82,YF,DC,DCS_H1,60,Herbivore
10156,2/18/24 18:36,-3.05,YF,DC,DCS_H1,60,Herbivore
10155,2/18/24 17:36,-3.61,YF,DC,DCS_H1,60,Herbivore
10154,2/18/24 16:36,-3.26,YF,DC,DCS_H1,60,Herbivore
10153,2/18/24 15:36,-3.09,YF,DC,DCS_H1,60,Herbivore
10152,2/18/24 14:36,-2.32,YF,DC,DCS_H1,60,Herbivore
10151,2/18/24 13:36,-1.63,YF,DC,DCS_H1,60,Herbivore
10150,2/18/24 12:36,-0.52,YF,DC,DCS_H1,60,Herbivore
10149,2/18/24 11:36,0.34,YF,DC,DCS_H1,60,Herbivore
10148,2/18/24 10:36,1.54,YF,DC,DCS_H1,60,Herbivore
10147,2/18/24 9:36,1.58,YF,DC,DCS_H1,60,Herbivore
10146,2/18/24 8:36,2.14,YF,DC,DCS_H1,60,Herbivore
10145,2/18/24 7:36,1.07,YF,DC,DCS_H1,60,Herbivore
10144,2/18/24 6:36,-0.13,YF,DC,DCS_H1,60,Herbivore
10143,2/18/24 5:36,-2.66,YF,DC,DCS_H1,60,Herbivore
10142,2/18/24 4:36,-6.61,YF,DC,DCS_H1,60,Herbivore
10141,2/18/24 3:36,-10.43,YF,DC,DCS_H1,60,Herbivore
10140,2/18/24 2:36,-12.66,YF,DC,DCS_H1,60,Herbivore
10139,2/18/24 1:36,-12.62,YF,DC,DCS_H1,60,Herbivore
10138,2/18/24 0:36,-12.53,YF,DC,DCS_H1,60,Herbivore
10137,2/17/24 23:36,-10.73,YF,DC,DCS_H1,60,Herbivore
10136,2/17/24 22:36,-9.27,YF,DC,DCS_H1,60,Herbivore
10135,2/17/24 21:36,-7.77,YF,DC,DCS_H1,60,Herbivore
10134,2/17/24 20:36,-7.72,YF,DC,DCS_H1,60,Herbivore
10133,2/17/24 19:36,-6.74,YF,DC,DCS_H1,60,Herbivore
10132,2/17/24 18:36,-7.17,YF,DC,DCS_H1,60,Herbivore
10131,2/17/24 17:36,-8.15,YF,DC,DCS_H1,60,Herbivore
10130,2/17/24 16:36,-6.82,YF,DC,DCS_H1,60,Herbivore
10129,2/17/24 15:36,-5.37,YF,DC,DCS_H1,60,Herbivore
10128,2/17/24 14:36,-5.49,YF,DC,DCS_H1,60,Herbivore
10127,2/17/24 13:36,-4.04,YF,DC,DCS_H1,60,Herbivore
10126,2/17/24 12:36,-1.68,YF,DC,DCS_H1,60,Herbivore
10125,2/17/24 11:36,-1.08,YF,DC,DCS_H1,60,Herbivore
10124,2/17/24 10:36,-0.82,YF,DC,DCS_H1,60,Herbivore
10123,2/17/24 9:36,1.11,YF,DC,DCS_H1,60,Herbivore
10122,2/17/24 8:36,0.3,YF,DC,DCS_H1,60,Herbivore
10121,2/17/24 7:36,1.41,YF,DC,DCS_H1,60,Herbivore
10120,2/17/24 6:36,-0.3,YF,DC,DCS_H1,60,Herbivore
10119,2/17/24 5:36,-1.85,YF,DC,DCS_H1,60,Herbivore
10118,2/17/24 4:36,-3.43,YF,DC,DCS_H1,60,Herbivore
10117,2/17/24 3:36,-4.29,YF,DC,DCS_H1,60,Herbivore
10116,2/17/24 2:36,-4.64,YF,DC,DCS_H1,60,Herbivore
10115,2/17/24 1:36,-4.51,YF,DC,DCS_H1,60,Herbivore
10114,2/17/24 0:36,-4.42,YF,DC,DCS_H1,60,Herbivore
10113,2/16/24 23:36,-4.08,YF,DC,DCS_H1,60,Herbivore
10112,2/16/24 22:36,-3.91,YF,DC,DCS_H1,60,Herbivore
10111,2/16/24 21:36,-4.46,YF,DC,DCS_H1,60,Herbivore
10110,2/16/24 20:36,-4.38,YF,DC,DCS_H1,60,Herbivore
10109,2/16/24 19:36,-4.46,YF,DC,DCS_H1,60,Herbivore
10108,2/16/24 18:36,-4.34,YF,DC,DCS_H1,60,Herbivore
10107,2/16/24 17:36,-4.64,YF,DC,DCS_H1,60,Herbivore
10106,2/16/24 16:36,-4.59,YF,DC,DCS_H1,60,Herbivore
