Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,9/13/21 11:07,25.99,YF,DC,S_DCS_P1,60,Predator
2,9/13/21 12:07,29,YF,DC,S_DCS_P1,60,Predator
3,9/13/21 13:07,31.27,YF,DC,S_DCS_P1,60,Predator
4,9/13/21 14:07,33.67,YF,DC,S_DCS_P1,60,Predator
5,9/13/21 15:07,26.6,YF,DC,S_DCS_P1,60,Predator
6,9/13/21 16:07,27.37,YF,DC,S_DCS_P1,60,Predator
7,9/13/21 17:07,24.36,YF,DC,S_DCS_P1,60,Predator
8,9/13/21 18:07,20.37,YF,DC,S_DCS_P1,60,Predator
9,9/13/21 19:07,15.31,YF,DC,S_DCS_P1,60,Predator
10,9/13/21 20:07,13.73,YF,DC,S_DCS_P1,60,Predator
11,9/13/21 21:07,12.74,YF,DC,S_DCS_P1,60,Predator
12,9/13/21 22:07,12.74,YF,DC,S_DCS_P1,60,Predator
13,9/13/21 23:07,12.95,YF,DC,S_DCS_P1,60,Predator
14,9/14/21 0:07,14.97,YF,DC,S_DCS_P1,60,Predator
15,9/14/21 1:07,16.6,YF,DC,S_DCS_P1,60,Predator
16,9/14/21 2:07,16.39,YF,DC,S_DCS_P1,60,Predator
17,9/14/21 3:07,13.34,YF,DC,S_DCS_P1,60,Predator
18,9/14/21 4:07,14.15,YF,DC,S_DCS_P1,60,Predator
19,9/14/21 5:07,13.43,YF,DC,S_DCS_P1,60,Predator
20,9/14/21 6:07,13.55,YF,DC,S_DCS_P1,60,Predator
21,9/14/21 7:07,12.82,YF,DC,S_DCS_P1,60,Predator
22,9/14/21 8:07,14.71,YF,DC,S_DCS_P1,60,Predator
23,9/14/21 9:07,20.25,YF,DC,S_DCS_P1,60,Predator
24,9/14/21 10:07,23.55,YF,DC,S_DCS_P1,60,Predator
25,9/14/21 11:07,23.25,YF,DC,S_DCS_P1,60,Predator
26,9/14/21 12:07,23.38,YF,DC,S_DCS_P1,60,Predator
27,9/14/21 13:07,25.78,YF,DC,S_DCS_P1,60,Predator
28,9/14/21 14:07,25.09,YF,DC,S_DCS_P1,60,Predator
29,9/14/21 15:07,23.94,YF,DC,S_DCS_P1,60,Predator
30,9/14/21 16:07,23.29,YF,DC,S_DCS_P1,60,Predator
31,9/14/21 17:07,23.12,YF,DC,S_DCS_P1,60,Predator
32,9/14/21 18:07,20.37,YF,DC,S_DCS_P1,60,Predator
33,9/14/21 19:07,18.62,YF,DC,S_DCS_P1,60,Predator
34,9/14/21 20:07,17.33,YF,DC,S_DCS_P1,60,Predator
35,9/14/21 21:07,15.61,YF,DC,S_DCS_P1,60,Predator
36,9/14/21 22:07,15.83,YF,DC,S_DCS_P1,60,Predator
37,9/14/21 23:07,16.99,YF,DC,S_DCS_P1,60,Predator
38,9/15/21 0:07,17.03,YF,DC,S_DCS_P1,60,Predator
39,9/15/21 1:07,17.33,YF,DC,S_DCS_P1,60,Predator
40,9/15/21 2:07,18.02,YF,DC,S_DCS_P1,60,Predator
41,9/15/21 3:07,18.66,YF,DC,S_DCS_P1,60,Predator
42,9/15/21 4:07,19.26,YF,DC,S_DCS_P1,60,Predator
43,9/15/21 5:07,19.6,YF,DC,S_DCS_P1,60,Predator
44,9/15/21 6:07,19.69,YF,DC,S_DCS_P1,60,Predator
45,9/15/21 7:07,19.95,YF,DC,S_DCS_P1,60,Predator
46,9/15/21 8:07,20.59,YF,DC,S_DCS_P1,60,Predator
47,9/15/21 9:07,21.45,YF,DC,S_DCS_P1,60,Predator
48,9/15/21 10:07,22.69,YF,DC,S_DCS_P1,60,Predator
49,9/15/21 11:07,26.72,YF,DC,S_DCS_P1,60,Predator
50,9/15/21 12:07,29.13,YF,DC,S_DCS_P1,60,Predator
51,9/15/21 13:07,30.8,YF,DC,S_DCS_P1,60,Predator
52,9/15/21 14:07,30.37,YF,DC,S_DCS_P1,60,Predator
53,9/15/21 15:07,28.53,YF,DC,S_DCS_P1,60,Predator
54,9/15/21 16:07,27.02,YF,DC,S_DCS_P1,60,Predator
55,9/15/21 17:07,27.24,YF,DC,S_DCS_P1,60,Predator
56,9/15/21 18:07,23.98,YF,DC,S_DCS_P1,60,Predator
57,9/15/21 19:07,22.01,YF,DC,S_DCS_P1,60,Predator
58,9/15/21 20:07,21.15,YF,DC,S_DCS_P1,60,Predator
59,9/15/21 21:07,21.19,YF,DC,S_DCS_P1,60,Predator
60,9/15/21 22:07,19.3,YF,DC,S_DCS_P1,60,Predator
61,9/15/21 23:07,18.92,YF,DC,S_DCS_P1,60,Predator
62,9/16/21 0:07,17.84,YF,DC,S_DCS_P1,60,Predator
63,9/16/21 1:07,17.67,YF,DC,S_DCS_P1,60,Predator
64,9/16/21 2:07,18.32,YF,DC,S_DCS_P1,60,Predator
65,9/16/21 3:07,18.19,YF,DC,S_DCS_P1,60,Predator
66,9/16/21 4:07,18.02,YF,DC,S_DCS_P1,60,Predator
67,9/16/21 5:07,17.37,YF,DC,S_DCS_P1,60,Predator
68,9/16/21 6:07,17.11,YF,DC,S_DCS_P1,60,Predator
69,9/16/21 7:07,17.24,YF,DC,S_DCS_P1,60,Predator
70,9/16/21 8:07,17.37,YF,DC,S_DCS_P1,60,Predator
71,9/16/21 9:07,18.19,YF,DC,S_DCS_P1,60,Predator
72,9/16/21 10:07,20.98,YF,DC,S_DCS_P1,60,Predator
73,9/16/21 11:07,20.42,YF,DC,S_DCS_P1,60,Predator
74,9/16/21 12:07,22.18,YF,DC,S_DCS_P1,60,Predator
75,9/16/21 13:07,23.68,YF,DC,S_DCS_P1,60,Predator
76,9/16/21 14:07,24.02,YF,DC,S_DCS_P1,60,Predator
77,9/16/21 15:07,24.24,YF,DC,S_DCS_P1,60,Predator
78,9/16/21 16:07,22.78,YF,DC,S_DCS_P1,60,Predator
79,9/16/21 17:07,22.56,YF,DC,S_DCS_P1,60,Predator
80,9/16/21 18:07,19.99,YF,DC,S_DCS_P1,60,Predator
81,9/16/21 19:07,18.57,YF,DC,S_DCS_P1,60,Predator
82,9/16/21 20:07,18.23,YF,DC,S_DCS_P1,60,Predator
83,9/16/21 21:07,17.24,YF,DC,S_DCS_P1,60,Predator
84,9/16/21 22:07,16.69,YF,DC,S_DCS_P1,60,Predator
85,9/16/21 23:07,16.39,YF,DC,S_DCS_P1,60,Predator
86,9/17/21 0:07,16.26,YF,DC,S_DCS_P1,60,Predator
87,9/17/21 1:07,16.04,YF,DC,S_DCS_P1,60,Predator
88,9/17/21 2:07,16.17,YF,DC,S_DCS_P1,60,Predator
89,9/17/21 3:07,16.17,YF,DC,S_DCS_P1,60,Predator
90,9/17/21 4:07,16.04,YF,DC,S_DCS_P1,60,Predator
91,9/17/21 5:07,16.04,YF,DC,S_DCS_P1,60,Predator
92,9/17/21 6:07,16.17,YF,DC,S_DCS_P1,60,Predator
93,9/17/21 7:07,16.26,YF,DC,S_DCS_P1,60,Predator
94,9/17/21 8:07,16.73,YF,DC,S_DCS_P1,60,Predator
95,9/17/21 9:07,17.46,YF,DC,S_DCS_P1,60,Predator
96,9/17/21 10:07,19.13,YF,DC,S_DCS_P1,60,Predator
97,9/17/21 11:07,18.92,YF,DC,S_DCS_P1,60,Predator
98,9/17/21 12:07,20.07,YF,DC,S_DCS_P1,60,Predator
99,9/17/21 13:07,20.63,YF,DC,S_DCS_P1,60,Predator
100,9/17/21 14:07,20.16,YF,DC,S_DCS_P1,60,Predator
101,9/17/21 15:07,20.63,YF,DC,S_DCS_P1,60,Predator
102,9/17/21 16:07,19.86,YF,DC,S_DCS_P1,60,Predator
103,9/17/21 17:07,19,YF,DC,S_DCS_P1,60,Predator
104,9/17/21 18:07,18.14,YF,DC,S_DCS_P1,60,Predator
105,9/17/21 19:07,17.72,YF,DC,S_DCS_P1,60,Predator
106,9/17/21 20:07,17.67,YF,DC,S_DCS_P1,60,Predator
107,9/17/21 21:07,17.63,YF,DC,S_DCS_P1,60,Predator
108,9/17/21 22:07,17.63,YF,DC,S_DCS_P1,60,Predator
109,9/17/21 23:07,17.33,YF,DC,S_DCS_P1,60,Predator
110,9/18/21 0:07,17.2,YF,DC,S_DCS_P1,60,Predator
111,9/18/21 1:07,17.11,YF,DC,S_DCS_P1,60,Predator
112,9/18/21 2:07,17.07,YF,DC,S_DCS_P1,60,Predator
113,9/18/21 3:07,16.94,YF,DC,S_DCS_P1,60,Predator
114,9/18/21 4:07,16.81,YF,DC,S_DCS_P1,60,Predator
115,9/18/21 5:07,16.64,YF,DC,S_DCS_P1,60,Predator
116,9/18/21 6:07,16.51,YF,DC,S_DCS_P1,60,Predator
117,9/18/21 7:07,16.69,YF,DC,S_DCS_P1,60,Predator
118,9/18/21 8:07,17.29,YF,DC,S_DCS_P1,60,Predator
119,9/18/21 9:07,19,YF,DC,S_DCS_P1,60,Predator
120,9/18/21 10:07,20.72,YF,DC,S_DCS_P1,60,Predator
121,9/18/21 11:07,24.15,YF,DC,S_DCS_P1,60,Predator
122,9/18/21 12:07,26.98,YF,DC,S_DCS_P1,60,Predator
123,9/18/21 13:07,32.04,YF,DC,S_DCS_P1,60,Predator
124,9/18/21 14:07,32.73,YF,DC,S_DCS_P1,60,Predator
125,9/18/21 15:07,27.8,YF,DC,S_DCS_P1,60,Predator
126,9/18/21 16:07,27.41,YF,DC,S_DCS_P1,60,Predator
127,9/18/21 17:07,27.37,YF,DC,S_DCS_P1,60,Predator
128,9/18/21 18:07,21.88,YF,DC,S_DCS_P1,60,Predator
129,9/18/21 19:07,19.3,YF,DC,S_DCS_P1,60,Predator
130,9/18/21 20:07,18.66,YF,DC,S_DCS_P1,60,Predator
131,9/18/21 21:07,18.14,YF,DC,S_DCS_P1,60,Predator
132,9/18/21 22:07,19.52,YF,DC,S_DCS_P1,60,Predator
133,9/18/21 23:07,19.73,YF,DC,S_DCS_P1,60,Predator
134,9/19/21 0:07,19.43,YF,DC,S_DCS_P1,60,Predator
135,9/19/21 1:07,18.66,YF,DC,S_DCS_P1,60,Predator
136,9/19/21 2:07,17.93,YF,DC,S_DCS_P1,60,Predator
137,9/19/21 3:07,17.03,YF,DC,S_DCS_P1,60,Predator
138,9/19/21 4:07,15.14,YF,DC,S_DCS_P1,60,Predator
139,9/19/21 5:07,14.5,YF,DC,S_DCS_P1,60,Predator
140,9/19/21 6:07,13.73,YF,DC,S_DCS_P1,60,Predator
141,9/19/21 7:07,13.6,YF,DC,S_DCS_P1,60,Predator
142,9/19/21 8:07,14.5,YF,DC,S_DCS_P1,60,Predator
143,9/19/21 9:07,18.36,YF,DC,S_DCS_P1,60,Predator
144,9/19/21 10:07,21.49,YF,DC,S_DCS_P1,60,Predator
145,9/19/21 11:07,22.26,YF,DC,S_DCS_P1,60,Predator
146,9/19/21 12:07,23.03,YF,DC,S_DCS_P1,60,Predator
147,9/19/21 13:07,28.14,YF,DC,S_DCS_P1,60,Predator
148,9/19/21 14:07,27.93,YF,DC,S_DCS_P1,60,Predator
149,9/19/21 15:07,22.69,YF,DC,S_DCS_P1,60,Predator
150,9/19/21 16:07,22.65,YF,DC,S_DCS_P1,60,Predator
151,9/19/21 17:07,23.21,YF,DC,S_DCS_P1,60,Predator
152,9/19/21 18:07,16.64,YF,DC,S_DCS_P1,60,Predator
153,9/19/21 19:07,13.98,YF,DC,S_DCS_P1,60,Predator
154,9/19/21 20:07,13.08,YF,DC,S_DCS_P1,60,Predator
155,9/19/21 21:07,14.84,YF,DC,S_DCS_P1,60,Predator
156,9/19/21 22:07,14.58,YF,DC,S_DCS_P1,60,Predator
157,9/19/21 23:07,14.33,YF,DC,S_DCS_P1,60,Predator
158,9/20/21 0:07,11.71,YF,DC,S_DCS_P1,60,Predator
159,9/20/21 1:07,12.22,YF,DC,S_DCS_P1,60,Predator
160,9/20/21 2:07,10.46,YF,DC,S_DCS_P1,60,Predator
161,9/20/21 3:07,10.16,YF,DC,S_DCS_P1,60,Predator
