"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"09/13/2021 11:07:47",25.99,"YF","DC","S_DCS_P1_60",60,"Predator"
"2",2,"09/13/2021 12:07:47",29,"YF","DC","S_DCS_P1_60",60,"Predator"
"3",3,"09/13/2021 13:07:47",31.27,"YF","DC","S_DCS_P1_60",60,"Predator"
"4",4,"09/13/2021 14:07:47",33.67,"YF","DC","S_DCS_P1_60",60,"Predator"
"5",5,"09/13/2021 15:07:47",26.6,"YF","DC","S_DCS_P1_60",60,"Predator"
"6",6,"09/13/2021 16:07:47",27.37,"YF","DC","S_DCS_P1_60",60,"Predator"
"7",7,"09/13/2021 17:07:47",24.36,"YF","DC","S_DCS_P1_60",60,"Predator"
"8",8,"09/13/2021 18:07:47",20.37,"YF","DC","S_DCS_P1_60",60,"Predator"
"9",9,"09/13/2021 19:07:47",15.31,"YF","DC","S_DCS_P1_60",60,"Predator"
"10",10,"09/13/2021 20:07:47",13.73,"YF","DC","S_DCS_P1_60",60,"Predator"
"11",11,"09/13/2021 21:07:47",12.74,"YF","DC","S_DCS_P1_60",60,"Predator"
"12",12,"09/13/2021 22:07:47",12.74,"YF","DC","S_DCS_P1_60",60,"Predator"
"13",13,"09/13/2021 23:07:47",12.95,"YF","DC","S_DCS_P1_60",60,"Predator"
"14",14,"09/14/2021 00:07:47",14.97,"YF","DC","S_DCS_P1_60",60,"Predator"
"15",15,"09/14/2021 01:07:47",16.6,"YF","DC","S_DCS_P1_60",60,"Predator"
"16",16,"09/14/2021 02:07:47",16.39,"YF","DC","S_DCS_P1_60",60,"Predator"
"17",17,"09/14/2021 03:07:47",13.34,"YF","DC","S_DCS_P1_60",60,"Predator"
"18",18,"09/14/2021 04:07:47",14.15,"YF","DC","S_DCS_P1_60",60,"Predator"
"19",19,"09/14/2021 05:07:47",13.43,"YF","DC","S_DCS_P1_60",60,"Predator"
"20",20,"09/14/2021 06:07:47",13.55,"YF","DC","S_DCS_P1_60",60,"Predator"
"21",21,"09/14/2021 07:07:47",12.82,"YF","DC","S_DCS_P1_60",60,"Predator"
"22",22,"09/14/2021 08:07:47",14.71,"YF","DC","S_DCS_P1_60",60,"Predator"
"23",23,"09/14/2021 09:07:47",20.25,"YF","DC","S_DCS_P1_60",60,"Predator"
"24",24,"09/14/2021 10:07:47",23.55,"YF","DC","S_DCS_P1_60",60,"Predator"
"25",25,"09/14/2021 11:07:47",23.25,"YF","DC","S_DCS_P1_60",60,"Predator"
"26",26,"09/14/2021 12:07:47",23.38,"YF","DC","S_DCS_P1_60",60,"Predator"
"27",27,"09/14/2021 13:07:47",25.78,"YF","DC","S_DCS_P1_60",60,"Predator"
"28",28,"09/14/2021 14:07:47",25.09,"YF","DC","S_DCS_P1_60",60,"Predator"
"29",29,"09/14/2021 15:07:47",23.94,"YF","DC","S_DCS_P1_60",60,"Predator"
"30",30,"09/14/2021 16:07:47",23.29,"YF","DC","S_DCS_P1_60",60,"Predator"
"31",31,"09/14/2021 17:07:47",23.12,"YF","DC","S_DCS_P1_60",60,"Predator"
"32",32,"09/14/2021 18:07:47",20.37,"YF","DC","S_DCS_P1_60",60,"Predator"
"33",33,"09/14/2021 19:07:47",18.62,"YF","DC","S_DCS_P1_60",60,"Predator"
"34",34,"09/14/2021 20:07:47",17.33,"YF","DC","S_DCS_P1_60",60,"Predator"
"35",35,"09/14/2021 21:07:47",15.61,"YF","DC","S_DCS_P1_60",60,"Predator"
"36",36,"09/14/2021 22:07:47",15.83,"YF","DC","S_DCS_P1_60",60,"Predator"
"37",37,"09/14/2021 23:07:47",16.99,"YF","DC","S_DCS_P1_60",60,"Predator"
"38",38,"09/15/2021 00:07:47",17.03,"YF","DC","S_DCS_P1_60",60,"Predator"
"39",39,"09/15/2021 01:07:47",17.33,"YF","DC","S_DCS_P1_60",60,"Predator"
"40",40,"09/15/2021 02:07:47",18.02,"YF","DC","S_DCS_P1_60",60,"Predator"
"41",41,"09/15/2021 03:07:47",18.66,"YF","DC","S_DCS_P1_60",60,"Predator"
"42",42,"09/15/2021 04:07:47",19.26,"YF","DC","S_DCS_P1_60",60,"Predator"
"43",43,"09/15/2021 05:07:47",19.6,"YF","DC","S_DCS_P1_60",60,"Predator"
"44",44,"09/15/2021 06:07:47",19.69,"YF","DC","S_DCS_P1_60",60,"Predator"
"45",45,"09/15/2021 07:07:47",19.95,"YF","DC","S_DCS_P1_60",60,"Predator"
"46",46,"09/15/2021 08:07:47",20.59,"YF","DC","S_DCS_P1_60",60,"Predator"
"47",47,"09/15/2021 09:07:47",21.45,"YF","DC","S_DCS_P1_60",60,"Predator"
"48",48,"09/15/2021 10:07:47",22.69,"YF","DC","S_DCS_P1_60",60,"Predator"
"49",49,"09/15/2021 11:07:47",26.72,"YF","DC","S_DCS_P1_60",60,"Predator"
"50",50,"09/15/2021 12:07:47",29.13,"YF","DC","S_DCS_P1_60",60,"Predator"
"51",51,"09/15/2021 13:07:47",30.8,"YF","DC","S_DCS_P1_60",60,"Predator"
"52",52,"09/15/2021 14:07:47",30.37,"YF","DC","S_DCS_P1_60",60,"Predator"
"53",53,"09/15/2021 15:07:47",28.53,"YF","DC","S_DCS_P1_60",60,"Predator"
"54",54,"09/15/2021 16:07:47",27.02,"YF","DC","S_DCS_P1_60",60,"Predator"
"55",55,"09/15/2021 17:07:47",27.24,"YF","DC","S_DCS_P1_60",60,"Predator"
"56",56,"09/15/2021 18:07:47",23.98,"YF","DC","S_DCS_P1_60",60,"Predator"
"57",57,"09/15/2021 19:07:47",22.01,"YF","DC","S_DCS_P1_60",60,"Predator"
"58",58,"09/15/2021 20:07:47",21.15,"YF","DC","S_DCS_P1_60",60,"Predator"
"59",59,"09/15/2021 21:07:47",21.19,"YF","DC","S_DCS_P1_60",60,"Predator"
"60",60,"09/15/2021 22:07:47",19.3,"YF","DC","S_DCS_P1_60",60,"Predator"
"61",61,"09/15/2021 23:07:47",18.92,"YF","DC","S_DCS_P1_60",60,"Predator"
"62",62,"09/16/2021 00:07:47",17.84,"YF","DC","S_DCS_P1_60",60,"Predator"
"63",63,"09/16/2021 01:07:47",17.67,"YF","DC","S_DCS_P1_60",60,"Predator"
"64",64,"09/16/2021 02:07:47",18.32,"YF","DC","S_DCS_P1_60",60,"Predator"
"65",65,"09/16/2021 03:07:47",18.19,"YF","DC","S_DCS_P1_60",60,"Predator"
"66",66,"09/16/2021 04:07:47",18.02,"YF","DC","S_DCS_P1_60",60,"Predator"
"67",67,"09/16/2021 05:07:47",17.37,"YF","DC","S_DCS_P1_60",60,"Predator"
"68",68,"09/16/2021 06:07:47",17.11,"YF","DC","S_DCS_P1_60",60,"Predator"
"69",69,"09/16/2021 07:07:47",17.24,"YF","DC","S_DCS_P1_60",60,"Predator"
"70",70,"09/16/2021 08:07:47",17.37,"YF","DC","S_DCS_P1_60",60,"Predator"
"71",71,"09/16/2021 09:07:47",18.19,"YF","DC","S_DCS_P1_60",60,"Predator"
"72",72,"09/16/2021 10:07:47",20.98,"YF","DC","S_DCS_P1_60",60,"Predator"
"73",73,"09/16/2021 11:07:47",20.42,"YF","DC","S_DCS_P1_60",60,"Predator"
"74",74,"09/16/2021 12:07:47",22.18,"YF","DC","S_DCS_P1_60",60,"Predator"
"75",75,"09/16/2021 13:07:47",23.68,"YF","DC","S_DCS_P1_60",60,"Predator"
"76",76,"09/16/2021 14:07:47",24.02,"YF","DC","S_DCS_P1_60",60,"Predator"
"77",77,"09/16/2021 15:07:47",24.24,"YF","DC","S_DCS_P1_60",60,"Predator"
"78",78,"09/16/2021 16:07:47",22.78,"YF","DC","S_DCS_P1_60",60,"Predator"
"79",79,"09/16/2021 17:07:47",22.56,"YF","DC","S_DCS_P1_60",60,"Predator"
"80",80,"09/16/2021 18:07:47",19.99,"YF","DC","S_DCS_P1_60",60,"Predator"
"81",81,"09/16/2021 19:07:47",18.57,"YF","DC","S_DCS_P1_60",60,"Predator"
"82",82,"09/16/2021 20:07:47",18.23,"YF","DC","S_DCS_P1_60",60,"Predator"
"83",83,"09/16/2021 21:07:47",17.24,"YF","DC","S_DCS_P1_60",60,"Predator"
"84",84,"09/16/2021 22:07:47",16.69,"YF","DC","S_DCS_P1_60",60,"Predator"
"85",85,"09/16/2021 23:07:47",16.39,"YF","DC","S_DCS_P1_60",60,"Predator"
"86",86,"09/17/2021 00:07:47",16.26,"YF","DC","S_DCS_P1_60",60,"Predator"
"87",87,"09/17/2021 01:07:47",16.04,"YF","DC","S_DCS_P1_60",60,"Predator"
"88",88,"09/17/2021 02:07:47",16.17,"YF","DC","S_DCS_P1_60",60,"Predator"
"89",89,"09/17/2021 03:07:47",16.17,"YF","DC","S_DCS_P1_60",60,"Predator"
"90",90,"09/17/2021 04:07:47",16.04,"YF","DC","S_DCS_P1_60",60,"Predator"
"91",91,"09/17/2021 05:07:47",16.04,"YF","DC","S_DCS_P1_60",60,"Predator"
"92",92,"09/17/2021 06:07:47",16.17,"YF","DC","S_DCS_P1_60",60,"Predator"
"93",93,"09/17/2021 07:07:47",16.26,"YF","DC","S_DCS_P1_60",60,"Predator"
"94",94,"09/17/2021 08:07:47",16.73,"YF","DC","S_DCS_P1_60",60,"Predator"
"95",95,"09/17/2021 09:07:47",17.46,"YF","DC","S_DCS_P1_60",60,"Predator"
"96",96,"09/17/2021 10:07:47",19.13,"YF","DC","S_DCS_P1_60",60,"Predator"
"97",97,"09/17/2021 11:07:47",18.92,"YF","DC","S_DCS_P1_60",60,"Predator"
"98",98,"09/17/2021 12:07:47",20.07,"YF","DC","S_DCS_P1_60",60,"Predator"
"99",99,"09/17/2021 13:07:47",20.63,"YF","DC","S_DCS_P1_60",60,"Predator"
"100",100,"09/17/2021 14:07:47",20.16,"YF","DC","S_DCS_P1_60",60,"Predator"
"101",101,"09/17/2021 15:07:47",20.63,"YF","DC","S_DCS_P1_60",60,"Predator"
"102",102,"09/17/2021 16:07:47",19.86,"YF","DC","S_DCS_P1_60",60,"Predator"
"103",103,"09/17/2021 17:07:47",19,"YF","DC","S_DCS_P1_60",60,"Predator"
"104",104,"09/17/2021 18:07:47",18.14,"YF","DC","S_DCS_P1_60",60,"Predator"
"105",105,"09/17/2021 19:07:47",17.72,"YF","DC","S_DCS_P1_60",60,"Predator"
"106",106,"09/17/2021 20:07:47",17.67,"YF","DC","S_DCS_P1_60",60,"Predator"
"107",107,"09/17/2021 21:07:47",17.63,"YF","DC","S_DCS_P1_60",60,"Predator"
"108",108,"09/17/2021 22:07:47",17.63,"YF","DC","S_DCS_P1_60",60,"Predator"
"109",109,"09/17/2021 23:07:47",17.33,"YF","DC","S_DCS_P1_60",60,"Predator"
"110",110,"09/18/2021 00:07:47",17.2,"YF","DC","S_DCS_P1_60",60,"Predator"
"111",111,"09/18/2021 01:07:47",17.11,"YF","DC","S_DCS_P1_60",60,"Predator"
"112",112,"09/18/2021 02:07:47",17.07,"YF","DC","S_DCS_P1_60",60,"Predator"
"113",113,"09/18/2021 03:07:47",16.94,"YF","DC","S_DCS_P1_60",60,"Predator"
"114",114,"09/18/2021 04:07:47",16.81,"YF","DC","S_DCS_P1_60",60,"Predator"
"115",115,"09/18/2021 05:07:47",16.64,"YF","DC","S_DCS_P1_60",60,"Predator"
"116",116,"09/18/2021 06:07:47",16.51,"YF","DC","S_DCS_P1_60",60,"Predator"
"117",117,"09/18/2021 07:07:47",16.69,"YF","DC","S_DCS_P1_60",60,"Predator"
"118",118,"09/18/2021 08:07:47",17.29,"YF","DC","S_DCS_P1_60",60,"Predator"
"119",119,"09/18/2021 09:07:47",19,"YF","DC","S_DCS_P1_60",60,"Predator"
"120",120,"09/18/2021 10:07:47",20.72,"YF","DC","S_DCS_P1_60",60,"Predator"
"121",121,"09/18/2021 11:07:47",24.15,"YF","DC","S_DCS_P1_60",60,"Predator"
