Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,10/8/21 10:51,25.99,FN,FN,S-FNH_H1,20,Herbivore
2,10/8/21 11:51,25.48,FN,FN,S-FNH_H1,20,Herbivore
3,10/8/21 12:51,22.13,FN,FN,S-FNH_H1,20,Herbivore
4,10/8/21 13:51,26.51,FN,FN,S-FNH_H1,20,Herbivore
5,10/8/21 14:51,25.61,FN,FN,S-FNH_H1,20,Herbivore
6,10/8/21 15:51,24.54,FN,FN,S-FNH_H1,20,Herbivore
7,10/8/21 16:51,21.62,FN,FN,S-FNH_H1,20,Herbivore
8,10/8/21 17:51,19.73,FN,FN,S-FNH_H1,20,Herbivore
9,10/8/21 18:51,16.34,FN,FN,S-FNH_H1,20,Herbivore
10,10/8/21 19:51,14.33,FN,FN,S-FNH_H1,20,Herbivore
11,10/8/21 20:51,13.55,FN,FN,S-FNH_H1,20,Herbivore
12,10/8/21 21:51,12.95,FN,FN,S-FNH_H1,20,Herbivore
13,10/8/21 22:51,12.4,FN,FN,S-FNH_H1,20,Herbivore
14,10/8/21 23:51,11.02,FN,FN,S-FNH_H1,20,Herbivore
15,10/9/21 0:51,12.1,FN,FN,S-FNH_H1,20,Herbivore
16,10/9/21 1:51,11.84,FN,FN,S-FNH_H1,20,Herbivore
17,10/9/21 2:51,12.91,FN,FN,S-FNH_H1,20,Herbivore
18,10/9/21 3:51,12.95,FN,FN,S-FNH_H1,20,Herbivore
19,10/9/21 4:51,12.74,FN,FN,S-FNH_H1,20,Herbivore
20,10/9/21 5:51,12.82,FN,FN,S-FNH_H1,20,Herbivore
21,10/9/21 6:51,12.87,FN,FN,S-FNH_H1,20,Herbivore
22,10/9/21 7:51,13.68,FN,FN,S-FNH_H1,20,Herbivore
23,10/9/21 8:51,15.1,FN,FN,S-FNH_H1,20,Herbivore
24,10/9/21 9:51,16.86,FN,FN,S-FNH_H1,20,Herbivore
25,10/9/21 10:51,18.62,FN,FN,S-FNH_H1,20,Herbivore
26,10/9/21 11:51,19.56,FN,FN,S-FNH_H1,20,Herbivore
27,10/9/21 12:51,19.22,FN,FN,S-FNH_H1,20,Herbivore
28,10/9/21 13:51,19.22,FN,FN,S-FNH_H1,20,Herbivore
29,10/9/21 14:51,18.1,FN,FN,S-FNH_H1,20,Herbivore
30,10/9/21 15:51,16.56,FN,FN,S-FNH_H1,20,Herbivore
31,10/9/21 16:51,15.96,FN,FN,S-FNH_H1,20,Herbivore
32,10/9/21 17:51,15.27,FN,FN,S-FNH_H1,20,Herbivore
33,10/9/21 18:51,14.58,FN,FN,S-FNH_H1,20,Herbivore
34,10/9/21 19:51,14.11,FN,FN,S-FNH_H1,20,Herbivore
35,10/9/21 20:51,13.73,FN,FN,S-FNH_H1,20,Herbivore
36,10/9/21 21:51,13.51,FN,FN,S-FNH_H1,20,Herbivore
37,10/9/21 22:51,13.12,FN,FN,S-FNH_H1,20,Herbivore
38,10/9/21 23:51,13.21,FN,FN,S-FNH_H1,20,Herbivore
39,10/10/21 0:51,12.95,FN,FN,S-FNH_H1,20,Herbivore
40,10/10/21 1:51,12.7,FN,FN,S-FNH_H1,20,Herbivore
41,10/10/21 2:51,12.44,FN,FN,S-FNH_H1,20,Herbivore
42,10/10/21 3:51,12.74,FN,FN,S-FNH_H1,20,Herbivore
43,10/10/21 4:51,12.82,FN,FN,S-FNH_H1,20,Herbivore
44,10/10/21 5:51,12.35,FN,FN,S-FNH_H1,20,Herbivore
45,10/10/21 6:51,12.14,FN,FN,S-FNH_H1,20,Herbivore
46,10/10/21 7:51,12.65,FN,FN,S-FNH_H1,20,Herbivore
47,10/10/21 8:51,13.64,FN,FN,S-FNH_H1,20,Herbivore
48,10/10/21 9:51,15.06,FN,FN,S-FNH_H1,20,Herbivore
49,10/10/21 10:51,17.16,FN,FN,S-FNH_H1,20,Herbivore
50,10/10/21 11:51,16.69,FN,FN,S-FNH_H1,20,Herbivore
51,10/10/21 12:51,17.11,FN,FN,S-FNH_H1,20,Herbivore
52,10/10/21 13:51,17.37,FN,FN,S-FNH_H1,20,Herbivore
53,10/10/21 14:51,16.9,FN,FN,S-FNH_H1,20,Herbivore
54,10/10/21 15:51,16.26,FN,FN,S-FNH_H1,20,Herbivore
55,10/10/21 16:51,16.99,FN,FN,S-FNH_H1,20,Herbivore
56,10/10/21 17:51,15.96,FN,FN,S-FNH_H1,20,Herbivore
57,10/10/21 18:51,15.31,FN,FN,S-FNH_H1,20,Herbivore
58,10/10/21 19:51,14.97,FN,FN,S-FNH_H1,20,Herbivore
59,10/10/21 20:51,14.8,FN,FN,S-FNH_H1,20,Herbivore
60,10/10/21 21:51,14.63,FN,FN,S-FNH_H1,20,Herbivore
61,10/10/21 22:51,14.03,FN,FN,S-FNH_H1,20,Herbivore
62,10/10/21 23:51,12.7,FN,FN,S-FNH_H1,20,Herbivore
63,10/11/21 0:51,13.12,FN,FN,S-FNH_H1,20,Herbivore
64,10/11/21 1:51,13.9,FN,FN,S-FNH_H1,20,Herbivore
65,10/11/21 2:51,13.17,FN,FN,S-FNH_H1,20,Herbivore
66,10/11/21 3:51,14.11,FN,FN,S-FNH_H1,20,Herbivore
67,10/11/21 4:51,14.24,FN,FN,S-FNH_H1,20,Herbivore
68,10/11/21 5:51,14.24,FN,FN,S-FNH_H1,20,Herbivore
69,10/11/21 6:51,14.37,FN,FN,S-FNH_H1,20,Herbivore
70,10/11/21 7:51,14.84,FN,FN,S-FNH_H1,20,Herbivore
71,10/11/21 8:51,16.21,FN,FN,S-FNH_H1,20,Herbivore
72,10/11/21 9:51,17.16,FN,FN,S-FNH_H1,20,Herbivore
73,10/11/21 10:51,19.35,FN,FN,S-FNH_H1,20,Herbivore
74,10/11/21 11:51,19.69,FN,FN,S-FNH_H1,20,Herbivore
75,10/11/21 12:51,20.98,FN,FN,S-FNH_H1,20,Herbivore
76,10/11/21 13:51,23.55,FN,FN,S-FNH_H1,20,Herbivore
77,10/11/21 14:51,22.18,FN,FN,S-FNH_H1,20,Herbivore
78,10/11/21 15:51,21.88,FN,FN,S-FNH_H1,20,Herbivore
79,10/11/21 16:51,21.32,FN,FN,S-FNH_H1,20,Herbivore
80,10/11/21 17:51,17.93,FN,FN,S-FNH_H1,20,Herbivore
81,10/11/21 18:51,14.33,FN,FN,S-FNH_H1,20,Herbivore
82,10/11/21 19:51,13,FN,FN,S-FNH_H1,20,Herbivore
83,10/11/21 20:51,12.14,FN,FN,S-FNH_H1,20,Herbivore
84,10/11/21 21:51,11.92,FN,FN,S-FNH_H1,20,Herbivore
85,10/11/21 22:51,11.75,FN,FN,S-FNH_H1,20,Herbivore
86,10/11/21 23:51,10.85,FN,FN,S-FNH_H1,20,Herbivore
87,10/12/21 0:51,10.72,FN,FN,S-FNH_H1,20,Herbivore
88,10/12/21 1:51,10.12,FN,FN,S-FNH_H1,20,Herbivore
89,10/12/21 2:51,10.12,FN,FN,S-FNH_H1,20,Herbivore
90,10/12/21 3:51,9.82,FN,FN,S-FNH_H1,20,Herbivore
91,10/12/21 4:51,9.48,FN,FN,S-FNH_H1,20,Herbivore
92,10/12/21 5:51,9.31,FN,FN,S-FNH_H1,20,Herbivore
93,10/12/21 6:51,8.88,FN,FN,S-FNH_H1,20,Herbivore
94,10/12/21 7:51,8.92,FN,FN,S-FNH_H1,20,Herbivore
95,10/12/21 8:51,12.18,FN,FN,S-FNH_H1,20,Herbivore
96,10/12/21 9:51,15.83,FN,FN,S-FNH_H1,20,Herbivore
97,10/12/21 10:51,26.04,FN,FN,S-FNH_H1,20,Herbivore
98,10/12/21 11:51,25.61,FN,FN,S-FNH_H1,20,Herbivore
99,10/12/21 12:51,25.44,FN,FN,S-FNH_H1,20,Herbivore
100,10/12/21 13:51,25.18,FN,FN,S-FNH_H1,20,Herbivore
101,10/12/21 14:51,26.42,FN,FN,S-FNH_H1,20,Herbivore
102,10/12/21 15:51,24.28,FN,FN,S-FNH_H1,20,Herbivore
103,10/12/21 16:51,23.21,FN,FN,S-FNH_H1,20,Herbivore
104,10/12/21 17:51,18.1,FN,FN,S-FNH_H1,20,Herbivore
105,10/12/21 18:51,14.5,FN,FN,S-FNH_H1,20,Herbivore
106,10/12/21 19:51,12.65,FN,FN,S-FNH_H1,20,Herbivore
107,10/12/21 20:51,11.84,FN,FN,S-FNH_H1,20,Herbivore
108,10/12/21 21:51,11.37,FN,FN,S-FNH_H1,20,Herbivore
109,10/12/21 22:51,10.38,FN,FN,S-FNH_H1,20,Herbivore
110,10/12/21 23:51,10.21,FN,FN,S-FNH_H1,20,Herbivore
111,10/13/21 0:51,9.69,FN,FN,S-FNH_H1,20,Herbivore
112,10/13/21 1:51,10.64,FN,FN,S-FNH_H1,20,Herbivore
113,10/13/21 2:51,11.79,FN,FN,S-FNH_H1,20,Herbivore
114,10/13/21 3:51,12.22,FN,FN,S-FNH_H1,20,Herbivore
115,10/13/21 4:51,12.7,FN,FN,S-FNH_H1,20,Herbivore
116,10/13/21 5:51,12.61,FN,FN,S-FNH_H1,20,Herbivore
117,10/13/21 6:51,12.22,FN,FN,S-FNH_H1,20,Herbivore
118,10/13/21 7:51,12.4,FN,FN,S-FNH_H1,20,Herbivore
119,10/13/21 8:51,14.15,FN,FN,S-FNH_H1,20,Herbivore
120,10/13/21 9:51,16.21,FN,FN,S-FNH_H1,20,Herbivore
121,10/13/21 10:51,17.76,FN,FN,S-FNH_H1,20,Herbivore
122,10/13/21 11:51,18.4,FN,FN,S-FNH_H1,20,Herbivore
123,10/13/21 12:51,19.43,FN,FN,S-FNH_H1,20,Herbivore
124,10/13/21 13:51,18.74,FN,FN,S-FNH_H1,20,Herbivore
125,10/13/21 14:51,18.87,FN,FN,S-FNH_H1,20,Herbivore
126,10/13/21 15:51,18.62,FN,FN,S-FNH_H1,20,Herbivore
127,10/13/21 16:51,18.02,FN,FN,S-FNH_H1,20,Herbivore
128,10/13/21 17:51,17.54,FN,FN,S-FNH_H1,20,Herbivore
129,10/13/21 18:51,16.86,FN,FN,S-FNH_H1,20,Herbivore
130,10/13/21 19:51,16.6,FN,FN,S-FNH_H1,20,Herbivore
131,10/13/21 20:51,14.97,FN,FN,S-FNH_H1,20,Herbivore
132,10/13/21 21:51,13.55,FN,FN,S-FNH_H1,20,Herbivore
133,10/13/21 22:51,13.6,FN,FN,S-FNH_H1,20,Herbivore
134,10/13/21 23:51,12.91,FN,FN,S-FNH_H1,20,Herbivore
135,10/14/21 0:51,13.12,FN,FN,S-FNH_H1,20,Herbivore
136,10/14/21 1:51,13.6,FN,FN,S-FNH_H1,20,Herbivore
137,10/14/21 2:51,14.15,FN,FN,S-FNH_H1,20,Herbivore
138,10/14/21 3:51,13.43,FN,FN,S-FNH_H1,20,Herbivore
139,10/14/21 4:51,12.78,FN,FN,S-FNH_H1,20,Herbivore
140,10/14/21 5:51,13.17,FN,FN,S-FNH_H1,20,Herbivore
141,10/14/21 6:51,13.73,FN,FN,S-FNH_H1,20,Herbivore
142,10/14/21 7:51,14.8,FN,FN,S-FNH_H1,20,Herbivore
143,10/14/21 8:51,15.1,FN,FN,S-FNH_H1,20,Herbivore
144,10/14/21 9:51,19.95,FN,FN,S-FNH_H1,20,Herbivore
145,10/14/21 10:51,28.4,FN,FN,S-FNH_H1,20,Herbivore
146,10/14/21 11:51,28.91,FN,FN,S-FNH_H1,20,Herbivore
147,10/14/21 12:51,26.42,FN,FN,S-FNH_H1,20,Herbivore
148,10/14/21 13:51,26.34,FN,FN,S-FNH_H1,20,Herbivore
