Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,10/8/21 11:34,37.23,FN,FN,S_FNH_V1,60,Vegetation
2,10/8/21 11:36,,FN,FN,S_FNH_V1,60,Vegetation
3,10/8/21 11:36,,FN,FN,S_FNH_V1,60,Vegetation
4,10/8/21 11:36,,FN,FN,S_FNH_V1,60,Vegetation
5,10/8/21 11:36,,FN,FN,S_FNH_V1,60,Vegetation
6,10/8/21 12:34,26.12,FN,FN,S_FNH_V1,60,Vegetation
7,10/8/21 13:34,22.99,FN,FN,S_FNH_V1,60,Vegetation
8,10/8/21 14:34,21.58,FN,FN,S_FNH_V1,60,Vegetation
9,10/8/21 15:34,21.79,FN,FN,S_FNH_V1,60,Vegetation
10,10/8/21 16:34,21.32,FN,FN,S_FNH_V1,60,Vegetation
11,10/8/21 17:34,20.16,FN,FN,S_FNH_V1,60,Vegetation
12,10/8/21 18:34,17.67,FN,FN,S_FNH_V1,60,Vegetation
13,10/8/21 19:34,15.14,FN,FN,S_FNH_V1,60,Vegetation
14,10/8/21 20:34,13.98,FN,FN,S_FNH_V1,60,Vegetation
15,10/8/21 21:34,13.38,FN,FN,S_FNH_V1,60,Vegetation
16,10/8/21 22:34,13.08,FN,FN,S_FNH_V1,60,Vegetation
17,10/8/21 23:34,12.01,FN,FN,S_FNH_V1,60,Vegetation
18,10/9/21 0:34,13.21,FN,FN,S_FNH_V1,60,Vegetation
19,10/9/21 1:34,13.12,FN,FN,S_FNH_V1,60,Vegetation
20,10/9/21 2:34,13.51,FN,FN,S_FNH_V1,60,Vegetation
21,10/9/21 3:34,13.3,FN,FN,S_FNH_V1,60,Vegetation
22,10/9/21 4:34,13,FN,FN,S_FNH_V1,60,Vegetation
23,10/9/21 5:34,13.25,FN,FN,S_FNH_V1,60,Vegetation
24,10/9/21 6:34,13.38,FN,FN,S_FNH_V1,60,Vegetation
25,10/9/21 7:34,13.55,FN,FN,S_FNH_V1,60,Vegetation
26,10/9/21 8:34,14.37,FN,FN,S_FNH_V1,60,Vegetation
27,10/9/21 9:34,16.34,FN,FN,S_FNH_V1,60,Vegetation
28,10/9/21 10:34,17.67,FN,FN,S_FNH_V1,60,Vegetation
29,10/9/21 11:34,18.32,FN,FN,S_FNH_V1,60,Vegetation
30,10/9/21 12:34,17.72,FN,FN,S_FNH_V1,60,Vegetation
31,10/9/21 13:34,18.02,FN,FN,S_FNH_V1,60,Vegetation
32,10/9/21 14:34,17.5,FN,FN,S_FNH_V1,60,Vegetation
33,10/9/21 15:34,16.43,FN,FN,S_FNH_V1,60,Vegetation
34,10/9/21 16:34,16.3,FN,FN,S_FNH_V1,60,Vegetation
35,10/9/21 17:34,15.83,FN,FN,S_FNH_V1,60,Vegetation
36,10/9/21 18:34,15.23,FN,FN,S_FNH_V1,60,Vegetation
37,10/9/21 19:34,14.8,FN,FN,S_FNH_V1,60,Vegetation
38,10/9/21 20:34,14.28,FN,FN,S_FNH_V1,60,Vegetation
39,10/9/21 21:34,14.11,FN,FN,S_FNH_V1,60,Vegetation
40,10/9/21 22:34,13.85,FN,FN,S_FNH_V1,60,Vegetation
41,10/9/21 23:34,13.68,FN,FN,S_FNH_V1,60,Vegetation
42,10/10/21 0:34,13.51,FN,FN,S_FNH_V1,60,Vegetation
43,10/10/21 1:34,13.38,FN,FN,S_FNH_V1,60,Vegetation
44,10/10/21 2:34,13,FN,FN,S_FNH_V1,60,Vegetation
45,10/10/21 3:34,13.04,FN,FN,S_FNH_V1,60,Vegetation
46,10/10/21 4:34,13.08,FN,FN,S_FNH_V1,60,Vegetation
47,10/10/21 5:34,12.87,FN,FN,S_FNH_V1,60,Vegetation
48,10/10/21 6:34,12.74,FN,FN,S_FNH_V1,60,Vegetation
49,10/10/21 7:34,12.78,FN,FN,S_FNH_V1,60,Vegetation
50,10/10/21 8:34,13.43,FN,FN,S_FNH_V1,60,Vegetation
51,10/10/21 9:34,14.03,FN,FN,S_FNH_V1,60,Vegetation
52,10/10/21 10:34,15.53,FN,FN,S_FNH_V1,60,Vegetation
53,10/10/21 11:34,15.4,FN,FN,S_FNH_V1,60,Vegetation
54,10/10/21 12:34,16.13,FN,FN,S_FNH_V1,60,Vegetation
55,10/10/21 13:34,16.13,FN,FN,S_FNH_V1,60,Vegetation
56,10/10/21 14:34,16.47,FN,FN,S_FNH_V1,60,Vegetation
57,10/10/21 15:34,16.04,FN,FN,S_FNH_V1,60,Vegetation
58,10/10/21 16:34,16.56,FN,FN,S_FNH_V1,60,Vegetation
59,10/10/21 17:34,16.26,FN,FN,S_FNH_V1,60,Vegetation
60,10/10/21 18:34,15.74,FN,FN,S_FNH_V1,60,Vegetation
61,10/10/21 19:34,15.44,FN,FN,S_FNH_V1,60,Vegetation
62,10/10/21 20:34,15.18,FN,FN,S_FNH_V1,60,Vegetation
63,10/10/21 21:34,14.97,FN,FN,S_FNH_V1,60,Vegetation
64,10/10/21 22:34,14.71,FN,FN,S_FNH_V1,60,Vegetation
65,10/10/21 23:34,13.68,FN,FN,S_FNH_V1,60,Vegetation
66,10/11/21 0:34,13.98,FN,FN,S_FNH_V1,60,Vegetation
67,10/11/21 1:34,14.5,FN,FN,S_FNH_V1,60,Vegetation
68,10/11/21 2:34,14.63,FN,FN,S_FNH_V1,60,Vegetation
69,10/11/21 3:34,14.63,FN,FN,S_FNH_V1,60,Vegetation
70,10/11/21 4:34,14.75,FN,FN,S_FNH_V1,60,Vegetation
71,10/11/21 5:34,14.71,FN,FN,S_FNH_V1,60,Vegetation
72,10/11/21 6:34,14.67,FN,FN,S_FNH_V1,60,Vegetation
73,10/11/21 7:34,14.93,FN,FN,S_FNH_V1,60,Vegetation
74,10/11/21 8:34,15.74,FN,FN,S_FNH_V1,60,Vegetation
75,10/11/21 9:34,15.96,FN,FN,S_FNH_V1,60,Vegetation
76,10/11/21 10:34,17.37,FN,FN,S_FNH_V1,60,Vegetation
77,10/11/21 11:34,18.7,FN,FN,S_FNH_V1,60,Vegetation
78,10/11/21 12:34,19.6,FN,FN,S_FNH_V1,60,Vegetation
79,10/11/21 13:34,20.12,FN,FN,S_FNH_V1,60,Vegetation
80,10/11/21 14:34,19.73,FN,FN,S_FNH_V1,60,Vegetation
81,10/11/21 15:34,19.35,FN,FN,S_FNH_V1,60,Vegetation
82,10/11/21 16:34,19.05,FN,FN,S_FNH_V1,60,Vegetation
83,10/11/21 17:34,18.23,FN,FN,S_FNH_V1,60,Vegetation
84,10/11/21 18:34,15.36,FN,FN,S_FNH_V1,60,Vegetation
85,10/11/21 19:34,13.6,FN,FN,S_FNH_V1,60,Vegetation
86,10/11/21 20:34,12.57,FN,FN,S_FNH_V1,60,Vegetation
87,10/11/21 21:34,12.01,FN,FN,S_FNH_V1,60,Vegetation
88,10/11/21 22:34,11.75,FN,FN,S_FNH_V1,60,Vegetation
89,10/11/21 23:34,11.11,FN,FN,S_FNH_V1,60,Vegetation
90,10/12/21 0:34,10.34,FN,FN,S_FNH_V1,60,Vegetation
91,10/12/21 1:34,9.99,FN,FN,S_FNH_V1,60,Vegetation
92,10/12/21 2:34,9.91,FN,FN,S_FNH_V1,60,Vegetation
93,10/12/21 3:34,9.48,FN,FN,S_FNH_V1,60,Vegetation
94,10/12/21 4:34,9.18,FN,FN,S_FNH_V1,60,Vegetation
95,10/12/21 5:34,8.96,FN,FN,S_FNH_V1,60,Vegetation
96,10/12/21 6:34,8.62,FN,FN,S_FNH_V1,60,Vegetation
97,10/12/21 7:34,8.45,FN,FN,S_FNH_V1,60,Vegetation
98,10/12/21 8:34,10.64,FN,FN,S_FNH_V1,60,Vegetation
99,10/12/21 9:34,18.27,FN,FN,S_FNH_V1,60,Vegetation
100,10/12/21 10:34,24.84,FN,FN,S_FNH_V1,60,Vegetation
101,10/12/21 11:34,25.39,FN,FN,S_FNH_V1,60,Vegetation
102,10/12/21 12:34,24.32,FN,FN,S_FNH_V1,60,Vegetation
103,10/12/21 13:34,22.05,FN,FN,S_FNH_V1,60,Vegetation
104,10/12/21 14:34,20.89,FN,FN,S_FNH_V1,60,Vegetation
105,10/12/21 15:34,20.76,FN,FN,S_FNH_V1,60,Vegetation
106,10/12/21 16:34,20.07,FN,FN,S_FNH_V1,60,Vegetation
107,10/12/21 17:34,18.44,FN,FN,S_FNH_V1,60,Vegetation
108,10/12/21 18:34,15.53,FN,FN,S_FNH_V1,60,Vegetation
109,10/12/21 19:34,13.47,FN,FN,S_FNH_V1,60,Vegetation
110,10/12/21 20:34,12.18,FN,FN,S_FNH_V1,60,Vegetation
111,10/12/21 21:34,11.32,FN,FN,S_FNH_V1,60,Vegetation
112,10/12/21 22:34,10.64,FN,FN,S_FNH_V1,60,Vegetation
113,10/12/21 23:34,9.99,FN,FN,S_FNH_V1,60,Vegetation
114,10/13/21 0:34,9.65,FN,FN,S_FNH_V1,60,Vegetation
115,10/13/21 1:34,9.65,FN,FN,S_FNH_V1,60,Vegetation
116,10/13/21 2:34,11.49,FN,FN,S_FNH_V1,60,Vegetation
117,10/13/21 3:34,11.75,FN,FN,S_FNH_V1,60,Vegetation
118,10/13/21 4:34,12.31,FN,FN,S_FNH_V1,60,Vegetation
