Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021-07-28 16:29:02,23.89,UP,FN,S_FNN_H1,40,Herbivore
2,2021-07-28 17:29:02,22.43,UP,FN,S_FNN_H1,40,Herbivore
3,2021-07-28 18:29:02,22.48,UP,FN,S_FNN_H1,40,Herbivore
4,2021-07-28 19:29:02,22.65,UP,FN,S_FNN_H1,40,Herbivore
5,2021-07-28 20:29:02,22.56,UP,FN,S_FNN_H1,40,Herbivore
6,2021-07-28 21:29:02,22.43,UP,FN,S_FNN_H1,40,Herbivore
7,2021-07-28 22:29:02,22.73,UP,FN,S_FNN_H1,40,Herbivore
8,2021-07-28 23:29:02,22.73,UP,FN,S_FNN_H1,40,Herbivore
9,2021-07-29 0:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
10,2021-07-29 1:29:02,22.65,UP,FN,S_FNN_H1,40,Herbivore
11,2021-07-29 2:29:02,22.73,UP,FN,S_FNN_H1,40,Herbivore
12,2021-07-29 3:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
13,2021-07-29 4:29:02,22.82,UP,FN,S_FNN_H1,40,Herbivore
14,2021-07-29 5:29:02,22.82,UP,FN,S_FNN_H1,40,Herbivore
15,2021-07-29 6:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
16,2021-07-29 7:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
17,2021-07-29 8:29:02,22.86,UP,FN,S_FNN_H1,40,Herbivore
18,2021-07-29 9:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
19,2021-07-29 10:29:02,22.61,UP,FN,S_FNN_H1,40,Herbivore
20,2021-07-29 11:29:02,22.48,UP,FN,S_FNN_H1,40,Herbivore
21,2021-07-29 12:29:02,22.48,UP,FN,S_FNN_H1,40,Herbivore
22,2021-07-29 13:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
23,2021-07-29 14:29:02,22.61,UP,FN,S_FNN_H1,40,Herbivore
24,2021-07-29 15:29:02,22.52,UP,FN,S_FNN_H1,40,Herbivore
25,2021-07-29 16:29:02,22.56,UP,FN,S_FNN_H1,40,Herbivore
26,2021-07-29 17:29:02,22.61,UP,FN,S_FNN_H1,40,Herbivore
27,2021-07-29 18:29:02,22.73,UP,FN,S_FNN_H1,40,Herbivore
28,2021-07-29 19:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
29,2021-07-29 20:29:02,22.61,UP,FN,S_FNN_H1,40,Herbivore
30,2021-07-29 21:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
31,2021-07-29 22:29:02,22.86,UP,FN,S_FNN_H1,40,Herbivore
32,2021-07-29 23:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
33,2021-07-30 0:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
34,2021-07-30 1:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
35,2021-07-30 2:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
36,2021-07-30 3:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
37,2021-07-30 4:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
38,2021-07-30 5:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
39,2021-07-30 6:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
40,2021-07-30 7:29:02,22.95,UP,FN,S_FNN_H1,40,Herbivore
41,2021-07-30 8:29:02,23.12,UP,FN,S_FNN_H1,40,Herbivore
42,2021-07-30 9:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
43,2021-07-30 10:29:02,22.91,UP,FN,S_FNN_H1,40,Herbivore
44,2021-07-30 11:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
45,2021-07-30 12:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
46,2021-07-30 13:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
47,2021-07-30 14:29:02,22.73,UP,FN,S_FNN_H1,40,Herbivore
48,2021-07-30 15:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
49,2021-07-30 16:29:02,22.65,UP,FN,S_FNN_H1,40,Herbivore
50,2021-07-30 17:29:02,22.65,UP,FN,S_FNN_H1,40,Herbivore
51,2021-07-30 18:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
52,2021-07-30 19:29:02,22.91,UP,FN,S_FNN_H1,40,Herbivore
53,2021-07-30 20:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
54,2021-07-30 21:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
55,2021-07-30 22:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
56,2021-07-30 23:29:02,22.82,UP,FN,S_FNN_H1,40,Herbivore
57,2021-07-31 0:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
58,2021-07-31 1:29:02,22.86,UP,FN,S_FNN_H1,40,Herbivore
59,2021-07-31 2:29:02,22.86,UP,FN,S_FNN_H1,40,Herbivore
60,2021-07-31 3:29:02,22.95,UP,FN,S_FNN_H1,40,Herbivore
61,2021-07-31 4:29:02,23.16,UP,FN,S_FNN_H1,40,Herbivore
62,2021-07-31 5:29:02,23.34,UP,FN,S_FNN_H1,40,Herbivore
63,2021-07-31 6:29:02,23.46,UP,FN,S_FNN_H1,40,Herbivore
64,2021-07-31 7:29:02,23.64,UP,FN,S_FNN_H1,40,Herbivore
65,2021-07-31 8:29:02,23.34,UP,FN,S_FNN_H1,40,Herbivore
66,2021-07-31 9:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
67,2021-07-31 10:29:02,22.95,UP,FN,S_FNN_H1,40,Herbivore
68,2021-07-31 11:29:02,22.61,UP,FN,S_FNN_H1,40,Herbivore
69,2021-07-31 12:29:02,22.95,UP,FN,S_FNN_H1,40,Herbivore
70,2021-07-31 13:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
71,2021-07-31 14:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
72,2021-07-31 15:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
73,2021-07-31 16:29:02,22.65,UP,FN,S_FNN_H1,40,Herbivore
74,2021-07-31 17:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
75,2021-07-31 18:29:02,22.95,UP,FN,S_FNN_H1,40,Herbivore
76,2021-07-31 19:29:02,22.91,UP,FN,S_FNN_H1,40,Herbivore
77,2021-07-31 20:29:02,22.95,UP,FN,S_FNN_H1,40,Herbivore
78,2021-07-31 21:29:02,22.91,UP,FN,S_FNN_H1,40,Herbivore
79,2021-07-31 22:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
80,2021-07-31 23:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
81,2021-08-01 0:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
82,2021-08-01 1:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
83,2021-08-01 2:29:02,23.12,UP,FN,S_FNN_H1,40,Herbivore
84,2021-08-01 3:29:02,23.21,UP,FN,S_FNN_H1,40,Herbivore
85,2021-08-01 4:29:02,23.38,UP,FN,S_FNN_H1,40,Herbivore
86,2021-08-01 5:29:02,23.51,UP,FN,S_FNN_H1,40,Herbivore
87,2021-08-01 6:29:02,23.64,UP,FN,S_FNN_H1,40,Herbivore
88,2021-08-01 7:29:02,23.81,UP,FN,S_FNN_H1,40,Herbivore
89,2021-08-01 8:29:02,23.25,UP,FN,S_FNN_H1,40,Herbivore
90,2021-08-01 9:29:02,23.21,UP,FN,S_FNN_H1,40,Herbivore
91,2021-08-01 10:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
92,2021-08-01 11:29:02,22.82,UP,FN,S_FNN_H1,40,Herbivore
93,2021-08-01 12:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
94,2021-08-01 13:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
95,2021-08-01 14:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
96,2021-08-01 15:29:02,22.56,UP,FN,S_FNN_H1,40,Herbivore
97,2021-08-01 16:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
98,2021-08-01 17:29:02,22.78,UP,FN,S_FNN_H1,40,Herbivore
99,2021-08-01 18:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
100,2021-08-01 19:29:02,22.69,UP,FN,S_FNN_H1,40,Herbivore
101,2021-08-01 20:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
102,2021-08-01 21:29:02,22.99,UP,FN,S_FNN_H1,40,Herbivore
103,2021-08-01 22:29:02,23.03,UP,FN,S_FNN_H1,40,Herbivore
104,2021-08-01 23:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
105,2021-08-02 0:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
106,2021-08-02 1:29:02,23.08,UP,FN,S_FNN_H1,40,Herbivore
