Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/6/21 10:25,27.75,YF,FN,S_FNS_H1,40,Herbivore
2,7/6/21 11:25,28.48,YF,FN,S_FNS_H1,40,Herbivore
3,7/6/21 12:25,30.97,YF,FN,S_FNS_H1,40,Herbivore
4,7/6/21 13:25,33.89,YF,FN,S_FNS_H1,40,Herbivore
5,7/6/21 14:25,32.77,YF,FN,S_FNS_H1,40,Herbivore
6,7/6/21 15:25,31.92,YF,FN,S_FNS_H1,40,Herbivore
7,7/6/21 16:25,32.69,YF,FN,S_FNS_H1,40,Herbivore
8,7/6/21 17:25,24.32,YF,FN,S_FNS_H1,40,Herbivore
9,7/6/21 18:25,20.07,YF,FN,S_FNS_H1,40,Herbivore
10,7/6/21 19:25,19.69,YF,FN,S_FNS_H1,40,Herbivore
11,7/6/21 20:25,19.47,YF,FN,S_FNS_H1,40,Herbivore
12,7/6/21 21:25,18.92,YF,FN,S_FNS_H1,40,Herbivore
13,7/6/21 22:25,18.36,YF,FN,S_FNS_H1,40,Herbivore
14,7/6/21 23:25,18.02,YF,FN,S_FNS_H1,40,Herbivore
15,7/7/21 0:25,18.06,YF,FN,S_FNS_H1,40,Herbivore
16,7/7/21 1:25,17.97,YF,FN,S_FNS_H1,40,Herbivore
17,7/7/21 2:25,18.27,YF,FN,S_FNS_H1,40,Herbivore
18,7/7/21 3:25,17.84,YF,FN,S_FNS_H1,40,Herbivore
19,7/7/21 4:25,17.11,YF,FN,S_FNS_H1,40,Herbivore
20,7/7/21 5:25,18.06,YF,FN,S_FNS_H1,40,Herbivore
21,7/7/21 6:25,18.53,YF,FN,S_FNS_H1,40,Herbivore
22,7/7/21 7:25,20.29,YF,FN,S_FNS_H1,40,Herbivore
23,7/7/21 8:25,22.69,YF,FN,S_FNS_H1,40,Herbivore
24,7/7/21 9:25,24.19,YF,FN,S_FNS_H1,40,Herbivore
25,7/7/21 10:25,26.08,YF,FN,S_FNS_H1,40,Herbivore
26,7/7/21 11:25,29.3,YF,FN,S_FNS_H1,40,Herbivore
27,7/7/21 12:25,32.04,YF,FN,S_FNS_H1,40,Herbivore
28,7/7/21 13:25,33.07,YF,FN,S_FNS_H1,40,Herbivore
29,7/7/21 14:25,34.53,YF,FN,S_FNS_H1,40,Herbivore
30,7/7/21 15:25,35.9,YF,FN,S_FNS_H1,40,Herbivore
31,7/7/21 16:25,33.37,YF,FN,S_FNS_H1,40,Herbivore
32,7/7/21 17:25,31.61,YF,FN,S_FNS_H1,40,Herbivore
33,7/7/21 18:25,20.03,YF,FN,S_FNS_H1,40,Herbivore
34,7/7/21 19:25,19.86,YF,FN,S_FNS_H1,40,Herbivore
35,7/7/21 20:25,19.56,YF,FN,S_FNS_H1,40,Herbivore
36,7/7/21 21:25,18.4,YF,FN,S_FNS_H1,40,Herbivore
37,7/7/21 22:25,19.35,YF,FN,S_FNS_H1,40,Herbivore
38,7/7/21 23:25,19.09,YF,FN,S_FNS_H1,40,Herbivore
39,7/8/21 0:25,18.49,YF,FN,S_FNS_H1,40,Herbivore
40,7/8/21 1:25,18.19,YF,FN,S_FNS_H1,40,Herbivore
41,7/8/21 2:25,18.79,YF,FN,S_FNS_H1,40,Herbivore
42,7/8/21 3:25,19.17,YF,FN,S_FNS_H1,40,Herbivore
43,7/8/21 4:25,19.05,YF,FN,S_FNS_H1,40,Herbivore
44,7/8/21 5:25,17.37,YF,FN,S_FNS_H1,40,Herbivore
45,7/8/21 6:25,16.39,YF,FN,S_FNS_H1,40,Herbivore
46,7/8/21 7:25,17.8,YF,FN,S_FNS_H1,40,Herbivore
47,7/8/21 8:25,17.89,YF,FN,S_FNS_H1,40,Herbivore
48,7/8/21 9:25,20.16,YF,FN,S_FNS_H1,40,Herbivore
49,7/8/21 10:25,20.68,YF,FN,S_FNS_H1,40,Herbivore
50,7/8/21 11:25,19.22,YF,FN,S_FNS_H1,40,Herbivore
51,7/8/21 12:25,21.06,YF,FN,S_FNS_H1,40,Herbivore
52,7/8/21 13:25,21.19,YF,FN,S_FNS_H1,40,Herbivore
53,7/8/21 14:25,21.02,YF,FN,S_FNS_H1,40,Herbivore
54,7/8/21 15:25,19.35,YF,FN,S_FNS_H1,40,Herbivore
55,7/8/21 16:25,19.56,YF,FN,S_FNS_H1,40,Herbivore
56,7/8/21 17:25,18.23,YF,FN,S_FNS_H1,40,Herbivore
57,7/8/21 18:25,17.59,YF,FN,S_FNS_H1,40,Herbivore
58,7/8/21 19:25,17.29,YF,FN,S_FNS_H1,40,Herbivore
59,7/8/21 20:25,17.07,YF,FN,S_FNS_H1,40,Herbivore
60,7/8/21 21:25,16.94,YF,FN,S_FNS_H1,40,Herbivore
61,7/8/21 22:25,16.94,YF,FN,S_FNS_H1,40,Herbivore
62,7/8/21 23:25,16.99,YF,FN,S_FNS_H1,40,Herbivore
63,7/9/21 0:25,16.73,YF,FN,S_FNS_H1,40,Herbivore
64,7/9/21 1:25,16.99,YF,FN,S_FNS_H1,40,Herbivore
65,7/9/21 2:25,17.33,YF,FN,S_FNS_H1,40,Herbivore
66,7/9/21 3:25,17.59,YF,FN,S_FNS_H1,40,Herbivore
67,7/9/21 4:25,17.67,YF,FN,S_FNS_H1,40,Herbivore
68,7/9/21 5:25,17.67,YF,FN,S_FNS_H1,40,Herbivore
69,7/9/21 6:25,17.93,YF,FN,S_FNS_H1,40,Herbivore
70,7/9/21 7:25,18.32,YF,FN,S_FNS_H1,40,Herbivore
71,7/9/21 8:25,18.44,YF,FN,S_FNS_H1,40,Herbivore
72,7/9/21 9:25,19,YF,FN,S_FNS_H1,40,Herbivore
73,7/9/21 10:25,18.79,YF,FN,S_FNS_H1,40,Herbivore
74,7/9/21 11:25,18.7,YF,FN,S_FNS_H1,40,Herbivore
75,7/9/21 12:25,18.79,YF,FN,S_FNS_H1,40,Herbivore
76,7/9/21 13:25,17.63,YF,FN,S_FNS_H1,40,Herbivore
77,7/9/21 14:25,21.79,YF,FN,S_FNS_H1,40,Herbivore
78,7/9/21 15:25,22.56,YF,FN,S_FNS_H1,40,Herbivore
79,7/9/21 16:25,27.11,YF,FN,S_FNS_H1,40,Herbivore
80,7/9/21 17:25,24.24,YF,FN,S_FNS_H1,40,Herbivore
81,7/9/21 18:25,23.16,YF,FN,S_FNS_H1,40,Herbivore
82,7/9/21 19:25,21.62,YF,FN,S_FNS_H1,40,Herbivore
83,7/9/21 20:25,20.03,YF,FN,S_FNS_H1,40,Herbivore
84,7/9/21 21:25,19.17,YF,FN,S_FNS_H1,40,Herbivore
85,7/9/21 22:25,18.14,YF,FN,S_FNS_H1,40,Herbivore
86,7/9/21 23:25,18.4,YF,FN,S_FNS_H1,40,Herbivore
87,7/10/21 0:25,18.19,YF,FN,S_FNS_H1,40,Herbivore
88,7/10/21 1:25,18.74,YF,FN,S_FNS_H1,40,Herbivore
89,7/10/21 2:25,18.57,YF,FN,S_FNS_H1,40,Herbivore
90,7/10/21 3:25,17.97,YF,FN,S_FNS_H1,40,Herbivore
91,7/10/21 4:25,19.17,YF,FN,S_FNS_H1,40,Herbivore
92,7/10/21 5:25,18.83,YF,FN,S_FNS_H1,40,Herbivore
93,7/10/21 6:25,18.44,YF,FN,S_FNS_H1,40,Herbivore
94,7/10/21 7:25,18.27,YF,FN,S_FNS_H1,40,Herbivore
95,7/10/21 8:25,19.56,YF,FN,S_FNS_H1,40,Herbivore
96,7/10/21 9:25,20.76,YF,FN,S_FNS_H1,40,Herbivore
97,7/10/21 10:25,20.72,YF,FN,S_FNS_H1,40,Herbivore
98,7/10/21 11:25,21.58,YF,FN,S_FNS_H1,40,Herbivore
99,7/10/21 12:25,26.3,YF,FN,S_FNS_H1,40,Herbivore
100,7/10/21 13:25,24.92,YF,FN,S_FNS_H1,40,Herbivore
101,7/10/21 14:25,25.01,YF,FN,S_FNS_H1,40,Herbivore
102,7/10/21 15:25,25.91,YF,FN,S_FNS_H1,40,Herbivore
103,7/10/21 16:25,22.56,YF,FN,S_FNS_H1,40,Herbivore
104,7/10/21 17:25,26.55,YF,FN,S_FNS_H1,40,Herbivore
105,7/10/21 18:25,22.65,YF,FN,S_FNS_H1,40,Herbivore
106,7/10/21 19:25,20.16,YF,FN,S_FNS_H1,40,Herbivore
107,7/10/21 20:25,17.03,YF,FN,S_FNS_H1,40,Herbivore
108,7/10/21 21:25,15.87,YF,FN,S_FNS_H1,40,Herbivore
109,7/10/21 22:25,14.97,YF,FN,S_FNS_H1,40,Herbivore
110,7/10/21 23:25,14.5,YF,FN,S_FNS_H1,40,Herbivore
111,7/11/21 0:25,15.87,YF,FN,S_FNS_H1,40,Herbivore
112,7/11/21 1:25,14.67,YF,FN,S_FNS_H1,40,Herbivore
113,7/11/21 2:25,15.78,YF,FN,S_FNS_H1,40,Herbivore
114,7/11/21 3:25,16.13,YF,FN,S_FNS_H1,40,Herbivore
115,7/11/21 4:25,17.76,YF,FN,S_FNS_H1,40,Herbivore
116,7/11/21 5:25,17.76,YF,FN,S_FNS_H1,40,Herbivore
117,7/11/21 6:25,18.62,YF,FN,S_FNS_H1,40,Herbivore
118,7/11/21 7:25,19.86,YF,FN,S_FNS_H1,40,Herbivore
119,7/11/21 8:25,20.63,YF,FN,S_FNS_H1,40,Herbivore
120,7/11/21 9:25,22.35,YF,FN,S_FNS_H1,40,Herbivore
121,7/11/21 10:25,24.97,YF,FN,S_FNS_H1,40,Herbivore
122,7/11/21 11:25,28.31,YF,FN,S_FNS_H1,40,Herbivore
123,7/11/21 12:25,26.81,YF,FN,S_FNS_H1,40,Herbivore
124,7/11/21 13:25,27.88,YF,FN,S_FNS_H1,40,Herbivore
125,7/11/21 14:25,26.17,YF,FN,S_FNS_H1,40,Herbivore
126,7/11/21 15:25,22.65,YF,FN,S_FNS_H1,40,Herbivore
127,7/11/21 16:25,22.52,YF,FN,S_FNS_H1,40,Herbivore
128,7/11/21 17:25,22.48,YF,FN,S_FNS_H1,40,Herbivore
129,7/11/21 18:25,21.58,YF,FN,S_FNS_H1,40,Herbivore
130,7/11/21 19:25,20.5,YF,FN,S_FNS_H1,40,Herbivore
131,7/11/21 20:25,19.65,YF,FN,S_FNS_H1,40,Herbivore
132,7/11/21 21:25,19.3,YF,FN,S_FNS_H1,40,Herbivore
133,7/11/21 22:25,19.05,YF,FN,S_FNS_H1,40,Herbivore
134,7/11/21 23:25,18.79,YF,FN,S_FNS_H1,40,Herbivore
135,7/12/21 0:25,18.66,YF,FN,S_FNS_H1,40,Herbivore
136,7/12/21 1:25,19.05,YF,FN,S_FNS_H1,40,Herbivore
137,7/12/21 2:25,19.09,YF,FN,S_FNS_H1,40,Herbivore
138,7/12/21 3:25,19.09,YF,FN,S_FNS_H1,40,Herbivore
139,7/12/21 4:25,19.05,YF,FN,S_FNS_H1,40,Herbivore
140,7/12/21 5:25,19.09,YF,FN,S_FNS_H1,40,Herbivore
141,7/12/21 6:25,19.35,YF,FN,S_FNS_H1,40,Herbivore
142,7/12/21 7:25,19.77,YF,FN,S_FNS_H1,40,Herbivore
143,7/12/21 8:25,19.69,YF,FN,S_FNS_H1,40,Herbivore
144,7/12/21 9:25,18.02,YF,FN,S_FNS_H1,40,Herbivore
145,7/12/21 10:25,18.27,YF,FN,S_FNS_H1,40,Herbivore
146,7/12/21 11:25,19.47,YF,FN,S_FNS_H1,40,Herbivore
147,7/12/21 12:25,19.3,YF,FN,S_FNS_H1,40,Herbivore
148,7/12/21 13:25,20.03,YF,FN,S_FNS_H1,40,Herbivore
149,7/12/21 14:25,21.32,YF,FN,S_FNS_H1,40,Herbivore
150,7/12/21 15:25,20.89,YF,FN,S_FNS_H1,40,Herbivore
151,7/12/21 16:25,19.65,YF,FN,S_FNS_H1,40,Herbivore
152,7/12/21 17:25,19.17,YF,FN,S_FNS_H1,40,Herbivore
153,7/12/21 18:25,18.66,YF,FN,S_FNS_H1,40,Herbivore
154,7/12/21 19:25,18.32,YF,FN,S_FNS_H1,40,Herbivore
155,7/12/21 20:25,17.89,YF,FN,S_FNS_H1,40,Herbivore
156,7/12/21 21:25,17.63,YF,FN,S_FNS_H1,40,Herbivore
157,7/12/21 22:25,17.37,YF,FN,S_FNS_H1,40,Herbivore
158,7/12/21 23:25,17.24,YF,FN,S_FNS_H1,40,Herbivore
159,7/13/21 0:25,17.16,YF,FN,S_FNS_H1,40,Herbivore
160,7/13/21 1:25,16.99,YF,FN,S_FNS_H1,40,Herbivore
161,7/13/21 2:25,16.81,YF,FN,S_FNS_H1,40,Herbivore
162,7/13/21 3:25,16.51,YF,FN,S_FNS_H1,40,Herbivore
163,7/13/21 4:25,16.47,YF,FN,S_FNS_H1,40,Herbivore
164,7/13/21 5:25,16.43,YF,FN,S_FNS_H1,40,Herbivore
165,7/13/21 6:25,16.6,YF,FN,S_FNS_H1,40,Herbivore
166,7/13/21 7:25,17.16,YF,FN,S_FNS_H1,40,Herbivore
167,7/13/21 8:25,17.8,YF,FN,S_FNS_H1,40,Herbivore
168,7/13/21 9:25,19.26,YF,FN,S_FNS_H1,40,Herbivore
169,7/13/21 10:25,19.6,YF,FN,S_FNS_H1,40,Herbivore
170,7/13/21 11:25,20.5,YF,FN,S_FNS_H1,40,Herbivore
171,7/13/21 12:25,20.16,YF,FN,S_FNS_H1,40,Herbivore
172,7/13/21 13:25,20.76,YF,FN,S_FNS_H1,40,Herbivore
173,7/13/21 14:25,21.02,YF,FN,S_FNS_H1,40,Herbivore
174,7/13/21 15:25,20.8,YF,FN,S_FNS_H1,40,Herbivore
175,7/13/21 16:25,20.55,YF,FN,S_FNS_H1,40,Herbivore
176,7/13/21 17:25,20.29,YF,FN,S_FNS_H1,40,Herbivore
177,7/13/21 18:25,19.77,YF,FN,S_FNS_H1,40,Herbivore
178,7/13/21 19:25,19.22,YF,FN,S_FNS_H1,40,Herbivore
179,7/13/21 20:25,18.79,YF,FN,S_FNS_H1,40,Herbivore
180,7/13/21 21:25,18.7,YF,FN,S_FNS_H1,40,Herbivore
181,7/13/21 22:25,18.57,YF,FN,S_FNS_H1,40,Herbivore
182,7/13/21 23:25,18.49,YF,FN,S_FNS_H1,40,Herbivore
183,7/14/21 0:25,18.44,YF,FN,S_FNS_H1,40,Herbivore
184,7/14/21 1:25,18.4,YF,FN,S_FNS_H1,40,Herbivore
185,7/14/21 2:25,18.32,YF,FN,S_FNS_H1,40,Herbivore
186,7/14/21 3:25,18.32,YF,FN,S_FNS_H1,40,Herbivore
187,7/14/21 4:25,18.27,YF,FN,S_FNS_H1,40,Herbivore
