"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/11/2021 15:59:17",25.27,"YF","FN","S_FNS_P1_40",40,"Predator"
"2",2,"07/11/2021 16:59:17",24.62,"YF","FN","S_FNS_P1_40",40,"Predator"
"3",3,"07/11/2021 17:59:17",22.91,"YF","FN","S_FNS_P1_40",40,"Predator"
"4",4,"07/11/2021 18:59:17",21.4,"YF","FN","S_FNS_P1_40",40,"Predator"
"5",5,"07/11/2021 19:59:17",20.16,"YF","FN","S_FNS_P1_40",40,"Predator"
"6",6,"07/11/2021 20:59:17",19.43,"YF","FN","S_FNS_P1_40",40,"Predator"
"7",7,"07/11/2021 21:59:17",19.39,"YF","FN","S_FNS_P1_40",40,"Predator"
"8",8,"07/11/2021 22:59:17",18.74,"YF","FN","S_FNS_P1_40",40,"Predator"
"9",9,"07/11/2021 23:59:17",18.57,"YF","FN","S_FNS_P1_40",40,"Predator"
"10",10,"07/12/2021 00:59:17",19.05,"YF","FN","S_FNS_P1_40",40,"Predator"
"11",11,"07/12/2021 01:59:17",19.3,"YF","FN","S_FNS_P1_40",40,"Predator"
"12",12,"07/12/2021 02:59:17",19.26,"YF","FN","S_FNS_P1_40",40,"Predator"
"13",13,"07/12/2021 03:59:17",19.17,"YF","FN","S_FNS_P1_40",40,"Predator"
"14",14,"07/12/2021 04:59:17",19.17,"YF","FN","S_FNS_P1_40",40,"Predator"
"15",15,"07/12/2021 05:59:17",19.26,"YF","FN","S_FNS_P1_40",40,"Predator"
"16",16,"07/12/2021 06:59:17",19.69,"YF","FN","S_FNS_P1_40",40,"Predator"
"17",17,"07/12/2021 07:59:17",19.82,"YF","FN","S_FNS_P1_40",40,"Predator"
"18",18,"07/12/2021 08:59:17",19,"YF","FN","S_FNS_P1_40",40,"Predator"
"19",19,"07/12/2021 09:59:17",18.27,"YF","FN","S_FNS_P1_40",40,"Predator"
"20",20,"07/12/2021 10:59:17",19.52,"YF","FN","S_FNS_P1_40",40,"Predator"
"21",21,"07/12/2021 11:59:17",19.82,"YF","FN","S_FNS_P1_40",40,"Predator"
"22",22,"07/12/2021 12:59:17",19.99,"YF","FN","S_FNS_P1_40",40,"Predator"
"23",23,"07/12/2021 13:59:17",21.28,"YF","FN","S_FNS_P1_40",40,"Predator"
"24",24,"07/12/2021 14:59:17",21.79,"YF","FN","S_FNS_P1_40",40,"Predator"
"25",25,"07/12/2021 15:59:17",20.8,"YF","FN","S_FNS_P1_40",40,"Predator"
"26",26,"07/12/2021 16:59:17",19.9,"YF","FN","S_FNS_P1_40",40,"Predator"
"27",27,"07/12/2021 17:59:17",19.47,"YF","FN","S_FNS_P1_40",40,"Predator"
"28",28,"07/12/2021 18:59:17",18.74,"YF","FN","S_FNS_P1_40",40,"Predator"
