Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021-07-03 12:16:09,19.60,HF,HF,S_HFH_P1,20,Predator
2,2021-07-03 13:16:09,17.16,HF,HF,S_HFH_P1,20,Predator
3,2021-07-03 14:16:09,19.82,HF,HF,S_HFH_P1,20,Predator
4,2021-07-03 15:16:09,20.37,HF,HF,S_HFH_P1,20,Predator
5,2021-07-03 16:16:09,20.20,HF,HF,S_HFH_P1,20,Predator
6,2021-07-03 17:16:09,19.52,HF,HF,S_HFH_P1,20,Predator
7,2021-07-03 18:16:09,13.04,HF,HF,S_HFH_P1,20,Predator
8,2021-07-03 19:16:09,12.22,HF,HF,S_HFH_P1,20,Predator
9,2021-07-03 20:16:09,11.88,HF,HF,S_HFH_P1,20,Predator
10,2021-07-03 21:16:09,12.01,HF,HF,S_HFH_P1,20,Predator
11,2021-07-03 22:16:09,11.84,HF,HF,S_HFH_P1,20,Predator
12,2021-07-03 23:16:09,11.54,HF,HF,S_HFH_P1,20,Predator
13,2021-07-04 0:16:09,11.45,HF,HF,S_HFH_P1,20,Predator
14,2021-07-04 1:16:09,11.28,HF,HF,S_HFH_P1,20,Predator
15,2021-07-04 2:16:09,11.19,HF,HF,S_HFH_P1,20,Predator
16,2021-07-04 3:16:09,11.07,HF,HF,S_HFH_P1,20,Predator
17,2021-07-04 4:16:09,11.11,HF,HF,S_HFH_P1,20,Predator
18,2021-07-04 5:16:09,11.37,HF,HF,S_HFH_P1,20,Predator
19,2021-07-04 6:16:09,11.71,HF,HF,S_HFH_P1,20,Predator
20,2021-07-04 7:16:09,13.12,HF,HF,S_HFH_P1,20,Predator
21,2021-07-04 8:16:09,15.06,HF,HF,S_HFH_P1,20,Predator
22,2021-07-04 9:16:09,15.57,HF,HF,S_HFH_P1,20,Predator
23,2021-07-04 10:16:09,16.43,HF,HF,S_HFH_P1,20,Predator
24,2021-07-04 11:16:09,19.43,HF,HF,S_HFH_P1,20,Predator
25,2021-07-04 12:16:09,16.51,HF,HF,S_HFH_P1,20,Predator
26,2021-07-04 13:16:09,18.44,HF,HF,S_HFH_P1,20,Predator
27,2021-07-04 14:16:09,21.15,HF,HF,S_HFH_P1,20,Predator
28,2021-07-04 15:16:09,20.37,HF,HF,S_HFH_P1,20,Predator
29,2021-07-04 16:16:09,21.58,HF,HF,S_HFH_P1,20,Predator
30,2021-07-04 17:16:09,21.75,HF,HF,S_HFH_P1,20,Predator
31,2021-07-04 18:16:09,18.83,HF,HF,S_HFH_P1,20,Predator
32,2021-07-04 19:16:09,18.10,HF,HF,S_HFH_P1,20,Predator
33,2021-07-04 20:16:09,16.69,HF,HF,S_HFH_P1,20,Predator
34,2021-07-04 21:16:09,12.27,HF,HF,S_HFH_P1,20,Predator
35,2021-07-04 22:16:09,11.97,HF,HF,S_HFH_P1,20,Predator
36,2021-07-04 23:16:09,14.07,HF,HF,S_HFH_P1,20,Predator
37,2021-07-05 0:16:09,14.20,HF,HF,S_HFH_P1,20,Predator
38,2021-07-05 1:16:09,13.08,HF,HF,S_HFH_P1,20,Predator
39,2021-07-05 2:16:09,11.41,HF,HF,S_HFH_P1,20,Predator
40,2021-07-05 3:16:09,11.41,HF,HF,S_HFH_P1,20,Predator
41,2021-07-05 4:16:09,10.94,HF,HF,S_HFH_P1,20,Predator
42,2021-07-05 5:16:09,10.77,HF,HF,S_HFH_P1,20,Predator
43,2021-07-05 6:16:09,11.02,HF,HF,S_HFH_P1,20,Predator
44,2021-07-05 7:16:09,12.57,HF,HF,S_HFH_P1,20,Predator
45,2021-07-05 8:16:09,17.97,HF,HF,S_HFH_P1,20,Predator
46,2021-07-05 9:16:09,22.31,HF,HF,S_HFH_P1,20,Predator
47,2021-07-05 10:16:09,24.11,HF,HF,S_HFH_P1,20,Predator
48,2021-07-05 11:16:09,23.85,HF,HF,S_HFH_P1,20,Predator
49,2021-07-05 12:16:09,24.02,HF,HF,S_HFH_P1,20,Predator
50,2021-07-05 13:16:09,23.59,HF,HF,S_HFH_P1,20,Predator
51,2021-07-05 14:16:09,23.25,HF,HF,S_HFH_P1,20,Predator
52,2021-07-05 15:16:09,24.02,HF,HF,S_HFH_P1,20,Predator
53,2021-07-05 16:16:09,25.01,HF,HF,S_HFH_P1,20,Predator
54,2021-07-05 17:16:09,24.36,HF,HF,S_HFH_P1,20,Predator
55,2021-07-05 18:16:09,23.55,HF,HF,S_HFH_P1,20,Predator
56,2021-07-05 19:16:09,21.02,HF,HF,S_HFH_P1,20,Predator
57,2021-07-05 20:16:09,19.65,HF,HF,S_HFH_P1,20,Predator
58,2021-07-05 21:16:09,19.47,HF,HF,S_HFH_P1,20,Predator
59,2021-07-05 22:16:09,19.22,HF,HF,S_HFH_P1,20,Predator
60,2021-07-05 23:16:09,18.79,HF,HF,S_HFH_P1,20,Predator
61,2021-07-06 0:16:09,17.93,HF,HF,S_HFH_P1,20,Predator
62,2021-07-06 1:16:09,17.76,HF,HF,S_HFH_P1,20,Predator
63,2021-07-06 2:16:09,17.67,HF,HF,S_HFH_P1,20,Predator
64,2021-07-06 3:16:09,17.76,HF,HF,S_HFH_P1,20,Predator
65,2021-07-06 4:16:09,17.63,HF,HF,S_HFH_P1,20,Predator
66,2021-07-06 5:16:09,17.80,HF,HF,S_HFH_P1,20,Predator
67,2021-07-06 6:16:09,18.23,HF,HF,S_HFH_P1,20,Predator
68,2021-07-06 7:16:09,19.47,HF,HF,S_HFH_P1,20,Predator
69,2021-07-06 8:16:09,19.99,HF,HF,S_HFH_P1,20,Predator
70,2021-07-06 9:16:09,20.25,HF,HF,S_HFH_P1,20,Predator
71,2021-07-06 10:16:09,21.06,HF,HF,S_HFH_P1,20,Predator
72,2021-07-06 11:16:09,23.42,HF,HF,S_HFH_P1,20,Predator
73,2021-07-06 12:16:09,27.45,HF,HF,S_HFH_P1,20,Predator
74,2021-07-06 13:16:09,29.64,HF,HF,S_HFH_P1,20,Predator
75,2021-07-06 14:16:09,30.03,HF,HF,S_HFH_P1,20,Predator
76,2021-07-06 15:16:09,29.90,HF,HF,S_HFH_P1,20,Predator
77,2021-07-06 16:16:09,21.49,HF,HF,S_HFH_P1,20,Predator
78,2021-07-06 17:16:09,20.76,HF,HF,S_HFH_P1,20,Predator
79,2021-07-06 18:16:09,20.85,HF,HF,S_HFH_P1,20,Predator
80,2021-07-06 19:16:09,20.89,HF,HF,S_HFH_P1,20,Predator
81,2021-07-06 20:16:09,19.86,HF,HF,S_HFH_P1,20,Predator
82,2021-07-06 21:16:09,18.92,HF,HF,S_HFH_P1,20,Predator
83,2021-07-06 22:16:09,19.13,HF,HF,S_HFH_P1,20,Predator
84,2021-07-06 23:16:09,19.09,HF,HF,S_HFH_P1,20,Predator
85,2021-07-07 0:16:09,18.92,HF,HF,S_HFH_P1,20,Predator
