Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021-07-03 12:41:05,20.20,HF,HF,S_HFH_V1,40,Veg
2,2021-07-03 13:41:05,18.62,HF,HF,S_HFH_V1,40,Veg
3,2021-07-03 14:41:05,21.02,HF,HF,S_HFH_V1,40,Veg
4,2021-07-03 15:41:05,20.80,HF,HF,S_HFH_V1,40,Veg
5,2021-07-03 16:41:05,20.63,HF,HF,S_HFH_V1,40,Veg
6,2021-07-03 17:41:05,21.15,HF,HF,S_HFH_V1,40,Veg
7,2021-07-03 18:41:05,12.48,HF,HF,S_HFH_V1,40,Veg
8,2021-07-03 19:41:05,12.14,HF,HF,S_HFH_V1,40,Veg
9,2021-07-03 20:41:05,11.84,HF,HF,S_HFH_V1,40,Veg
10,2021-07-03 21:41:05,12.01,HF,HF,S_HFH_V1,40,Veg
11,2021-07-03 22:41:05,11.75,HF,HF,S_HFH_V1,40,Veg
12,2021-07-03 23:41:05,11.54,HF,HF,S_HFH_V1,40,Veg
13,2021-07-04 0:41:05,11.41,HF,HF,S_HFH_V1,40,Veg
14,2021-07-04 1:41:05,11.28,HF,HF,S_HFH_V1,40,Veg
15,2021-07-04 2:41:05,11.15,HF,HF,S_HFH_V1,40,Veg
16,2021-07-04 3:41:05,11.07,HF,HF,S_HFH_V1,40,Veg
17,2021-07-04 4:41:05,11.19,HF,HF,S_HFH_V1,40,Veg
18,2021-07-04 5:41:05,11.28,HF,HF,S_HFH_V1,40,Veg
19,2021-07-04 6:41:05,11.79,HF,HF,S_HFH_V1,40,Veg
20,2021-07-04 7:41:05,13.77,HF,HF,S_HFH_V1,40,Veg
21,2021-07-04 8:41:05,14.28,HF,HF,S_HFH_V1,40,Veg
22,2021-07-04 9:41:05,15.06,HF,HF,S_HFH_V1,40,Veg
23,2021-07-04 10:41:05,15.36,HF,HF,S_HFH_V1,40,Veg
24,2021-07-04 11:41:05,17.63,HF,HF,S_HFH_V1,40,Veg
25,2021-07-04 12:41:05,16.73,HF,HF,S_HFH_V1,40,Veg
26,2021-07-04 13:41:05,19.60,HF,HF,S_HFH_V1,40,Veg
27,2021-07-04 14:41:05,21.83,HF,HF,S_HFH_V1,40,Veg
28,2021-07-04 15:41:05,22.05,HF,HF,S_HFH_V1,40,Veg
29,2021-07-04 16:41:05,23.03,HF,HF,S_HFH_V1,40,Veg
30,2021-07-04 17:41:05,20.85,HF,HF,S_HFH_V1,40,Veg
31,2021-07-04 18:41:05,21.96,HF,HF,S_HFH_V1,40,Veg
32,2021-07-04 19:41:05,19.95,HF,HF,S_HFH_V1,40,Veg
33,2021-07-04 20:41:05,14.28,HF,HF,S_HFH_V1,40,Veg
34,2021-07-04 21:41:05,12.70,HF,HF,S_HFH_V1,40,Veg
35,2021-07-04 22:41:05,12.52,HF,HF,S_HFH_V1,40,Veg
36,2021-07-04 23:41:05,14.71,HF,HF,S_HFH_V1,40,Veg
37,2021-07-05 0:41:05,13.68,HF,HF,S_HFH_V1,40,Veg
38,2021-07-05 1:41:05,12.74,HF,HF,S_HFH_V1,40,Veg
39,2021-07-05 2:41:05,11.19,HF,HF,S_HFH_V1,40,Veg
40,2021-07-05 3:41:05,10.68,HF,HF,S_HFH_V1,40,Veg
41,2021-07-05 4:41:05,10.68,HF,HF,S_HFH_V1,40,Veg
42,2021-07-05 5:41:05,10.89,HF,HF,S_HFH_V1,40,Veg
43,2021-07-05 6:41:05,10.85,HF,HF,S_HFH_V1,40,Veg
44,2021-07-05 7:41:05,16.08,HF,HF,S_HFH_V1,40,Veg
45,2021-07-05 8:41:05,18.62,HF,HF,S_HFH_V1,40,Veg
46,2021-07-05 9:41:05,20.93,HF,HF,S_HFH_V1,40,Veg
47,2021-07-05 10:41:05,23.08,HF,HF,S_HFH_V1,40,Veg
48,2021-07-05 11:41:05,23.25,HF,HF,S_HFH_V1,40,Veg
49,2021-07-05 12:41:05,22.48,HF,HF,S_HFH_V1,40,Veg
50,2021-07-05 13:41:05,21.49,HF,HF,S_HFH_V1,40,Veg
51,2021-07-05 14:41:05,22.18,HF,HF,S_HFH_V1,40,Veg
52,2021-07-05 15:41:05,23.08,HF,HF,S_HFH_V1,40,Veg
53,2021-07-05 16:41:05,27.02,HF,HF,S_HFH_V1,40,Veg
54,2021-07-05 17:41:05,27.84,HF,HF,S_HFH_V1,40,Veg
55,2021-07-05 18:41:05,25.31,HF,HF,S_HFH_V1,40,Veg
56,2021-07-05 19:41:05,20.59,HF,HF,S_HFH_V1,40,Veg
57,2021-07-05 20:41:05,19.65,HF,HF,S_HFH_V1,40,Veg
58,2021-07-05 21:41:05,19.43,HF,HF,S_HFH_V1,40,Veg
59,2021-07-05 22:41:05,19.09,HF,HF,S_HFH_V1,40,Veg
60,2021-07-05 23:41:05,18.53,HF,HF,S_HFH_V1,40,Veg
61,2021-07-06 0:41:05,17.89,HF,HF,S_HFH_V1,40,Veg
62,2021-07-06 1:41:05,17.72,HF,HF,S_HFH_V1,40,Veg
63,2021-07-06 2:41:05,18.10,HF,HF,S_HFH_V1,40,Veg
64,2021-07-06 3:41:05,17.76,HF,HF,S_HFH_V1,40,Veg
65,2021-07-06 4:41:05,17.89,HF,HF,S_HFH_V1,40,Veg
66,2021-07-06 5:41:05,18.14,HF,HF,S_HFH_V1,40,Veg
67,2021-07-06 6:41:05,18.74,HF,HF,S_HFH_V1,40,Veg
68,2021-07-06 7:41:05,19.39,HF,HF,S_HFH_V1,40,Veg
69,2021-07-06 8:41:05,20.25,HF,HF,S_HFH_V1,40,Veg
70,2021-07-06 9:41:05,20.72,HF,HF,S_HFH_V1,40,Veg
71,2021-07-06 10:41:05,21.23,HF,HF,S_HFH_V1,40,Veg
72,2021-07-06 11:41:05,25.05,HF,HF,S_HFH_V1,40,Veg
73,2021-07-06 12:41:05,27.97,HF,HF,S_HFH_V1,40,Veg
74,2021-07-06 13:41:05,29.56,HF,HF,S_HFH_V1,40,Veg
75,2021-07-06 14:41:05,30.71,HF,HF,S_HFH_V1,40,Veg
76,2021-07-06 15:41:05,31.23,HF,HF,S_HFH_V1,40,Veg
77,2021-07-06 16:41:05,20.33,HF,HF,S_HFH_V1,40,Veg
78,2021-07-06 17:41:05,21.15,HF,HF,S_HFH_V1,40,Veg
79,2021-07-06 18:41:05,20.72,HF,HF,S_HFH_V1,40,Veg
80,2021-07-06 19:41:05,21.06,HF,HF,S_HFH_V1,40,Veg
81,2021-07-06 20:41:05,19.56,HF,HF,S_HFH_V1,40,Veg
82,2021-07-06 21:41:05,19.13,HF,HF,S_HFH_V1,40,Veg
83,2021-07-06 22:41:05,19.35,HF,HF,S_HFH_V1,40,Veg
84,2021-07-06 23:41:05,19.04,HF,HF,S_HFH_V1,40,Veg
85,2021-07-07 0:41:05,18.87,HF,HF,S_HFH_V1,40,Veg
86,2021-07-07 1:41:05,19.00,HF,HF,S_HFH_V1,40,Veg
87,2021-07-07 2:41:05,19.09,HF,HF,S_HFH_V1,40,Veg
88,2021-07-07 3:41:05,18.74,HF,HF,S_HFH_V1,40,Veg
89,2021-07-07 4:41:05,18.62,HF,HF,S_HFH_V1,40,Veg
90,2021-07-07 5:41:05,18.27,HF,HF,S_HFH_V1,40,Veg
91,2021-07-07 6:41:05,19.30,HF,HF,S_HFH_V1,40,Veg
92,2021-07-07 7:41:05,20.93,HF,HF,S_HFH_V1,40,Veg
93,2021-07-07 8:41:05,23.08,HF,HF,S_HFH_V1,40,Veg
94,2021-07-07 9:41:05,24.32,HF,HF,S_HFH_V1,40,Veg
95,2021-07-07 10:41:05,26.25,HF,HF,S_HFH_V1,40,Veg
96,2021-07-07 11:41:05,27.67,HF,HF,S_HFH_V1,40,Veg
97,2021-07-07 12:41:05,29.04,HF,HF,S_HFH_V1,40,Veg
98,2021-07-07 13:41:05,30.28,HF,HF,S_HFH_V1,40,Veg
99,2021-07-07 14:41:05,32.22,HF,HF,S_HFH_V1,40,Veg
100,2021-07-07 15:41:05,32.47,HF,HF,S_HFH_V1,40,Veg
101,2021-07-07 16:41:05,31.74,HF,HF,S_HFH_V1,40,Veg
102,2021-07-07 17:41:05,24.92,HF,HF,S_HFH_V1,40,Veg
103,2021-07-07 18:41:05,23.25,HF,HF,S_HFH_V1,40,Veg
104,2021-07-07 19:41:05,22.48,HF,HF,S_HFH_V1,40,Veg
105,2021-07-07 20:41:05,20.16,HF,HF,S_HFH_V1,40,Veg
106,2021-07-07 21:41:05,18.87,HF,HF,S_HFH_V1,40,Veg
107,2021-07-07 22:41:05,18.36,HF,HF,S_HFH_V1,40,Veg
108,2021-07-07 23:41:05,18.10,HF,HF,S_HFH_V1,40,Veg
109,2021-07-08 0:41:05,17.54,HF,HF,S_HFH_V1,40,Veg
110,2021-07-08 1:41:05,18.23,HF,HF,S_HFH_V1,40,Veg
111,2021-07-08 2:41:05,18.32,HF,HF,S_HFH_V1,40,Veg
112,2021-07-08 3:41:05,17.84,HF,HF,S_HFH_V1,40,Veg
113,2021-07-08 4:41:05,17.67,HF,HF,S_HFH_V1,40,Veg
114,2021-07-08 5:41:05,16.04,HF,HF,S_HFH_V1,40,Veg
115,2021-07-08 6:41:05,15.48,HF,HF,S_HFH_V1,40,Veg
116,2021-07-08 7:41:05,16.21,HF,HF,S_HFH_V1,40,Veg
117,2021-07-08 8:41:05,16.60,HF,HF,S_HFH_V1,40,Veg
118,2021-07-08 9:41:05,18.74,HF,HF,S_HFH_V1,40,Veg
119,2021-07-08 10:41:05,17.24,HF,HF,S_HFH_V1,40,Veg
120,2021-07-08 11:41:05,18.06,HF,HF,S_HFH_V1,40,Veg
121,2021-07-08 12:41:05,19.60,HF,HF,S_HFH_V1,40,Veg
122,2021-07-08 13:41:05,17.80,HF,HF,S_HFH_V1,40,Veg
123,2021-07-08 14:41:05,17.07,HF,HF,S_HFH_V1,40,Veg
124,2021-07-08 15:41:05,16.94,HF,HF,S_HFH_V1,40,Veg
125,2021-07-08 16:41:05,15.91,HF,HF,S_HFH_V1,40,Veg
126,2021-07-08 17:41:05,16.64,HF,HF,S_HFH_V1,40,Veg
127,2021-07-08 18:41:05,15.96,HF,HF,S_HFH_V1,40,Veg
128,2021-07-08 19:41:05,15.57,HF,HF,S_HFH_V1,40,Veg
129,2021-07-08 20:41:05,15.40,HF,HF,S_HFH_V1,40,Veg
130,2021-07-08 21:41:05,15.44,HF,HF,S_HFH_V1,40,Veg
131,2021-07-08 22:41:05,15.40,HF,HF,S_HFH_V1,40,Veg
132,2021-07-08 23:41:05,15.27,HF,HF,S_HFH_V1,40,Veg
133,2021-07-09 0:41:05,15.36,HF,HF,S_HFH_V1,40,Veg
134,2021-07-09 1:41:05,15.74,HF,HF,S_HFH_V1,40,Veg
135,2021-07-09 2:41:05,15.96,HF,HF,S_HFH_V1,40,Veg
136,2021-07-09 3:41:05,16.21,HF,HF,S_HFH_V1,40,Veg
137,2021-07-09 4:41:05,16.86,HF,HF,S_HFH_V1,40,Veg
138,2021-07-09 5:41:05,17.24,HF,HF,S_HFH_V1,40,Veg
139,2021-07-09 6:41:05,17.50,HF,HF,S_HFH_V1,40,Veg
140,2021-07-09 7:41:05,17.41,HF,HF,S_HFH_V1,40,Veg
141,2021-07-09 8:41:05,16.90,HF,HF,S_HFH_V1,40,Veg
142,2021-07-09 9:41:05,16.51,HF,HF,S_HFH_V1,40,Veg
143,2021-07-09 10:41:05,16.64,HF,HF,S_HFH_V1,40,Veg
144,2021-07-09 11:41:05,16.99,HF,HF,S_HFH_V1,40,Veg
145,2021-07-09 12:41:05,17.37,HF,HF,S_HFH_V1,40,Veg
146,2021-07-09 13:41:05,17.72,HF,HF,S_HFH_V1,40,Veg
147,2021-07-09 14:41:05,20.80,HF,HF,S_HFH_V1,40,Veg
148,2021-07-09 15:41:05,21.02,HF,HF,S_HFH_V1,40,Veg
149,2021-07-09 16:41:05,21.92,HF,HF,S_HFH_V1,40,Veg
150,2021-07-09 17:41:05,26.85,HF,HF,S_HFH_V1,40,Veg
151,2021-07-09 18:41:05,28.87,HF,HF,S_HFH_V1,40,Veg
152,2021-07-09 19:41:05,22.31,HF,HF,S_HFH_V1,40,Veg
153,2021-07-09 20:41:05,19.17,HF,HF,S_HFH_V1,40,Veg
154,2021-07-09 21:41:05,19.43,HF,HF,S_HFH_V1,40,Veg
155,2021-07-09 22:41:05,20.33,HF,HF,S_HFH_V1,40,Veg
156,2021-07-09 23:41:05,19.56,HF,HF,S_HFH_V1,40,Veg
157,2021-07-10 0:41:05,19.65,HF,HF,S_HFH_V1,40,Veg
158,2021-07-10 1:41:05,18.96,HF,HF,S_HFH_V1,40,Veg
159,2021-07-10 2:41:05,17.72,HF,HF,S_HFH_V1,40,Veg
160,2021-07-10 3:41:05,16.99,HF,HF,S_HFH_V1,40,Veg
161,2021-07-10 4:41:05,16.51,HF,HF,S_HFH_V1,40,Veg
162,2021-07-10 5:41:05,15.74,HF,HF,S_HFH_V1,40,Veg
163,2021-07-10 6:41:05,15.78,HF,HF,S_HFH_V1,40,Veg
164,2021-07-10 7:41:05,16.56,HF,HF,S_HFH_V1,40,Veg
165,2021-07-10 8:41:05,15.78,HF,HF,S_HFH_V1,40,Veg
166,2021-07-10 9:41:05,16.47,HF,HF,S_HFH_V1,40,Veg
167,2021-07-10 10:41:05,18.87,HF,HF,S_HFH_V1,40,Veg
168,2021-07-10 11:41:05,20.37,HF,HF,S_HFH_V1,40,Veg
169,2021-07-10 12:41:05,22.01,HF,HF,S_HFH_V1,40,Veg
170,2021-07-10 13:41:05,22.13,HF,HF,S_HFH_V1,40,Veg
171,2021-07-10 14:41:05,23.94,HF,HF,S_HFH_V1,40,Veg
172,2021-07-10 15:41:05,24.36,HF,HF,S_HFH_V1,40,Veg
173,2021-07-10 16:41:05,27.75,HF,HF,S_HFH_V1,40,Veg
174,2021-07-10 17:41:05,26.47,HF,HF,S_HFH_V1,40,Veg
175,2021-07-10 18:41:05,31.92,HF,HF,S_HFH_V1,40,Veg
176,2021-07-10 19:41:05,24.92,HF,HF,S_HFH_V1,40,Veg
177,2021-07-10 20:41:05,16.51,HF,HF,S_HFH_V1,40,Veg
178,2021-07-10 21:41:05,13.77,HF,HF,S_HFH_V1,40,Veg
179,2021-07-10 22:41:05,12.70,HF,HF,S_HFH_V1,40,Veg
180,2021-07-10 23:41:05,12.82,HF,HF,S_HFH_V1,40,Veg
181,2021-07-11 0:41:05,12.65,HF,HF,S_HFH_V1,40,Veg
182,2021-07-11 1:41:05,12.70,HF,HF,S_HFH_V1,40,Veg
183,2021-07-11 2:41:05,14.11,HF,HF,S_HFH_V1,40,Veg
184,2021-07-11 3:41:05,13.38,HF,HF,S_HFH_V1,40,Veg
185,2021-07-11 4:41:05,13.94,HF,HF,S_HFH_V1,40,Veg
186,2021-07-11 5:41:05,16.90,HF,HF,S_HFH_V1,40,Veg
187,2021-07-11 6:41:05,18.27,HF,HF,S_HFH_V1,40,Veg
188,2021-07-11 7:41:05,19.00,HF,HF,S_HFH_V1,40,Veg
189,2021-07-11 8:41:05,19.52,HF,HF,S_HFH_V1,40,Veg
190,2021-07-11 9:41:05,20.46,HF,HF,S_HFH_V1,40,Veg
191,2021-07-11 10:41:05,21.96,HF,HF,S_HFH_V1,40,Veg
192,2021-07-11 11:41:05,25.35,HF,HF,S_HFH_V1,40,Veg
193,2021-07-11 12:41:05,26.64,HF,HF,S_HFH_V1,40,Veg
194,2021-07-11 13:41:05,24.06,HF,HF,S_HFH_V1,40,Veg
195,2021-07-11 14:41:05,23.46,HF,HF,S_HFH_V1,40,Veg
196,2021-07-11 15:41:05,21.79,HF,HF,S_HFH_V1,40,Veg
197,2021-07-11 16:41:05,22.09,HF,HF,S_HFH_V1,40,Veg
198,2021-07-11 17:41:05,20.07,HF,HF,S_HFH_V1,40,Veg
199,2021-07-11 18:41:05,18.36,HF,HF,S_HFH_V1,40,Veg
