Event,Date_Time,,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021-07-29 9:37:49,75.24,24.02,UP,HF,S_HFN_H1,20,Herbivore
2,2021-07-29 10:37:49,72.92,22.73,UP,HF,S_HFN_H1,20,Herbivore
3,2021-07-29 11:37:49,72.77,22.65,UP,HF,S_HFN_H1,20,Herbivore
4,2021-07-29 12:37:49,72.77,22.65,UP,HF,S_HFN_H1,20,Herbivore
5,2021-07-29 13:37:49,73.08,22.82,UP,HF,S_HFN_H1,20,Herbivore
6,2021-07-29 14:37:49,72.69,22.61,UP,HF,S_HFN_H1,20,Herbivore
7,2021-07-29 15:37:49,72.69,22.61,UP,HF,S_HFN_H1,20,Herbivore
8,2021-07-29 16:37:49,72.61,22.56,UP,HF,S_HFN_H1,20,Herbivore
9,2021-07-29 17:37:49,72.92,22.73,UP,HF,S_HFN_H1,20,Herbivore
10,2021-07-29 18:37:49,73.08,22.82,UP,HF,S_HFN_H1,20,Herbivore
11,2021-07-29 19:37:49,73.31,22.95,UP,HF,S_HFN_H1,20,Herbivore
12,2021-07-29 20:37:49,72.69,22.61,UP,HF,S_HFN_H1,20,Herbivore
13,2021-07-29 21:37:49,73.31,22.95,UP,HF,S_HFN_H1,20,Herbivore
14,2021-07-29 22:37:49,72.92,22.73,UP,HF,S_HFN_H1,20,Herbivore
15,2021-07-29 23:37:49,73.23,22.91,UP,HF,S_HFN_H1,20,Herbivore
16,2021-07-30 0:37:49,73.39,22.99,UP,HF,S_HFN_H1,20,Herbivore
17,2021-07-30 1:37:49,73.46,23.03,UP,HF,S_HFN_H1,20,Herbivore
18,2021-07-30 2:37:49,73.46,23.03,UP,HF,S_HFN_H1,20,Herbivore
19,2021-07-30 3:37:49,73.54,23.08,UP,HF,S_HFN_H1,20,Herbivore
20,2021-07-30 4:37:49,73.54,23.08,UP,HF,S_HFN_H1,20,Herbivore
21,2021-07-30 5:37:49,73.54,23.08,UP,HF,S_HFN_H1,20,Herbivore
22,2021-07-30 6:37:49,73.54,23.08,UP,HF,S_HFN_H1,20,Herbivore
23,2021-07-30 7:37:49,73.46,23.03,UP,HF,S_HFN_H1,20,Herbivore
24,2021-07-30 8:37:49,73.69,23.16,UP,HF,S_HFN_H1,20,Herbivore
25,2021-07-30 9:37:49,73.54,23.08,UP,HF,S_HFN_H1,20,Herbivore
