Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/06/2021 11:09:56,44.61,UP,HF,HFN_P1,20,Predator
2,07/06/2021 12:09:56,29.26,UP,HF,HFN_P1,20,Predator
3,07/06/2021 13:09:56,31.53,UP,HF,HFN_P1,20,Predator
4,07/06/2021 14:09:56,33.16,UP,HF,HFN_P1,20,Predator
5,07/06/2021 15:09:56,33.89,UP,HF,HFN_P1,20,Predator
6,07/06/2021 16:09:56,35.26,UP,HF,HFN_P1,20,Predator
7,07/06/2021 17:09:56,34.19,UP,HF,HFN_P1,20,Predator
8,07/06/2021 18:09:56,30.97,UP,HF,HFN_P1,20,Predator
9,07/06/2021 19:09:56,28.65,UP,HF,HFN_P1,20,Predator
10,07/06/2021 20:09:56,26.81,UP,HF,HFN_P1,20,Predator
11,07/06/2021 21:09:56,23.68,UP,HF,HFN_P1,20,Predator
12,07/06/2021 22:09:56,22.91,UP,HF,HFN_P1,20,Predator
13,07/06/2021 23:09:56,22.52,UP,HF,HFN_P1,20,Predator
14,07/07/2021 00:09:56,19.77,UP,HF,HFN_P1,20,Predator
15,07/07/2021 01:09:56,18.74,UP,HF,HFN_P1,20,Predator
16,07/07/2021 02:09:56,19.26,UP,HF,HFN_P1,20,Predator
17,07/07/2021 03:09:56,18.53,UP,HF,HFN_P1,20,Predator
18,07/07/2021 04:09:56,18.7,UP,HF,HFN_P1,20,Predator
19,07/07/2021 05:09:56,18.44,UP,HF,HFN_P1,20,Predator
20,07/07/2021 06:09:56,17.89,UP,HF,HFN_P1,20,Predator
21,07/07/2021 07:09:56,18.83,UP,HF,HFN_P1,20,Predator
22,07/07/2021 08:09:56,20.59,UP,HF,HFN_P1,20,Predator
23,07/07/2021 09:09:56,24.36,UP,HF,HFN_P1,20,Predator
24,07/07/2021 10:09:56,22.05,UP,HF,HFN_P1,20,Predator
25,07/07/2021 11:09:56,20.07,UP,HF,HFN_P1,20,Predator
26,07/07/2021 12:09:56,19.6,UP,HF,HFN_P1,20,Predator
27,07/07/2021 13:09:56,21.32,UP,HF,HFN_P1,20,Predator
28,07/07/2021 14:09:56,20.46,UP,HF,HFN_P1,20,Predator
29,07/07/2021 15:09:56,18.32,UP,HF,HFN_P1,20,Predator
30,07/07/2021 16:09:56,17.8,UP,HF,HFN_P1,20,Predator
31,07/07/2021 17:09:56,18.74,UP,HF,HFN_P1,20,Predator
32,07/07/2021 18:09:56,21.32,UP,HF,HFN_P1,20,Predator
33,07/07/2021 19:09:56,19.47,UP,HF,HFN_P1,20,Predator
34,07/07/2021 20:09:56,19.77,UP,HF,HFN_P1,20,Predator
35,07/07/2021 21:09:56,14.28,UP,HF,HFN_P1,20,Predator
36,07/07/2021 22:09:56,13.55,UP,HF,HFN_P1,20,Predator
37,07/07/2021 23:09:56,13.38,UP,HF,HFN_P1,20,Predator
38,07/08/2021 00:09:56,12.87,UP,HF,HFN_P1,20,Predator
39,07/08/2021 01:09:56,12.65,UP,HF,HFN_P1,20,Predator
40,07/08/2021 02:09:56,13.25,UP,HF,HFN_P1,20,Predator
41,07/08/2021 03:09:56,13.43,UP,HF,HFN_P1,20,Predator
42,07/08/2021 04:09:56,13.77,UP,HF,HFN_P1,20,Predator
43,07/08/2021 05:09:56,14.07,UP,HF,HFN_P1,20,Predator
44,07/08/2021 06:09:56,14.75,UP,HF,HFN_P1,20,Predator
45,07/08/2021 07:09:56,15.83,UP,HF,HFN_P1,20,Predator
46,07/08/2021 08:09:56,16.43,UP,HF,HFN_P1,20,Predator
47,07/08/2021 09:09:56,18.23,UP,HF,HFN_P1,20,Predator
48,07/08/2021 10:09:56,21.19,UP,HF,HFN_P1,20,Predator
49,07/08/2021 11:09:56,23.29,UP,HF,HFN_P1,20,Predator
50,07/08/2021 12:09:56,23.46,UP,HF,HFN_P1,20,Predator
51,07/08/2021 13:09:56,21.53,UP,HF,HFN_P1,20,Predator
52,07/08/2021 14:09:56,21.83,UP,HF,HFN_P1,20,Predator
53,07/08/2021 15:09:56,22.05,UP,HF,HFN_P1,20,Predator
54,07/08/2021 16:09:56,22.82,UP,HF,HFN_P1,20,Predator
55,07/08/2021 17:09:56,21.53,UP,HF,HFN_P1,20,Predator
