Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/28 15:56:27,24.36,MC,MC,S_MCH_H1,60,Herbivore
2,2021/07/28 16:56:27,22.31,MC,MC,S_MCH_H1,60,Herbivore
3,2021/07/28 17:56:27,22.35,MC,MC,S_MCH_H1,60,Herbivore
4,2021/07/28 18:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
5,2021/07/28 19:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
6,2021/07/28 20:56:27,22.09,MC,MC,S_MCH_H1,60,Herbivore
7,2021/07/28 21:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
8,2021/07/28 22:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
9,2021/07/28 23:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
10,2021/07/29 00:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
11,2021/07/29 01:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
12,2021/07/29 02:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
13,2021/07/29 03:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
14,2021/07/29 04:56:27,22.61,MC,MC,S_MCH_H1,60,Herbivore
15,2021/07/29 05:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
16,2021/07/29 06:56:27,22.69,MC,MC,S_MCH_H1,60,Herbivore
17,2021/07/29 07:56:27,22.95,MC,MC,S_MCH_H1,60,Herbivore
18,2021/07/29 08:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
19,2021/07/29 09:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
20,2021/07/29 10:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
21,2021/07/29 11:56:27,22.61,MC,MC,S_MCH_H1,60,Herbivore
22,2021/07/29 12:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
23,2021/07/29 13:56:27,22.61,MC,MC,S_MCH_H1,60,Herbivore
24,2021/07/29 14:56:27,22.39,MC,MC,S_MCH_H1,60,Herbivore
25,2021/07/29 15:56:27,22.39,MC,MC,S_MCH_H1,60,Herbivore
26,2021/07/29 16:56:27,22.43,MC,MC,S_MCH_H1,60,Herbivore
27,2021/07/29 17:56:27,22.48,MC,MC,S_MCH_H1,60,Herbivore
28,2021/07/29 18:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
29,2021/07/29 19:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
30,2021/07/29 20:56:27,22.35,MC,MC,S_MCH_H1,60,Herbivore
31,2021/07/29 21:56:27,22.69,MC,MC,S_MCH_H1,60,Herbivore
32,2021/07/29 22:56:27,22.39,MC,MC,S_MCH_H1,60,Herbivore
33,2021/07/29 23:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
34,2021/07/30 00:56:27,22.69,MC,MC,S_MCH_H1,60,Herbivore
35,2021/07/30 01:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
36,2021/07/30 02:56:27,22.73,MC,MC,S_MCH_H1,60,Herbivore
37,2021/07/30 03:56:27,22.69,MC,MC,S_MCH_H1,60,Herbivore
38,2021/07/30 04:56:27,22.69,MC,MC,S_MCH_H1,60,Herbivore
39,2021/07/30 05:56:27,22.73,MC,MC,S_MCH_H1,60,Herbivore
40,2021/07/30 06:56:27,22.61,MC,MC,S_MCH_H1,60,Herbivore
41,2021/07/30 07:56:27,22.82,MC,MC,S_MCH_H1,60,Herbivore
42,2021/07/30 08:56:27,22.86,MC,MC,S_MCH_H1,60,Herbivore
43,2021/07/30 09:56:27,22.73,MC,MC,S_MCH_H1,60,Herbivore
44,2021/07/30 10:56:27,22.82,MC,MC,S_MCH_H1,60,Herbivore
45,2021/07/30 11:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
46,2021/07/30 12:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
47,2021/07/30 13:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
48,2021/07/30 14:56:27,22.48,MC,MC,S_MCH_H1,60,Herbivore
49,2021/07/30 15:56:27,22.43,MC,MC,S_MCH_H1,60,Herbivore
50,2021/07/30 16:56:27,22.39,MC,MC,S_MCH_H1,60,Herbivore
51,2021/07/30 17:56:27,22.43,MC,MC,S_MCH_H1,60,Herbivore
52,2021/07/30 18:56:27,22.61,MC,MC,S_MCH_H1,60,Herbivore
53,2021/07/30 19:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
54,2021/07/30 20:56:27,22.39,MC,MC,S_MCH_H1,60,Herbivore
55,2021/07/30 21:56:27,22.39,MC,MC,S_MCH_H1,60,Herbivore
56,2021/07/30 22:56:27,22.48,MC,MC,S_MCH_H1,60,Herbivore
57,2021/07/30 23:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
58,2021/07/31 00:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
59,2021/07/31 01:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
60,2021/07/31 02:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
61,2021/07/31 03:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
62,2021/07/31 04:56:27,22.91,MC,MC,S_MCH_H1,60,Herbivore
63,2021/07/31 05:56:27,23.03,MC,MC,S_MCH_H1,60,Herbivore
64,2021/07/31 06:56:27,23.12,MC,MC,S_MCH_H1,60,Herbivore
65,2021/07/31 07:56:27,23.34,MC,MC,S_MCH_H1,60,Herbivore
66,2021/07/31 08:56:27,22.78,MC,MC,S_MCH_H1,60,Herbivore
67,2021/07/31 09:56:27,22.56,MC,MC,S_MCH_H1,60,Herbivore
68,2021/07/31 10:56:27,22.52,MC,MC,S_MCH_H1,60,Herbivore
69,2021/07/31 11:56:27,22.48,MC,MC,S_MCH_H1,60,Herbivore
70,2021/07/31 12:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
71,2021/07/31 13:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
72,2021/07/31 14:56:27,22.65,MC,MC,S_MCH_H1,60,Herbivore
