"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/28/2021 16:11:25",24.24,"MC","MC","S_MCH_P1_40",40,"Predator"
"2",2,"07/28/2021 16:11:34",NA,"MC","MC","S_MCH_P1_40",40,"Predator"
"3",3,"07/28/2021 17:11:25",22.39,"MC","MC","S_MCH_P1_40",40,"Predator"
"4",4,"07/28/2021 18:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"5",5,"07/28/2021 19:11:25",22.82,"MC","MC","S_MCH_P1_40",40,"Predator"
"6",6,"07/28/2021 20:11:25",22.78,"MC","MC","S_MCH_P1_40",40,"Predator"
"7",7,"07/28/2021 21:11:25",22.43,"MC","MC","S_MCH_P1_40",40,"Predator"
"8",8,"07/28/2021 22:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"9",9,"07/28/2021 23:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"10",10,"07/29/2021 00:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"11",11,"07/29/2021 01:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"12",12,"07/29/2021 02:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"13",13,"07/29/2021 03:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"14",14,"07/29/2021 04:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"15",15,"07/29/2021 05:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"16",16,"07/29/2021 06:11:25",22.99,"MC","MC","S_MCH_P1_40",40,"Predator"
"17",17,"07/29/2021 07:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"18",18,"07/29/2021 08:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"19",19,"07/29/2021 09:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"20",20,"07/29/2021 10:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"21",21,"07/29/2021 11:11:25",22.69,"MC","MC","S_MCH_P1_40",40,"Predator"
"22",22,"07/29/2021 12:11:25",22.56,"MC","MC","S_MCH_P1_40",40,"Predator"
"23",23,"07/29/2021 13:11:25",22.56,"MC","MC","S_MCH_P1_40",40,"Predator"
"24",24,"07/29/2021 14:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"25",25,"07/29/2021 15:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"26",26,"07/29/2021 16:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"27",27,"07/29/2021 17:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"28",28,"07/29/2021 18:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"29",29,"07/29/2021 19:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"30",30,"07/29/2021 20:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"31",31,"07/29/2021 21:11:25",22.65,"MC","MC","S_MCH_P1_40",40,"Predator"
"32",32,"07/29/2021 22:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"33",33,"07/29/2021 23:11:25",22.65,"MC","MC","S_MCH_P1_40",40,"Predator"
"34",34,"07/30/2021 00:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"35",35,"07/30/2021 01:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"36",36,"07/30/2021 02:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"37",37,"07/30/2021 03:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"38",38,"07/30/2021 04:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"39",39,"07/30/2021 05:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"40",40,"07/30/2021 06:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"41",41,"07/30/2021 07:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"42",42,"07/30/2021 08:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"43",43,"07/30/2021 09:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"44",44,"07/30/2021 10:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"45",45,"07/30/2021 11:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"46",46,"07/30/2021 12:11:25",22.73,"MC","MC","S_MCH_P1_40",40,"Predator"
"47",47,"07/30/2021 13:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"48",48,"07/30/2021 14:11:25",22.78,"MC","MC","S_MCH_P1_40",40,"Predator"
"49",49,"07/30/2021 15:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"50",50,"07/30/2021 16:11:25",22.56,"MC","MC","S_MCH_P1_40",40,"Predator"
"51",51,"07/30/2021 17:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"52",52,"07/30/2021 18:11:25",22.56,"MC","MC","S_MCH_P1_40",40,"Predator"
"53",53,"07/30/2021 19:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"54",54,"07/30/2021 20:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"55",55,"07/30/2021 21:11:25",22.78,"MC","MC","S_MCH_P1_40",40,"Predator"
"56",56,"07/30/2021 22:11:25",22.78,"MC","MC","S_MCH_P1_40",40,"Predator"
"57",57,"07/30/2021 23:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"58",58,"07/31/2021 00:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"59",59,"07/31/2021 01:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"60",60,"07/31/2021 02:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"61",61,"07/31/2021 03:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"62",62,"07/31/2021 04:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"63",63,"07/31/2021 05:11:25",23.38,"MC","MC","S_MCH_P1_40",40,"Predator"
"64",64,"07/31/2021 06:11:25",23.46,"MC","MC","S_MCH_P1_40",40,"Predator"
"65",65,"07/31/2021 07:11:25",23.64,"MC","MC","S_MCH_P1_40",40,"Predator"
"66",66,"07/31/2021 08:11:25",23.72,"MC","MC","S_MCH_P1_40",40,"Predator"
"67",67,"07/31/2021 09:11:25",23.34,"MC","MC","S_MCH_P1_40",40,"Predator"
"68",68,"07/31/2021 10:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"69",69,"07/31/2021 11:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"70",70,"07/31/2021 12:11:25",22.82,"MC","MC","S_MCH_P1_40",40,"Predator"
"71",71,"07/31/2021 13:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"72",72,"07/31/2021 14:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"73",73,"07/31/2021 15:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"74",74,"07/31/2021 16:11:25",22.69,"MC","MC","S_MCH_P1_40",40,"Predator"
"75",75,"07/31/2021 17:11:25",22.99,"MC","MC","S_MCH_P1_40",40,"Predator"
"76",76,"07/31/2021 18:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"77",77,"07/31/2021 19:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"78",78,"07/31/2021 20:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"79",79,"07/31/2021 21:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"80",80,"07/31/2021 22:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"81",81,"07/31/2021 23:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"82",82,"08/01/2021 00:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"83",83,"08/01/2021 01:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"84",84,"08/01/2021 02:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"85",85,"08/01/2021 03:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"86",86,"08/01/2021 04:11:25",23.46,"MC","MC","S_MCH_P1_40",40,"Predator"
"87",87,"08/01/2021 05:11:25",23.55,"MC","MC","S_MCH_P1_40",40,"Predator"
"88",88,"08/01/2021 06:11:25",23.68,"MC","MC","S_MCH_P1_40",40,"Predator"
"89",89,"08/01/2021 07:11:25",23.81,"MC","MC","S_MCH_P1_40",40,"Predator"
"90",90,"08/01/2021 08:11:25",23.46,"MC","MC","S_MCH_P1_40",40,"Predator"
"91",91,"08/01/2021 09:11:25",23.34,"MC","MC","S_MCH_P1_40",40,"Predator"
"92",92,"08/01/2021 10:11:25",23.25,"MC","MC","S_MCH_P1_40",40,"Predator"
"93",93,"08/01/2021 11:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"94",94,"08/01/2021 12:11:25",22.73,"MC","MC","S_MCH_P1_40",40,"Predator"
"95",95,"08/01/2021 13:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"96",96,"08/01/2021 14:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"97",97,"08/01/2021 15:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"98",98,"08/01/2021 16:11:25",22.56,"MC","MC","S_MCH_P1_40",40,"Predator"
"99",99,"08/01/2021 17:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"100",100,"08/01/2021 18:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"101",101,"08/01/2021 19:11:25",22.52,"MC","MC","S_MCH_P1_40",40,"Predator"
"102",102,"08/01/2021 20:11:25",22.95,"MC","MC","S_MCH_P1_40",40,"Predator"
"103",103,"08/01/2021 21:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"104",104,"08/01/2021 22:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"105",105,"08/01/2021 23:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"106",106,"08/02/2021 00:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"107",107,"08/02/2021 01:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"108",108,"08/02/2021 02:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"109",109,"08/02/2021 03:11:25",23.16,"MC","MC","S_MCH_P1_40",40,"Predator"
"110",110,"08/02/2021 04:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"111",111,"08/02/2021 05:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"112",112,"08/02/2021 06:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"113",113,"08/02/2021 07:11:25",23.25,"MC","MC","S_MCH_P1_40",40,"Predator"
"114",114,"08/02/2021 08:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"115",115,"08/02/2021 09:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"116",116,"08/02/2021 10:11:25",23.21,"MC","MC","S_MCH_P1_40",40,"Predator"
"117",117,"08/02/2021 11:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"118",118,"08/02/2021 12:11:25",22.73,"MC","MC","S_MCH_P1_40",40,"Predator"
"119",119,"08/02/2021 13:11:25",22.91,"MC","MC","S_MCH_P1_40",40,"Predator"
"120",120,"08/02/2021 14:11:25",22.86,"MC","MC","S_MCH_P1_40",40,"Predator"
"121",121,"08/02/2021 15:11:25",22.65,"MC","MC","S_MCH_P1_40",40,"Predator"
"122",122,"08/02/2021 16:11:25",22.61,"MC","MC","S_MCH_P1_40",40,"Predator"
"123",123,"08/02/2021 17:11:25",22.65,"MC","MC","S_MCH_P1_40",40,"Predator"
"124",124,"08/02/2021 18:11:25",22.69,"MC","MC","S_MCH_P1_40",40,"Predator"
"125",125,"08/02/2021 19:11:25",22.99,"MC","MC","S_MCH_P1_40",40,"Predator"
"126",126,"08/02/2021 20:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"127",127,"08/02/2021 21:11:25",22.99,"MC","MC","S_MCH_P1_40",40,"Predator"
"128",128,"08/02/2021 22:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"129",129,"08/02/2021 23:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
"130",130,"08/03/2021 00:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"131",131,"08/03/2021 01:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"132",132,"08/03/2021 02:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"133",133,"08/03/2021 03:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"134",134,"08/03/2021 04:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"135",135,"08/03/2021 05:11:25",23.12,"MC","MC","S_MCH_P1_40",40,"Predator"
"136",136,"08/03/2021 06:11:25",23.51,"MC","MC","S_MCH_P1_40",40,"Predator"
"137",137,"08/03/2021 07:11:25",23.72,"MC","MC","S_MCH_P1_40",40,"Predator"
"138",138,"08/03/2021 08:11:25",22.73,"MC","MC","S_MCH_P1_40",40,"Predator"
"139",139,"08/03/2021 09:11:25",23.08,"MC","MC","S_MCH_P1_40",40,"Predator"
"140",140,"08/03/2021 10:11:25",23.03,"MC","MC","S_MCH_P1_40",40,"Predator"
