Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,12/14/2022 13:45:42,21.66,MC,MC,MCH_P1,60,Predator
2,12/14/2022 14:45:42,-0.95,MC,MC,MCH_P1,60,Predator
3,12/14/2022 15:45:42,-2.75,MC,MC,MCH_P1,60,Predator
4,12/14/2022 16:45:42,-3.18,MC,MC,MCH_P1,60,Predator
5,12/14/2022 17:45:42,-2.66,MC,MC,MCH_P1,60,Predator
6,12/14/2022 18:45:42,-2.62,MC,MC,MCH_P1,60,Predator
7,12/14/2022 19:45:42,-2.32,MC,MC,MCH_P1,60,Predator
8,12/14/2022 20:45:42,-1.98,MC,MC,MCH_P1,60,Predator
9,12/14/2022 21:45:42,-1.93,MC,MC,MCH_P1,60,Predator
10,12/14/2022 22:45:42,-2.36,MC,MC,MCH_P1,60,Predator
11,12/14/2022 23:45:42,-3.01,MC,MC,MCH_P1,60,Predator
12,12/15/2022 00:45:42,-6.82,MC,MC,MCH_P1,60,Predator
13,12/15/2022 01:45:42,-5.88,MC,MC,MCH_P1,60,Predator
14,12/15/2022 02:45:42,-6.95,MC,MC,MCH_P1,60,Predator
15,12/15/2022 03:45:42,-6.48,MC,MC,MCH_P1,60,Predator
16,12/15/2022 04:45:42,-9.91,MC,MC,MCH_P1,60,Predator
17,12/15/2022 05:45:42,-11.16,MC,MC,MCH_P1,60,Predator
18,12/15/2022 06:45:42,-11.03,MC,MC,MCH_P1,60,Predator
19,12/15/2022 07:45:42,-10.34,MC,MC,MCH_P1,60,Predator
20,12/15/2022 08:45:42,-3.26,MC,MC,MCH_P1,60,Predator
21,12/15/2022 09:45:42,-1.68,MC,MC,MCH_P1,60,Predator
22,12/15/2022 10:45:42,1.11,MC,MC,MCH_P1,60,Predator
23,12/15/2022 11:45:42,2.83,MC,MC,MCH_P1,60,Predator
24,12/15/2022 12:45:42,4.24,MC,MC,MCH_P1,60,Predator
25,12/15/2022 13:45:42,3.77,MC,MC,MCH_P1,60,Predator
26,12/15/2022 14:45:42,2.91,MC,MC,MCH_P1,60,Predator
27,12/15/2022 15:45:42,1.03,MC,MC,MCH_P1,60,Predator
28,12/15/2022 16:45:42,-0.69,MC,MC,MCH_P1,60,Predator
29,12/15/2022 17:45:42,0.47,MC,MC,MCH_P1,60,Predator
30,12/15/2022 18:45:42,3.3,MC,MC,MCH_P1,60,Predator
31,12/15/2022 19:45:42,3.04,MC,MC,MCH_P1,60,Predator
32,12/15/2022 20:45:42,3.3,MC,MC,MCH_P1,60,Predator
33,12/15/2022 21:45:42,3.39,MC,MC,MCH_P1,60,Predator
34,12/15/2022 22:45:42,3.3,MC,MC,MCH_P1,60,Predator
35,12/15/2022 23:45:42,1.97,MC,MC,MCH_P1,60,Predator
36,12/16/2022 00:45:42,2.49,MC,MC,MCH_P1,60,Predator
37,12/16/2022 01:45:42,1.2,MC,MC,MCH_P1,60,Predator
38,12/16/2022 02:45:42,2.83,MC,MC,MCH_P1,60,Predator
39,12/16/2022 03:45:42,1.46,MC,MC,MCH_P1,60,Predator
40,12/16/2022 04:45:42,0.68,MC,MC,MCH_P1,60,Predator
41,12/16/2022 05:45:42,0.47,MC,MC,MCH_P1,60,Predator
42,12/16/2022 06:45:42,0.38,MC,MC,MCH_P1,60,Predator
43,12/16/2022 07:45:42,0.38,MC,MC,MCH_P1,60,Predator
44,12/16/2022 08:45:42,0.51,MC,MC,MCH_P1,60,Predator
45,12/16/2022 09:45:42,0.47,MC,MC,MCH_P1,60,Predator
46,12/16/2022 10:45:42,0.55,MC,MC,MCH_P1,60,Predator
47,12/16/2022 11:45:42,0.9,MC,MC,MCH_P1,60,Predator
48,12/16/2022 12:45:42,0.98,MC,MC,MCH_P1,60,Predator
49,12/16/2022 13:45:42,1.07,MC,MC,MCH_P1,60,Predator
50,12/16/2022 14:45:42,0.55,MC,MC,MCH_P1,60,Predator
51,12/16/2022 15:45:42,0.3,MC,MC,MCH_P1,60,Predator
52,12/16/2022 16:45:42,0.25,MC,MC,MCH_P1,60,Predator
53,12/16/2022 17:45:42,0.3,MC,MC,MCH_P1,60,Predator
54,12/16/2022 18:45:42,0.25,MC,MC,MCH_P1,60,Predator
55,12/16/2022 19:45:42,0.3,MC,MC,MCH_P1,60,Predator
56,12/16/2022 20:45:42,0.25,MC,MC,MCH_P1,60,Predator
57,12/16/2022 21:45:42,0.25,MC,MC,MCH_P1,60,Predator
58,12/16/2022 22:45:42,0.25,MC,MC,MCH_P1,60,Predator
59,12/16/2022 23:45:42,0.3,MC,MC,MCH_P1,60,Predator
60,12/17/2022 00:45:42,0.25,MC,MC,MCH_P1,60,Predator
61,12/17/2022 01:45:42,0.25,MC,MC,MCH_P1,60,Predator
62,12/17/2022 02:45:42,0.25,MC,MC,MCH_P1,60,Predator
63,12/17/2022 03:45:42,0.25,MC,MC,MCH_P1,60,Predator
64,12/17/2022 04:45:42,0.21,MC,MC,MCH_P1,60,Predator
65,12/17/2022 05:45:42,0.25,MC,MC,MCH_P1,60,Predator
66,12/17/2022 06:45:42,0.25,MC,MC,MCH_P1,60,Predator
67,12/17/2022 07:45:42,0.25,MC,MC,MCH_P1,60,Predator
68,12/17/2022 08:45:42,0.43,MC,MC,MCH_P1,60,Predator
69,12/17/2022 09:45:42,0.94,MC,MC,MCH_P1,60,Predator
70,12/17/2022 10:45:42,2.1,MC,MC,MCH_P1,60,Predator
71,12/17/2022 11:45:42,4.24,MC,MC,MCH_P1,60,Predator
72,12/17/2022 12:45:42,2.79,MC,MC,MCH_P1,60,Predator
73,12/17/2022 13:45:42,2.1,MC,MC,MCH_P1,60,Predator
74,12/17/2022 14:45:42,2.74,MC,MC,MCH_P1,60,Predator
75,12/17/2022 15:45:42,1.2,MC,MC,MCH_P1,60,Predator
76,12/17/2022 16:45:42,0.04,MC,MC,MCH_P1,60,Predator
77,12/17/2022 17:45:42,-0.65,MC,MC,MCH_P1,60,Predator
78,12/17/2022 18:45:42,-0.56,MC,MC,MCH_P1,60,Predator
79,12/17/2022 19:45:42,-0.6,MC,MC,MCH_P1,60,Predator
80,12/17/2022 20:45:42,-0.77,MC,MC,MCH_P1,60,Predator
81,12/17/2022 21:45:42,-0.86,MC,MC,MCH_P1,60,Predator
82,12/17/2022 22:45:42,-1.76,MC,MC,MCH_P1,60,Predator
83,12/17/2022 23:45:42,-0.99,MC,MC,MCH_P1,60,Predator
84,12/18/2022 00:45:42,-1.25,MC,MC,MCH_P1,60,Predator
85,12/18/2022 01:45:42,-1.42,MC,MC,MCH_P1,60,Predator
86,12/18/2022 02:45:42,-1.98,MC,MC,MCH_P1,60,Predator
87,12/18/2022 03:45:42,-1.98,MC,MC,MCH_P1,60,Predator
88,12/18/2022 04:45:42,-1.93,MC,MC,MCH_P1,60,Predator
89,12/18/2022 05:45:42,-2.06,MC,MC,MCH_P1,60,Predator
90,12/18/2022 06:45:42,-2.71,MC,MC,MCH_P1,60,Predator
91,12/18/2022 07:45:42,-2.62,MC,MC,MCH_P1,60,Predator
92,12/18/2022 08:45:42,-0.9,MC,MC,MCH_P1,60,Predator
93,12/18/2022 09:45:42,0.04,MC,MC,MCH_P1,60,Predator
94,12/18/2022 10:45:42,1.5,MC,MC,MCH_P1,60,Predator
95,12/18/2022 11:45:42,2.14,MC,MC,MCH_P1,60,Predator
96,12/18/2022 12:45:42,2.23,MC,MC,MCH_P1,60,Predator
97,12/18/2022 13:45:42,1.37,MC,MC,MCH_P1,60,Predator
98,12/18/2022 14:45:42,1.03,MC,MC,MCH_P1,60,Predator
99,12/18/2022 15:45:42,0.81,MC,MC,MCH_P1,60,Predator
100,12/18/2022 16:45:42,-1.76,MC,MC,MCH_P1,60,Predator
101,12/18/2022 17:45:42,-2.62,MC,MC,MCH_P1,60,Predator
102,12/18/2022 18:45:42,-4.85,MC,MC,MCH_P1,60,Predator
103,12/18/2022 19:45:42,-5.75,MC,MC,MCH_P1,60,Predator
104,12/18/2022 20:45:42,-5.24,MC,MC,MCH_P1,60,Predator
105,12/18/2022 21:45:42,-4.89,MC,MC,MCH_P1,60,Predator
106,12/18/2022 22:45:42,-4.85,MC,MC,MCH_P1,60,Predator
107,12/18/2022 23:45:42,-4.08,MC,MC,MCH_P1,60,Predator
108,12/19/2022 00:45:42,-4.08,MC,MC,MCH_P1,60,Predator
109,12/19/2022 01:45:42,-4.29,MC,MC,MCH_P1,60,Predator
110,12/19/2022 02:45:42,-6.74,MC,MC,MCH_P1,60,Predator
111,12/19/2022 03:45:42,-8.28,MC,MC,MCH_P1,60,Predator
112,12/19/2022 04:45:42,-5.71,MC,MC,MCH_P1,60,Predator
113,12/19/2022 05:45:42,-4.25,MC,MC,MCH_P1,60,Predator
114,12/19/2022 06:45:42,-3.43,MC,MC,MCH_P1,60,Predator
115,12/19/2022 07:45:42,-3.13,MC,MC,MCH_P1,60,Predator
116,12/19/2022 08:45:42,-2.15,MC,MC,MCH_P1,60,Predator
117,12/19/2022 09:45:42,-0.22,MC,MC,MCH_P1,60,Predator
118,12/19/2022 10:45:42,0.38,MC,MC,MCH_P1,60,Predator
119,12/19/2022 11:45:42,1.76,MC,MC,MCH_P1,60,Predator
120,12/19/2022 12:45:42,2.01,MC,MC,MCH_P1,60,Predator
121,12/19/2022 13:45:42,1.33,MC,MC,MCH_P1,60,Predator
122,12/19/2022 14:45:42,1.2,MC,MC,MCH_P1,60,Predator
123,12/19/2022 15:45:42,0.13,MC,MC,MCH_P1,60,Predator
124,12/19/2022 16:45:42,-0.35,MC,MC,MCH_P1,60,Predator
125,12/19/2022 17:45:42,-0.73,MC,MC,MCH_P1,60,Predator
126,12/19/2022 18:45:42,-1.08,MC,MC,MCH_P1,60,Predator
127,12/19/2022 19:45:42,-1.16,MC,MC,MCH_P1,60,Predator
128,12/19/2022 20:45:42,-1.08,MC,MC,MCH_P1,60,Predator
129,12/19/2022 21:45:42,-1.16,MC,MC,MCH_P1,60,Predator
130,12/19/2022 22:45:42,-1.38,MC,MC,MCH_P1,60,Predator
131,12/19/2022 23:45:42,-1.55,MC,MC,MCH_P1,60,Predator
132,12/20/2022 00:45:42,-1.68,MC,MC,MCH_P1,60,Predator
133,12/20/2022 01:45:42,-2.75,MC,MC,MCH_P1,60,Predator
134,12/20/2022 02:45:42,-5.71,MC,MC,MCH_P1,60,Predator
135,12/20/2022 03:45:42,-7.94,MC,MC,MCH_P1,60,Predator
136,12/20/2022 04:45:42,-6.05,MC,MC,MCH_P1,60,Predator
137,12/20/2022 05:45:42,-4.89,MC,MC,MCH_P1,60,Predator
138,12/20/2022 06:45:42,-5.84,MC,MC,MCH_P1,60,Predator
139,12/20/2022 07:45:42,-5.24,MC,MC,MCH_P1,60,Predator
140,12/20/2022 08:45:42,-2.28,MC,MC,MCH_P1,60,Predator
141,12/20/2022 09:45:42,-0.09,MC,MC,MCH_P1,60,Predator
142,12/20/2022 10:45:42,0.81,MC,MC,MCH_P1,60,Predator
143,12/20/2022 11:45:42,1.54,MC,MC,MCH_P1,60,Predator
144,12/20/2022 12:45:42,1.41,MC,MC,MCH_P1,60,Predator
145,12/20/2022 13:45:42,0.73,MC,MC,MCH_P1,60,Predator
146,12/20/2022 14:45:42,0.21,MC,MC,MCH_P1,60,Predator
147,12/20/2022 15:45:42,-0.77,MC,MC,MCH_P1,60,Predator
148,12/20/2022 16:45:42,-2.32,MC,MC,MCH_P1,60,Predator
149,12/20/2022 17:45:42,-4.29,MC,MC,MCH_P1,60,Predator
150,12/20/2022 18:45:42,-8.54,MC,MC,MCH_P1,60,Predator
151,12/20/2022 19:45:42,-10.3,MC,MC,MCH_P1,60,Predator
152,12/20/2022 20:45:42,-11.71,MC,MC,MCH_P1,60,Predator
153,12/20/2022 21:45:42,-12.36,MC,MC,MCH_P1,60,Predator
154,12/20/2022 22:45:42,-12.96,MC,MC,MCH_P1,60,Predator
155,12/20/2022 23:45:42,-13.65,MC,MC,MCH_P1,60,Predator
156,12/21/2022 00:45:42,-13.22,MC,MC,MCH_P1,60,Predator
157,12/21/2022 01:45:42,-9.96,MC,MC,MCH_P1,60,Predator
158,12/21/2022 02:45:42,-8.93,MC,MC,MCH_P1,60,Predator
159,12/21/2022 03:45:42,-7.25,MC,MC,MCH_P1,60,Predator
160,12/21/2022 04:45:42,-6.91,MC,MC,MCH_P1,60,Predator
161,12/21/2022 05:45:42,-7,MC,MC,MCH_P1,60,Predator
162,12/21/2022 06:45:42,-7.08,MC,MC,MCH_P1,60,Predator
163,12/21/2022 07:45:42,-8.58,MC,MC,MCH_P1,60,Predator
164,12/21/2022 08:45:42,-6.05,MC,MC,MCH_P1,60,Predator
165,12/21/2022 09:45:42,-3.82,MC,MC,MCH_P1,60,Predator
166,12/21/2022 10:45:42,-1.85,MC,MC,MCH_P1,60,Predator
167,12/21/2022 11:45:42,-1.16,MC,MC,MCH_P1,60,Predator
168,12/21/2022 12:45:42,-0.3,MC,MC,MCH_P1,60,Predator
169,12/21/2022 13:45:42,1.5,MC,MC,MCH_P1,60,Predator
170,12/21/2022 14:45:42,0.17,MC,MC,MCH_P1,60,Predator
171,12/21/2022 15:45:42,-1.59,MC,MC,MCH_P1,60,Predator
172,12/21/2022 16:45:42,-3.65,MC,MC,MCH_P1,60,Predator
173,12/21/2022 17:45:42,-5.49,MC,MC,MCH_P1,60,Predator
174,12/21/2022 18:45:42,-8.58,MC,MC,MCH_P1,60,Predator
175,12/21/2022 19:45:42,-9.4,MC,MC,MCH_P1,60,Predator
176,12/21/2022 20:45:42,-9.36,MC,MC,MCH_P1,60,Predator
177,12/21/2022 21:45:42,-9.4,MC,MC,MCH_P1,60,Predator
178,12/21/2022 22:45:42,-9.31,MC,MC,MCH_P1,60,Predator
179,12/21/2022 23:45:42,-10.08,MC,MC,MCH_P1,60,Predator
180,12/22/2022 00:45:42,-11.11,MC,MC,MCH_P1,60,Predator
181,12/22/2022 01:45:42,-12.1,MC,MC,MCH_P1,60,Predator
182,12/22/2022 02:45:42,-12.79,MC,MC,MCH_P1,60,Predator
183,12/22/2022 03:45:42,-11.54,MC,MC,MCH_P1,60,Predator
184,12/22/2022 04:45:42,-9.57,MC,MC,MCH_P1,60,Predator
185,12/22/2022 05:45:42,-8.45,MC,MC,MCH_P1,60,Predator
186,12/22/2022 06:45:42,-9.23,MC,MC,MCH_P1,60,Predator
187,12/22/2022 07:45:42,-9.14,MC,MC,MCH_P1,60,Predator
188,12/22/2022 08:45:42,-6.39,MC,MC,MCH_P1,60,Predator
189,12/22/2022 09:45:42,-3.86,MC,MC,MCH_P1,60,Predator
190,12/22/2022 10:45:42,-1.68,MC,MC,MCH_P1,60,Predator
191,12/22/2022 11:45:42,-1.03,MC,MC,MCH_P1,60,Predator
192,12/22/2022 12:45:42,-0.35,MC,MC,MCH_P1,60,Predator
193,12/22/2022 13:45:42,0.86,MC,MC,MCH_P1,60,Predator
194,12/22/2022 14:45:42,1.28,MC,MC,MCH_P1,60,Predator
195,12/22/2022 15:45:42,0.04,MC,MC,MCH_P1,60,Predator
196,12/22/2022 16:45:42,-1.33,MC,MC,MCH_P1,60,Predator
197,12/22/2022 17:45:42,-1.29,MC,MC,MCH_P1,60,Predator
198,12/22/2022 18:45:42,-1.33,MC,MC,MCH_P1,60,Predator
199,12/22/2022 19:45:42,-0.43,MC,MC,MCH_P1,60,Predator
200,12/22/2022 20:45:42,2.19,MC,MC,MCH_P1,60,Predator
201,12/22/2022 21:45:42,2.83,MC,MC,MCH_P1,60,Predator
202,12/22/2022 22:45:42,1.8,MC,MC,MCH_P1,60,Predator
203,12/22/2022 23:45:42,2.66,MC,MC,MCH_P1,60,Predator
204,12/23/2022 00:45:42,3.39,MC,MC,MCH_P1,60,Predator
205,12/23/2022 01:45:42,3.69,MC,MC,MCH_P1,60,Predator
206,12/23/2022 02:45:42,3.6,MC,MC,MCH_P1,60,Predator
207,12/23/2022 03:45:42,3.69,MC,MC,MCH_P1,60,Predator
208,12/23/2022 04:45:42,3.64,MC,MC,MCH_P1,60,Predator
209,12/23/2022 05:45:42,4.54,MC,MC,MCH_P1,60,Predator
210,12/23/2022 06:45:42,5.23,MC,MC,MCH_P1,60,Predator
211,12/23/2022 07:45:42,6.3,MC,MC,MCH_P1,60,Predator
212,12/23/2022 08:45:42,7.85,MC,MC,MCH_P1,60,Predator
213,12/23/2022 09:45:42,11.41,MC,MC,MCH_P1,60,Predator
214,12/23/2022 10:45:42,10.21,MC,MC,MCH_P1,60,Predator
215,12/23/2022 11:45:42,10.51,MC,MC,MCH_P1,60,Predator
216,12/23/2022 12:45:42,10.34,MC,MC,MCH_P1,60,Predator
217,12/23/2022 13:45:42,8.88,MC,MC,MCH_P1,60,Predator
218,12/23/2022 14:45:42,7.2,MC,MC,MCH_P1,60,Predator
219,12/23/2022 15:45:42,5.27,MC,MC,MCH_P1,60,Predator
220,12/23/2022 16:45:42,1.28,MC,MC,MCH_P1,60,Predator
221,12/23/2022 17:45:42,-2.19,MC,MC,MCH_P1,60,Predator
222,12/23/2022 18:45:42,-4.38,MC,MC,MCH_P1,60,Predator
223,12/23/2022 19:45:42,-6.61,MC,MC,MCH_P1,60,Predator
224,12/23/2022 20:45:42,-8.63,MC,MC,MCH_P1,60,Predator
225,12/23/2022 21:45:42,-9.61,MC,MC,MCH_P1,60,Predator
226,12/23/2022 22:45:42,-10.51,MC,MC,MCH_P1,60,Predator
227,12/23/2022 23:45:42,-11.11,MC,MC,MCH_P1,60,Predator
228,12/24/2022 00:45:42,-11.67,MC,MC,MCH_P1,60,Predator
229,12/24/2022 01:45:42,-12.32,MC,MC,MCH_P1,60,Predator
230,12/24/2022 02:45:42,-12.79,MC,MC,MCH_P1,60,Predator
231,12/24/2022 03:45:42,-13.26,MC,MC,MCH_P1,60,Predator
232,12/24/2022 04:45:42,-13.56,MC,MC,MCH_P1,60,Predator
233,12/24/2022 05:45:42,-13.73,MC,MC,MCH_P1,60,Predator
234,12/24/2022 06:45:42,-14.07,MC,MC,MCH_P1,60,Predator
235,12/24/2022 07:45:42,-14.12,MC,MC,MCH_P1,60,Predator
236,12/24/2022 08:45:42,-12.79,MC,MC,MCH_P1,60,Predator
237,12/24/2022 09:45:42,-10.38,MC,MC,MCH_P1,60,Predator
238,12/24/2022 10:45:42,-9.74,MC,MC,MCH_P1,60,Predator
239,12/24/2022 11:45:42,-10.6,MC,MC,MCH_P1,60,Predator
240,12/24/2022 12:45:42,-9.14,MC,MC,MCH_P1,60,Predator
241,12/24/2022 13:45:42,-9.78,MC,MC,MCH_P1,60,Predator
242,12/24/2022 14:45:42,-10.77,MC,MC,MCH_P1,60,Predator
243,12/24/2022 15:45:42,-10.9,MC,MC,MCH_P1,60,Predator
244,12/24/2022 16:45:42,-11.8,MC,MC,MCH_P1,60,Predator
245,12/24/2022 17:45:42,-12.53,MC,MC,MCH_P1,60,Predator
246,12/24/2022 18:45:42,-12.49,MC,MC,MCH_P1,60,Predator
247,12/24/2022 19:45:42,-11.97,MC,MC,MCH_P1,60,Predator
248,12/24/2022 20:45:42,-11.76,MC,MC,MCH_P1,60,Predator
249,12/24/2022 21:45:42,-11.46,MC,MC,MCH_P1,60,Predator
250,12/24/2022 22:45:42,-11.37,MC,MC,MCH_P1,60,Predator
251,12/24/2022 23:45:42,-11.41,MC,MC,MCH_P1,60,Predator
252,12/25/2022 00:45:42,-11.8,MC,MC,MCH_P1,60,Predator
253,12/25/2022 01:45:42,-11.89,MC,MC,MCH_P1,60,Predator
254,12/25/2022 02:45:42,-11.46,MC,MC,MCH_P1,60,Predator
255,12/25/2022 03:45:42,-11.46,MC,MC,MCH_P1,60,Predator
256,12/25/2022 04:45:42,-11.67,MC,MC,MCH_P1,60,Predator
257,12/25/2022 05:45:42,-11.11,MC,MC,MCH_P1,60,Predator
258,12/25/2022 06:45:42,-11.03,MC,MC,MCH_P1,60,Predator
259,12/25/2022 07:45:42,-10.94,MC,MC,MCH_P1,60,Predator
260,12/25/2022 08:45:42,-9.4,MC,MC,MCH_P1,60,Predator
261,12/25/2022 09:45:42,-7.9,MC,MC,MCH_P1,60,Predator
262,12/25/2022 10:45:42,-6.22,MC,MC,MCH_P1,60,Predator
263,12/25/2022 11:45:42,-5.84,MC,MC,MCH_P1,60,Predator
264,12/25/2022 12:45:42,-5.02,MC,MC,MCH_P1,60,Predator
265,12/25/2022 13:45:42,-5.11,MC,MC,MCH_P1,60,Predator
266,12/25/2022 14:45:42,-4.08,MC,MC,MCH_P1,60,Predator
