Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/06/2021 10:27:37,29.6,MC,MC,MCH_V1,20,Vegetation
2,07/06/2021 11:27:37,33.16,MC,MC,MCH_V1,20,Vegetation
3,07/06/2021 12:27:37,34.4,MC,MC,MCH_V1,20,Vegetation
4,07/06/2021 13:27:37,38.69,MC,MC,MCH_V1,20,Vegetation
5,07/06/2021 14:27:37,36.21,MC,MC,MCH_V1,20,Vegetation
6,07/06/2021 15:27:37,39.51,MC,MC,MCH_V1,20,Vegetation
7,07/06/2021 16:27:37,40.92,MC,MC,MCH_V1,20,Vegetation
8,07/06/2021 17:27:37,23.85,MC,MC,MCH_V1,20,Vegetation
9,07/06/2021 18:27:37,31.79,MC,MC,MCH_V1,20,Vegetation
10,07/06/2021 19:27:37,26.38,MC,MC,MCH_V1,20,Vegetation
11,07/06/2021 20:27:37,23.72,MC,MC,MCH_V1,20,Vegetation
12,07/06/2021 21:27:37,20.98,MC,MC,MCH_V1,20,Vegetation
13,07/06/2021 22:27:37,21.49,MC,MC,MCH_V1,20,Vegetation
14,07/06/2021 23:27:37,19.05,MC,MC,MCH_V1,20,Vegetation
15,07/07/2021 00:27:37,17.33,MC,MC,MCH_V1,20,Vegetation
16,07/07/2021 01:27:37,16.56,MC,MC,MCH_V1,20,Vegetation
17,07/07/2021 02:27:37,15.87,MC,MC,MCH_V1,20,Vegetation
18,07/07/2021 03:27:37,17.5,MC,MC,MCH_V1,20,Vegetation
19,07/07/2021 04:27:37,17.84,MC,MC,MCH_V1,20,Vegetation
20,07/07/2021 05:27:37,17.46,MC,MC,MCH_V1,20,Vegetation
21,07/07/2021 06:27:37,17.41,MC,MC,MCH_V1,20,Vegetation
22,07/07/2021 07:27:37,20.55,MC,MC,MCH_V1,20,Vegetation
23,07/07/2021 08:27:37,22.73,MC,MC,MCH_V1,20,Vegetation
24,07/07/2021 09:27:37,24.88,MC,MC,MCH_V1,20,Vegetation
25,07/07/2021 10:27:37,23.68,MC,MC,MCH_V1,20,Vegetation
26,07/07/2021 11:27:37,21.49,MC,MC,MCH_V1,20,Vegetation
27,07/07/2021 12:27:37,20.5,MC,MC,MCH_V1,20,Vegetation
28,07/07/2021 13:27:37,18.83,MC,MC,MCH_V1,20,Vegetation
29,07/07/2021 14:27:37,19.22,MC,MC,MCH_V1,20,Vegetation
30,07/07/2021 15:27:37,18.49,MC,MC,MCH_V1,20,Vegetation
31,07/07/2021 16:27:37,17.8,MC,MC,MCH_V1,20,Vegetation
32,07/07/2021 17:27:37,18.44,MC,MC,MCH_V1,20,Vegetation
33,07/07/2021 18:27:37,18.1,MC,MC,MCH_V1,20,Vegetation
34,07/07/2021 19:27:37,17.46,MC,MC,MCH_V1,20,Vegetation
35,07/07/2021 20:27:37,16.08,MC,MC,MCH_V1,20,Vegetation
36,07/07/2021 21:27:37,13.81,MC,MC,MCH_V1,20,Vegetation
37,07/07/2021 22:27:37,12.57,MC,MC,MCH_V1,20,Vegetation
38,07/07/2021 23:27:37,12.14,MC,MC,MCH_V1,20,Vegetation
39,07/08/2021 00:27:37,11.88,MC,MC,MCH_V1,20,Vegetation
40,07/08/2021 01:27:37,12.31,MC,MC,MCH_V1,20,Vegetation
