"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/06/2021 10:27:37",29.6,"MC","MC","S_MCH_V1_20",20,"Veg"
"2",2,"07/06/2021 11:27:37",33.16,"MC","MC","S_MCH_V1_20",20,"Veg"
"3",3,"07/06/2021 12:27:37",34.4,"MC","MC","S_MCH_V1_20",20,"Veg"
"4",4,"07/06/2021 13:27:37",38.69,"MC","MC","S_MCH_V1_20",20,"Veg"
"5",5,"07/06/2021 14:27:37",36.21,"MC","MC","S_MCH_V1_20",20,"Veg"
"6",6,"07/06/2021 15:27:37",39.51,"MC","MC","S_MCH_V1_20",20,"Veg"
"7",7,"07/06/2021 16:27:37",40.92,"MC","MC","S_MCH_V1_20",20,"Veg"
"8",8,"07/06/2021 17:27:37",23.85,"MC","MC","S_MCH_V1_20",20,"Veg"
"9",9,"07/06/2021 18:27:37",31.79,"MC","MC","S_MCH_V1_20",20,"Veg"
"10",10,"07/06/2021 19:27:37",26.38,"MC","MC","S_MCH_V1_20",20,"Veg"
"11",11,"07/06/2021 20:27:37",23.72,"MC","MC","S_MCH_V1_20",20,"Veg"
"12",12,"07/06/2021 21:27:37",20.98,"MC","MC","S_MCH_V1_20",20,"Veg"
"13",13,"07/06/2021 22:27:37",21.49,"MC","MC","S_MCH_V1_20",20,"Veg"
"14",14,"07/06/2021 23:27:37",19.05,"MC","MC","S_MCH_V1_20",20,"Veg"
"15",15,"07/07/2021 00:27:37",17.33,"MC","MC","S_MCH_V1_20",20,"Veg"
"16",16,"07/07/2021 01:27:37",16.56,"MC","MC","S_MCH_V1_20",20,"Veg"
"17",17,"07/07/2021 02:27:37",15.87,"MC","MC","S_MCH_V1_20",20,"Veg"
"18",18,"07/07/2021 03:27:37",17.5,"MC","MC","S_MCH_V1_20",20,"Veg"
"19",19,"07/07/2021 04:27:37",17.84,"MC","MC","S_MCH_V1_20",20,"Veg"
"20",20,"07/07/2021 05:27:37",17.46,"MC","MC","S_MCH_V1_20",20,"Veg"
"21",21,"07/07/2021 06:27:37",17.41,"MC","MC","S_MCH_V1_20",20,"Veg"
"22",22,"07/07/2021 07:27:37",20.55,"MC","MC","S_MCH_V1_20",20,"Veg"
"23",23,"07/07/2021 08:27:37",22.73,"MC","MC","S_MCH_V1_20",20,"Veg"
"24",24,"07/07/2021 09:27:37",24.88,"MC","MC","S_MCH_V1_20",20,"Veg"
"25",25,"07/07/2021 10:27:37",23.68,"MC","MC","S_MCH_V1_20",20,"Veg"
"26",26,"07/07/2021 11:27:37",21.49,"MC","MC","S_MCH_V1_20",20,"Veg"
"27",27,"07/07/2021 12:27:37",20.5,"MC","MC","S_MCH_V1_20",20,"Veg"
"28",28,"07/07/2021 13:27:37",18.83,"MC","MC","S_MCH_V1_20",20,"Veg"
"29",29,"07/07/2021 14:27:37",19.22,"MC","MC","S_MCH_V1_20",20,"Veg"
"30",30,"07/07/2021 15:27:37",18.49,"MC","MC","S_MCH_V1_20",20,"Veg"
"31",31,"07/07/2021 16:27:37",17.8,"MC","MC","S_MCH_V1_20",20,"Veg"
"32",32,"07/07/2021 17:27:37",18.44,"MC","MC","S_MCH_V1_20",20,"Veg"
"33",33,"07/07/2021 18:27:37",18.1,"MC","MC","S_MCH_V1_20",20,"Veg"
"34",34,"07/07/2021 19:27:37",17.46,"MC","MC","S_MCH_V1_20",20,"Veg"
"35",35,"07/07/2021 20:27:37",16.08,"MC","MC","S_MCH_V1_20",20,"Veg"
"36",36,"07/07/2021 21:27:37",13.81,"MC","MC","S_MCH_V1_20",20,"Veg"
"37",37,"07/07/2021 22:27:37",12.57,"MC","MC","S_MCH_V1_20",20,"Veg"
"38",38,"07/07/2021 23:27:37",12.14,"MC","MC","S_MCH_V1_20",20,"Veg"
"39",39,"07/08/2021 00:27:37",11.88,"MC","MC","S_MCH_V1_20",20,"Veg"
"40",40,"07/08/2021 01:27:37",12.31,"MC","MC","S_MCH_V1_20",20,"Veg"
"41",41,"07/08/2021 02:27:37",13.17,"MC","MC","S_MCH_V1_20",20,"Veg"
"42",42,"07/08/2021 03:27:37",14.41,"MC","MC","S_MCH_V1_20",20,"Veg"
"43",43,"07/08/2021 04:27:37",14.63,"MC","MC","S_MCH_V1_20",20,"Veg"
"44",44,"07/08/2021 05:27:37",14.71,"MC","MC","S_MCH_V1_20",20,"Veg"
"45",45,"07/08/2021 06:27:37",14.93,"MC","MC","S_MCH_V1_20",20,"Veg"
"46",46,"07/08/2021 07:27:37",15.53,"MC","MC","S_MCH_V1_20",20,"Veg"
"47",47,"07/08/2021 08:27:37",16.69,"MC","MC","S_MCH_V1_20",20,"Veg"
"48",48,"07/08/2021 09:27:37",20.85,"MC","MC","S_MCH_V1_20",20,"Veg"
"49",49,"07/08/2021 10:27:37",21.36,"MC","MC","S_MCH_V1_20",20,"Veg"
"50",50,"07/08/2021 11:27:37",25.14,"MC","MC","S_MCH_V1_20",20,"Veg"
"51",51,"07/08/2021 12:27:37",25.31,"MC","MC","S_MCH_V1_20",20,"Veg"
"52",52,"07/08/2021 13:27:37",25.31,"MC","MC","S_MCH_V1_20",20,"Veg"
"53",53,"07/08/2021 14:27:37",25.95,"MC","MC","S_MCH_V1_20",20,"Veg"
"54",54,"07/08/2021 15:27:37",23.89,"MC","MC","S_MCH_V1_20",20,"Veg"
"55",55,"07/08/2021 16:27:37",22.61,"MC","MC","S_MCH_V1_20",20,"Veg"
"56",56,"07/08/2021 17:27:37",20.72,"MC","MC","S_MCH_V1_20",20,"Veg"
"57",57,"07/08/2021 18:27:37",21.28,"MC","MC","S_MCH_V1_20",20,"Veg"
"58",58,"07/08/2021 19:27:37",19.65,"MC","MC","S_MCH_V1_20",20,"Veg"
"59",59,"07/08/2021 20:27:37",19.26,"MC","MC","S_MCH_V1_20",20,"Veg"
"60",60,"07/08/2021 21:27:37",19.52,"MC","MC","S_MCH_V1_20",20,"Veg"
"61",61,"07/08/2021 22:27:37",18.7,"MC","MC","S_MCH_V1_20",20,"Veg"
"62",62,"07/08/2021 23:27:37",17.59,"MC","MC","S_MCH_V1_20",20,"Veg"
"63",63,"07/09/2021 00:27:37",17.59,"MC","MC","S_MCH_V1_20",20,"Veg"
"64",64,"07/09/2021 01:27:37",18.14,"MC","MC","S_MCH_V1_20",20,"Veg"
"65",65,"07/09/2021 02:27:37",18.53,"MC","MC","S_MCH_V1_20",20,"Veg"
"66",66,"07/09/2021 03:27:37",18.53,"MC","MC","S_MCH_V1_20",20,"Veg"
"67",67,"07/09/2021 04:27:37",18.57,"MC","MC","S_MCH_V1_20",20,"Veg"
"68",68,"07/09/2021 05:27:37",18.79,"MC","MC","S_MCH_V1_20",20,"Veg"
"69",69,"07/09/2021 06:27:37",19.13,"MC","MC","S_MCH_V1_20",20,"Veg"
"70",70,"07/09/2021 07:27:37",19.9,"MC","MC","S_MCH_V1_20",20,"Veg"
"71",71,"07/09/2021 08:27:37",20.93,"MC","MC","S_MCH_V1_20",20,"Veg"
"72",72,"07/09/2021 09:27:37",23.29,"MC","MC","S_MCH_V1_20",20,"Veg"
"73",73,"07/09/2021 10:27:37",24.45,"MC","MC","S_MCH_V1_20",20,"Veg"
"74",74,"07/09/2021 11:27:37",25.91,"MC","MC","S_MCH_V1_20",20,"Veg"
"75",75,"07/09/2021 12:27:37",27.15,"MC","MC","S_MCH_V1_20",20,"Veg"
"76",76,"07/09/2021 13:27:37",27.07,"MC","MC","S_MCH_V1_20",20,"Veg"
"77",77,"07/09/2021 14:27:37",25.74,"MC","MC","S_MCH_V1_20",20,"Veg"
"78",78,"07/09/2021 15:27:37",26.9,"MC","MC","S_MCH_V1_20",20,"Veg"
"79",79,"07/09/2021 16:27:37",25.18,"MC","MC","S_MCH_V1_20",20,"Veg"
"80",80,"07/09/2021 17:27:37",24.58,"MC","MC","S_MCH_V1_20",20,"Veg"
"81",81,"07/09/2021 18:27:37",20.72,"MC","MC","S_MCH_V1_20",20,"Veg"
"82",82,"07/09/2021 19:27:37",19.35,"MC","MC","S_MCH_V1_20",20,"Veg"
"83",83,"07/09/2021 20:27:37",18.7,"MC","MC","S_MCH_V1_20",20,"Veg"
"84",84,"07/09/2021 21:27:37",18.49,"MC","MC","S_MCH_V1_20",20,"Veg"
"85",85,"07/09/2021 22:27:37",17.84,"MC","MC","S_MCH_V1_20",20,"Veg"
"86",86,"07/09/2021 23:27:37",17.63,"MC","MC","S_MCH_V1_20",20,"Veg"
"87",87,"07/10/2021 00:27:37",17.11,"MC","MC","S_MCH_V1_20",20,"Veg"
"88",88,"07/10/2021 01:27:37",14.63,"MC","MC","S_MCH_V1_20",20,"Veg"
"89",89,"07/10/2021 02:27:37",12.4,"MC","MC","S_MCH_V1_20",20,"Veg"
"90",90,"07/10/2021 03:27:37",11.54,"MC","MC","S_MCH_V1_20",20,"Veg"
"91",91,"07/10/2021 04:27:37",10.72,"MC","MC","S_MCH_V1_20",20,"Veg"
"92",92,"07/10/2021 05:27:37",10.16,"MC","MC","S_MCH_V1_20",20,"Veg"
"93",93,"07/10/2021 06:27:37",11.41,"MC","MC","S_MCH_V1_20",20,"Veg"
"94",94,"07/10/2021 07:27:37",20.16,"MC","MC","S_MCH_V1_20",20,"Veg"
"95",95,"07/10/2021 08:27:37",23.38,"MC","MC","S_MCH_V1_20",20,"Veg"
"96",96,"07/10/2021 09:27:37",24.92,"MC","MC","S_MCH_V1_20",20,"Veg"
"97",97,"07/10/2021 10:27:37",25.09,"MC","MC","S_MCH_V1_20",20,"Veg"
"98",98,"07/10/2021 11:27:37",25.74,"MC","MC","S_MCH_V1_20",20,"Veg"
"99",99,"07/10/2021 12:27:37",27.28,"MC","MC","S_MCH_V1_20",20,"Veg"
"100",100,"07/10/2021 13:27:37",27.54,"MC","MC","S_MCH_V1_20",20,"Veg"
"101",101,"07/10/2021 14:27:37",27.93,"MC","MC","S_MCH_V1_20",20,"Veg"
"102",102,"07/10/2021 15:27:37",28.1,"MC","MC","S_MCH_V1_20",20,"Veg"
"103",103,"07/10/2021 16:27:37",27.07,"MC","MC","S_MCH_V1_20",20,"Veg"
"104",104,"07/10/2021 17:27:37",26.38,"MC","MC","S_MCH_V1_20",20,"Veg"
"105",105,"07/10/2021 18:27:37",26.12,"MC","MC","S_MCH_V1_20",20,"Veg"
"106",106,"07/10/2021 19:27:37",20.29,"MC","MC","S_MCH_V1_20",20,"Veg"
"107",107,"07/10/2021 20:27:37",16.56,"MC","MC","S_MCH_V1_20",20,"Veg"
"108",108,"07/10/2021 21:27:37",12.82,"MC","MC","S_MCH_V1_20",20,"Veg"
"109",109,"07/10/2021 22:27:37",11.71,"MC","MC","S_MCH_V1_20",20,"Veg"
"110",110,"07/10/2021 23:27:37",10.81,"MC","MC","S_MCH_V1_20",20,"Veg"
"111",111,"07/11/2021 00:27:37",10.16,"MC","MC","S_MCH_V1_20",20,"Veg"
"112",112,"07/11/2021 01:27:37",9.56,"MC","MC","S_MCH_V1_20",20,"Veg"
"113",113,"07/11/2021 02:27:37",9.22,"MC","MC","S_MCH_V1_20",20,"Veg"
"114",114,"07/11/2021 03:27:37",8.96,"MC","MC","S_MCH_V1_20",20,"Veg"
"115",115,"07/11/2021 04:27:37",8.71,"MC","MC","S_MCH_V1_20",20,"Veg"
"116",116,"07/11/2021 05:27:37",8.66,"MC","MC","S_MCH_V1_20",20,"Veg"
"117",117,"07/11/2021 06:27:37",11.41,"MC","MC","S_MCH_V1_20",20,"Veg"
"118",118,"07/11/2021 07:27:37",17.97,"MC","MC","S_MCH_V1_20",20,"Veg"
"119",119,"07/11/2021 08:27:37",22.52,"MC","MC","S_MCH_V1_20",20,"Veg"
"120",120,"07/11/2021 09:27:37",23.76,"MC","MC","S_MCH_V1_20",20,"Veg"
"121",121,"07/11/2021 10:27:37",26.94,"MC","MC","S_MCH_V1_20",20,"Veg"
"122",122,"07/11/2021 11:27:37",28.48,"MC","MC","S_MCH_V1_20",20,"Veg"
"123",123,"07/11/2021 12:27:37",29.34,"MC","MC","S_MCH_V1_20",20,"Veg"
"124",124,"07/11/2021 13:27:37",29.6,"MC","MC","S_MCH_V1_20",20,"Veg"
"125",125,"07/11/2021 14:27:37",30.2,"MC","MC","S_MCH_V1_20",20,"Veg"
"126",126,"07/11/2021 15:27:37",26.34,"MC","MC","S_MCH_V1_20",20,"Veg"
"127",127,"07/11/2021 16:27:37",25.91,"MC","MC","S_MCH_V1_20",20,"Veg"
"128",128,"07/11/2021 17:27:37",24.75,"MC","MC","S_MCH_V1_20",20,"Veg"
"129",129,"07/11/2021 18:27:37",23.08,"MC","MC","S_MCH_V1_20",20,"Veg"
"130",130,"07/11/2021 19:27:37",21.62,"MC","MC","S_MCH_V1_20",20,"Veg"
"131",131,"07/11/2021 20:27:37",20.59,"MC","MC","S_MCH_V1_20",20,"Veg"
"132",132,"07/11/2021 21:27:37",19.26,"MC","MC","S_MCH_V1_20",20,"Veg"
"133",133,"07/11/2021 22:27:37",19.39,"MC","MC","S_MCH_V1_20",20,"Veg"
"134",134,"07/11/2021 23:27:37",19.05,"MC","MC","S_MCH_V1_20",20,"Veg"
"135",135,"07/12/2021 00:27:37",18.44,"MC","MC","S_MCH_V1_20",20,"Veg"
"136",136,"07/12/2021 01:27:37",17.97,"MC","MC","S_MCH_V1_20",20,"Veg"
"137",137,"07/12/2021 02:27:37",18.06,"MC","MC","S_MCH_V1_20",20,"Veg"
"138",138,"07/12/2021 03:27:37",17.72,"MC","MC","S_MCH_V1_20",20,"Veg"
"139",139,"07/12/2021 04:27:37",17.2,"MC","MC","S_MCH_V1_20",20,"Veg"
"140",140,"07/12/2021 05:27:37",17.03,"MC","MC","S_MCH_V1_20",20,"Veg"
"141",141,"07/12/2021 06:27:37",17.63,"MC","MC","S_MCH_V1_20",20,"Veg"
"142",142,"07/12/2021 07:27:37",18.57,"MC","MC","S_MCH_V1_20",20,"Veg"
"143",143,"07/12/2021 08:27:37",19.22,"MC","MC","S_MCH_V1_20",20,"Veg"
"144",144,"07/12/2021 09:27:37",19.95,"MC","MC","S_MCH_V1_20",20,"Veg"
"145",145,"07/12/2021 10:27:37",21.62,"MC","MC","S_MCH_V1_20",20,"Veg"
