Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,01/13/2022 14:56:29,2.49,UP,MC,MCN_H1,60,Herbivore
2,01/13/2022 14:56:42,NA,UP,MC,MCN_H1,60,Herbivore
3,01/13/2022 15:56:29,0.25,UP,MC,MCN_H1,60,Herbivore
4,01/13/2022 16:52:12,NA,UP,MC,MCN_H1,60,Herbivore
5,01/13/2022 16:56:29,-2.36,UP,MC,MCN_H1,60,Herbivore
6,01/13/2022 17:56:29,-3.22,UP,MC,MCN_H1,60,Herbivore
7,01/13/2022 18:56:29,-3.82,UP,MC,MCN_H1,60,Herbivore
8,01/13/2022 19:56:29,-4.34,UP,MC,MCN_H1,60,Herbivore
9,01/13/2022 20:56:29,-4.64,UP,MC,MCN_H1,60,Herbivore
10,01/13/2022 21:56:29,-4.51,UP,MC,MCN_H1,60,Herbivore
11,01/13/2022 22:56:29,-4.68,UP,MC,MCN_H1,60,Herbivore
12,01/13/2022 23:56:29,-4.59,UP,MC,MCN_H1,60,Herbivore
13,01/14/2022 00:56:29,-4.89,UP,MC,MCN_H1,60,Herbivore
14,01/14/2022 01:56:29,-5.02,UP,MC,MCN_H1,60,Herbivore
15,01/14/2022 02:56:29,-5.28,UP,MC,MCN_H1,60,Herbivore
16,01/14/2022 03:56:29,-5.19,UP,MC,MCN_H1,60,Herbivore
17,01/14/2022 04:56:29,-5.02,UP,MC,MCN_H1,60,Herbivore
18,01/14/2022 05:56:29,-5.24,UP,MC,MCN_H1,60,Herbivore
19,01/14/2022 06:56:29,-5.67,UP,MC,MCN_H1,60,Herbivore
20,01/14/2022 07:56:29,-5.97,UP,MC,MCN_H1,60,Herbivore
21,01/14/2022 08:56:29,-5.24,UP,MC,MCN_H1,60,Herbivore
22,01/14/2022 09:56:29,-4.72,UP,MC,MCN_H1,60,Herbivore
23,01/14/2022 10:56:29,-4.81,UP,MC,MCN_H1,60,Herbivore
24,01/14/2022 11:56:29,-6.18,UP,MC,MCN_H1,60,Herbivore
25,01/14/2022 12:56:29,-7.38,UP,MC,MCN_H1,60,Herbivore
26,01/14/2022 13:56:29,-7.9,UP,MC,MCN_H1,60,Herbivore
27,01/14/2022 14:56:29,-10.26,UP,MC,MCN_H1,60,Herbivore
28,01/14/2022 15:56:29,-12.44,UP,MC,MCN_H1,60,Herbivore
29,01/14/2022 16:56:29,-14.37,UP,MC,MCN_H1,60,Herbivore
30,01/14/2022 17:56:29,-15.32,UP,MC,MCN_H1,60,Herbivore
31,01/14/2022 18:56:29,-16.39,UP,MC,MCN_H1,60,Herbivore
32,01/14/2022 19:56:29,-17.33,UP,MC,MCN_H1,60,Herbivore
33,01/14/2022 20:56:29,-18.02,UP,MC,MCN_H1,60,Herbivore
34,01/14/2022 21:56:29,-19.14,UP,MC,MCN_H1,60,Herbivore
35,01/14/2022 22:56:29,-19.78,UP,MC,MCN_H1,60,Herbivore
36,01/14/2022 23:56:29,-20.08,UP,MC,MCN_H1,60,Herbivore
37,01/15/2022 00:56:29,-20.85,UP,MC,MCN_H1,60,Herbivore
38,01/15/2022 01:56:29,-21.41,UP,MC,MCN_H1,60,Herbivore
39,01/15/2022 02:56:29,-22.01,UP,MC,MCN_H1,60,Herbivore
40,01/15/2022 03:56:29,-22.53,UP,MC,MCN_H1,60,Herbivore
41,01/15/2022 04:56:29,-22.83,UP,MC,MCN_H1,60,Herbivore
42,01/15/2022 05:56:29,-22.35,UP,MC,MCN_H1,60,Herbivore
