Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/29/21 10:59,23.51,UP,MC,S_MCN_P1,20,Predator
2,7/29/21 11:59,22.56,UP,MC,S_MCN_P1,20,Predator
3,7/29/21 12:59,22.48,UP,MC,S_MCN_P1,20,Predator
4,7/29/21 13:59,22.56,UP,MC,S_MCN_P1,20,Predator
5,7/29/21 14:59,22.43,UP,MC,S_MCN_P1,20,Predator
6,7/29/21 15:59,22.43,UP,MC,S_MCN_P1,20,Predator
7,7/29/21 16:59,22.39,UP,MC,S_MCN_P1,20,Predator
8,7/29/21 17:59,22.43,UP,MC,S_MCN_P1,20,Predator
9,7/29/21 18:59,22.86,UP,MC,S_MCN_P1,20,Predator
10,7/29/21 19:59,22.52,UP,MC,S_MCN_P1,20,Predator
11,7/29/21 20:59,22.48,UP,MC,S_MCN_P1,20,Predator
12,7/29/21 21:59,22.91,UP,MC,S_MCN_P1,20,Predator
13,7/29/21 22:59,22.48,UP,MC,S_MCN_P1,20,Predator
14,7/29/21 23:59,22.91,UP,MC,S_MCN_P1,20,Predator
15,7/30/21 0:59,22.95,UP,MC,S_MCN_P1,20,Predator
16,7/30/21 1:59,22.95,UP,MC,S_MCN_P1,20,Predator
17,7/30/21 2:59,22.95,UP,MC,S_MCN_P1,20,Predator
18,7/30/21 3:59,22.99,UP,MC,S_MCN_P1,20,Predator
19,7/30/21 4:59,23.03,UP,MC,S_MCN_P1,20,Predator
20,7/30/21 5:59,23.08,UP,MC,S_MCN_P1,20,Predator
21,7/30/21 6:59,22.86,UP,MC,S_MCN_P1,20,Predator
22,7/30/21 7:59,23.12,UP,MC,S_MCN_P1,20,Predator
23,7/30/21 8:59,23.08,UP,MC,S_MCN_P1,20,Predator
24,7/30/21 9:59,22.86,UP,MC,S_MCN_P1,20,Predator
25,7/30/21 10:59,22.91,UP,MC,S_MCN_P1,20,Predator
26,7/30/21 11:59,22.61,UP,MC,S_MCN_P1,20,Predator
27,7/30/21 12:59,22.56,UP,MC,S_MCN_P1,20,Predator
28,7/30/21 13:59,22.65,UP,MC,S_MCN_P1,20,Predator
29,7/30/21 14:59,22.52,UP,MC,S_MCN_P1,20,Predator
30,7/30/21 15:59,22.52,UP,MC,S_MCN_P1,20,Predator
31,7/30/21 16:59,22.43,UP,MC,S_MCN_P1,20,Predator
32,7/30/21 17:59,22.56,UP,MC,S_MCN_P1,20,Predator
33,7/30/21 18:59,22.82,UP,MC,S_MCN_P1,20,Predator
34,7/30/21 19:59,22.78,UP,MC,S_MCN_P1,20,Predator
35,7/30/21 20:59,22.65,UP,MC,S_MCN_P1,20,Predator
36,7/30/21 21:59,22.69,UP,MC,S_MCN_P1,20,Predator
37,7/30/21 22:59,22.69,UP,MC,S_MCN_P1,20,Predator
38,7/30/21 23:59,22.95,UP,MC,S_MCN_P1,20,Predator
39,7/31/21 0:59,22.86,UP,MC,S_MCN_P1,20,Predator
40,7/31/21 1:59,22.86,UP,MC,S_MCN_P1,20,Predator
41,7/31/21 2:59,22.95,UP,MC,S_MCN_P1,20,Predator
42,7/31/21 3:59,23.03,UP,MC,S_MCN_P1,20,Predator
43,7/31/21 4:59,23.38,UP,MC,S_MCN_P1,20,Predator
44,7/31/21 5:59,23.51,UP,MC,S_MCN_P1,20,Predator
45,7/31/21 6:59,23.59,UP,MC,S_MCN_P1,20,Predator
46,7/31/21 7:59,23.72,UP,MC,S_MCN_P1,20,Predator
47,7/31/21 8:59,23.21,UP,MC,S_MCN_P1,20,Predator
48,7/31/21 9:59,22.91,UP,MC,S_MCN_P1,20,Predator
49,7/31/21 10:59,22.82,UP,MC,S_MCN_P1,20,Predator
50,7/31/21 11:59,22.69,UP,MC,S_MCN_P1,20,Predator
51,7/31/21 12:59,22.95,UP,MC,S_MCN_P1,20,Predator
52,7/31/21 13:59,22.99,UP,MC,S_MCN_P1,20,Predator
53,7/31/21 14:59,22.99,UP,MC,S_MCN_P1,20,Predator
54,7/31/21 15:59,22.82,UP,MC,S_MCN_P1,20,Predator
55,7/31/21 16:59,22.86,UP,MC,S_MCN_P1,20,Predator
56,7/31/21 17:59,22.95,UP,MC,S_MCN_P1,20,Predator
57,7/31/21 18:59,22.91,UP,MC,S_MCN_P1,20,Predator
58,7/31/21 19:59,22.91,UP,MC,S_MCN_P1,20,Predator
59,7/31/21 20:59,22.99,UP,MC,S_MCN_P1,20,Predator
60,7/31/21 21:59,22.99,UP,MC,S_MCN_P1,20,Predator
61,7/31/21 22:59,23.08,UP,MC,S_MCN_P1,20,Predator
62,7/31/21 23:59,23.08,UP,MC,S_MCN_P1,20,Predator
63,8/1/21 0:59,23.03,UP,MC,S_MCN_P1,20,Predator
64,8/1/21 1:59,23.16,UP,MC,S_MCN_P1,20,Predator
65,8/1/21 2:59,23.12,UP,MC,S_MCN_P1,20,Predator
66,8/1/21 3:59,23.38,UP,MC,S_MCN_P1,20,Predator
67,8/1/21 4:59,23.64,UP,MC,S_MCN_P1,20,Predator
68,8/1/21 5:59,23.72,UP,MC,S_MCN_P1,20,Predator
69,8/1/21 6:59,23.85,UP,MC,S_MCN_P1,20,Predator
70,8/1/21 7:59,23.64,UP,MC,S_MCN_P1,20,Predator
71,8/1/21 8:59,23.25,UP,MC,S_MCN_P1,20,Predator
72,8/1/21 9:59,23.12,UP,MC,S_MCN_P1,20,Predator
73,8/1/21 10:59,23.16,UP,MC,S_MCN_P1,20,Predator
74,8/1/21 11:59,22.73,UP,MC,S_MCN_P1,20,Predator
75,8/1/21 12:59,22.78,UP,MC,S_MCN_P1,20,Predator
76,8/1/21 13:59,23.08,UP,MC,S_MCN_P1,20,Predator
77,8/1/21 14:59,22.61,UP,MC,S_MCN_P1,20,Predator
78,8/1/21 15:59,22.61,UP,MC,S_MCN_P1,20,Predator
79,8/1/21 16:59,22.56,UP,MC,S_MCN_P1,20,Predator
80,8/1/21 17:59,22.43,UP,MC,S_MCN_P1,20,Predator
81,8/1/21 18:59,22.48,UP,MC,S_MCN_P1,20,Predator
82,8/1/21 19:59,22.91,UP,MC,S_MCN_P1,20,Predator
83,8/1/21 20:59,22.95,UP,MC,S_MCN_P1,20,Predator
84,8/1/21 21:59,22.99,UP,MC,S_MCN_P1,20,Predator
85,8/1/21 22:59,23.08,UP,MC,S_MCN_P1,20,Predator
86,8/1/21 23:59,23.08,UP,MC,S_MCN_P1,20,Predator
87,8/2/21 0:59,23.12,UP,MC,S_MCN_P1,20,Predator
88,8/2/21 1:59,23.12,UP,MC,S_MCN_P1,20,Predator
89,8/2/21 2:59,23.12,UP,MC,S_MCN_P1,20,Predator
90,8/2/21 3:59,23.16,UP,MC,S_MCN_P1,20,Predator
91,8/2/21 4:59,23.21,UP,MC,S_MCN_P1,20,Predator
92,8/2/21 5:59,23.16,UP,MC,S_MCN_P1,20,Predator
93,8/2/21 6:59,23.16,UP,MC,S_MCN_P1,20,Predator
