"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/29/2021 11:01:12",24.15,"UP","MC","S_MCN_P1_60",60,"Predator"
"2",2,"07/29/2021 11:01:20",NA,"UP","MC","S_MCN_P1_60",60,"Predator"
"3",3,"07/29/2021 12:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"4",4,"07/29/2021 13:01:12",22.52,"UP","MC","S_MCN_P1_60",60,"Predator"
"5",5,"07/29/2021 14:01:12",22.52,"UP","MC","S_MCN_P1_60",60,"Predator"
"6",6,"07/29/2021 15:01:12",22.56,"UP","MC","S_MCN_P1_60",60,"Predator"
"7",7,"07/29/2021 16:01:12",22.48,"UP","MC","S_MCN_P1_60",60,"Predator"
"8",8,"07/29/2021 17:01:12",22.56,"UP","MC","S_MCN_P1_60",60,"Predator"
"9",9,"07/29/2021 18:01:12",22.56,"UP","MC","S_MCN_P1_60",60,"Predator"
"10",10,"07/29/2021 19:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"11",11,"07/29/2021 20:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"12",12,"07/29/2021 21:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"13",13,"07/29/2021 22:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"14",14,"07/29/2021 23:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"15",15,"07/30/2021 00:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"16",16,"07/30/2021 01:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"17",17,"07/30/2021 02:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"18",18,"07/30/2021 03:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"19",19,"07/30/2021 04:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"20",20,"07/30/2021 05:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"21",21,"07/30/2021 06:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"22",22,"07/30/2021 07:01:12",22.95,"UP","MC","S_MCN_P1_60",60,"Predator"
"23",23,"07/30/2021 08:01:12",23.21,"UP","MC","S_MCN_P1_60",60,"Predator"
"24",24,"07/30/2021 09:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"25",25,"07/30/2021 10:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"26",26,"07/30/2021 11:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"27",27,"07/30/2021 12:01:12",22.73,"UP","MC","S_MCN_P1_60",60,"Predator"
"28",28,"07/30/2021 13:01:12",22.69,"UP","MC","S_MCN_P1_60",60,"Predator"
"29",29,"07/30/2021 14:01:12",22.73,"UP","MC","S_MCN_P1_60",60,"Predator"
"30",30,"07/30/2021 15:01:12",22.56,"UP","MC","S_MCN_P1_60",60,"Predator"
"31",31,"07/30/2021 16:01:12",22.52,"UP","MC","S_MCN_P1_60",60,"Predator"
"32",32,"07/30/2021 17:01:12",22.56,"UP","MC","S_MCN_P1_60",60,"Predator"
"33",33,"07/30/2021 18:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"34",34,"07/30/2021 19:01:12",22.91,"UP","MC","S_MCN_P1_60",60,"Predator"
"35",35,"07/30/2021 20:01:12",22.86,"UP","MC","S_MCN_P1_60",60,"Predator"
"36",36,"07/30/2021 21:01:12",22.82,"UP","MC","S_MCN_P1_60",60,"Predator"
"37",37,"07/30/2021 22:01:12",22.82,"UP","MC","S_MCN_P1_60",60,"Predator"
"38",38,"07/30/2021 23:01:12",22.91,"UP","MC","S_MCN_P1_60",60,"Predator"
"39",39,"07/31/2021 00:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"40",40,"07/31/2021 01:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"41",41,"07/31/2021 02:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"42",42,"07/31/2021 03:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"43",43,"07/31/2021 04:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"44",44,"07/31/2021 05:01:12",23.42,"UP","MC","S_MCN_P1_60",60,"Predator"
"45",45,"07/31/2021 06:01:12",23.59,"UP","MC","S_MCN_P1_60",60,"Predator"
"46",46,"07/31/2021 07:01:12",23.72,"UP","MC","S_MCN_P1_60",60,"Predator"
"47",47,"07/31/2021 08:01:12",23.89,"UP","MC","S_MCN_P1_60",60,"Predator"
"48",48,"07/31/2021 09:01:12",23.38,"UP","MC","S_MCN_P1_60",60,"Predator"
"49",49,"07/31/2021 10:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"50",50,"07/31/2021 11:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"51",51,"07/31/2021 12:01:12",22.86,"UP","MC","S_MCN_P1_60",60,"Predator"
"52",52,"07/31/2021 13:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"53",53,"07/31/2021 14:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"54",54,"07/31/2021 15:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"55",55,"07/31/2021 16:01:12",22.91,"UP","MC","S_MCN_P1_60",60,"Predator"
"56",56,"07/31/2021 17:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"57",57,"07/31/2021 18:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"58",58,"07/31/2021 19:01:12",22.91,"UP","MC","S_MCN_P1_60",60,"Predator"
"59",59,"07/31/2021 20:01:12",22.95,"UP","MC","S_MCN_P1_60",60,"Predator"
"60",60,"07/31/2021 21:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"61",61,"07/31/2021 22:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"62",62,"07/31/2021 23:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"63",63,"08/01/2021 00:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"64",64,"08/01/2021 01:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"65",65,"08/01/2021 02:01:12",23.25,"UP","MC","S_MCN_P1_60",60,"Predator"
"66",66,"08/01/2021 03:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"67",67,"08/01/2021 04:01:12",23.42,"UP","MC","S_MCN_P1_60",60,"Predator"
"68",68,"08/01/2021 05:01:12",23.64,"UP","MC","S_MCN_P1_60",60,"Predator"
"69",69,"08/01/2021 06:01:12",23.85,"UP","MC","S_MCN_P1_60",60,"Predator"
"70",70,"08/01/2021 07:01:12",23.89,"UP","MC","S_MCN_P1_60",60,"Predator"
"71",71,"08/01/2021 08:01:12",23.72,"UP","MC","S_MCN_P1_60",60,"Predator"
"72",72,"08/01/2021 09:01:12",23.29,"UP","MC","S_MCN_P1_60",60,"Predator"
"73",73,"08/01/2021 10:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"74",74,"08/01/2021 11:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"75",75,"08/01/2021 12:01:12",22.73,"UP","MC","S_MCN_P1_60",60,"Predator"
"76",76,"08/01/2021 13:01:12",22.86,"UP","MC","S_MCN_P1_60",60,"Predator"
"77",77,"08/01/2021 14:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"78",78,"08/01/2021 15:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"79",79,"08/01/2021 16:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"80",80,"08/01/2021 17:01:12",22.61,"UP","MC","S_MCN_P1_60",60,"Predator"
"81",81,"08/01/2021 18:01:12",22.61,"UP","MC","S_MCN_P1_60",60,"Predator"
"82",82,"08/01/2021 19:01:12",22.56,"UP","MC","S_MCN_P1_60",60,"Predator"
"83",83,"08/01/2021 20:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"84",84,"08/01/2021 21:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"85",85,"08/01/2021 22:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"86",86,"08/01/2021 23:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"87",87,"08/02/2021 00:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"88",88,"08/02/2021 01:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"89",89,"08/02/2021 02:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"90",90,"08/02/2021 03:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"91",91,"08/02/2021 04:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"92",92,"08/02/2021 05:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"93",93,"08/02/2021 06:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"94",94,"08/02/2021 07:01:12",23.21,"UP","MC","S_MCN_P1_60",60,"Predator"
"95",95,"08/02/2021 08:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"96",96,"08/02/2021 09:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"97",97,"08/02/2021 10:01:12",23.25,"UP","MC","S_MCN_P1_60",60,"Predator"
"98",98,"08/02/2021 11:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"99",99,"08/02/2021 12:01:12",22.82,"UP","MC","S_MCN_P1_60",60,"Predator"
"100",100,"08/02/2021 13:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"101",101,"08/02/2021 14:01:12",22.78,"UP","MC","S_MCN_P1_60",60,"Predator"
"102",102,"08/02/2021 15:01:12",22.69,"UP","MC","S_MCN_P1_60",60,"Predator"
"103",103,"08/02/2021 16:01:12",22.73,"UP","MC","S_MCN_P1_60",60,"Predator"
"104",104,"08/02/2021 17:01:12",22.69,"UP","MC","S_MCN_P1_60",60,"Predator"
"105",105,"08/02/2021 18:01:12",22.69,"UP","MC","S_MCN_P1_60",60,"Predator"
"106",106,"08/02/2021 19:01:12",22.95,"UP","MC","S_MCN_P1_60",60,"Predator"
"107",107,"08/02/2021 20:01:12",22.99,"UP","MC","S_MCN_P1_60",60,"Predator"
"108",108,"08/02/2021 21:01:12",22.95,"UP","MC","S_MCN_P1_60",60,"Predator"
"109",109,"08/02/2021 22:01:12",22.95,"UP","MC","S_MCN_P1_60",60,"Predator"
"110",110,"08/02/2021 23:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"111",111,"08/03/2021 00:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"112",112,"08/03/2021 01:01:12",23.12,"UP","MC","S_MCN_P1_60",60,"Predator"
"113",113,"08/03/2021 02:01:12",23.03,"UP","MC","S_MCN_P1_60",60,"Predator"
"114",114,"08/03/2021 03:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"115",115,"08/03/2021 04:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"116",116,"08/03/2021 05:01:12",23.16,"UP","MC","S_MCN_P1_60",60,"Predator"
"117",117,"08/03/2021 06:01:12",23.59,"UP","MC","S_MCN_P1_60",60,"Predator"
"118",118,"08/03/2021 07:01:12",23.76,"UP","MC","S_MCN_P1_60",60,"Predator"
"119",119,"08/03/2021 08:01:12",22.52,"UP","MC","S_MCN_P1_60",60,"Predator"
"120",120,"08/03/2021 09:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"121",121,"08/03/2021 10:01:12",23.08,"UP","MC","S_MCN_P1_60",60,"Predator"
"122",122,"08/03/2021 11:01:12",22.86,"UP","MC","S_MCN_P1_60",60,"Predator"
"123",123,"08/03/2021 12:01:12",22.82,"UP","MC","S_MCN_P1_60",60,"Predator"
"124",124,"08/03/2021 13:01:12",22.73,"UP","MC","S_MCN_P1_60",60,"Predator"
"125",125,"08/03/2021 14:01:12",22.69,"UP","MC","S_MCN_P1_60",60,"Predator"
"126",126,"08/03/2021 15:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
"127",127,"08/03/2021 16:01:12",22.65,"UP","MC","S_MCN_P1_60",60,"Predator"
