Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/11/21 16:21,24.79,YF,MC,S_MCS_H1,40,Herbivore
2,7/11/21 17:21,23.94,YF,MC,S_MCS_H1,40,Herbivore
3,7/11/21 18:21,22.05,YF,MC,S_MCS_H1,40,Herbivore
4,7/11/21 19:21,20.72,YF,MC,S_MCS_H1,40,Herbivore
5,7/11/21 20:21,19.65,YF,MC,S_MCS_H1,40,Herbivore
6,7/11/21 21:21,19.09,YF,MC,S_MCS_H1,40,Herbivore
7,7/11/21 22:21,19.09,YF,MC,S_MCS_H1,40,Herbivore
8,7/11/21 23:21,18.62,YF,MC,S_MCS_H1,40,Herbivore
9,7/12/21 0:21,18.44,YF,MC,S_MCS_H1,40,Herbivore
10,7/12/21 1:21,19,YF,MC,S_MCS_H1,40,Herbivore
11,7/12/21 2:21,19.13,YF,MC,S_MCS_H1,40,Herbivore
12,7/12/21 3:21,19.09,YF,MC,S_MCS_H1,40,Herbivore
13,7/12/21 4:21,19.05,YF,MC,S_MCS_H1,40,Herbivore
14,7/12/21 5:21,19.05,YF,MC,S_MCS_H1,40,Herbivore
15,7/12/21 6:21,19.26,YF,MC,S_MCS_H1,40,Herbivore
16,7/12/21 7:21,19.77,YF,MC,S_MCS_H1,40,Herbivore
17,7/12/21 8:21,19.82,YF,MC,S_MCS_H1,40,Herbivore
18,7/12/21 9:21,18.06,YF,MC,S_MCS_H1,40,Herbivore
19,7/12/21 10:21,18.23,YF,MC,S_MCS_H1,40,Herbivore
20,7/12/21 11:21,19.73,YF,MC,S_MCS_H1,40,Herbivore
21,7/12/21 12:21,19.47,YF,MC,S_MCS_H1,40,Herbivore
22,7/12/21 13:21,20.12,YF,MC,S_MCS_H1,40,Herbivore
23,7/12/21 14:21,21.53,YF,MC,S_MCS_H1,40,Herbivore
24,7/12/21 15:21,20.8,YF,MC,S_MCS_H1,40,Herbivore
25,7/12/21 16:21,19.69,YF,MC,S_MCS_H1,40,Herbivore
26,7/12/21 17:21,19.26,YF,MC,S_MCS_H1,40,Herbivore
27,7/12/21 18:21,18.74,YF,MC,S_MCS_H1,40,Herbivore
28,7/12/21 19:21,18.4,YF,MC,S_MCS_H1,40,Herbivore
29,7/12/21 20:21,17.84,YF,MC,S_MCS_H1,40,Herbivore
30,7/12/21 21:21,17.54,YF,MC,S_MCS_H1,40,Herbivore
31,7/12/21 22:21,17.24,YF,MC,S_MCS_H1,40,Herbivore
32,7/12/21 23:21,17.16,YF,MC,S_MCS_H1,40,Herbivore
33,7/13/21 0:21,17.03,YF,MC,S_MCS_H1,40,Herbivore
34,7/13/21 1:21,16.94,YF,MC,S_MCS_H1,40,Herbivore
35,7/13/21 2:21,16.69,YF,MC,S_MCS_H1,40,Herbivore
36,7/13/21 3:21,16.47,YF,MC,S_MCS_H1,40,Herbivore
37,7/13/21 4:21,16.39,YF,MC,S_MCS_H1,40,Herbivore
38,7/13/21 5:21,16.34,YF,MC,S_MCS_H1,40,Herbivore
39,7/13/21 6:21,16.56,YF,MC,S_MCS_H1,40,Herbivore
40,7/13/21 7:21,17.2,YF,MC,S_MCS_H1,40,Herbivore
41,7/13/21 8:21,17.63,YF,MC,S_MCS_H1,40,Herbivore
42,7/13/21 9:21,19.13,YF,MC,S_MCS_H1,40,Herbivore
43,7/13/21 10:21,19.69,YF,MC,S_MCS_H1,40,Herbivore
44,7/13/21 11:21,20.37,YF,MC,S_MCS_H1,40,Herbivore
45,7/13/21 12:21,20.2,YF,MC,S_MCS_H1,40,Herbivore
46,7/13/21 13:21,20.55,YF,MC,S_MCS_H1,40,Herbivore
47,7/13/21 14:21,20.98,YF,MC,S_MCS_H1,40,Herbivore
48,7/13/21 15:21,20.63,YF,MC,S_MCS_H1,40,Herbivore
49,7/13/21 16:21,20.42,YF,MC,S_MCS_H1,40,Herbivore
50,7/13/21 17:21,20.07,YF,MC,S_MCS_H1,40,Herbivore
51,7/13/21 18:21,19.65,YF,MC,S_MCS_H1,40,Herbivore
52,7/13/21 19:21,19.22,YF,MC,S_MCS_H1,40,Herbivore
53,7/13/21 20:21,18.66,YF,MC,S_MCS_H1,40,Herbivore
54,7/13/21 21:21,18.57,YF,MC,S_MCS_H1,40,Herbivore
55,7/13/21 22:21,18.49,YF,MC,S_MCS_H1,40,Herbivore
56,7/13/21 23:21,18.36,YF,MC,S_MCS_H1,40,Herbivore
57,7/14/21 0:21,18.36,YF,MC,S_MCS_H1,40,Herbivore
58,7/14/21 1:21,18.27,YF,MC,S_MCS_H1,40,Herbivore
59,7/14/21 2:21,18.23,YF,MC,S_MCS_H1,40,Herbivore
60,7/14/21 3:21,18.27,YF,MC,S_MCS_H1,40,Herbivore
61,7/14/21 4:21,18.14,YF,MC,S_MCS_H1,40,Herbivore
62,7/14/21 5:21,18.14,YF,MC,S_MCS_H1,40,Herbivore
63,7/14/21 6:21,18.66,YF,MC,S_MCS_H1,40,Herbivore
64,7/14/21 7:21,19.13,YF,MC,S_MCS_H1,40,Herbivore
65,7/14/21 8:21,20.07,YF,MC,S_MCS_H1,40,Herbivore
66,7/14/21 9:21,20.72,YF,MC,S_MCS_H1,40,Herbivore
67,7/14/21 10:21,22.43,YF,MC,S_MCS_H1,40,Herbivore
68,7/14/21 11:21,23.59,YF,MC,S_MCS_H1,40,Herbivore
69,7/14/21 12:21,25.22,YF,MC,S_MCS_H1,40,Herbivore
70,7/14/21 13:21,27.28,YF,MC,S_MCS_H1,40,Herbivore
71,7/14/21 14:21,27.84,YF,MC,S_MCS_H1,40,Herbivore
72,7/14/21 15:21,29.34,YF,MC,S_MCS_H1,40,Herbivore
73,7/14/21 16:21,29.26,YF,MC,S_MCS_H1,40,Herbivore
74,7/14/21 17:21,27.88,YF,MC,S_MCS_H1,40,Herbivore
75,7/14/21 18:21,29.26,YF,MC,S_MCS_H1,40,Herbivore
76,7/14/21 19:21,25.27,YF,MC,S_MCS_H1,40,Herbivore
77,7/14/21 20:21,21.83,YF,MC,S_MCS_H1,40,Herbivore
78,7/14/21 21:21,19.69,YF,MC,S_MCS_H1,40,Herbivore
79,7/14/21 22:21,19.05,YF,MC,S_MCS_H1,40,Herbivore
80,7/14/21 23:21,19.13,YF,MC,S_MCS_H1,40,Herbivore
81,7/15/21 0:21,17.8,YF,MC,S_MCS_H1,40,Herbivore
82,7/15/21 1:21,17.46,YF,MC,S_MCS_H1,40,Herbivore
