Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/11 16:25:24,24.88,YF,MC,S_MCS_P1,20,Predator
2,2021/07/11 17:25:24,23.81,YF,MC,S_MCS_P1,20,Predator
3,2021/07/11 18:25:24,21.96,YF,MC,S_MCS_P1,20,Predator
4,2021/07/11 19:25:24,20.85,YF,MC,S_MCS_P1,20,Predator
5,2021/07/11 20:25:24,19.90,YF,MC,S_MCS_P1,20,Predator
6,2021/07/11 21:25:24,19.43,YF,MC,S_MCS_P1,20,Predator
7,2021/07/11 22:25:24,19.26,YF,MC,S_MCS_P1,20,Predator
8,2021/07/11 23:25:24,18.96,YF,MC,S_MCS_P1,20,Predator
9,2021/07/12 00:25:24,18.83,YF,MC,S_MCS_P1,20,Predator
10,2021/07/12 01:25:24,19.26,YF,MC,S_MCS_P1,20,Predator
11,2021/07/12 02:25:24,19.35,YF,MC,S_MCS_P1,20,Predator
12,2021/07/12 03:25:24,19.30,YF,MC,S_MCS_P1,20,Predator
13,2021/07/12 04:25:24,19.22,YF,MC,S_MCS_P1,20,Predator
14,2021/07/12 05:25:24,19.17,YF,MC,S_MCS_P1,20,Predator
15,2021/07/12 06:25:24,19.43,YF,MC,S_MCS_P1,20,Predator
16,2021/07/12 07:25:24,20.03,YF,MC,S_MCS_P1,20,Predator
17,2021/07/12 08:25:24,19.95,YF,MC,S_MCS_P1,20,Predator
18,2021/07/12 09:25:24,18.23,YF,MC,S_MCS_P1,20,Predator
19,2021/07/12 10:25:24,18.53,YF,MC,S_MCS_P1,20,Predator
20,2021/07/12 11:25:24,19.77,YF,MC,S_MCS_P1,20,Predator
21,2021/07/12 12:25:24,19.43,YF,MC,S_MCS_P1,20,Predator
22,2021/07/12 13:25:24,20.16,YF,MC,S_MCS_P1,20,Predator
23,2021/07/12 14:25:24,21.40,YF,MC,S_MCS_P1,20,Predator
24,2021/07/12 15:25:24,20.89,YF,MC,S_MCS_P1,20,Predator
25,2021/07/12 16:25:24,19.73,YF,MC,S_MCS_P1,20,Predator
26,2021/07/12 17:25:24,19.26,YF,MC,S_MCS_P1,20,Predator
27,2021/07/12 18:25:24,18.74,YF,MC,S_MCS_P1,20,Predator
28,2021/07/12 19:25:24,18.40,YF,MC,S_MCS_P1,20,Predator
29,2021/07/12 20:25:24,17.97,YF,MC,S_MCS_P1,20,Predator
30,2021/07/12 21:25:24,17.63,YF,MC,S_MCS_P1,20,Predator
31,2021/07/12 22:25:24,17.50,YF,MC,S_MCS_P1,20,Predator
32,2021/07/12 23:25:24,17.33,YF,MC,S_MCS_P1,20,Predator
33,2021/07/13 00:25:24,17.20,YF,MC,S_MCS_P1,20,Predator
34,2021/07/13 01:25:24,17.03,YF,MC,S_MCS_P1,20,Predator
35,2021/07/13 02:25:24,16.86,YF,MC,S_MCS_P1,20,Predator
36,2021/07/13 03:25:24,16.56,YF,MC,S_MCS_P1,20,Predator
37,2021/07/13 04:25:24,16.56,YF,MC,S_MCS_P1,20,Predator
38,2021/07/13 05:25:24,16.56,YF,MC,S_MCS_P1,20,Predator
39,2021/07/13 06:25:24,16.73,YF,MC,S_MCS_P1,20,Predator
40,2021/07/13 07:25:24,17.24,YF,MC,S_MCS_P1,20,Predator
41,2021/07/13 08:25:24,17.93,YF,MC,S_MCS_P1,20,Predator
42,2021/07/13 09:25:24,19.39,YF,MC,S_MCS_P1,20,Predator
43,2021/07/13 10:25:24,19.69,YF,MC,S_MCS_P1,20,Predator
44,2021/07/13 11:25:24,20.46,YF,MC,S_MCS_P1,20,Predator
45,2021/07/13 12:25:24,20.12,YF,MC,S_MCS_P1,20,Predator
46,2021/07/13 13:25:24,20.80,YF,MC,S_MCS_P1,20,Predator
47,2021/07/13 14:25:24,20.98,YF,MC,S_MCS_P1,20,Predator
48,2021/07/13 15:25:24,20.68,YF,MC,S_MCS_P1,20,Predator
49,2021/07/13 16:25:24,20.50,YF,MC,S_MCS_P1,20,Predator
50,2021/07/13 17:25:24,20.20,YF,MC,S_MCS_P1,20,Predator
51,2021/07/13 18:25:24,19.77,YF,MC,S_MCS_P1,20,Predator
52,2021/07/13 19:25:24,19.26,YF,MC,S_MCS_P1,20,Predator
53,2021/07/13 20:25:24,18.83,YF,MC,S_MCS_P1,20,Predator
54,2021/07/13 21:25:24,18.74,YF,MC,S_MCS_P1,20,Predator
55,2021/07/13 22:25:24,18.57,YF,MC,S_MCS_P1,20,Predator
56,2021/07/13 23:25:24,18.49,YF,MC,S_MCS_P1,20,Predator
57,2021/07/14 00:25:24,18.40,YF,MC,S_MCS_P1,20,Predator
58,2021/07/14 01:25:24,18.44,YF,MC,S_MCS_P1,20,Predator
59,2021/07/14 02:25:24,18.36,YF,MC,S_MCS_P1,20,Predator
60,2021/07/14 03:25:24,18.40,YF,MC,S_MCS_P1,20,Predator
61,2021/07/14 04:25:24,18.36,YF,MC,S_MCS_P1,20,Predator
62,2021/07/14 05:25:24,18.36,YF,MC,S_MCS_P1,20,Predator
63,2021/07/14 06:25:24,18.74,YF,MC,S_MCS_P1,20,Predator
64,2021/07/14 07:25:24,19.26,YF,MC,S_MCS_P1,20,Predator
