Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/3/21 12:08,18.57,SC,SC,S_SCH_H1,60,Herbivore
2,7/3/21 12:09,,SC,SC,S_SCH_H1,60,Herbivore
3,7/3/21 13:08,16.43,SC,SC,S_SCH_H1,60,Herbivore
4,7/3/21 14:08,18.66,SC,SC,S_SCH_H1,60,Herbivore
5,7/3/21 15:08,16.04,SC,SC,S_SCH_H1,60,Herbivore
6,7/3/21 16:08,16.43,SC,SC,S_SCH_H1,60,Herbivore
7,7/3/21 17:08,16.17,SC,SC,S_SCH_H1,60,Herbivore
8,7/3/21 18:08,15.53,SC,SC,S_SCH_H1,60,Herbivore
9,7/3/21 19:08,14.8,SC,SC,S_SCH_H1,60,Herbivore
10,7/3/21 20:08,13.85,SC,SC,S_SCH_H1,60,Herbivore
11,7/3/21 21:08,12.95,SC,SC,S_SCH_H1,60,Herbivore
12,7/3/21 22:08,12.61,SC,SC,S_SCH_H1,60,Herbivore
13,7/3/21 23:08,12.65,SC,SC,S_SCH_H1,60,Herbivore
14,7/4/21 0:08,12.65,SC,SC,S_SCH_H1,60,Herbivore
15,7/4/21 1:08,12.44,SC,SC,S_SCH_H1,60,Herbivore
16,7/4/21 2:08,12.31,SC,SC,S_SCH_H1,60,Herbivore
17,7/4/21 3:08,12.27,SC,SC,S_SCH_H1,60,Herbivore
18,7/4/21 4:08,12.18,SC,SC,S_SCH_H1,60,Herbivore
19,7/4/21 5:08,12.1,SC,SC,S_SCH_H1,60,Herbivore
20,7/4/21 6:08,12.35,SC,SC,S_SCH_H1,60,Herbivore
21,7/4/21 7:08,13.3,SC,SC,S_SCH_H1,60,Herbivore
22,7/4/21 8:08,13.64,SC,SC,S_SCH_H1,60,Herbivore
23,7/4/21 9:08,15.27,SC,SC,S_SCH_H1,60,Herbivore
24,7/4/21 10:08,16.34,SC,SC,S_SCH_H1,60,Herbivore
25,7/4/21 11:08,19.82,SC,SC,S_SCH_H1,60,Herbivore
26,7/4/21 12:08,21.79,SC,SC,S_SCH_H1,60,Herbivore
27,7/4/21 13:08,20.59,SC,SC,S_SCH_H1,60,Herbivore
28,7/4/21 14:08,24.24,SC,SC,S_SCH_H1,60,Herbivore
29,7/4/21 15:08,22.09,SC,SC,S_SCH_H1,60,Herbivore
30,7/4/21 16:08,22.01,SC,SC,S_SCH_H1,60,Herbivore
31,7/4/21 17:08,21.53,SC,SC,S_SCH_H1,60,Herbivore
32,7/4/21 18:08,20.85,SC,SC,S_SCH_H1,60,Herbivore
33,7/4/21 19:08,19.09,SC,SC,S_SCH_H1,60,Herbivore
34,7/4/21 20:08,16,SC,SC,S_SCH_H1,60,Herbivore
35,7/4/21 21:08,14.54,SC,SC,S_SCH_H1,60,Herbivore
36,7/4/21 22:08,13.73,SC,SC,S_SCH_H1,60,Herbivore
37,7/4/21 23:08,13.43,SC,SC,S_SCH_H1,60,Herbivore
38,7/5/21 0:08,13.98,SC,SC,S_SCH_H1,60,Herbivore
39,7/5/21 1:08,14.75,SC,SC,S_SCH_H1,60,Herbivore
40,7/5/21 2:08,14.8,SC,SC,S_SCH_H1,60,Herbivore
41,7/5/21 3:08,14.33,SC,SC,S_SCH_H1,60,Herbivore
42,7/5/21 4:08,13.9,SC,SC,S_SCH_H1,60,Herbivore
43,7/5/21 5:08,13.85,SC,SC,S_SCH_H1,60,Herbivore
44,7/5/21 6:08,14.41,SC,SC,S_SCH_H1,60,Herbivore
45,7/5/21 7:08,14.33,SC,SC,S_SCH_H1,60,Herbivore
46,7/5/21 8:08,15.66,SC,SC,S_SCH_H1,60,Herbivore
47,7/5/21 9:08,18.62,SC,SC,S_SCH_H1,60,Herbivore
48,7/5/21 10:08,18.74,SC,SC,S_SCH_H1,60,Herbivore
49,7/5/21 11:08,19.3,SC,SC,S_SCH_H1,60,Herbivore
50,7/5/21 12:08,20.85,SC,SC,S_SCH_H1,60,Herbivore
51,7/5/21 13:08,24.06,SC,SC,S_SCH_H1,60,Herbivore
52,7/5/21 14:08,24.79,SC,SC,S_SCH_H1,60,Herbivore
53,7/5/21 15:08,27.63,SC,SC,S_SCH_H1,60,Herbivore
54,7/5/21 16:08,26.6,SC,SC,S_SCH_H1,60,Herbivore
55,7/5/21 17:08,25.99,SC,SC,S_SCH_H1,60,Herbivore
56,7/5/21 18:08,22.91,SC,SC,S_SCH_H1,60,Herbivore
57,7/5/21 19:08,21.49,SC,SC,S_SCH_H1,60,Herbivore
58,7/5/21 20:08,20.85,SC,SC,S_SCH_H1,60,Herbivore
59,7/5/21 21:08,20.33,SC,SC,S_SCH_H1,60,Herbivore
60,7/5/21 22:08,19.9,SC,SC,S_SCH_H1,60,Herbivore
