"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/03/2021 11:43:42",19.9,"SC","SC","S_SCH_P1_40",40,"Predator"
"2",2,"07/03/2021 12:43:42",16.26,"SC","SC","S_SCH_P1_40",40,"Predator"
"3",3,"07/03/2021 13:43:42",16.94,"SC","SC","S_SCH_P1_40",40,"Predator"
"4",4,"07/03/2021 14:43:42",16.73,"SC","SC","S_SCH_P1_40",40,"Predator"
"5",5,"07/03/2021 15:43:42",15.44,"SC","SC","S_SCH_P1_40",40,"Predator"
"6",6,"07/03/2021 16:43:42",16.6,"SC","SC","S_SCH_P1_40",40,"Predator"
"7",7,"07/03/2021 17:43:42",15.78,"SC","SC","S_SCH_P1_40",40,"Predator"
"8",8,"07/03/2021 18:43:42",14.8,"SC","SC","S_SCH_P1_40",40,"Predator"
"9",9,"07/03/2021 19:43:42",14.07,"SC","SC","S_SCH_P1_40",40,"Predator"
"10",10,"07/03/2021 20:43:42",13.17,"SC","SC","S_SCH_P1_40",40,"Predator"
"11",11,"07/03/2021 21:43:42",12.65,"SC","SC","S_SCH_P1_40",40,"Predator"
"12",12,"07/03/2021 22:43:42",12.7,"SC","SC","S_SCH_P1_40",40,"Predator"
"13",13,"07/03/2021 23:43:42",12.65,"SC","SC","S_SCH_P1_40",40,"Predator"
"14",14,"07/04/2021 00:43:42",12.57,"SC","SC","S_SCH_P1_40",40,"Predator"
"15",15,"07/04/2021 01:43:42",12.35,"SC","SC","S_SCH_P1_40",40,"Predator"
"16",16,"07/04/2021 02:43:42",12.31,"SC","SC","S_SCH_P1_40",40,"Predator"
"17",17,"07/04/2021 03:43:42",12.22,"SC","SC","S_SCH_P1_40",40,"Predator"
"18",18,"07/04/2021 04:43:42",12.1,"SC","SC","S_SCH_P1_40",40,"Predator"
"19",19,"07/04/2021 05:43:42",12.22,"SC","SC","S_SCH_P1_40",40,"Predator"
"20",20,"07/04/2021 06:43:42",12.91,"SC","SC","S_SCH_P1_40",40,"Predator"
"21",21,"07/04/2021 07:43:42",13.25,"SC","SC","S_SCH_P1_40",40,"Predator"
"22",22,"07/04/2021 08:43:42",14.54,"SC","SC","S_SCH_P1_40",40,"Predator"
"23",23,"07/04/2021 09:43:42",15.83,"SC","SC","S_SCH_P1_40",40,"Predator"
"24",24,"07/04/2021 10:43:42",17.84,"SC","SC","S_SCH_P1_40",40,"Predator"
"25",25,"07/04/2021 11:43:42",20.85,"SC","SC","S_SCH_P1_40",40,"Predator"
"26",26,"07/04/2021 12:43:42",19.52,"SC","SC","S_SCH_P1_40",40,"Predator"
"27",27,"07/04/2021 13:43:42",21.36,"SC","SC","S_SCH_P1_40",40,"Predator"
"28",28,"07/04/2021 14:43:42",23.94,"SC","SC","S_SCH_P1_40",40,"Predator"
"29",29,"07/04/2021 15:43:42",20.85,"SC","SC","S_SCH_P1_40",40,"Predator"
"30",30,"07/04/2021 16:43:42",22.61,"SC","SC","S_SCH_P1_40",40,"Predator"
"31",31,"07/04/2021 17:43:42",20.68,"SC","SC","S_SCH_P1_40",40,"Predator"
"32",32,"07/04/2021 18:43:42",19.82,"SC","SC","S_SCH_P1_40",40,"Predator"
"33",33,"07/04/2021 19:43:42",16.86,"SC","SC","S_SCH_P1_40",40,"Predator"
"34",34,"07/04/2021 20:43:42",14.93,"SC","SC","S_SCH_P1_40",40,"Predator"
"35",35,"07/04/2021 21:43:42",13.6,"SC","SC","S_SCH_P1_40",40,"Predator"
"36",36,"07/04/2021 22:43:42",13.47,"SC","SC","S_SCH_P1_40",40,"Predator"
"37",37,"07/04/2021 23:43:42",13.64,"SC","SC","S_SCH_P1_40",40,"Predator"
"38",38,"07/05/2021 00:43:42",13.81,"SC","SC","S_SCH_P1_40",40,"Predator"
"39",39,"07/05/2021 01:43:42",14.8,"SC","SC","S_SCH_P1_40",40,"Predator"
"40",40,"07/05/2021 02:43:42",14.41,"SC","SC","S_SCH_P1_40",40,"Predator"
"41",41,"07/05/2021 03:43:42",13.9,"SC","SC","S_SCH_P1_40",40,"Predator"
"42",42,"07/05/2021 04:43:42",13.81,"SC","SC","S_SCH_P1_40",40,"Predator"
"43",43,"07/05/2021 05:43:42",13.85,"SC","SC","S_SCH_P1_40",40,"Predator"
"44",44,"07/05/2021 06:43:42",13.81,"SC","SC","S_SCH_P1_40",40,"Predator"
"45",45,"07/05/2021 07:43:42",14.37,"SC","SC","S_SCH_P1_40",40,"Predator"
"46",46,"07/05/2021 08:43:42",17.2,"SC","SC","S_SCH_P1_40",40,"Predator"
"47",47,"07/05/2021 09:43:42",18.74,"SC","SC","S_SCH_P1_40",40,"Predator"
"48",48,"07/05/2021 10:43:42",18.53,"SC","SC","S_SCH_P1_40",40,"Predator"
"49",49,"07/05/2021 11:43:42",19,"SC","SC","S_SCH_P1_40",40,"Predator"
"50",50,"07/05/2021 12:43:42",22.82,"SC","SC","S_SCH_P1_40",40,"Predator"
"51",51,"07/05/2021 13:43:42",22.91,"SC","SC","S_SCH_P1_40",40,"Predator"
"52",52,"07/05/2021 14:43:42",25.78,"SC","SC","S_SCH_P1_40",40,"Predator"
"53",53,"07/05/2021 15:43:42",26.34,"SC","SC","S_SCH_P1_40",40,"Predator"
"54",54,"07/05/2021 16:43:42",31.74,"SC","SC","S_SCH_P1_40",40,"Predator"
"55",55,"07/05/2021 17:43:42",28.01,"SC","SC","S_SCH_P1_40",40,"Predator"
"56",56,"07/05/2021 18:43:42",22.18,"SC","SC","S_SCH_P1_40",40,"Predator"
"57",57,"07/05/2021 19:43:42",20.85,"SC","SC","S_SCH_P1_40",40,"Predator"
"58",58,"07/05/2021 20:43:42",20.33,"SC","SC","S_SCH_P1_40",40,"Predator"
"59",59,"07/05/2021 21:43:42",20.03,"SC","SC","S_SCH_P1_40",40,"Predator"
"60",60,"07/05/2021 22:43:42",19.52,"SC","SC","S_SCH_P1_40",40,"Predator"
"61",61,"07/05/2021 23:43:42",19.3,"SC","SC","S_SCH_P1_40",40,"Predator"
"62",62,"07/06/2021 00:43:42",19.26,"SC","SC","S_SCH_P1_40",40,"Predator"
"63",63,"07/06/2021 01:43:42",19.05,"SC","SC","S_SCH_P1_40",40,"Predator"
"64",64,"07/06/2021 02:43:42",18.79,"SC","SC","S_SCH_P1_40",40,"Predator"
"65",65,"07/06/2021 03:43:42",18.62,"SC","SC","S_SCH_P1_40",40,"Predator"
"66",66,"07/06/2021 04:43:42",18.19,"SC","SC","S_SCH_P1_40",40,"Predator"
"67",67,"07/06/2021 05:43:42",18.1,"SC","SC","S_SCH_P1_40",40,"Predator"
"68",68,"07/06/2021 06:43:42",18.66,"SC","SC","S_SCH_P1_40",40,"Predator"
"69",69,"07/06/2021 07:43:42",19.9,"SC","SC","S_SCH_P1_40",40,"Predator"
"70",70,"07/06/2021 08:43:42",21.36,"SC","SC","S_SCH_P1_40",40,"Predator"
"71",71,"07/06/2021 09:43:42",21.53,"SC","SC","S_SCH_P1_40",40,"Predator"
"72",72,"07/06/2021 10:43:42",22.82,"SC","SC","S_SCH_P1_40",40,"Predator"
"73",73,"07/06/2021 11:43:42",27.15,"SC","SC","S_SCH_P1_40",40,"Predator"
"74",74,"07/06/2021 12:43:42",31.27,"SC","SC","S_SCH_P1_40",40,"Predator"
"75",75,"07/06/2021 13:43:42",32.6,"SC","SC","S_SCH_P1_40",40,"Predator"
"76",76,"07/06/2021 14:43:42",35.05,"SC","SC","S_SCH_P1_40",40,"Predator"
"77",77,"07/06/2021 15:43:42",28.14,"SC","SC","S_SCH_P1_40",40,"Predator"
"78",78,"07/06/2021 16:43:42",20.63,"SC","SC","S_SCH_P1_40",40,"Predator"
"79",79,"07/06/2021 17:43:42",20.76,"SC","SC","S_SCH_P1_40",40,"Predator"
"80",80,"07/06/2021 18:43:42",22.22,"SC","SC","S_SCH_P1_40",40,"Predator"
"81",81,"07/06/2021 19:43:42",21.79,"SC","SC","S_SCH_P1_40",40,"Predator"
"82",82,"07/06/2021 20:43:42",20.03,"SC","SC","S_SCH_P1_40",40,"Predator"
"83",83,"07/06/2021 21:43:42",19.26,"SC","SC","S_SCH_P1_40",40,"Predator"
"84",84,"07/06/2021 22:43:42",18.32,"SC","SC","S_SCH_P1_40",40,"Predator"
"85",85,"07/06/2021 23:43:42",17.97,"SC","SC","S_SCH_P1_40",40,"Predator"
"86",86,"07/07/2021 00:43:42",17.29,"SC","SC","S_SCH_P1_40",40,"Predator"
"87",87,"07/07/2021 01:43:42",17.93,"SC","SC","S_SCH_P1_40",40,"Predator"
