Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,12/30/2022 12:53:25,15.78,SC,SC,SCH_P1,60,Predator
2,12/30/2022 13:53:25,11.24,SC,SC,SCH_P1,60,Predator
3,12/30/2022 14:53:25,10.08,SC,SC,SCH_P1,60,Predator
4,12/30/2022 15:53:25,7.98,SC,SC,SCH_P1,60,Predator
5,12/30/2022 16:53:25,7.5,SC,SC,SCH_P1,60,Predator
6,12/30/2022 17:53:25,5.66,SC,SC,SCH_P1,60,Predator
7,12/30/2022 18:53:25,5.06,SC,SC,SCH_P1,60,Predator
8,12/30/2022 19:53:25,5.49,SC,SC,SCH_P1,60,Predator
9,12/30/2022 20:53:25,5.1,SC,SC,SCH_P1,60,Predator
10,12/30/2022 21:53:25,4.03,SC,SC,SCH_P1,60,Predator
11,12/30/2022 22:53:25,3.77,SC,SC,SCH_P1,60,Predator
12,12/30/2022 23:53:25,2.83,SC,SC,SCH_P1,60,Predator
13,12/31/2022 00:53:25,2.1,SC,SC,SCH_P1,60,Predator
14,12/31/2022 01:53:25,1.84,SC,SC,SCH_P1,60,Predator
15,12/31/2022 02:53:25,2.83,SC,SC,SCH_P1,60,Predator
16,12/31/2022 03:53:25,3.69,SC,SC,SCH_P1,60,Predator
17,12/31/2022 04:53:25,4.12,SC,SC,SCH_P1,60,Predator
18,12/31/2022 05:53:25,3.56,SC,SC,SCH_P1,60,Predator
19,12/31/2022 06:53:25,2.87,SC,SC,SCH_P1,60,Predator
20,12/31/2022 07:53:25,4.24,SC,SC,SCH_P1,60,Predator
21,12/31/2022 08:53:25,6.52,SC,SC,SCH_P1,60,Predator
22,12/31/2022 09:53:25,7.55,SC,SC,SCH_P1,60,Predator
23,12/31/2022 10:53:25,8.32,SC,SC,SCH_P1,60,Predator
24,12/31/2022 11:53:25,8.15,SC,SC,SCH_P1,60,Predator
25,12/31/2022 12:53:25,8.88,SC,SC,SCH_P1,60,Predator
26,12/31/2022 13:53:25,8.62,SC,SC,SCH_P1,60,Predator
27,12/31/2022 14:53:25,8.53,SC,SC,SCH_P1,60,Predator
28,12/31/2022 15:53:25,8.32,SC,SC,SCH_P1,60,Predator
29,12/31/2022 16:53:25,8.02,SC,SC,SCH_P1,60,Predator
30,12/31/2022 17:53:25,7.76,SC,SC,SCH_P1,60,Predator
31,12/31/2022 18:53:25,7.98,SC,SC,SCH_P1,60,Predator
32,12/31/2022 19:53:25,8.45,SC,SC,SCH_P1,60,Predator
33,12/31/2022 20:53:25,8.49,SC,SC,SCH_P1,60,Predator
34,12/31/2022 21:53:25,8.32,SC,SC,SCH_P1,60,Predator
35,12/31/2022 22:53:25,8.11,SC,SC,SCH_P1,60,Predator
36,12/31/2022 23:53:25,8.06,SC,SC,SCH_P1,60,Predator
37,01/01/2023 00:53:25,7.76,SC,SC,SCH_P1,60,Predator
38,01/01/2023 01:53:25,7.08,SC,SC,SCH_P1,60,Predator
39,01/01/2023 02:53:25,6.95,SC,SC,SCH_P1,60,Predator
40,01/01/2023 03:53:25,8.19,SC,SC,SCH_P1,60,Predator
41,01/01/2023 04:53:25,8.28,SC,SC,SCH_P1,60,Predator
42,01/01/2023 05:53:25,6.82,SC,SC,SCH_P1,60,Predator
43,01/01/2023 06:53:25,5.27,SC,SC,SCH_P1,60,Predator
44,01/01/2023 07:53:25,3.86,SC,SC,SCH_P1,60,Predator
45,01/01/2023 08:53:25,4.29,SC,SC,SCH_P1,60,Predator
46,01/01/2023 09:53:25,4.42,SC,SC,SCH_P1,60,Predator
47,01/01/2023 10:53:25,7.76,SC,SC,SCH_P1,60,Predator
48,01/01/2023 11:53:25,6.9,SC,SC,SCH_P1,60,Predator
49,01/01/2023 12:53:25,7.2,SC,SC,SCH_P1,60,Predator
50,01/01/2023 13:53:25,6.39,SC,SC,SCH_P1,60,Predator
51,01/01/2023 14:53:25,6.6,SC,SC,SCH_P1,60,Predator
52,01/01/2023 15:53:25,4.24,SC,SC,SCH_P1,60,Predator
