Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/03 12:48:31,18.74,SC,SC,S_SCH_V1,40,Veg
2,2021/07/03 13:48:31,18.06,SC,SC,S_SCH_V1,40,Veg
3,2021/07/03 14:48:31,17.72,SC,SC,S_SCH_V1,40,Veg
4,2021/07/03 15:48:31,15.44,SC,SC,S_SCH_V1,40,Veg
5,2021/07/03 16:48:31,16.77,SC,SC,S_SCH_V1,40,Veg
6,2021/07/03 17:48:31,15.78,SC,SC,S_SCH_V1,40,Veg
7,2021/07/03 18:48:31,14.80,SC,SC,S_SCH_V1,40,Veg
8,2021/07/03 19:48:31,13.98,SC,SC,S_SCH_V1,40,Veg
9,2021/07/03 20:48:31,13.17,SC,SC,S_SCH_V1,40,Veg
10,2021/07/03 21:48:31,12.65,SC,SC,S_SCH_V1,40,Veg
11,2021/07/03 22:48:31,12.61,SC,SC,S_SCH_V1,40,Veg
12,2021/07/03 23:48:31,12.61,SC,SC,S_SCH_V1,40,Veg
13,2021/07/04 00:48:31,12.52,SC,SC,S_SCH_V1,40,Veg
14,2021/07/04 01:48:31,12.31,SC,SC,S_SCH_V1,40,Veg
15,2021/07/04 02:48:31,12.27,SC,SC,S_SCH_V1,40,Veg
16,2021/07/04 03:48:31,12.14,SC,SC,S_SCH_V1,40,Veg
17,2021/07/04 04:48:31,12.10,SC,SC,S_SCH_V1,40,Veg
18,2021/07/04 05:48:31,12.18,SC,SC,S_SCH_V1,40,Veg
19,2021/07/04 06:48:31,12.91,SC,SC,S_SCH_V1,40,Veg
20,2021/07/04 07:48:31,13.25,SC,SC,S_SCH_V1,40,Veg
21,2021/07/04 08:48:31,14.71,SC,SC,S_SCH_V1,40,Veg
22,2021/07/04 09:48:31,16.00,SC,SC,S_SCH_V1,40,Veg
23,2021/07/04 10:48:31,18.14,SC,SC,S_SCH_V1,40,Veg
24,2021/07/04 11:48:31,20.72,SC,SC,S_SCH_V1,40,Veg
25,2021/07/04 12:48:31,19.26,SC,SC,S_SCH_V1,40,Veg
26,2021/07/04 13:48:31,21.92,SC,SC,S_SCH_V1,40,Veg
27,2021/07/04 14:48:31,22.95,SC,SC,S_SCH_V1,40,Veg
28,2021/07/04 15:48:31,20.89,SC,SC,S_SCH_V1,40,Veg
29,2021/07/04 16:48:31,22.99,SC,SC,S_SCH_V1,40,Veg
30,2021/07/04 17:48:31,21.15,SC,SC,S_SCH_V1,40,Veg
