"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/03/2021 12:49:30",18.44,"SC","SC","S_SCH_V1_60",60,"Veg"
"2",2,"07/03/2021 13:49:30",17.46,"SC","SC","S_SCH_V1_60",60,"Veg"
"3",3,"07/03/2021 14:49:30",17.24,"SC","SC","S_SCH_V1_60",60,"Veg"
"4",4,"07/03/2021 15:49:30",15.31,"SC","SC","S_SCH_V1_60",60,"Veg"
"5",5,"07/03/2021 16:20:13",NA,"SC","SC","S_SCH_V1_60",60,"Veg"
"6",6,"07/03/2021 16:49:30",16.56,"SC","SC","S_SCH_V1_60",60,"Veg"
"7",7,"07/03/2021 17:49:30",15.57,"SC","SC","S_SCH_V1_60",60,"Veg"
"8",8,"07/03/2021 18:49:30",14.67,"SC","SC","S_SCH_V1_60",60,"Veg"
"9",9,"07/03/2021 19:49:30",13.94,"SC","SC","S_SCH_V1_60",60,"Veg"
"10",10,"07/03/2021 20:49:30",13.04,"SC","SC","S_SCH_V1_60",60,"Veg"
"11",11,"07/03/2021 21:49:30",12.61,"SC","SC","S_SCH_V1_60",60,"Veg"
"12",12,"07/03/2021 22:49:30",12.61,"SC","SC","S_SCH_V1_60",60,"Veg"
"13",13,"07/03/2021 23:49:30",12.57,"SC","SC","S_SCH_V1_60",60,"Veg"
"14",14,"07/04/2021 00:49:30",12.48,"SC","SC","S_SCH_V1_60",60,"Veg"
"15",15,"07/04/2021 01:49:30",12.27,"SC","SC","S_SCH_V1_60",60,"Veg"
"16",16,"07/04/2021 02:49:30",12.22,"SC","SC","S_SCH_V1_60",60,"Veg"
"17",17,"07/04/2021 03:49:30",12.1,"SC","SC","S_SCH_V1_60",60,"Veg"
"18",18,"07/04/2021 04:49:30",12.1,"SC","SC","S_SCH_V1_60",60,"Veg"
"19",19,"07/04/2021 05:49:30",12.22,"SC","SC","S_SCH_V1_60",60,"Veg"
"20",20,"07/04/2021 06:49:30",13.04,"SC","SC","S_SCH_V1_60",60,"Veg"
"21",21,"07/04/2021 07:49:30",13.25,"SC","SC","S_SCH_V1_60",60,"Veg"
"22",22,"07/04/2021 08:49:30",14.75,"SC","SC","S_SCH_V1_60",60,"Veg"
"23",23,"07/04/2021 09:49:30",15.96,"SC","SC","S_SCH_V1_60",60,"Veg"
"24",24,"07/04/2021 10:49:30",18.1,"SC","SC","S_SCH_V1_60",60,"Veg"
"25",25,"07/04/2021 11:49:30",20.98,"SC","SC","S_SCH_V1_60",60,"Veg"
"26",26,"07/04/2021 12:49:30",19.35,"SC","SC","S_SCH_V1_60",60,"Veg"
"27",27,"07/04/2021 13:49:30",21.96,"SC","SC","S_SCH_V1_60",60,"Veg"
"28",28,"07/04/2021 14:49:30",23.25,"SC","SC","S_SCH_V1_60",60,"Veg"
"29",29,"07/04/2021 15:49:30",21.1,"SC","SC","S_SCH_V1_60",60,"Veg"
"30",30,"07/04/2021 16:49:30",22.82,"SC","SC","S_SCH_V1_60",60,"Veg"
"31",31,"07/04/2021 17:49:30",21.36,"SC","SC","S_SCH_V1_60",60,"Veg"
"32",32,"07/04/2021 18:49:30",19.73,"SC","SC","S_SCH_V1_60",60,"Veg"
"33",33,"07/04/2021 19:49:30",16.73,"SC","SC","S_SCH_V1_60",60,"Veg"
"34",34,"07/04/2021 20:49:30",14.97,"SC","SC","S_SCH_V1_60",60,"Veg"
"35",35,"07/04/2021 21:49:30",13.73,"SC","SC","S_SCH_V1_60",60,"Veg"
"36",36,"07/04/2021 22:49:30",13.47,"SC","SC","S_SCH_V1_60",60,"Veg"
"37",37,"07/04/2021 23:49:30",13.94,"SC","SC","S_SCH_V1_60",60,"Veg"
"38",38,"07/05/2021 00:49:30",14.07,"SC","SC","S_SCH_V1_60",60,"Veg"
"39",39,"07/05/2021 01:49:30",14.75,"SC","SC","S_SCH_V1_60",60,"Veg"
"40",40,"07/05/2021 02:49:30",14.28,"SC","SC","S_SCH_V1_60",60,"Veg"
"41",41,"07/05/2021 03:49:30",13.85,"SC","SC","S_SCH_V1_60",60,"Veg"
"42",42,"07/05/2021 04:49:30",13.77,"SC","SC","S_SCH_V1_60",60,"Veg"
"43",43,"07/05/2021 05:49:30",13.94,"SC","SC","S_SCH_V1_60",60,"Veg"
"44",44,"07/05/2021 06:49:30",13.81,"SC","SC","S_SCH_V1_60",60,"Veg"
"45",45,"07/05/2021 07:49:30",14.5,"SC","SC","S_SCH_V1_60",60,"Veg"
"46",46,"07/05/2021 08:49:30",17.41,"SC","SC","S_SCH_V1_60",60,"Veg"
"47",47,"07/05/2021 09:49:30",18.49,"SC","SC","S_SCH_V1_60",60,"Veg"
"48",48,"07/05/2021 10:49:30",18.87,"SC","SC","S_SCH_V1_60",60,"Veg"
"49",49,"07/05/2021 11:49:30",19.26,"SC","SC","S_SCH_V1_60",60,"Veg"
"50",50,"07/05/2021 12:49:30",22.56,"SC","SC","S_SCH_V1_60",60,"Veg"
"51",51,"07/05/2021 13:49:30",22.86,"SC","SC","S_SCH_V1_60",60,"Veg"
"52",52,"07/05/2021 14:49:30",25.44,"SC","SC","S_SCH_V1_60",60,"Veg"
"53",53,"07/05/2021 15:49:30",25.31,"SC","SC","S_SCH_V1_60",60,"Veg"
"54",54,"07/05/2021 16:49:30",27.45,"SC","SC","S_SCH_V1_60",60,"Veg"
"55",55,"07/05/2021 17:49:30",27.41,"SC","SC","S_SCH_V1_60",60,"Veg"
"56",56,"07/05/2021 18:49:30",22.22,"SC","SC","S_SCH_V1_60",60,"Veg"
"57",57,"07/05/2021 19:49:30",20.85,"SC","SC","S_SCH_V1_60",60,"Veg"
"58",58,"07/05/2021 20:49:30",20.42,"SC","SC","S_SCH_V1_60",60,"Veg"
"59",59,"07/05/2021 21:49:30",20.07,"SC","SC","S_SCH_V1_60",60,"Veg"
"60",60,"07/05/2021 22:49:30",19.65,"SC","SC","S_SCH_V1_60",60,"Veg"
"61",61,"07/05/2021 23:49:30",19.35,"SC","SC","S_SCH_V1_60",60,"Veg"
"62",62,"07/06/2021 00:49:30",19.3,"SC","SC","S_SCH_V1_60",60,"Veg"
"63",63,"07/06/2021 01:49:30",19.05,"SC","SC","S_SCH_V1_60",60,"Veg"
"64",64,"07/06/2021 02:49:30",18.7,"SC","SC","S_SCH_V1_60",60,"Veg"
"65",65,"07/06/2021 03:49:30",18.62,"SC","SC","S_SCH_V1_60",60,"Veg"
"66",66,"07/06/2021 04:49:30",18.23,"SC","SC","S_SCH_V1_60",60,"Veg"
"67",67,"07/06/2021 05:49:30",18.14,"SC","SC","S_SCH_V1_60",60,"Veg"
"68",68,"07/06/2021 06:49:30",18.74,"SC","SC","S_SCH_V1_60",60,"Veg"
"69",69,"07/06/2021 07:49:30",20.25,"SC","SC","S_SCH_V1_60",60,"Veg"
"70",70,"07/06/2021 08:49:30",21.62,"SC","SC","S_SCH_V1_60",60,"Veg"
"71",71,"07/06/2021 09:49:30",21.36,"SC","SC","S_SCH_V1_60",60,"Veg"
"72",72,"07/06/2021 10:49:30",22.82,"SC","SC","S_SCH_V1_60",60,"Veg"
"73",73,"07/06/2021 11:49:30",27.28,"SC","SC","S_SCH_V1_60",60,"Veg"
"74",74,"07/06/2021 12:49:30",31.23,"SC","SC","S_SCH_V1_60",60,"Veg"
"75",75,"07/06/2021 13:49:30",32.34,"SC","SC","S_SCH_V1_60",60,"Veg"
"76",76,"07/06/2021 14:49:30",34.36,"SC","SC","S_SCH_V1_60",60,"Veg"
"77",77,"07/06/2021 15:49:30",27.28,"SC","SC","S_SCH_V1_60",60,"Veg"
"78",78,"07/06/2021 16:49:30",20.76,"SC","SC","S_SCH_V1_60",60,"Veg"
"79",79,"07/06/2021 17:49:30",20.76,"SC","SC","S_SCH_V1_60",60,"Veg"
"80",80,"07/06/2021 18:49:30",22.18,"SC","SC","S_SCH_V1_60",60,"Veg"
"81",81,"07/06/2021 19:49:30",21.62,"SC","SC","S_SCH_V1_60",60,"Veg"
"82",82,"07/06/2021 20:49:30",19.77,"SC","SC","S_SCH_V1_60",60,"Veg"
"83",83,"07/06/2021 21:49:30",19.17,"SC","SC","S_SCH_V1_60",60,"Veg"
"84",84,"07/06/2021 22:49:30",18.44,"SC","SC","S_SCH_V1_60",60,"Veg"
"85",85,"07/06/2021 23:49:30",18.27,"SC","SC","S_SCH_V1_60",60,"Veg"
"86",86,"07/07/2021 00:49:30",17.63,"SC","SC","S_SCH_V1_60",60,"Veg"
"87",87,"07/07/2021 01:49:30",18.27,"SC","SC","S_SCH_V1_60",60,"Veg"
"88",88,"07/07/2021 02:49:30",17.84,"SC","SC","S_SCH_V1_60",60,"Veg"
"89",89,"07/07/2021 03:49:30",18.23,"SC","SC","S_SCH_V1_60",60,"Veg"
"90",90,"07/07/2021 04:49:30",18.4,"SC","SC","S_SCH_V1_60",60,"Veg"
"91",91,"07/07/2021 05:49:30",18.1,"SC","SC","S_SCH_V1_60",60,"Veg"
"92",92,"07/07/2021 06:49:30",19.39,"SC","SC","S_SCH_V1_60",60,"Veg"
"93",93,"07/07/2021 07:49:30",20.93,"SC","SC","S_SCH_V1_60",60,"Veg"
"94",94,"07/07/2021 08:49:30",21.75,"SC","SC","S_SCH_V1_60",60,"Veg"
"95",95,"07/07/2021 09:49:30",23.38,"SC","SC","S_SCH_V1_60",60,"Veg"
"96",96,"07/07/2021 10:49:30",27.88,"SC","SC","S_SCH_V1_60",60,"Veg"
"97",97,"07/07/2021 11:49:30",30.59,"SC","SC","S_SCH_V1_60",60,"Veg"
"98",98,"07/07/2021 12:49:30",32.69,"SC","SC","S_SCH_V1_60",60,"Veg"
"99",99,"07/07/2021 13:49:30",32.56,"SC","SC","S_SCH_V1_60",60,"Veg"
"100",100,"07/07/2021 14:49:30",33.76,"SC","SC","S_SCH_V1_60",60,"Veg"
"101",101,"07/07/2021 15:49:30",30.84,"SC","SC","S_SCH_V1_60",60,"Veg"
"102",102,"07/07/2021 16:49:30",25.01,"SC","SC","S_SCH_V1_60",60,"Veg"
"103",103,"07/07/2021 17:49:30",23.51,"SC","SC","S_SCH_V1_60",60,"Veg"
"104",104,"07/07/2021 18:49:30",22.09,"SC","SC","S_SCH_V1_60",60,"Veg"
"105",105,"07/07/2021 19:49:30",21.7,"SC","SC","S_SCH_V1_60",60,"Veg"
"106",106,"07/07/2021 20:49:30",20.68,"SC","SC","S_SCH_V1_60",60,"Veg"
"107",107,"07/07/2021 21:49:30",20.2,"SC","SC","S_SCH_V1_60",60,"Veg"
"108",108,"07/07/2021 22:49:30",19.99,"SC","SC","S_SCH_V1_60",60,"Veg"
"109",109,"07/07/2021 23:49:30",19.47,"SC","SC","S_SCH_V1_60",60,"Veg"
"110",110,"07/08/2021 00:49:30",18.96,"SC","SC","S_SCH_V1_60",60,"Veg"
"111",111,"07/08/2021 01:49:30",17.8,"SC","SC","S_SCH_V1_60",60,"Veg"
"112",112,"07/08/2021 02:49:30",18.44,"SC","SC","S_SCH_V1_60",60,"Veg"
"113",113,"07/08/2021 03:49:30",18.14,"SC","SC","S_SCH_V1_60",60,"Veg"
"114",114,"07/08/2021 04:49:30",17.97,"SC","SC","S_SCH_V1_60",60,"Veg"
"115",115,"07/08/2021 05:49:30",17.41,"SC","SC","S_SCH_V1_60",60,"Veg"
"116",116,"07/08/2021 06:49:30",18.44,"SC","SC","S_SCH_V1_60",60,"Veg"
"117",117,"07/08/2021 07:49:30",17.54,"SC","SC","S_SCH_V1_60",60,"Veg"
"118",118,"07/08/2021 08:49:30",19.69,"SC","SC","S_SCH_V1_60",60,"Veg"
"119",119,"07/08/2021 09:49:30",18.23,"SC","SC","S_SCH_V1_60",60,"Veg"
"120",120,"07/08/2021 10:49:30",19.05,"SC","SC","S_SCH_V1_60",60,"Veg"
"121",121,"07/08/2021 11:49:30",20.37,"SC","SC","S_SCH_V1_60",60,"Veg"
"122",122,"07/08/2021 12:49:30",18.79,"SC","SC","S_SCH_V1_60",60,"Veg"
"123",123,"07/08/2021 13:49:30",18.02,"SC","SC","S_SCH_V1_60",60,"Veg"
"124",124,"07/08/2021 14:49:30",17.5,"SC","SC","S_SCH_V1_60",60,"Veg"
"125",125,"07/08/2021 15:49:30",18.23,"SC","SC","S_SCH_V1_60",60,"Veg"
"126",126,"07/08/2021 16:49:30",17.46,"SC","SC","S_SCH_V1_60",60,"Veg"
"127",127,"07/08/2021 17:49:30",17.76,"SC","SC","S_SCH_V1_60",60,"Veg"
"128",128,"07/08/2021 18:49:30",17.63,"SC","SC","S_SCH_V1_60",60,"Veg"
"129",129,"07/08/2021 19:49:30",16.99,"SC","SC","S_SCH_V1_60",60,"Veg"
"130",130,"07/08/2021 20:49:30",16.6,"SC","SC","S_SCH_V1_60",60,"Veg"
"131",131,"07/08/2021 21:49:30",16.51,"SC","SC","S_SCH_V1_60",60,"Veg"
"132",132,"07/08/2021 22:49:30",16.56,"SC","SC","S_SCH_V1_60",60,"Veg"
"133",133,"07/08/2021 23:49:30",16.51,"SC","SC","S_SCH_V1_60",60,"Veg"
"134",134,"07/09/2021 00:49:30",16.6,"SC","SC","S_SCH_V1_60",60,"Veg"
"135",135,"07/09/2021 01:49:30",16.86,"SC","SC","S_SCH_V1_60",60,"Veg"
"136",136,"07/09/2021 02:49:30",17.2,"SC","SC","S_SCH_V1_60",60,"Veg"
"137",137,"07/09/2021 03:49:30",17.29,"SC","SC","S_SCH_V1_60",60,"Veg"
"138",138,"07/09/2021 04:49:30",17.41,"SC","SC","S_SCH_V1_60",60,"Veg"
"139",139,"07/09/2021 05:49:30",17.37,"SC","SC","S_SCH_V1_60",60,"Veg"
"140",140,"07/09/2021 06:49:30",17.54,"SC","SC","S_SCH_V1_60",60,"Veg"
"141",141,"07/09/2021 07:49:30",17.67,"SC","SC","S_SCH_V1_60",60,"Veg"
"142",142,"07/09/2021 08:49:30",17.8,"SC","SC","S_SCH_V1_60",60,"Veg"
"143",143,"07/09/2021 09:49:30",18.02,"SC","SC","S_SCH_V1_60",60,"Veg"
"144",144,"07/09/2021 10:49:30",18.1,"SC","SC","S_SCH_V1_60",60,"Veg"
"145",145,"07/09/2021 11:49:30",18.44,"SC","SC","S_SCH_V1_60",60,"Veg"
"146",146,"07/09/2021 12:49:30",18.74,"SC","SC","S_SCH_V1_60",60,"Veg"
"147",147,"07/09/2021 13:49:30",22.13,"SC","SC","S_SCH_V1_60",60,"Veg"
"148",148,"07/09/2021 14:49:30",22.99,"SC","SC","S_SCH_V1_60",60,"Veg"
"149",149,"07/09/2021 15:49:30",24.62,"SC","SC","S_SCH_V1_60",60,"Veg"
"150",150,"07/09/2021 16:49:30",27.41,"SC","SC","S_SCH_V1_60",60,"Veg"
"151",151,"07/09/2021 17:49:30",24.79,"SC","SC","S_SCH_V1_60",60,"Veg"
"152",152,"07/09/2021 18:49:30",23.94,"SC","SC","S_SCH_V1_60",60,"Veg"
"153",153,"07/09/2021 19:49:30",21.45,"SC","SC","S_SCH_V1_60",60,"Veg"
"154",154,"07/09/2021 20:49:30",20.68,"SC","SC","S_SCH_V1_60",60,"Veg"
"155",155,"07/09/2021 21:49:30",20.46,"SC","SC","S_SCH_V1_60",60,"Veg"
"156",156,"07/09/2021 22:49:30",19.95,"SC","SC","S_SCH_V1_60",60,"Veg"
"157",157,"07/09/2021 23:49:30",19.69,"SC","SC","S_SCH_V1_60",60,"Veg"
"158",158,"07/10/2021 00:49:30",19.86,"SC","SC","S_SCH_V1_60",60,"Veg"
"159",159,"07/10/2021 01:49:30",19.56,"SC","SC","S_SCH_V1_60",60,"Veg"
"160",160,"07/10/2021 02:49:30",18.19,"SC","SC","S_SCH_V1_60",60,"Veg"
