Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021-07-29 9:13:54,23.68,UP,SC,S_SCN_H1,20,Herbivore
2,2021-07-29 10:13:54,22.69,UP,SC,S_SCN_H1,20,Herbivore
3,2021-07-29 11:13:54,22.43,UP,SC,S_SCN_H1,20,Herbivore
4,2021-07-29 12:13:54,22.39,UP,SC,S_SCN_H1,20,Herbivore
5,2021-07-29 13:13:54,22.52,UP,SC,S_SCN_H1,20,Herbivore
6,2021-07-29 14:13:54,22.35,UP,SC,S_SCN_H1,20,Herbivore
7,2021-07-29 15:13:54,22.56,UP,SC,S_SCN_H1,20,Herbivore
8,2021-07-29 16:13:54,22.48,UP,SC,S_SCN_H1,20,Herbivore
9,2021-07-29 17:13:54,22.39,UP,SC,S_SCN_H1,20,Herbivore
10,2021-07-29 18:13:54,22.43,UP,SC,S_SCN_H1,20,Herbivore
11,2021-07-29 19:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
12,2021-07-29 20:13:54,22.48,UP,SC,S_SCN_H1,20,Herbivore
13,2021-07-29 21:13:54,22.69,UP,SC,S_SCN_H1,20,Herbivore
14,2021-07-29 22:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
15,2021-07-29 23:13:54,22.65,UP,SC,S_SCN_H1,20,Herbivore
16,2021-07-30 0:13:54,22.99,UP,SC,S_SCN_H1,20,Herbivore
17,2021-07-30 1:13:54,22.99,UP,SC,S_SCN_H1,20,Herbivore
18,2021-07-30 2:13:54,22.95,UP,SC,S_SCN_H1,20,Herbivore
19,2021-07-30 3:13:54,22.95,UP,SC,S_SCN_H1,20,Herbivore
20,2021-07-30 4:13:54,23.03,UP,SC,S_SCN_H1,20,Herbivore
21,2021-07-30 5:13:54,22.99,UP,SC,S_SCN_H1,20,Herbivore
22,2021-07-30 6:13:54,22.99,UP,SC,S_SCN_H1,20,Herbivore
23,2021-07-30 7:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
24,2021-07-30 8:13:54,23.12,UP,SC,S_SCN_H1,20,Herbivore
25,2021-07-30 9:13:54,23.03,UP,SC,S_SCN_H1,20,Herbivore
26,2021-07-30 10:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
27,2021-07-30 11:13:54,22.73,UP,SC,S_SCN_H1,20,Herbivore
28,2021-07-30 12:13:54,22.61,UP,SC,S_SCN_H1,20,Herbivore
29,2021-07-30 13:13:54,22.56,UP,SC,S_SCN_H1,20,Herbivore
30,2021-07-30 14:13:54,22.61,UP,SC,S_SCN_H1,20,Herbivore
31,2021-07-30 15:13:54,22.52,UP,SC,S_SCN_H1,20,Herbivore
32,2021-07-30 16:13:54,22.48,UP,SC,S_SCN_H1,20,Herbivore
33,2021-07-30 17:13:54,22.48,UP,SC,S_SCN_H1,20,Herbivore
34,2021-07-30 18:13:54,22.52,UP,SC,S_SCN_H1,20,Herbivore
35,2021-07-30 19:13:54,22.82,UP,SC,S_SCN_H1,20,Herbivore
36,2021-07-30 20:13:54,22.78,UP,SC,S_SCN_H1,20,Herbivore
37,2021-07-30 21:13:54,22.78,UP,SC,S_SCN_H1,20,Herbivore
38,2021-07-30 22:13:54,22.73,UP,SC,S_SCN_H1,20,Herbivore
39,2021-07-30 23:13:54,22.78,UP,SC,S_SCN_H1,20,Herbivore
40,2021-07-31 0:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
41,2021-07-31 1:13:54,22.82,UP,SC,S_SCN_H1,20,Herbivore
42,2021-07-31 2:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
43,2021-07-31 3:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
44,2021-07-31 4:13:54,23.03,UP,SC,S_SCN_H1,20,Herbivore
45,2021-07-31 5:13:54,23.34,UP,SC,S_SCN_H1,20,Herbivore
46,2021-07-31 6:13:54,23.51,UP,SC,S_SCN_H1,20,Herbivore
47,2021-07-31 7:13:54,23.68,UP,SC,S_SCN_H1,20,Herbivore
48,2021-07-31 8:13:54,23.68,UP,SC,S_SCN_H1,20,Herbivore
49,2021-07-31 9:13:54,23.08,UP,SC,S_SCN_H1,20,Herbivore
50,2021-07-31 10:13:54,22.86,UP,SC,S_SCN_H1,20,Herbivore
51,2021-07-31 11:13:54,22.78,UP,SC,S_SCN_H1,20,Herbivore
52,2021-07-31 12:13:54,22.82,UP,SC,S_SCN_H1,20,Herbivore
53,2021-07-31 13:13:54,22.95,UP,SC,S_SCN_H1,20,Herbivore
54,2021-07-31 14:13:54,22.99,UP,SC,S_SCN_H1,20,Herbivore
55,2021-07-31 15:13:54,23.03,UP,SC,S_SCN_H1,20,Herbivore
56,2021-07-31 16:13:54,22.69,UP,SC,S_SCN_H1,20,Herbivore
57,2021-07-31 17:13:54,23.03,UP,SC,S_SCN_H1,20,Herbivore
58,2021-07-31 18:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
59,2021-07-31 19:13:54,22.86,UP,SC,S_SCN_H1,20,Herbivore
60,2021-07-31 20:13:54,22.91,UP,SC,S_SCN_H1,20,Herbivore
