"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/29/2021 09:15:16",24.32,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"2",2,"07/29/2021 09:15:25",NA,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"3",3,"07/29/2021 10:15:16",22.43,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"4",4,"07/29/2021 11:15:16",22.26,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"5",5,"07/29/2021 12:15:16",22.39,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"6",6,"07/29/2021 13:15:16",22.52,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"7",7,"07/29/2021 14:15:16",22.39,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"8",8,"07/29/2021 15:15:16",22.52,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"9",9,"07/29/2021 16:15:16",22.43,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"10",10,"07/29/2021 17:15:16",22.39,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"11",11,"07/29/2021 18:15:16",22.48,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"12",12,"07/29/2021 19:15:16",22.91,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"13",13,"07/29/2021 20:15:16",22.48,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"14",14,"07/29/2021 21:15:16",22.69,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"15",15,"07/29/2021 22:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"16",16,"07/29/2021 23:15:16",22.65,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"17",17,"07/30/2021 00:15:16",22.91,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"18",18,"07/30/2021 01:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"19",19,"07/30/2021 02:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"20",20,"07/30/2021 03:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"21",21,"07/30/2021 04:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"22",22,"07/30/2021 05:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"23",23,"07/30/2021 06:15:16",22.99,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"24",24,"07/30/2021 07:15:16",22.86,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"25",25,"07/30/2021 08:15:16",23.16,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"26",26,"07/30/2021 09:15:16",22.99,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"27",27,"07/30/2021 10:15:16",22.86,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"28",28,"07/30/2021 11:15:16",22.73,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"29",29,"07/30/2021 12:15:16",22.56,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"30",30,"07/30/2021 13:15:16",22.56,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"31",31,"07/30/2021 14:15:16",22.61,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"32",32,"07/30/2021 15:15:16",22.52,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"33",33,"07/30/2021 16:15:16",22.43,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"34",34,"07/30/2021 17:15:16",22.52,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"35",35,"07/30/2021 18:15:16",22.52,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"36",36,"07/30/2021 19:15:16",22.78,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"37",37,"07/30/2021 20:15:16",22.78,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"38",38,"07/30/2021 21:15:16",22.73,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"39",39,"07/30/2021 22:15:16",22.78,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"40",40,"07/30/2021 23:15:16",22.82,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"41",41,"07/31/2021 00:15:16",22.82,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"42",42,"07/31/2021 01:15:16",22.82,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"43",43,"07/31/2021 02:15:16",22.82,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"44",44,"07/31/2021 03:15:16",22.86,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"45",45,"07/31/2021 04:15:16",23.08,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"46",46,"07/31/2021 05:15:16",23.34,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"47",47,"07/31/2021 06:15:16",23.46,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"48",48,"07/31/2021 07:15:16",23.64,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"49",49,"07/31/2021 08:15:16",23.59,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"50",50,"07/31/2021 09:15:16",23.16,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"51",51,"07/31/2021 10:15:16",22.86,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"52",52,"07/31/2021 11:15:16",22.73,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"53",53,"07/31/2021 12:15:16",22.82,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"54",54,"07/31/2021 13:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"55",55,"07/31/2021 14:15:16",22.91,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"56",56,"07/31/2021 15:15:16",22.95,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"57",57,"07/31/2021 16:15:16",22.56,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"58",58,"07/31/2021 17:15:16",22.86,"UP","SC","S_SCN_H1_60",60,"Herbivore"
"59",59,"07/31/2021 18:15:16",22.91,"UP","SC","S_SCN_H1_60",60,"Herbivore"
