Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,10/01/2021 10:40:22,13.9,UP,SC,SCN_P1,20,Predator
2,10/01/2021 11:40:22,16.6,UP,SC,SCN_P1,20,Predator
3,10/01/2021 12:40:22,14.45,UP,SC,SCN_P1,20,Predator
4,10/01/2021 13:40:22,19.6,UP,SC,SCN_P1,20,Predator
5,10/01/2021 14:40:22,18.92,UP,SC,SCN_P1,20,Predator
6,10/01/2021 15:40:22,17.46,UP,SC,SCN_P1,20,Predator
7,10/01/2021 16:40:22,16.94,UP,SC,SCN_P1,20,Predator
8,10/01/2021 17:40:22,16.13,UP,SC,SCN_P1,20,Predator
9,10/01/2021 18:40:22,12.52,UP,SC,SCN_P1,20,Predator
10,10/01/2021 19:40:22,11.97,UP,SC,SCN_P1,20,Predator
11,10/01/2021 20:40:22,11.58,UP,SC,SCN_P1,20,Predator
12,10/01/2021 21:40:22,11.11,UP,SC,SCN_P1,20,Predator
13,10/01/2021 22:40:22,11.41,UP,SC,SCN_P1,20,Predator
14,10/01/2021 23:40:22,10.38,UP,SC,SCN_P1,20,Predator
15,10/02/2021 00:40:22,10.55,UP,SC,SCN_P1,20,Predator
16,10/02/2021 01:40:22,10.51,UP,SC,SCN_P1,20,Predator
17,10/02/2021 02:40:22,10.46,UP,SC,SCN_P1,20,Predator
18,10/02/2021 03:40:22,10.16,UP,SC,SCN_P1,20,Predator
19,10/02/2021 04:40:22,9.69,UP,SC,SCN_P1,20,Predator
20,10/02/2021 05:40:22,9.91,UP,SC,SCN_P1,20,Predator
21,10/02/2021 06:40:22,9.95,UP,SC,SCN_P1,20,Predator
22,10/02/2021 07:40:22,9.86,UP,SC,SCN_P1,20,Predator
23,10/02/2021 08:40:22,10.29,UP,SC,SCN_P1,20,Predator
24,10/02/2021 09:40:22,10.51,UP,SC,SCN_P1,20,Predator
25,10/02/2021 10:40:22,11.07,UP,SC,SCN_P1,20,Predator
26,10/02/2021 11:40:22,11.88,UP,SC,SCN_P1,20,Predator
27,10/02/2021 12:40:22,12.4,UP,SC,SCN_P1,20,Predator
28,10/02/2021 13:40:22,12.87,UP,SC,SCN_P1,20,Predator
29,10/02/2021 14:40:22,13.04,UP,SC,SCN_P1,20,Predator
30,10/02/2021 15:40:22,14.11,UP,SC,SCN_P1,20,Predator
31,10/02/2021 16:40:22,14.03,UP,SC,SCN_P1,20,Predator
32,10/02/2021 17:40:22,13.94,UP,SC,SCN_P1,20,Predator
33,10/02/2021 18:40:22,14.07,UP,SC,SCN_P1,20,Predator
34,10/02/2021 19:40:22,13.94,UP,SC,SCN_P1,20,Predator
35,10/02/2021 20:40:22,13.94,UP,SC,SCN_P1,20,Predator
36,10/02/2021 21:40:22,13.98,UP,SC,SCN_P1,20,Predator
37,10/02/2021 22:40:22,13.85,UP,SC,SCN_P1,20,Predator
38,10/02/2021 23:40:22,13.81,UP,SC,SCN_P1,20,Predator
39,10/03/2021 00:40:22,13.6,UP,SC,SCN_P1,20,Predator
40,10/03/2021 01:40:22,13.34,UP,SC,SCN_P1,20,Predator
41,10/03/2021 02:40:22,13.08,UP,SC,SCN_P1,20,Predator
42,10/03/2021 03:40:22,13.12,UP,SC,SCN_P1,20,Predator
43,10/03/2021 04:40:22,13.17,UP,SC,SCN_P1,20,Predator
44,10/03/2021 05:40:22,13.12,UP,SC,SCN_P1,20,Predator
45,10/03/2021 06:40:22,13.17,UP,SC,SCN_P1,20,Predator
46,10/03/2021 07:40:22,13.21,UP,SC,SCN_P1,20,Predator
47,10/03/2021 08:40:22,13.73,UP,SC,SCN_P1,20,Predator
48,10/03/2021 09:40:22,14.15,UP,SC,SCN_P1,20,Predator
49,10/03/2021 10:40:22,14.84,UP,SC,SCN_P1,20,Predator
50,10/03/2021 11:40:22,16.04,UP,SC,SCN_P1,20,Predator
51,10/03/2021 12:40:22,15.4,UP,SC,SCN_P1,20,Predator
52,10/03/2021 13:40:22,15.27,UP,SC,SCN_P1,20,Predator
53,10/03/2021 14:40:22,14.97,UP,SC,SCN_P1,20,Predator
54,10/03/2021 15:40:22,15.74,UP,SC,SCN_P1,20,Predator
55,10/03/2021 16:40:22,15.1,UP,SC,SCN_P1,20,Predator
56,10/03/2021 17:40:22,14.45,UP,SC,SCN_P1,20,Predator
57,10/03/2021 18:40:22,13.85,UP,SC,SCN_P1,20,Predator
58,10/03/2021 19:40:22,13.77,UP,SC,SCN_P1,20,Predator
59,10/03/2021 20:40:22,13.81,UP,SC,SCN_P1,20,Predator
60,10/03/2021 21:40:22,13.85,UP,SC,SCN_P1,20,Predator
61,10/03/2021 22:40:22,14.03,UP,SC,SCN_P1,20,Predator
62,10/03/2021 23:40:22,14.03,UP,SC,SCN_P1,20,Predator
63,10/04/2021 00:40:22,14.03,UP,SC,SCN_P1,20,Predator
64,10/04/2021 01:40:22,13.85,UP,SC,SCN_P1,20,Predator
65,10/04/2021 02:40:22,12.95,UP,SC,SCN_P1,20,Predator
66,10/04/2021 03:40:22,12.35,UP,SC,SCN_P1,20,Predator
67,10/04/2021 04:40:22,12.74,UP,SC,SCN_P1,20,Predator
68,10/04/2021 05:40:22,13.64,UP,SC,SCN_P1,20,Predator
69,10/04/2021 06:40:22,13.3,UP,SC,SCN_P1,20,Predator
70,10/04/2021 07:40:22,12.65,UP,SC,SCN_P1,20,Predator
71,10/04/2021 08:40:22,13.04,UP,SC,SCN_P1,20,Predator
72,10/04/2021 09:40:22,13.6,UP,SC,SCN_P1,20,Predator
73,10/04/2021 10:40:22,13.98,UP,SC,SCN_P1,20,Predator
74,10/04/2021 11:40:22,15.27,UP,SC,SCN_P1,20,Predator
75,10/04/2021 12:40:22,16.77,UP,SC,SCN_P1,20,Predator
76,10/04/2021 13:40:22,15.53,UP,SC,SCN_P1,20,Predator
77,10/04/2021 14:40:22,14.84,UP,SC,SCN_P1,20,Predator
78,10/04/2021 15:40:22,15.83,UP,SC,SCN_P1,20,Predator
79,10/04/2021 16:40:22,14.97,UP,SC,SCN_P1,20,Predator
80,10/04/2021 17:40:22,14.24,UP,SC,SCN_P1,20,Predator
81,10/04/2021 18:40:22,13.43,UP,SC,SCN_P1,20,Predator
82,10/04/2021 19:40:22,13.17,UP,SC,SCN_P1,20,Predator
83,10/04/2021 20:40:22,13.08,UP,SC,SCN_P1,20,Predator
84,10/04/2021 21:40:22,12.91,UP,SC,SCN_P1,20,Predator
85,10/04/2021 22:40:22,12.52,UP,SC,SCN_P1,20,Predator
86,10/04/2021 23:40:22,12.14,UP,SC,SCN_P1,20,Predator
87,10/05/2021 00:40:22,12.31,UP,SC,SCN_P1,20,Predator
88,10/05/2021 01:40:22,12.31,UP,SC,SCN_P1,20,Predator
89,10/05/2021 02:40:22,12.48,UP,SC,SCN_P1,20,Predator
90,10/05/2021 03:40:22,12.22,UP,SC,SCN_P1,20,Predator
91,10/05/2021 04:40:22,11.88,UP,SC,SCN_P1,20,Predator
92,10/05/2021 05:40:22,11.88,UP,SC,SCN_P1,20,Predator
93,10/05/2021 06:40:22,12.18,UP,SC,SCN_P1,20,Predator
94,10/05/2021 07:40:22,12.27,UP,SC,SCN_P1,20,Predator
95,10/05/2021 08:40:22,13.08,UP,SC,SCN_P1,20,Predator
96,10/05/2021 09:40:22,14.2,UP,SC,SCN_P1,20,Predator
97,10/05/2021 10:40:22,16.26,UP,SC,SCN_P1,20,Predator
98,10/05/2021 11:40:22,17.24,UP,SC,SCN_P1,20,Predator
99,10/05/2021 12:40:22,18.66,UP,SC,SCN_P1,20,Predator
100,10/05/2021 13:40:22,17.24,UP,SC,SCN_P1,20,Predator
101,10/05/2021 14:40:22,18.49,UP,SC,SCN_P1,20,Predator
102,10/05/2021 15:40:22,18.1,UP,SC,SCN_P1,20,Predator
103,10/05/2021 16:40:22,16.69,UP,SC,SCN_P1,20,Predator
104,10/05/2021 17:40:22,15.96,UP,SC,SCN_P1,20,Predator
105,10/05/2021 18:40:22,14.8,UP,SC,SCN_P1,20,Predator
106,10/05/2021 19:40:22,13.98,UP,SC,SCN_P1,20,Predator
107,10/05/2021 20:40:22,14.24,UP,SC,SCN_P1,20,Predator
108,10/05/2021 21:40:22,14.37,UP,SC,SCN_P1,20,Predator
109,10/05/2021 22:40:22,14.45,UP,SC,SCN_P1,20,Predator
110,10/05/2021 23:40:22,14.41,UP,SC,SCN_P1,20,Predator
111,10/06/2021 00:40:22,14.07,UP,SC,SCN_P1,20,Predator
112,10/06/2021 01:40:22,14.03,UP,SC,SCN_P1,20,Predator
113,10/06/2021 02:40:22,14.11,UP,SC,SCN_P1,20,Predator
114,10/06/2021 03:40:22,14.07,UP,SC,SCN_P1,20,Predator
115,10/06/2021 04:40:22,14.24,UP,SC,SCN_P1,20,Predator
