"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"10/01/2021 10:40:22",13.9,"UP","SC","S_SCN_P1_20",20,"Predator"
"2",2,"10/01/2021 11:40:22",16.6,"UP","SC","S_SCN_P1_20",20,"Predator"
"3",3,"10/01/2021 12:40:22",14.45,"UP","SC","S_SCN_P1_20",20,"Predator"
"4",4,"10/01/2021 13:40:22",19.6,"UP","SC","S_SCN_P1_20",20,"Predator"
"5",5,"10/01/2021 14:40:22",18.92,"UP","SC","S_SCN_P1_20",20,"Predator"
"6",6,"10/01/2021 15:40:22",17.46,"UP","SC","S_SCN_P1_20",20,"Predator"
"7",7,"10/01/2021 16:40:22",16.94,"UP","SC","S_SCN_P1_20",20,"Predator"
"8",8,"10/01/2021 17:40:22",16.13,"UP","SC","S_SCN_P1_20",20,"Predator"
"9",9,"10/01/2021 18:40:22",12.52,"UP","SC","S_SCN_P1_20",20,"Predator"
"10",10,"10/01/2021 19:40:22",11.97,"UP","SC","S_SCN_P1_20",20,"Predator"
"11",11,"10/01/2021 20:40:22",11.58,"UP","SC","S_SCN_P1_20",20,"Predator"
"12",12,"10/01/2021 21:40:22",11.11,"UP","SC","S_SCN_P1_20",20,"Predator"
"13",13,"10/01/2021 22:40:22",11.41,"UP","SC","S_SCN_P1_20",20,"Predator"
"14",14,"10/01/2021 23:40:22",10.38,"UP","SC","S_SCN_P1_20",20,"Predator"
"15",15,"10/02/2021 00:40:22",10.55,"UP","SC","S_SCN_P1_20",20,"Predator"
"16",16,"10/02/2021 01:40:22",10.51,"UP","SC","S_SCN_P1_20",20,"Predator"
"17",17,"10/02/2021 02:40:22",10.46,"UP","SC","S_SCN_P1_20",20,"Predator"
"18",18,"10/02/2021 03:40:22",10.16,"UP","SC","S_SCN_P1_20",20,"Predator"
"19",19,"10/02/2021 04:40:22",9.69,"UP","SC","S_SCN_P1_20",20,"Predator"
"20",20,"10/02/2021 05:40:22",9.91,"UP","SC","S_SCN_P1_20",20,"Predator"
"21",21,"10/02/2021 06:40:22",9.95,"UP","SC","S_SCN_P1_20",20,"Predator"
"22",22,"10/02/2021 07:40:22",9.86,"UP","SC","S_SCN_P1_20",20,"Predator"
"23",23,"10/02/2021 08:40:22",10.29,"UP","SC","S_SCN_P1_20",20,"Predator"
"24",24,"10/02/2021 09:40:22",10.51,"UP","SC","S_SCN_P1_20",20,"Predator"
"25",25,"10/02/2021 10:40:22",11.07,"UP","SC","S_SCN_P1_20",20,"Predator"
