Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/11/21 15:52,25.78,YF,SC,S_SCS_H1,20,Herbivore
2,7/11/21 16:52,24.79,YF,SC,S_SCS_H1,20,Herbivore
3,7/11/21 17:52,23.08,YF,SC,S_SCS_H1,20,Herbivore
4,7/11/21 18:52,21.66,YF,SC,S_SCS_H1,20,Herbivore
5,7/11/21 19:52,20.25,YF,SC,S_SCS_H1,20,Herbivore
6,7/11/21 20:52,19.69,YF,SC,S_SCS_H1,20,Herbivore
7,7/11/21 21:52,19.47,YF,SC,S_SCS_H1,20,Herbivore
8,7/11/21 22:52,18.83,YF,SC,S_SCS_H1,20,Herbivore
9,7/11/21 23:52,18.74,YF,SC,S_SCS_H1,20,Herbivore
10,7/12/21 0:52,19.05,YF,SC,S_SCS_H1,20,Herbivore
11,7/12/21 1:52,19.26,YF,SC,S_SCS_H1,20,Herbivore
12,7/12/21 2:52,19.3,YF,SC,S_SCS_H1,20,Herbivore
13,7/12/21 3:52,19.3,YF,SC,S_SCS_H1,20,Herbivore
14,7/12/21 4:52,19.22,YF,SC,S_SCS_H1,20,Herbivore
15,7/12/21 5:52,19.35,YF,SC,S_SCS_H1,20,Herbivore
16,7/12/21 6:52,19.65,YF,SC,S_SCS_H1,20,Herbivore
17,7/12/21 7:52,19.82,YF,SC,S_SCS_H1,20,Herbivore
18,7/12/21 8:52,18.92,YF,SC,S_SCS_H1,20,Herbivore
19,7/12/21 9:52,17.93,YF,SC,S_SCS_H1,20,Herbivore
20,7/12/21 10:52,19.05,YF,SC,S_SCS_H1,20,Herbivore
21,7/12/21 11:52,19.39,YF,SC,S_SCS_H1,20,Herbivore
22,7/12/21 12:52,19.56,YF,SC,S_SCS_H1,20,Herbivore
23,7/12/21 13:52,20.68,YF,SC,S_SCS_H1,20,Herbivore
24,7/12/21 14:52,21.75,YF,SC,S_SCS_H1,20,Herbivore
25,7/12/21 15:52,20.63,YF,SC,S_SCS_H1,20,Herbivore
26,7/12/21 16:52,19.52,YF,SC,S_SCS_H1,20,Herbivore
27,7/12/21 17:52,19.26,YF,SC,S_SCS_H1,20,Herbivore
28,7/12/21 18:52,18.62,YF,SC,S_SCS_H1,20,Herbivore
29,7/12/21 19:52,18.23,YF,SC,S_SCS_H1,20,Herbivore
30,7/12/21 20:52,17.8,YF,SC,S_SCS_H1,20,Herbivore
31,7/12/21 21:52,17.2,YF,SC,S_SCS_H1,20,Herbivore
32,7/12/21 22:52,17.41,YF,SC,S_SCS_H1,20,Herbivore
33,7/12/21 23:52,17.11,YF,SC,S_SCS_H1,20,Herbivore
34,7/13/21 0:52,17.11,YF,SC,S_SCS_H1,20,Herbivore
35,7/13/21 1:52,16.81,YF,SC,S_SCS_H1,20,Herbivore
36,7/13/21 2:52,16.94,YF,SC,S_SCS_H1,20,Herbivore
37,7/13/21 3:52,16.56,YF,SC,S_SCS_H1,20,Herbivore
38,7/13/21 4:52,16.47,YF,SC,S_SCS_H1,20,Herbivore
39,7/13/21 5:52,16.47,YF,SC,S_SCS_H1,20,Herbivore
40,7/13/21 6:52,16.77,YF,SC,S_SCS_H1,20,Herbivore
41,7/13/21 7:52,17.29,YF,SC,S_SCS_H1,20,Herbivore
42,7/13/21 8:52,19.43,YF,SC,S_SCS_H1,20,Herbivore
43,7/13/21 9:52,19.3,YF,SC,S_SCS_H1,20,Herbivore
44,7/13/21 10:52,19.82,YF,SC,S_SCS_H1,20,Herbivore
45,7/13/21 11:52,21.02,YF,SC,S_SCS_H1,20,Herbivore
46,7/13/21 12:52,20.29,YF,SC,S_SCS_H1,20,Herbivore
47,7/13/21 13:52,21.1,YF,SC,S_SCS_H1,20,Herbivore
48,7/13/21 14:52,20.98,YF,SC,S_SCS_H1,20,Herbivore
49,7/13/21 15:52,20.46,YF,SC,S_SCS_H1,20,Herbivore
50,7/13/21 16:52,20.25,YF,SC,S_SCS_H1,20,Herbivore
51,7/13/21 17:52,20.16,YF,SC,S_SCS_H1,20,Herbivore
52,7/13/21 18:52,19.47,YF,SC,S_SCS_H1,20,Herbivore
53,7/13/21 19:52,18.96,YF,SC,S_SCS_H1,20,Herbivore
54,7/13/21 20:52,18.74,YF,SC,S_SCS_H1,20,Herbivore
55,7/13/21 21:52,18.7,YF,SC,S_SCS_H1,20,Herbivore
56,7/13/21 22:52,18.49,YF,SC,S_SCS_H1,20,Herbivore
57,7/13/21 23:52,18.44,YF,SC,S_SCS_H1,20,Herbivore
58,7/14/21 0:52,18.4,YF,SC,S_SCS_H1,20,Herbivore
59,7/14/21 1:52,18.4,YF,SC,S_SCS_H1,20,Herbivore
60,7/14/21 2:52,18.4,YF,SC,S_SCS_H1,20,Herbivore
61,7/14/21 3:52,18.32,YF,SC,S_SCS_H1,20,Herbivore
62,7/14/21 4:52,18.36,YF,SC,S_SCS_H1,20,Herbivore
63,7/14/21 5:52,18.49,YF,SC,S_SCS_H1,20,Herbivore
64,7/14/21 6:52,19,YF,SC,S_SCS_H1,20,Herbivore
65,7/14/21 7:52,20.03,YF,SC,S_SCS_H1,20,Herbivore
66,7/14/21 8:52,20.55,YF,SC,S_SCS_H1,20,Herbivore
67,7/14/21 9:52,21.23,YF,SC,S_SCS_H1,20,Herbivore
68,7/14/21 10:52,23.42,YF,SC,S_SCS_H1,20,Herbivore
69,7/14/21 11:52,24.58,YF,SC,S_SCS_H1,20,Herbivore
70,7/14/21 12:52,25.31,YF,SC,S_SCS_H1,20,Herbivore
71,7/14/21 13:52,28.31,YF,SC,S_SCS_H1,20,Herbivore
72,7/14/21 14:52,28.35,YF,SC,S_SCS_H1,20,Herbivore
73,7/14/21 15:52,29.51,YF,SC,S_SCS_H1,20,Herbivore
74,7/14/21 16:52,29.98,YF,SC,S_SCS_H1,20,Herbivore
75,7/14/21 17:52,30.33,YF,SC,S_SCS_H1,20,Herbivore
76,7/14/21 18:52,25.48,YF,SC,S_SCS_H1,20,Herbivore
77,7/14/21 19:52,23.68,YF,SC,S_SCS_H1,20,Herbivore
78,7/14/21 20:52,20.42,YF,SC,S_SCS_H1,20,Herbivore
79,7/14/21 21:52,19.43,YF,SC,S_SCS_H1,20,Herbivore
80,7/14/21 22:52,19.3,YF,SC,S_SCS_H1,20,Herbivore
81,7/14/21 23:52,18.62,YF,SC,S_SCS_H1,20,Herbivore
82,7/15/21 0:52,17.72,YF,SC,S_SCS_H1,20,Herbivore
83,7/15/21 1:52,17.11,YF,SC,S_SCS_H1,20,Herbivore
84,7/15/21 2:52,17.07,YF,SC,S_SCS_H1,20,Herbivore
85,7/15/21 3:52,16.26,YF,SC,S_SCS_H1,20,Herbivore
86,7/15/21 4:52,15.96,YF,SC,S_SCS_H1,20,Herbivore
87,7/15/21 5:52,17.46,YF,SC,S_SCS_H1,20,Herbivore
88,7/15/21 6:52,18.27,YF,SC,S_SCS_H1,20,Herbivore
89,7/15/21 7:52,22.09,YF,SC,S_SCS_H1,20,Herbivore
90,7/15/21 8:52,27.11,YF,SC,S_SCS_H1,20,Herbivore
91,7/15/21 9:52,29.51,YF,SC,S_SCS_H1,20,Herbivore
92,7/15/21 10:52,30.33,YF,SC,S_SCS_H1,20,Herbivore
93,7/15/21 11:52,30.46,YF,SC,S_SCS_H1,20,Herbivore
94,7/15/21 12:52,31.53,YF,SC,S_SCS_H1,20,Herbivore
95,7/15/21 13:52,31.4,YF,SC,S_SCS_H1,20,Herbivore
96,7/15/21 14:52,32,YF,SC,S_SCS_H1,20,Herbivore
97,7/15/21 15:52,34.02,YF,SC,S_SCS_H1,20,Herbivore
98,7/15/21 16:52,33.42,YF,SC,S_SCS_H1,20,Herbivore
99,7/15/21 17:52,31.49,YF,SC,S_SCS_H1,20,Herbivore
100,7/15/21 18:52,25.65,YF,SC,S_SCS_H1,20,Herbivore
101,7/15/21 19:52,23.25,YF,SC,S_SCS_H1,20,Herbivore
102,7/15/21 20:52,20.8,YF,SC,S_SCS_H1,20,Herbivore
103,7/15/21 21:52,19.82,YF,SC,S_SCS_H1,20,Herbivore
104,7/15/21 22:52,19.6,YF,SC,S_SCS_H1,20,Herbivore
105,7/15/21 23:52,19.6,YF,SC,S_SCS_H1,20,Herbivore
106,7/16/21 0:52,19.09,YF,SC,S_SCS_H1,20,Herbivore
107,7/16/21 1:52,18.96,YF,SC,S_SCS_H1,20,Herbivore
108,7/16/21 2:52,20.25,YF,SC,S_SCS_H1,20,Herbivore
109,7/16/21 3:52,20.46,YF,SC,S_SCS_H1,20,Herbivore
110,7/16/21 4:52,20.55,YF,SC,S_SCS_H1,20,Herbivore
111,7/16/21 5:52,21.02,YF,SC,S_SCS_H1,20,Herbivore
112,7/16/21 6:52,21.66,YF,SC,S_SCS_H1,20,Herbivore
113,7/16/21 7:52,23.98,YF,SC,S_SCS_H1,20,Herbivore
114,7/16/21 8:52,27.93,YF,SC,S_SCS_H1,20,Herbivore
115,7/16/21 9:52,30.84,YF,SC,S_SCS_H1,20,Herbivore
116,7/16/21 10:52,32.22,YF,SC,S_SCS_H1,20,Herbivore
117,7/16/21 11:52,32.47,YF,SC,S_SCS_H1,20,Herbivore
118,7/16/21 12:52,32.94,YF,SC,S_SCS_H1,20,Herbivore
119,7/16/21 13:52,32.6,YF,SC,S_SCS_H1,20,Herbivore
120,7/16/21 14:52,31.06,YF,SC,S_SCS_H1,20,Herbivore
121,7/16/21 15:52,32.99,YF,SC,S_SCS_H1,20,Herbivore
122,7/16/21 16:52,29.17,YF,SC,S_SCS_H1,20,Herbivore
123,7/16/21 17:52,21.58,YF,SC,S_SCS_H1,20,Herbivore
124,7/16/21 18:52,23.81,YF,SC,S_SCS_H1,20,Herbivore
125,7/16/21 19:52,22.65,YF,SC,S_SCS_H1,20,Herbivore
126,7/16/21 20:52,20.42,YF,SC,S_SCS_H1,20,Herbivore
127,7/16/21 21:52,19.65,YF,SC,S_SCS_H1,20,Herbivore
128,7/16/21 22:52,19.65,YF,SC,S_SCS_H1,20,Herbivore
129,7/16/21 23:52,19.3,YF,SC,S_SCS_H1,20,Herbivore
