Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,12/22/2022 16:21:46,6,YF,SC,SCS_H1,40,Herbivore
2,12/22/2022 17:21:46,1.71,YF,SC,SCS_H1,40,Herbivore
3,12/22/2022 18:21:46,1.41,YF,SC,SCS_H1,40,Herbivore
4,12/22/2022 19:21:46,1.63,YF,SC,SCS_H1,40,Herbivore
5,12/22/2022 20:21:46,2.23,YF,SC,SCS_H1,40,Herbivore
6,12/22/2022 21:21:46,3.34,YF,SC,SCS_H1,40,Herbivore
7,12/22/2022 22:21:46,4.29,YF,SC,SCS_H1,40,Herbivore
8,12/22/2022 23:21:46,4.46,YF,SC,SCS_H1,40,Herbivore
9,12/23/2022 00:21:46,4.63,YF,SC,SCS_H1,40,Herbivore
10,12/23/2022 01:21:46,4.84,YF,SC,SCS_H1,40,Herbivore
11,12/23/2022 02:21:46,5.45,YF,SC,SCS_H1,40,Herbivore
12,12/23/2022 03:21:46,6.48,YF,SC,SCS_H1,40,Herbivore
13,12/23/2022 04:21:46,10.25,YF,SC,SCS_H1,40,Herbivore
14,12/23/2022 05:21:46,11.07,YF,SC,SCS_H1,40,Herbivore
15,12/23/2022 06:21:46,11.07,YF,SC,SCS_H1,40,Herbivore
16,12/23/2022 07:21:46,11.71,YF,SC,SCS_H1,40,Herbivore
17,12/23/2022 08:21:46,12.1,YF,SC,SCS_H1,40,Herbivore
18,12/23/2022 09:21:46,12.05,YF,SC,SCS_H1,40,Herbivore
19,12/23/2022 10:21:46,10.21,YF,SC,SCS_H1,40,Herbivore
20,12/23/2022 11:21:46,9.86,YF,SC,SCS_H1,40,Herbivore
21,12/23/2022 12:21:46,9.31,YF,SC,SCS_H1,40,Herbivore
22,12/23/2022 13:21:46,8.02,YF,SC,SCS_H1,40,Herbivore
23,12/23/2022 14:21:46,7.76,YF,SC,SCS_H1,40,Herbivore
24,12/23/2022 15:21:46,7.08,YF,SC,SCS_H1,40,Herbivore
25,12/23/2022 16:21:46,3.21,YF,SC,SCS_H1,40,Herbivore
26,12/23/2022 17:21:46,1.41,YF,SC,SCS_H1,40,Herbivore
27,12/23/2022 18:21:46,-1.38,YF,SC,SCS_H1,40,Herbivore
28,12/23/2022 19:21:46,-4.04,YF,SC,SCS_H1,40,Herbivore
29,12/23/2022 20:21:46,-6.22,YF,SC,SCS_H1,40,Herbivore
30,12/23/2022 21:21:46,-8.88,YF,SC,SCS_H1,40,Herbivore
31,12/23/2022 22:21:46,-10.81,YF,SC,SCS_H1,40,Herbivore
32,12/23/2022 23:21:46,-11.84,YF,SC,SCS_H1,40,Herbivore
33,12/24/2022 00:21:46,-12.92,YF,SC,SCS_H1,40,Herbivore
34,12/24/2022 01:21:46,-13.9,YF,SC,SCS_H1,40,Herbivore
35,12/24/2022 02:21:46,-14.55,YF,SC,SCS_H1,40,Herbivore
36,12/24/2022 03:21:46,-14.98,YF,SC,SCS_H1,40,Herbivore
37,12/24/2022 04:21:46,-15.36,YF,SC,SCS_H1,40,Herbivore
38,12/24/2022 05:21:46,-15.62,YF,SC,SCS_H1,40,Herbivore
39,12/24/2022 06:21:46,-15.7,YF,SC,SCS_H1,40,Herbivore
40,12/24/2022 07:21:46,-15.83,YF,SC,SCS_H1,40,Herbivore
41,12/24/2022 08:21:46,-15.36,YF,SC,SCS_H1,40,Herbivore
42,12/24/2022 09:21:46,-13.3,YF,SC,SCS_H1,40,Herbivore
43,12/24/2022 10:21:46,-10.34,YF,SC,SCS_H1,40,Herbivore
44,12/24/2022 11:21:46,-8.5,YF,SC,SCS_H1,40,Herbivore
45,12/24/2022 12:21:46,-6.82,YF,SC,SCS_H1,40,Herbivore
46,12/24/2022 13:21:46,-3.61,YF,SC,SCS_H1,40,Herbivore
47,12/24/2022 14:21:46,-6.57,YF,SC,SCS_H1,40,Herbivore
48,12/24/2022 15:21:46,-10.08,YF,SC,SCS_H1,40,Herbivore
49,12/24/2022 16:21:46,-12.32,YF,SC,SCS_H1,40,Herbivore
50,12/24/2022 17:21:46,-13,YF,SC,SCS_H1,40,Herbivore
51,12/24/2022 18:21:46,-13.17,YF,SC,SCS_H1,40,Herbivore
52,12/24/2022 19:21:46,-13.17,YF,SC,SCS_H1,40,Herbivore
53,12/24/2022 20:21:46,-13.3,YF,SC,SCS_H1,40,Herbivore
54,12/24/2022 21:21:46,-13.26,YF,SC,SCS_H1,40,Herbivore
55,12/24/2022 22:21:46,-13.22,YF,SC,SCS_H1,40,Herbivore
56,12/24/2022 23:21:46,-13.3,YF,SC,SCS_H1,40,Herbivore
57,12/25/2022 00:21:46,-13.39,YF,SC,SCS_H1,40,Herbivore
58,12/25/2022 01:21:46,-13.43,YF,SC,SCS_H1,40,Herbivore
59,12/25/2022 02:21:46,-13.34,YF,SC,SCS_H1,40,Herbivore
60,12/25/2022 03:21:46,-13.39,YF,SC,SCS_H1,40,Herbivore
61,12/25/2022 04:21:46,-13.47,YF,SC,SCS_H1,40,Herbivore
62,12/25/2022 05:21:46,-13.56,YF,SC,SCS_H1,40,Herbivore
63,12/25/2022 06:21:46,-13.99,YF,SC,SCS_H1,40,Herbivore
64,12/25/2022 07:21:46,-13.82,YF,SC,SCS_H1,40,Herbivore
65,12/25/2022 08:21:46,-12.36,YF,SC,SCS_H1,40,Herbivore
66,12/25/2022 09:21:46,-9.36,YF,SC,SCS_H1,40,Herbivore
67,12/25/2022 10:21:46,-5.79,YF,SC,SCS_H1,40,Herbivore
68,12/25/2022 11:21:46,-3.91,YF,SC,SCS_H1,40,Herbivore
69,12/25/2022 12:21:46,-1.89,YF,SC,SCS_H1,40,Herbivore
70,12/25/2022 13:21:46,1.67,YF,SC,SCS_H1,40,Herbivore
71,12/25/2022 14:21:46,0.51,YF,SC,SCS_H1,40,Herbivore
72,12/25/2022 15:21:46,-3.56,YF,SC,SCS_H1,40,Herbivore
73,12/25/2022 16:21:46,-6.61,YF,SC,SCS_H1,40,Herbivore
74,12/25/2022 17:21:46,-8.41,YF,SC,SCS_H1,40,Herbivore
75,12/25/2022 18:21:46,-10.08,YF,SC,SCS_H1,40,Herbivore
