Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/13/2021 07:55:55,19.69,SP,SP,SPH_H1,20,Herbivore
2,07/13/2021 07:56:09,NA,SP,SP,SPH_H1,20,Herbivore
3,07/13/2021 07:56:20,NA,SP,SP,SPH_H1,20,Herbivore
4,07/13/2021 08:55:55,19.05,SP,SP,SPH_H1,20,Herbivore
5,07/13/2021 09:55:55,19.95,SP,SP,SPH_H1,20,Herbivore
6,07/13/2021 10:55:55,19.17,SP,SP,SPH_H1,20,Herbivore
7,07/13/2021 11:55:55,23.12,SP,SP,SPH_H1,20,Herbivore
8,07/13/2021 12:55:55,20.93,SP,SP,SPH_H1,20,Herbivore
9,07/13/2021 13:55:55,21.19,SP,SP,SPH_H1,20,Herbivore
10,07/13/2021 14:55:55,21.23,SP,SP,SPH_H1,20,Herbivore
11,07/13/2021 15:55:55,22.18,SP,SP,SPH_H1,20,Herbivore
12,07/13/2021 16:55:55,21.19,SP,SP,SPH_H1,20,Herbivore
13,07/13/2021 17:55:55,19.09,SP,SP,SPH_H1,20,Herbivore
14,07/13/2021 18:55:55,18.66,SP,SP,SPH_H1,20,Herbivore
15,07/13/2021 19:55:55,18.14,SP,SP,SPH_H1,20,Herbivore
16,07/13/2021 20:55:55,17.72,SP,SP,SPH_H1,20,Herbivore
17,07/13/2021 21:55:55,17.59,SP,SP,SPH_H1,20,Herbivore
18,07/13/2021 22:55:55,17.5,SP,SP,SPH_H1,20,Herbivore
19,07/13/2021 23:55:55,17.5,SP,SP,SPH_H1,20,Herbivore
20,07/14/2021 00:55:55,17.59,SP,SP,SPH_H1,20,Herbivore
21,07/14/2021 01:55:55,17.59,SP,SP,SPH_H1,20,Herbivore
22,07/14/2021 02:55:55,17.54,SP,SP,SPH_H1,20,Herbivore
23,07/14/2021 03:55:55,17.5,SP,SP,SPH_H1,20,Herbivore
24,07/14/2021 04:55:55,17.54,SP,SP,SPH_H1,20,Herbivore
25,07/14/2021 05:55:55,17.63,SP,SP,SPH_H1,20,Herbivore
26,07/14/2021 06:55:55,18.1,SP,SP,SPH_H1,20,Herbivore
27,07/14/2021 07:55:55,18.32,SP,SP,SPH_H1,20,Herbivore
28,07/14/2021 08:55:55,20.2,SP,SP,SPH_H1,20,Herbivore
29,07/14/2021 09:55:55,20.68,SP,SP,SPH_H1,20,Herbivore
30,07/14/2021 10:55:55,21.53,SP,SP,SPH_H1,20,Herbivore
31,07/14/2021 11:55:55,22.35,SP,SP,SPH_H1,20,Herbivore
32,07/14/2021 12:55:55,23.59,SP,SP,SPH_H1,20,Herbivore
33,07/14/2021 13:55:55,26.12,SP,SP,SPH_H1,20,Herbivore
