"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/13/2021 07:55:55",19.69,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"2",2,"07/13/2021 07:56:09",NA,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"3",3,"07/13/2021 07:56:20",NA,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"4",4,"07/13/2021 08:55:55",19.05,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"5",5,"07/13/2021 09:55:55",19.95,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"6",6,"07/13/2021 10:55:55",19.17,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"7",7,"07/13/2021 11:55:55",23.12,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"8",8,"07/13/2021 12:55:55",20.93,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"9",9,"07/13/2021 13:55:55",21.19,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"10",10,"07/13/2021 14:55:55",21.23,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"11",11,"07/13/2021 15:55:55",22.18,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"12",12,"07/13/2021 16:55:55",21.19,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"13",13,"07/13/2021 17:55:55",19.09,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"14",14,"07/13/2021 18:55:55",18.66,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"15",15,"07/13/2021 19:55:55",18.14,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"16",16,"07/13/2021 20:55:55",17.72,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"17",17,"07/13/2021 21:55:55",17.59,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"18",18,"07/13/2021 22:55:55",17.5,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"19",19,"07/13/2021 23:55:55",17.5,"SP","SP","S_SPH_H1_20",20,"Herbivore"
"20",20,"07/14/2021 00:55:55",17.59,"SP","SP","S_SPH_H1_20",20,"Herbivore"
