Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/13/2021 07:41:42,18.83,SP,SP,SPH_P1,40,Predator
2,07/13/2021 08:41:42,18.74,SP,SP,SPH_P1,40,Predator
3,07/13/2021 09:41:42,20.03,SP,SP,SPH_P1,40,Predator
4,07/13/2021 10:41:42,18.96,SP,SP,SPH_P1,40,Predator
5,07/13/2021 11:41:42,21.7,SP,SP,SPH_P1,40,Predator
6,07/13/2021 12:41:42,20.85,SP,SP,SPH_P1,40,Predator
7,07/13/2021 13:41:42,20.63,SP,SP,SPH_P1,40,Predator
8,07/13/2021 14:41:42,20.93,SP,SP,SPH_P1,40,Predator
9,07/13/2021 15:41:42,20.98,SP,SP,SPH_P1,40,Predator
10,07/13/2021 16:41:42,21.75,SP,SP,SPH_P1,40,Predator
11,07/13/2021 17:41:42,19.22,SP,SP,SPH_P1,40,Predator
12,07/13/2021 18:41:42,18.7,SP,SP,SPH_P1,40,Predator
13,07/13/2021 19:41:42,18.36,SP,SP,SPH_P1,40,Predator
14,07/13/2021 20:41:42,17.89,SP,SP,SPH_P1,40,Predator
15,07/13/2021 21:41:42,17.67,SP,SP,SPH_P1,40,Predator
16,07/13/2021 22:41:42,17.41,SP,SP,SPH_P1,40,Predator
17,07/13/2021 23:41:42,17.41,SP,SP,SPH_P1,40,Predator
18,07/14/2021 00:41:42,17.41,SP,SP,SPH_P1,40,Predator
19,07/14/2021 01:41:42,17.46,SP,SP,SPH_P1,40,Predator
20,07/14/2021 02:41:42,17.5,SP,SP,SPH_P1,40,Predator
21,07/14/2021 03:41:42,17.46,SP,SP,SPH_P1,40,Predator
22,07/14/2021 04:41:42,17.41,SP,SP,SPH_P1,40,Predator
23,07/14/2021 05:41:42,17.5,SP,SP,SPH_P1,40,Predator
24,07/14/2021 06:41:42,17.93,SP,SP,SPH_P1,40,Predator
25,07/14/2021 07:41:42,18.32,SP,SP,SPH_P1,40,Predator
26,07/14/2021 08:41:42,19.6,SP,SP,SPH_P1,40,Predator
27,07/14/2021 09:41:42,20.46,SP,SP,SPH_P1,40,Predator
28,07/14/2021 10:41:42,20.98,SP,SP,SPH_P1,40,Predator
29,07/14/2021 11:41:42,22.13,SP,SP,SPH_P1,40,Predator
30,07/14/2021 12:41:42,23.34,SP,SP,SPH_P1,40,Predator
31,07/14/2021 13:41:42,25.44,SP,SP,SPH_P1,40,Predator
32,07/14/2021 14:41:42,26.68,SP,SP,SPH_P1,40,Predator
33,07/14/2021 15:41:42,32.17,SP,SP,SPH_P1,40,Predator
34,07/14/2021 16:41:42,27.93,SP,SP,SPH_P1,40,Predator
35,07/14/2021 17:41:42,25.52,SP,SP,SPH_P1,40,Predator
36,07/14/2021 18:41:42,24.19,SP,SP,SPH_P1,40,Predator
37,07/14/2021 19:41:42,23.89,SP,SP,SPH_P1,40,Predator
38,07/14/2021 20:41:42,22.39,SP,SP,SPH_P1,40,Predator
39,07/14/2021 21:41:42,22.05,SP,SP,SPH_P1,40,Predator
40,07/14/2021 22:41:42,21.06,SP,SP,SPH_P1,40,Predator
41,07/14/2021 23:41:42,20.85,SP,SP,SPH_P1,40,Predator
42,07/15/2021 00:41:42,19.9,SP,SP,SPH_P1,40,Predator
43,07/15/2021 01:41:42,20.89,SP,SP,SPH_P1,40,Predator
44,07/15/2021 02:41:42,21.15,SP,SP,SPH_P1,40,Predator
45,07/15/2021 03:41:42,21.06,SP,SP,SPH_P1,40,Predator
46,07/15/2021 04:41:42,20.2,SP,SP,SPH_P1,40,Predator
47,07/15/2021 05:41:42,20.03,SP,SP,SPH_P1,40,Predator
48,07/15/2021 06:41:42,21.23,SP,SP,SPH_P1,40,Predator
49,07/15/2021 07:41:42,22.09,SP,SP,SPH_P1,40,Predator
50,07/15/2021 08:41:42,24.24,SP,SP,SPH_P1,40,Predator
51,07/15/2021 09:41:42,28.57,SP,SP,SPH_P1,40,Predator
52,07/15/2021 10:41:42,29.08,SP,SP,SPH_P1,40,Predator
53,07/15/2021 11:41:42,29.86,SP,SP,SPH_P1,40,Predator
54,07/15/2021 12:41:42,32.52,SP,SP,SPH_P1,40,Predator
55,07/15/2021 13:41:42,32.77,SP,SP,SPH_P1,40,Predator
56,07/15/2021 14:41:42,32.47,SP,SP,SPH_P1,40,Predator
57,07/15/2021 15:41:42,33.33,SP,SP,SPH_P1,40,Predator
58,07/15/2021 16:41:42,35.13,SP,SP,SPH_P1,40,Predator
59,07/15/2021 17:41:42,34.4,SP,SP,SPH_P1,40,Predator
60,07/15/2021 18:41:42,27.45,SP,SP,SPH_P1,40,Predator
61,07/15/2021 19:41:42,24.06,SP,SP,SPH_P1,40,Predator
62,07/15/2021 20:41:42,20.07,SP,SP,SPH_P1,40,Predator
63,07/15/2021 21:41:42,18.74,SP,SP,SPH_P1,40,Predator
64,07/15/2021 22:41:42,18.32,SP,SP,SPH_P1,40,Predator
65,07/15/2021 23:41:42,17.54,SP,SP,SPH_P1,40,Predator
66,07/16/2021 00:41:42,17.41,SP,SP,SPH_P1,40,Predator
67,07/16/2021 01:41:42,17.03,SP,SP,SPH_P1,40,Predator
68,07/16/2021 02:41:42,16.47,SP,SP,SPH_P1,40,Predator
69,07/16/2021 03:41:42,16.21,SP,SP,SPH_P1,40,Predator
70,07/16/2021 04:41:42,16.77,SP,SP,SPH_P1,40,Predator
71,07/16/2021 05:41:42,16.69,SP,SP,SPH_P1,40,Predator
72,07/16/2021 06:41:42,20.12,SP,SP,SPH_P1,40,Predator
73,07/16/2021 07:41:42,27.45,SP,SP,SPH_P1,40,Predator
74,07/16/2021 08:41:42,29.34,SP,SP,SPH_P1,40,Predator
75,07/16/2021 09:41:42,29.6,SP,SP,SPH_P1,40,Predator
