"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/13/2021 07:19:21",19.39,"SP","SP","S_SPH_P1_60",60,"Predator"
"2",2,"07/13/2021 08:19:21",18.96,"SP","SP","S_SPH_P1_60",60,"Predator"
"3",3,"07/13/2021 09:19:21",19.6,"SP","SP","S_SPH_P1_60",60,"Predator"
"4",4,"07/13/2021 10:19:21",18.92,"SP","SP","S_SPH_P1_60",60,"Predator"
"5",5,"07/13/2021 11:19:21",20.25,"SP","SP","S_SPH_P1_60",60,"Predator"
"6",6,"07/13/2021 12:19:21",20.68,"SP","SP","S_SPH_P1_60",60,"Predator"
"7",7,"07/13/2021 13:19:21",19.77,"SP","SP","S_SPH_P1_60",60,"Predator"
"8",8,"07/13/2021 14:19:21",20.76,"SP","SP","S_SPH_P1_60",60,"Predator"
"9",9,"07/13/2021 15:19:21",20.98,"SP","SP","S_SPH_P1_60",60,"Predator"
"10",10,"07/13/2021 16:19:21",21.53,"SP","SP","S_SPH_P1_60",60,"Predator"
"11",11,"07/13/2021 17:19:21",19.77,"SP","SP","S_SPH_P1_60",60,"Predator"
"12",12,"07/13/2021 18:19:21",19,"SP","SP","S_SPH_P1_60",60,"Predator"
"13",13,"07/13/2021 19:19:21",18.49,"SP","SP","S_SPH_P1_60",60,"Predator"
"14",14,"07/13/2021 20:19:21",17.97,"SP","SP","S_SPH_P1_60",60,"Predator"
"15",15,"07/13/2021 21:19:21",17.72,"SP","SP","S_SPH_P1_60",60,"Predator"
"16",16,"07/13/2021 22:19:21",17.46,"SP","SP","S_SPH_P1_60",60,"Predator"
"17",17,"07/13/2021 23:19:21",17.37,"SP","SP","S_SPH_P1_60",60,"Predator"
"18",18,"07/14/2021 00:19:21",17.41,"SP","SP","S_SPH_P1_60",60,"Predator"
"19",19,"07/14/2021 01:19:21",17.41,"SP","SP","S_SPH_P1_60",60,"Predator"
"20",20,"07/14/2021 02:19:21",17.41,"SP","SP","S_SPH_P1_60",60,"Predator"
"21",21,"07/14/2021 03:19:21",17.37,"SP","SP","S_SPH_P1_60",60,"Predator"
"22",22,"07/14/2021 04:19:21",17.37,"SP","SP","S_SPH_P1_60",60,"Predator"
"23",23,"07/14/2021 05:19:21",17.41,"SP","SP","S_SPH_P1_60",60,"Predator"
"24",24,"07/14/2021 06:19:21",17.67,"SP","SP","S_SPH_P1_60",60,"Predator"
"25",25,"07/14/2021 07:19:21",18.06,"SP","SP","S_SPH_P1_60",60,"Predator"
"26",26,"07/14/2021 08:19:21",18.79,"SP","SP","S_SPH_P1_60",60,"Predator"
"27",27,"07/14/2021 09:19:21",20.2,"SP","SP","S_SPH_P1_60",60,"Predator"
"28",28,"07/14/2021 10:19:21",20.68,"SP","SP","S_SPH_P1_60",60,"Predator"
"29",29,"07/14/2021 11:19:21",22.13,"SP","SP","S_SPH_P1_60",60,"Predator"
"30",30,"07/14/2021 12:19:21",22.18,"SP","SP","S_SPH_P1_60",60,"Predator"
"31",31,"07/14/2021 13:19:21",25.91,"SP","SP","S_SPH_P1_60",60,"Predator"
"32",32,"07/14/2021 14:19:21",25.48,"SP","SP","S_SPH_P1_60",60,"Predator"
"33",33,"07/14/2021 15:19:21",29.26,"SP","SP","S_SPH_P1_60",60,"Predator"
"34",34,"07/14/2021 16:19:21",29.38,"SP","SP","S_SPH_P1_60",60,"Predator"
"35",35,"07/14/2021 17:19:21",26.64,"SP","SP","S_SPH_P1_60",60,"Predator"
"36",36,"07/14/2021 18:19:21",24.36,"SP","SP","S_SPH_P1_60",60,"Predator"
"37",37,"07/14/2021 19:19:21",23.98,"SP","SP","S_SPH_P1_60",60,"Predator"
"38",38,"07/14/2021 20:19:21",23.46,"SP","SP","S_SPH_P1_60",60,"Predator"
"39",39,"07/14/2021 21:19:21",22.35,"SP","SP","S_SPH_P1_60",60,"Predator"
"40",40,"07/14/2021 22:19:21",21.36,"SP","SP","S_SPH_P1_60",60,"Predator"
"41",41,"07/14/2021 23:19:21",21.19,"SP","SP","S_SPH_P1_60",60,"Predator"
"42",42,"07/15/2021 00:19:21",19.05,"SP","SP","S_SPH_P1_60",60,"Predator"
"43",43,"07/15/2021 01:19:21",20.63,"SP","SP","S_SPH_P1_60",60,"Predator"
