Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/05/2021 08:27:38,19.82,SP,SP,SPH_V1,20,Vegetation
2,07/05/2021 08:28:25,NA,SP,SP,SPH_V1,20,Vegetation
3,07/05/2021 09:27:38,21.23,SP,SP,SPH_V1,20,Vegetation
4,07/05/2021 10:27:38,22.61,SP,SP,SPH_V1,20,Vegetation
5,07/05/2021 11:27:38,25.01,SP,SP,SPH_V1,20,Vegetation
6,07/05/2021 12:27:38,20.42,SP,SP,SPH_V1,20,Vegetation
7,07/05/2021 13:27:38,26.42,SP,SP,SPH_V1,20,Vegetation
8,07/05/2021 14:27:38,35.43,SP,SP,SPH_V1,20,Vegetation
9,07/05/2021 15:27:38,38.65,SP,SP,SPH_V1,20,Vegetation
10,07/05/2021 16:27:38,31.1,SP,SP,SPH_V1,20,Vegetation
11,07/05/2021 17:27:38,33.25,SP,SP,SPH_V1,20,Vegetation
12,07/05/2021 18:27:38,24.97,SP,SP,SPH_V1,20,Vegetation
13,07/05/2021 19:27:38,21.49,SP,SP,SPH_V1,20,Vegetation
14,07/05/2021 20:27:38,17.33,SP,SP,SPH_V1,20,Vegetation
15,07/05/2021 21:27:38,15.44,SP,SP,SPH_V1,20,Vegetation
16,07/05/2021 22:27:38,15.31,SP,SP,SPH_V1,20,Vegetation
17,07/05/2021 23:27:38,16.26,SP,SP,SPH_V1,20,Vegetation
18,07/06/2021 00:27:38,16.56,SP,SP,SPH_V1,20,Vegetation
19,07/06/2021 01:27:38,16.6,SP,SP,SPH_V1,20,Vegetation
20,07/06/2021 02:27:38,14.88,SP,SP,SPH_V1,20,Vegetation
21,07/06/2021 03:27:38,16.21,SP,SP,SPH_V1,20,Vegetation
22,07/06/2021 04:27:38,17.67,SP,SP,SPH_V1,20,Vegetation
23,07/06/2021 05:27:38,16.81,SP,SP,SPH_V1,20,Vegetation
24,07/06/2021 06:27:38,18.02,SP,SP,SPH_V1,20,Vegetation
25,07/06/2021 07:27:38,20.55,SP,SP,SPH_V1,20,Vegetation
26,07/06/2021 08:27:38,21.53,SP,SP,SPH_V1,20,Vegetation
27,07/06/2021 09:27:38,22.31,SP,SP,SPH_V1,20,Vegetation
28,07/06/2021 10:27:38,22.65,SP,SP,SPH_V1,20,Vegetation
29,07/06/2021 11:27:38,26.47,SP,SP,SPH_V1,20,Vegetation
30,07/06/2021 12:27:38,30.41,SP,SP,SPH_V1,20,Vegetation
31,07/06/2021 13:27:38,31.14,SP,SP,SPH_V1,20,Vegetation
32,07/06/2021 14:27:38,32.47,SP,SP,SPH_V1,20,Vegetation
33,07/06/2021 15:27:38,35.39,SP,SP,SPH_V1,20,Vegetation
34,07/06/2021 16:27:38,34.1,SP,SP,SPH_V1,20,Vegetation
35,07/06/2021 17:27:38,32.77,SP,SP,SPH_V1,20,Vegetation
36,07/06/2021 18:27:38,28.95,SP,SP,SPH_V1,20,Vegetation
37,07/06/2021 19:27:38,26.85,SP,SP,SPH_V1,20,Vegetation
38,07/06/2021 20:27:38,24.75,SP,SP,SPH_V1,20,Vegetation
39,07/06/2021 21:27:38,23.34,SP,SP,SPH_V1,20,Vegetation
40,07/06/2021 22:27:38,21.53,SP,SP,SPH_V1,20,Vegetation
41,07/06/2021 23:27:38,20.5,SP,SP,SPH_V1,20,Vegetation
42,07/07/2021 00:27:38,20.16,SP,SP,SPH_V1,20,Vegetation
43,07/07/2021 01:27:38,17.46,SP,SP,SPH_V1,20,Vegetation
44,07/07/2021 02:27:38,16.64,SP,SP,SPH_V1,20,Vegetation
45,07/07/2021 03:27:38,15.7,SP,SP,SPH_V1,20,Vegetation
46,07/07/2021 04:27:38,16.17,SP,SP,SPH_V1,20,Vegetation
47,07/07/2021 05:27:38,15.48,SP,SP,SPH_V1,20,Vegetation
48,07/07/2021 06:27:38,19.35,SP,SP,SPH_V1,20,Vegetation
49,07/07/2021 07:27:38,25.01,SP,SP,SPH_V1,20,Vegetation
50,07/07/2021 08:27:38,28.78,SP,SP,SPH_V1,20,Vegetation
51,07/07/2021 09:27:38,30.11,SP,SP,SPH_V1,20,Vegetation
52,07/07/2021 10:27:38,31.44,SP,SP,SPH_V1,20,Vegetation
53,07/07/2021 11:27:38,31.92,SP,SP,SPH_V1,20,Vegetation
54,07/07/2021 12:27:38,32.99,SP,SP,SPH_V1,20,Vegetation
55,07/07/2021 13:27:38,32.17,SP,SP,SPH_V1,20,Vegetation
56,07/07/2021 14:27:38,31.06,SP,SP,SPH_V1,20,Vegetation
57,07/07/2021 15:27:38,28.87,SP,SP,SPH_V1,20,Vegetation
58,07/07/2021 16:27:38,32.34,SP,SP,SPH_V1,20,Vegetation
59,07/07/2021 17:27:38,29.6,SP,SP,SPH_V1,20,Vegetation
60,07/07/2021 18:27:38,27.71,SP,SP,SPH_V1,20,Vegetation
61,07/07/2021 19:27:38,25.48,SP,SP,SPH_V1,20,Vegetation
62,07/07/2021 20:27:38,21.79,SP,SP,SPH_V1,20,Vegetation
63,07/07/2021 21:27:38,20.68,SP,SP,SPH_V1,20,Vegetation
64,07/07/2021 22:27:38,18.87,SP,SP,SPH_V1,20,Vegetation
65,07/07/2021 23:27:38,16.56,SP,SP,SPH_V1,20,Vegetation
66,07/08/2021 00:27:38,17.84,SP,SP,SPH_V1,20,Vegetation
67,07/08/2021 01:27:38,15.91,SP,SP,SPH_V1,20,Vegetation
68,07/08/2021 02:27:38,16.34,SP,SP,SPH_V1,20,Vegetation
69,07/08/2021 03:27:38,18.1,SP,SP,SPH_V1,20,Vegetation
70,07/08/2021 04:27:38,17.5,SP,SP,SPH_V1,20,Vegetation
71,07/08/2021 05:27:38,16.81,SP,SP,SPH_V1,20,Vegetation
72,07/08/2021 06:27:38,16.04,SP,SP,SPH_V1,20,Vegetation
73,07/08/2021 07:27:38,16.13,SP,SP,SPH_V1,20,Vegetation
74,07/08/2021 08:27:38,17.24,SP,SP,SPH_V1,20,Vegetation
75,07/08/2021 09:27:38,17.41,SP,SP,SPH_V1,20,Vegetation
76,07/08/2021 10:27:38,18.32,SP,SP,SPH_V1,20,Vegetation
77,07/08/2021 11:27:38,19.47,SP,SP,SPH_V1,20,Vegetation
78,07/08/2021 12:27:38,22.26,SP,SP,SPH_V1,20,Vegetation
79,07/08/2021 13:27:38,19.56,SP,SP,SPH_V1,20,Vegetation
80,07/08/2021 14:27:38,17.29,SP,SP,SPH_V1,20,Vegetation
81,07/08/2021 15:27:38,16.47,SP,SP,SPH_V1,20,Vegetation
82,07/08/2021 16:27:38,16.94,SP,SP,SPH_V1,20,Vegetation
83,07/08/2021 17:27:38,16.47,SP,SP,SPH_V1,20,Vegetation
84,07/08/2021 18:27:38,15.48,SP,SP,SPH_V1,20,Vegetation
85,07/08/2021 19:27:38,15.1,SP,SP,SPH_V1,20,Vegetation
86,07/08/2021 20:27:38,14.84,SP,SP,SPH_V1,20,Vegetation
87,07/08/2021 21:27:38,14.67,SP,SP,SPH_V1,20,Vegetation
88,07/08/2021 22:27:38,14.67,SP,SP,SPH_V1,20,Vegetation
89,07/08/2021 23:27:38,14.88,SP,SP,SPH_V1,20,Vegetation
90,07/09/2021 00:27:38,14.5,SP,SP,SPH_V1,20,Vegetation
91,07/09/2021 01:27:38,14.58,SP,SP,SPH_V1,20,Vegetation
92,07/09/2021 02:27:38,14.71,SP,SP,SPH_V1,20,Vegetation
93,07/09/2021 03:27:38,14.75,SP,SP,SPH_V1,20,Vegetation
94,07/09/2021 04:27:38,14.8,SP,SP,SPH_V1,20,Vegetation
95,07/09/2021 05:27:38,14.93,SP,SP,SPH_V1,20,Vegetation
96,07/09/2021 06:27:38,15.06,SP,SP,SPH_V1,20,Vegetation
97,07/09/2021 07:27:38,15.78,SP,SP,SPH_V1,20,Vegetation
98,07/09/2021 08:27:38,16.69,SP,SP,SPH_V1,20,Vegetation
99,07/09/2021 09:27:38,16.47,SP,SP,SPH_V1,20,Vegetation
100,07/09/2021 10:27:38,17.29,SP,SP,SPH_V1,20,Vegetation
101,07/09/2021 11:27:38,17.29,SP,SP,SPH_V1,20,Vegetation
102,07/09/2021 12:27:38,17.72,SP,SP,SPH_V1,20,Vegetation
103,07/09/2021 13:27:38,18.27,SP,SP,SPH_V1,20,Vegetation
104,07/09/2021 14:27:38,19.3,SP,SP,SPH_V1,20,Vegetation
105,07/09/2021 15:27:38,22.13,SP,SP,SPH_V1,20,Vegetation
106,07/09/2021 16:27:38,22.73,SP,SP,SPH_V1,20,Vegetation
107,07/09/2021 17:27:38,26.34,SP,SP,SPH_V1,20,Vegetation
108,07/09/2021 18:27:38,24.02,SP,SP,SPH_V1,20,Vegetation
109,07/09/2021 19:27:38,21.02,SP,SP,SPH_V1,20,Vegetation
110,07/09/2021 20:27:38,19.26,SP,SP,SPH_V1,20,Vegetation
111,07/09/2021 21:27:38,18.79,SP,SP,SPH_V1,20,Vegetation
112,07/09/2021 22:27:38,19.9,SP,SP,SPH_V1,20,Vegetation
113,07/09/2021 23:27:38,17.89,SP,SP,SPH_V1,20,Vegetation
114,07/10/2021 00:27:38,16.99,SP,SP,SPH_V1,20,Vegetation
115,07/10/2021 01:27:38,16.21,SP,SP,SPH_V1,20,Vegetation
116,07/10/2021 02:27:38,16.64,SP,SP,SPH_V1,20,Vegetation
117,07/10/2021 03:27:38,16.34,SP,SP,SPH_V1,20,Vegetation
118,07/10/2021 04:27:38,16.13,SP,SP,SPH_V1,20,Vegetation
119,07/10/2021 05:27:38,16.13,SP,SP,SPH_V1,20,Vegetation
120,07/10/2021 06:27:38,16.21,SP,SP,SPH_V1,20,Vegetation
121,07/10/2021 07:27:38,17.41,SP,SP,SPH_V1,20,Vegetation
122,07/10/2021 08:27:38,20.16,SP,SP,SPH_V1,20,Vegetation
123,07/10/2021 09:27:38,20.03,SP,SP,SPH_V1,20,Vegetation
124,07/10/2021 10:27:38,23.89,SP,SP,SPH_V1,20,Vegetation
125,07/10/2021 11:27:38,23.51,SP,SP,SPH_V1,20,Vegetation
126,07/10/2021 12:27:38,24.71,SP,SP,SPH_V1,20,Vegetation
127,07/10/2021 13:27:38,24.84,SP,SP,SPH_V1,20,Vegetation
