Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/29/2021 09:50:24,23.68,UP,SP,SPN_H1,20,Herbivore
2,07/29/2021 09:50:33,NA,UP,SP,SPN_H1,20,Herbivore
3,07/29/2021 09:50:34,NA,UP,SP,SPN_H1,20,Herbivore
4,07/29/2021 10:50:24,22.78,UP,SP,SPN_H1,20,Herbivore
5,07/29/2021 11:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
6,07/29/2021 12:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
7,07/29/2021 13:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
8,07/29/2021 14:50:24,22.35,UP,SP,SPN_H1,20,Herbivore
9,07/29/2021 15:50:24,22.31,UP,SP,SPN_H1,20,Herbivore
10,07/29/2021 16:50:24,22.35,UP,SP,SPN_H1,20,Herbivore
11,07/29/2021 17:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
12,07/29/2021 18:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
13,07/29/2021 19:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
14,07/29/2021 20:50:24,22.31,UP,SP,SPN_H1,20,Herbivore
15,07/29/2021 21:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
16,07/29/2021 22:50:24,22.48,UP,SP,SPN_H1,20,Herbivore
17,07/29/2021 23:50:24,22.61,UP,SP,SPN_H1,20,Herbivore
18,07/30/2021 00:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
19,07/30/2021 01:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
20,07/30/2021 02:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
21,07/30/2021 03:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
22,07/30/2021 04:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
23,07/30/2021 05:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
24,07/30/2021 06:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
25,07/30/2021 07:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
26,07/30/2021 08:50:24,22.86,UP,SP,SPN_H1,20,Herbivore
27,07/30/2021 09:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
28,07/30/2021 10:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
29,07/30/2021 11:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
30,07/30/2021 12:50:24,22.43,UP,SP,SPN_H1,20,Herbivore
31,07/30/2021 13:50:24,22.43,UP,SP,SPN_H1,20,Herbivore
32,07/30/2021 14:50:24,22.48,UP,SP,SPN_H1,20,Herbivore
33,07/30/2021 15:50:24,22.43,UP,SP,SPN_H1,20,Herbivore
34,07/30/2021 16:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
35,07/30/2021 17:50:24,22.35,UP,SP,SPN_H1,20,Herbivore
36,07/30/2021 18:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
37,07/30/2021 19:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
38,07/30/2021 20:50:24,22.48,UP,SP,SPN_H1,20,Herbivore
39,07/30/2021 21:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
40,07/30/2021 22:50:24,22.43,UP,SP,SPN_H1,20,Herbivore
41,07/30/2021 23:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
42,07/31/2021 00:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
43,07/31/2021 01:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
44,07/31/2021 02:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
45,07/31/2021 03:50:24,22.61,UP,SP,SPN_H1,20,Herbivore
46,07/31/2021 04:50:24,22.86,UP,SP,SPN_H1,20,Herbivore
47,07/31/2021 05:50:24,22.99,UP,SP,SPN_H1,20,Herbivore
48,07/31/2021 06:50:24,23.12,UP,SP,SPN_H1,20,Herbivore
49,07/31/2021 07:50:24,23.25,UP,SP,SPN_H1,20,Herbivore
50,07/31/2021 08:50:24,22.78,UP,SP,SPN_H1,20,Herbivore
51,07/31/2021 09:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
52,07/31/2021 10:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
53,07/31/2021 11:50:24,22.35,UP,SP,SPN_H1,20,Herbivore
54,07/31/2021 12:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
55,07/31/2021 13:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
56,07/31/2021 14:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
57,07/31/2021 15:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
58,07/31/2021 16:50:24,22.48,UP,SP,SPN_H1,20,Herbivore
59,07/31/2021 17:50:24,22.61,UP,SP,SPN_H1,20,Herbivore
60,07/31/2021 18:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
61,07/31/2021 19:50:24,22.52,UP,SP,SPN_H1,20,Herbivore
62,07/31/2021 20:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
63,07/31/2021 21:50:24,22.56,UP,SP,SPN_H1,20,Herbivore
64,07/31/2021 22:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
65,07/31/2021 23:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
66,08/01/2021 00:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
67,08/01/2021 01:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
68,08/01/2021 02:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
69,08/01/2021 03:50:24,22.91,UP,SP,SPN_H1,20,Herbivore
70,08/01/2021 04:50:24,23.08,UP,SP,SPN_H1,20,Herbivore
71,08/01/2021 05:50:24,23.12,UP,SP,SPN_H1,20,Herbivore
72,08/01/2021 06:50:24,23.29,UP,SP,SPN_H1,20,Herbivore
73,08/01/2021 07:50:24,23.34,UP,SP,SPN_H1,20,Herbivore
74,08/01/2021 08:50:24,22.78,UP,SP,SPN_H1,20,Herbivore
75,08/01/2021 09:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
76,08/01/2021 10:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
77,08/01/2021 11:50:24,22.43,UP,SP,SPN_H1,20,Herbivore
78,08/01/2021 12:50:24,22.48,UP,SP,SPN_H1,20,Herbivore
79,08/01/2021 13:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
80,08/01/2021 14:50:24,22.43,UP,SP,SPN_H1,20,Herbivore
81,08/01/2021 15:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
82,08/01/2021 16:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
83,08/01/2021 17:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
84,08/01/2021 18:50:24,22.31,UP,SP,SPN_H1,20,Herbivore
85,08/01/2021 19:50:24,22.48,UP,SP,SPN_H1,20,Herbivore
86,08/01/2021 20:50:24,22.61,UP,SP,SPN_H1,20,Herbivore
87,08/01/2021 21:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
88,08/01/2021 22:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
89,08/01/2021 23:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
90,08/02/2021 00:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
91,08/02/2021 01:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
92,08/02/2021 02:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
93,08/02/2021 03:50:24,22.73,UP,SP,SPN_H1,20,Herbivore
94,08/02/2021 04:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
95,08/02/2021 05:50:24,22.78,UP,SP,SPN_H1,20,Herbivore
96,08/02/2021 06:50:24,22.78,UP,SP,SPN_H1,20,Herbivore
97,08/02/2021 07:50:24,22.86,UP,SP,SPN_H1,20,Herbivore
98,08/02/2021 08:50:24,22.69,UP,SP,SPN_H1,20,Herbivore
99,08/02/2021 09:50:24,22.82,UP,SP,SPN_H1,20,Herbivore
100,08/02/2021 10:50:24,22.82,UP,SP,SPN_H1,20,Herbivore
101,08/02/2021 11:50:24,22.61,UP,SP,SPN_H1,20,Herbivore
102,08/02/2021 12:50:24,22.65,UP,SP,SPN_H1,20,Herbivore
103,08/02/2021 13:50:24,22.61,UP,SP,SPN_H1,20,Herbivore
104,08/02/2021 14:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
105,08/02/2021 15:50:24,22.31,UP,SP,SPN_H1,20,Herbivore
106,08/02/2021 16:50:24,22.39,UP,SP,SPN_H1,20,Herbivore
