Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,08/08/2021 10:34:11,34.15,UP,UP,UPH_H1,20,Herbivore
2,08/08/2021 10:34:19,NA,UP,UP,UPH_H1,20,Herbivore
3,08/08/2021 11:34:11,30.97,UP,UP,UPH_H1,20,Herbivore
4,08/08/2021 12:34:11,31.14,UP,UP,UPH_H1,20,Herbivore
5,08/08/2021 13:34:11,31.49,UP,UP,UPH_H1,20,Herbivore
6,08/08/2021 14:34:11,33.33,UP,UP,UPH_H1,20,Herbivore
7,08/08/2021 15:34:11,35.82,UP,UP,UPH_H1,20,Herbivore
8,08/08/2021 16:34:11,33.29,UP,UP,UPH_H1,20,Herbivore
9,08/08/2021 17:34:11,27.67,UP,UP,UPH_H1,20,Herbivore
10,08/08/2021 18:34:11,25.65,UP,UP,UPH_H1,20,Herbivore
11,08/08/2021 19:34:11,24.15,UP,UP,UPH_H1,20,Herbivore
12,08/08/2021 20:34:11,22.13,UP,UP,UPH_H1,20,Herbivore
13,08/08/2021 21:34:11,21.1,UP,UP,UPH_H1,20,Herbivore
14,08/08/2021 22:34:11,20.07,UP,UP,UPH_H1,20,Herbivore
15,08/08/2021 23:34:11,19.6,UP,UP,UPH_H1,20,Herbivore
16,08/09/2021 00:34:11,18.96,UP,UP,UPH_H1,20,Herbivore
17,08/09/2021 01:34:11,18.96,UP,UP,UPH_H1,20,Herbivore
18,08/09/2021 02:34:11,19.13,UP,UP,UPH_H1,20,Herbivore
19,08/09/2021 03:34:11,19.3,UP,UP,UPH_H1,20,Herbivore
20,08/09/2021 04:34:11,18.36,UP,UP,UPH_H1,20,Herbivore
21,08/09/2021 05:34:11,18.19,UP,UP,UPH_H1,20,Herbivore
22,08/09/2021 06:34:11,19,UP,UP,UPH_H1,20,Herbivore
23,08/09/2021 07:34:11,21.62,UP,UP,UPH_H1,20,Herbivore
24,08/09/2021 08:34:11,25.39,UP,UP,UPH_H1,20,Herbivore
25,08/09/2021 09:34:11,26.6,UP,UP,UPH_H1,20,Herbivore
26,08/09/2021 10:34:11,29.17,UP,UP,UPH_H1,20,Herbivore
27,08/09/2021 11:34:11,29.47,UP,UP,UPH_H1,20,Herbivore
28,08/09/2021 12:34:11,28.61,UP,UP,UPH_H1,20,Herbivore
29,08/09/2021 13:34:11,29.13,UP,UP,UPH_H1,20,Herbivore
30,08/09/2021 14:34:11,30.93,UP,UP,UPH_H1,20,Herbivore
31,08/09/2021 15:34:11,33.5,UP,UP,UPH_H1,20,Herbivore
32,08/09/2021 16:34:11,38.14,UP,UP,UPH_H1,20,Herbivore
33,08/09/2021 17:34:11,35.3,UP,UP,UPH_H1,20,Herbivore
34,08/09/2021 18:34:11,31.4,UP,UP,UPH_H1,20,Herbivore
35,08/09/2021 19:34:11,25.87,UP,UP,UPH_H1,20,Herbivore
36,08/09/2021 20:34:11,21.58,UP,UP,UPH_H1,20,Herbivore
37,08/09/2021 21:34:11,20.07,UP,UP,UPH_H1,20,Herbivore
38,08/09/2021 22:34:11,19.3,UP,UP,UPH_H1,20,Herbivore
39,08/09/2021 23:34:11,18.79,UP,UP,UPH_H1,20,Herbivore
40,08/10/2021 00:34:11,18.49,UP,UP,UPH_H1,20,Herbivore
41,08/10/2021 01:34:11,18.66,UP,UP,UPH_H1,20,Herbivore
42,08/10/2021 02:34:11,18.49,UP,UP,UPH_H1,20,Herbivore
43,08/10/2021 03:34:11,18.36,UP,UP,UPH_H1,20,Herbivore
44,08/10/2021 04:34:11,18.06,UP,UP,UPH_H1,20,Herbivore
45,08/10/2021 05:34:11,18.02,UP,UP,UPH_H1,20,Herbivore
46,08/10/2021 06:34:11,18.74,UP,UP,UPH_H1,20,Herbivore
47,08/10/2021 07:34:11,20.98,UP,UP,UPH_H1,20,Herbivore
48,08/10/2021 08:34:11,23.42,UP,UP,UPH_H1,20,Herbivore
49,08/10/2021 09:34:11,26.25,UP,UP,UPH_H1,20,Herbivore
