"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"08/08/2021 10:34:11",34.15,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"2",2,"08/08/2021 10:34:19",NA,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"3",3,"08/08/2021 11:34:11",30.97,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"4",4,"08/08/2021 12:34:11",31.14,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"5",5,"08/08/2021 13:34:11",31.49,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"6",6,"08/08/2021 14:34:11",33.33,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"7",7,"08/08/2021 15:34:11",35.82,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"8",8,"08/08/2021 16:34:11",33.29,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"9",9,"08/08/2021 17:34:11",27.67,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"10",10,"08/08/2021 18:34:11",25.65,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"11",11,"08/08/2021 19:34:11",24.15,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"12",12,"08/08/2021 20:34:11",22.13,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"13",13,"08/08/2021 21:34:11",21.1,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"14",14,"08/08/2021 22:34:11",20.07,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"15",15,"08/08/2021 23:34:11",19.6,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"16",16,"08/09/2021 00:34:11",18.96,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"17",17,"08/09/2021 01:34:11",18.96,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"18",18,"08/09/2021 02:34:11",19.13,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"19",19,"08/09/2021 03:34:11",19.3,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"20",20,"08/09/2021 04:34:11",18.36,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"21",21,"08/09/2021 05:34:11",18.19,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"22",22,"08/09/2021 06:34:11",19,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"23",23,"08/09/2021 07:34:11",21.62,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"24",24,"08/09/2021 08:34:11",25.39,"UP","UP","S_UPH_H1_20",20,"Herbivore"
"25",25,"08/09/2021 09:34:11",26.6,"UP","UP","S_UPH_H1_20",20,"Herbivore"
