Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,8/8/21 10:53,33.59,UP,UP,S_UPH_P1,40,Predator
2,8/8/21 11:53,32.56,UP,UP,S_UPH_P1,40,Predator
3,8/8/21 12:53,30.63,UP,UP,S_UPH_P1,40,Predator
4,8/8/21 13:53,31.74,UP,UP,S_UPH_P1,40,Predator
5,8/8/21 14:53,32.26,UP,UP,S_UPH_P1,40,Predator
6,8/8/21 15:53,32.99,UP,UP,S_UPH_P1,40,Predator
7,8/8/21 16:53,30.63,UP,UP,S_UPH_P1,40,Predator
8,8/8/21 17:53,26.77,UP,UP,S_UPH_P1,40,Predator
9,8/8/21 18:53,25.61,UP,UP,S_UPH_P1,40,Predator
10,8/8/21 19:53,23.89,UP,UP,S_UPH_P1,40,Predator
11,8/8/21 20:53,21.75,UP,UP,S_UPH_P1,40,Predator
12,8/8/21 21:53,20.72,UP,UP,S_UPH_P1,40,Predator
13,8/8/21 22:53,20.07,UP,UP,S_UPH_P1,40,Predator
14,8/8/21 23:53,19.47,UP,UP,S_UPH_P1,40,Predator
15,8/9/21 0:53,19.39,UP,UP,S_UPH_P1,40,Predator
16,8/9/21 1:53,19.56,UP,UP,S_UPH_P1,40,Predator
17,8/9/21 2:53,19.65,UP,UP,S_UPH_P1,40,Predator
18,8/9/21 3:53,19.3,UP,UP,S_UPH_P1,40,Predator
19,8/9/21 4:53,18.57,UP,UP,S_UPH_P1,40,Predator
20,8/9/21 5:53,18.7,UP,UP,S_UPH_P1,40,Predator
21,8/9/21 6:53,20.55,UP,UP,S_UPH_P1,40,Predator
22,8/9/21 7:53,23.59,UP,UP,S_UPH_P1,40,Predator
23,8/9/21 8:53,26.81,UP,UP,S_UPH_P1,40,Predator
24,8/9/21 9:53,28.1,UP,UP,S_UPH_P1,40,Predator
25,8/9/21 10:53,30.28,UP,UP,S_UPH_P1,40,Predator
26,8/9/21 11:53,29.56,UP,UP,S_UPH_P1,40,Predator
27,8/9/21 12:53,29.94,UP,UP,S_UPH_P1,40,Predator
28,8/9/21 13:53,31.01,UP,UP,S_UPH_P1,40,Predator
29,8/9/21 14:53,32.82,UP,UP,S_UPH_P1,40,Predator
30,8/9/21 15:53,33.97,UP,UP,S_UPH_P1,40,Predator
31,8/9/21 16:53,32.6,UP,UP,S_UPH_P1,40,Predator
32,8/9/21 17:53,34.32,UP,UP,S_UPH_P1,40,Predator
33,8/9/21 18:53,32.56,UP,UP,S_UPH_P1,40,Predator
34,8/9/21 19:53,25.78,UP,UP,S_UPH_P1,40,Predator
35,8/9/21 20:53,21.23,UP,UP,S_UPH_P1,40,Predator
36,8/9/21 21:53,20.12,UP,UP,S_UPH_P1,40,Predator
37,8/9/21 22:53,19.52,UP,UP,S_UPH_P1,40,Predator
38,8/9/21 23:53,19.26,UP,UP,S_UPH_P1,40,Predator
39,8/10/21 0:53,18.79,UP,UP,S_UPH_P1,40,Predator
40,8/10/21 1:53,19.3,UP,UP,S_UPH_P1,40,Predator
41,8/10/21 2:53,18.83,UP,UP,S_UPH_P1,40,Predator
42,8/10/21 3:53,18.7,UP,UP,S_UPH_P1,40,Predator
43,8/10/21 4:53,18.74,UP,UP,S_UPH_P1,40,Predator
44,8/10/21 5:53,18.79,UP,UP,S_UPH_P1,40,Predator
45,8/10/21 6:53,20.42,UP,UP,S_UPH_P1,40,Predator
46,8/10/21 7:53,24.19,UP,UP,S_UPH_P1,40,Predator
47,8/10/21 8:53,26.12,UP,UP,S_UPH_P1,40,Predator
48,8/10/21 9:53,27.71,UP,UP,S_UPH_P1,40,Predator
49,8/10/21 10:53,29.86,UP,UP,S_UPH_P1,40,Predator
50,8/10/21 11:53,31.23,UP,UP,S_UPH_P1,40,Predator
51,8/10/21 12:53,32.43,UP,UP,S_UPH_P1,40,Predator
52,8/10/21 13:53,32.69,UP,UP,S_UPH_P1,40,Predator
53,8/10/21 14:53,34.66,UP,UP,S_UPH_P1,40,Predator
54,8/10/21 15:53,34.27,UP,UP,S_UPH_P1,40,Predator
55,8/10/21 16:53,33.33,UP,UP,S_UPH_P1,40,Predator
56,8/10/21 17:53,32.99,UP,UP,S_UPH_P1,40,Predator
57,8/10/21 18:53,31.92,UP,UP,S_UPH_P1,40,Predator
58,8/10/21 19:53,26.42,UP,UP,S_UPH_P1,40,Predator
59,8/10/21 20:53,25.57,UP,UP,S_UPH_P1,40,Predator
60,8/10/21 21:53,25.31,UP,UP,S_UPH_P1,40,Predator
61,8/10/21 22:53,24.36,UP,UP,S_UPH_P1,40,Predator
62,8/10/21 23:53,24.45,UP,UP,S_UPH_P1,40,Predator
63,8/11/21 0:53,24.36,UP,UP,S_UPH_P1,40,Predator
64,8/11/21 1:53,24.06,UP,UP,S_UPH_P1,40,Predator
65,8/11/21 2:53,23.85,UP,UP,S_UPH_P1,40,Predator
66,8/11/21 3:53,22.61,UP,UP,S_UPH_P1,40,Predator
67,8/11/21 4:53,22.13,UP,UP,S_UPH_P1,40,Predator
68,8/11/21 5:53,22.56,UP,UP,S_UPH_P1,40,Predator
69,8/11/21 6:53,22.61,UP,UP,S_UPH_P1,40,Predator
70,8/11/21 7:53,23.21,UP,UP,S_UPH_P1,40,Predator
71,8/11/21 8:53,23.76,UP,UP,S_UPH_P1,40,Predator
72,8/11/21 9:53,25.01,UP,UP,S_UPH_P1,40,Predator
73,8/11/21 10:53,26.98,UP,UP,S_UPH_P1,40,Predator
74,8/11/21 11:53,31.4,UP,UP,S_UPH_P1,40,Predator
75,8/11/21 12:53,30.24,UP,UP,S_UPH_P1,40,Predator
76,8/11/21 13:53,33.85,UP,UP,S_UPH_P1,40,Predator
77,8/11/21 14:53,34.4,UP,UP,S_UPH_P1,40,Predator
78,8/11/21 15:53,35.9,UP,UP,S_UPH_P1,40,Predator
79,8/11/21 16:53,32.34,UP,UP,S_UPH_P1,40,Predator
80,8/11/21 17:53,28.61,UP,UP,S_UPH_P1,40,Predator
81,8/11/21 18:53,31.14,UP,UP,S_UPH_P1,40,Predator
82,8/11/21 19:53,27.58,UP,UP,S_UPH_P1,40,Predator
83,8/11/21 20:53,25.18,UP,UP,S_UPH_P1,40,Predator
84,8/11/21 21:53,24.45,UP,UP,S_UPH_P1,40,Predator
85,8/11/21 22:53,22.78,UP,UP,S_UPH_P1,40,Predator
86,8/11/21 23:53,22.43,UP,UP,S_UPH_P1,40,Predator
87,8/12/21 0:53,21.36,UP,UP,S_UPH_P1,40,Predator
88,8/12/21 1:53,21.96,UP,UP,S_UPH_P1,40,Predator
89,8/12/21 2:53,21.83,UP,UP,S_UPH_P1,40,Predator
90,8/12/21 3:53,22.39,UP,UP,S_UPH_P1,40,Predator
91,8/12/21 4:53,22.56,UP,UP,S_UPH_P1,40,Predator
92,8/12/21 5:53,23.08,UP,UP,S_UPH_P1,40,Predator
93,8/12/21 6:53,23.68,UP,UP,S_UPH_P1,40,Predator
94,8/12/21 7:53,25.39,UP,UP,S_UPH_P1,40,Predator
95,8/12/21 8:53,28.35,UP,UP,S_UPH_P1,40,Predator
96,8/12/21 9:53,30.03,UP,UP,S_UPH_P1,40,Predator
97,8/12/21 10:53,31.66,UP,UP,S_UPH_P1,40,Predator
98,8/12/21 11:53,32.69,UP,UP,S_UPH_P1,40,Predator
99,8/12/21 12:53,32.99,UP,UP,S_UPH_P1,40,Predator
100,8/12/21 13:53,31.14,UP,UP,S_UPH_P1,40,Predator
101,8/12/21 14:53,29.68,UP,UP,S_UPH_P1,40,Predator
102,8/12/21 15:53,31.4,UP,UP,S_UPH_P1,40,Predator
103,8/12/21 16:53,29.86,UP,UP,S_UPH_P1,40,Predator
104,8/12/21 17:53,30.89,UP,UP,S_UPH_P1,40,Predator
105,8/12/21 18:53,30.16,UP,UP,S_UPH_P1,40,Predator
106,8/12/21 19:53,27.71,UP,UP,S_UPH_P1,40,Predator
107,8/12/21 20:53,24.92,UP,UP,S_UPH_P1,40,Predator
108,8/12/21 21:53,23.64,UP,UP,S_UPH_P1,40,Predator
109,8/12/21 22:53,22.18,UP,UP,S_UPH_P1,40,Predator
110,8/12/21 23:53,21.53,UP,UP,S_UPH_P1,40,Predator
111,8/13/21 0:53,21.15,UP,UP,S_UPH_P1,40,Predator
112,8/13/21 1:53,20.37,UP,UP,S_UPH_P1,40,Predator
113,8/13/21 2:53,20.25,UP,UP,S_UPH_P1,40,Predator
114,8/13/21 3:53,19.99,UP,UP,S_UPH_P1,40,Predator
115,8/13/21 4:53,19.73,UP,UP,S_UPH_P1,40,Predator
116,8/13/21 5:53,18.96,UP,UP,S_UPH_P1,40,Predator
117,8/13/21 6:53,20.46,UP,UP,S_UPH_P1,40,Predator
118,8/13/21 7:53,25.99,UP,UP,S_UPH_P1,40,Predator
119,8/13/21 8:53,28.48,UP,UP,S_UPH_P1,40,Predator
120,8/13/21 9:53,30.46,UP,UP,S_UPH_P1,40,Predator
121,8/13/21 10:53,31.96,UP,UP,S_UPH_P1,40,Predator
122,8/13/21 11:53,32.47,UP,UP,S_UPH_P1,40,Predator
123,8/13/21 12:53,33.85,UP,UP,S_UPH_P1,40,Predator
124,8/13/21 13:53,34.53,UP,UP,S_UPH_P1,40,Predator
125,8/13/21 14:53,34.66,UP,UP,S_UPH_P1,40,Predator
126,8/13/21 15:53,35.82,UP,UP,S_UPH_P1,40,Predator
127,8/13/21 16:53,35.52,UP,UP,S_UPH_P1,40,Predator
128,8/13/21 17:53,31.01,UP,UP,S_UPH_P1,40,Predator
129,8/13/21 18:53,29.3,UP,UP,S_UPH_P1,40,Predator
130,8/13/21 19:53,25.05,UP,UP,S_UPH_P1,40,Predator
131,8/13/21 20:53,23.72,UP,UP,S_UPH_P1,40,Predator
132,8/13/21 21:53,23.38,UP,UP,S_UPH_P1,40,Predator
133,8/13/21 22:53,23.55,UP,UP,S_UPH_P1,40,Predator
134,8/13/21 23:53,23.29,UP,UP,S_UPH_P1,40,Predator
135,8/14/21 0:53,22.39,UP,UP,S_UPH_P1,40,Predator
136,8/14/21 1:53,22.61,UP,UP,S_UPH_P1,40,Predator
137,8/14/21 2:53,21.58,UP,UP,S_UPH_P1,40,Predator
138,8/14/21 3:53,20.98,UP,UP,S_UPH_P1,40,Predator
139,8/14/21 4:53,21.23,UP,UP,S_UPH_P1,40,Predator
140,8/14/21 5:53,21.4,UP,UP,S_UPH_P1,40,Predator
141,8/14/21 6:53,21.66,UP,UP,S_UPH_P1,40,Predator
142,8/14/21 7:53,20.63,UP,UP,S_UPH_P1,40,Predator
143,8/14/21 8:53,20.25,UP,UP,S_UPH_P1,40,Predator
144,8/14/21 9:53,22.01,UP,UP,S_UPH_P1,40,Predator
145,8/14/21 10:53,23.98,UP,UP,S_UPH_P1,40,Predator
146,8/14/21 11:53,24.62,UP,UP,S_UPH_P1,40,Predator
147,8/14/21 12:53,23.89,UP,UP,S_UPH_P1,40,Predator
148,8/14/21 13:53,27.32,UP,UP,S_UPH_P1,40,Predator
149,8/14/21 14:53,28.74,UP,UP,S_UPH_P1,40,Predator
150,8/14/21 15:53,28.61,UP,UP,S_UPH_P1,40,Predator
151,8/14/21 16:53,27.93,UP,UP,S_UPH_P1,40,Predator
152,8/14/21 17:53,27.71,UP,UP,S_UPH_P1,40,Predator
153,8/14/21 18:53,26.94,UP,UP,S_UPH_P1,40,Predator
154,8/14/21 19:53,22.13,UP,UP,S_UPH_P1,40,Predator
155,8/14/21 20:53,19.69,UP,UP,S_UPH_P1,40,Predator
156,8/14/21 21:53,19,UP,UP,S_UPH_P1,40,Predator
157,8/14/21 22:53,18.14,UP,UP,S_UPH_P1,40,Predator
158,8/14/21 23:53,16.51,UP,UP,S_UPH_P1,40,Predator
159,8/15/21 0:53,16.69,UP,UP,S_UPH_P1,40,Predator
160,8/15/21 1:53,14.2,UP,UP,S_UPH_P1,40,Predator
161,8/15/21 2:53,14.28,UP,UP,S_UPH_P1,40,Predator
162,8/15/21 3:53,13.21,UP,UP,S_UPH_P1,40,Predator
163,8/15/21 4:53,12.18,UP,UP,S_UPH_P1,40,Predator
164,8/15/21 5:53,11.75,UP,UP,S_UPH_P1,40,Predator
165,8/15/21 6:53,12.52,UP,UP,S_UPH_P1,40,Predator
166,8/15/21 7:53,19.6,UP,UP,S_UPH_P1,40,Predator
167,8/15/21 8:53,23.55,UP,UP,S_UPH_P1,40,Predator
168,8/15/21 9:53,24.24,UP,UP,S_UPH_P1,40,Predator
169,8/15/21 10:53,24.32,UP,UP,S_UPH_P1,40,Predator
170,8/15/21 11:53,24.24,UP,UP,S_UPH_P1,40,Predator
171,8/15/21 12:53,24.58,UP,UP,S_UPH_P1,40,Predator
172,8/15/21 13:53,26.38,UP,UP,S_UPH_P1,40,Predator
173,8/15/21 14:53,26.34,UP,UP,S_UPH_P1,40,Predator
174,8/15/21 15:53,26.55,UP,UP,S_UPH_P1,40,Predator
175,8/15/21 16:53,26.34,UP,UP,S_UPH_P1,40,Predator
176,8/15/21 17:53,26.34,UP,UP,S_UPH_P1,40,Predator
177,8/15/21 18:53,24.84,UP,UP,S_UPH_P1,40,Predator
178,8/15/21 19:53,18.53,UP,UP,S_UPH_P1,40,Predator
179,8/15/21 20:53,14.11,UP,UP,S_UPH_P1,40,Predator
180,8/15/21 21:53,13.47,UP,UP,S_UPH_P1,40,Predator
181,8/15/21 22:53,11.79,UP,UP,S_UPH_P1,40,Predator
182,8/15/21 23:53,10.85,UP,UP,S_UPH_P1,40,Predator
183,8/16/21 0:53,10.77,UP,UP,S_UPH_P1,40,Predator
184,8/16/21 1:53,10.08,UP,UP,S_UPH_P1,40,Predator
185,8/16/21 2:53,9.91,UP,UP,S_UPH_P1,40,Predator
186,8/16/21 3:53,9.48,UP,UP,S_UPH_P1,40,Predator
187,8/16/21 4:53,9.05,UP,UP,S_UPH_P1,40,Predator
