"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"08/08/2021 10:54:01",33.59,"UP","UP","S_UPH_P1_60",60,"Predator"
"2",2,"08/08/2021 10:54:11",NA,"UP","UP","S_UPH_P1_60",60,"Predator"
"3",3,"08/08/2021 11:54:01",32.13,"UP","UP","S_UPH_P1_60",60,"Predator"
"4",4,"08/08/2021 12:54:01",30.67,"UP","UP","S_UPH_P1_60",60,"Predator"
"5",5,"08/08/2021 13:54:01",32.94,"UP","UP","S_UPH_P1_60",60,"Predator"
"6",6,"08/08/2021 14:54:01",34.23,"UP","UP","S_UPH_P1_60",60,"Predator"
"7",7,"08/08/2021 15:54:01",35.69,"UP","UP","S_UPH_P1_60",60,"Predator"
"8",8,"08/08/2021 16:54:01",31.49,"UP","UP","S_UPH_P1_60",60,"Predator"
"9",9,"08/08/2021 17:54:01",26.94,"UP","UP","S_UPH_P1_60",60,"Predator"
"10",10,"08/08/2021 18:54:01",25.69,"UP","UP","S_UPH_P1_60",60,"Predator"
"11",11,"08/08/2021 19:54:01",23.94,"UP","UP","S_UPH_P1_60",60,"Predator"
"12",12,"08/08/2021 20:54:01",21.92,"UP","UP","S_UPH_P1_60",60,"Predator"
"13",13,"08/08/2021 21:54:01",20.85,"UP","UP","S_UPH_P1_60",60,"Predator"
"14",14,"08/08/2021 22:54:01",20.2,"UP","UP","S_UPH_P1_60",60,"Predator"
"15",15,"08/08/2021 23:54:01",19.69,"UP","UP","S_UPH_P1_60",60,"Predator"
"16",16,"08/09/2021 00:54:01",19.65,"UP","UP","S_UPH_P1_60",60,"Predator"
"17",17,"08/09/2021 01:54:01",19.65,"UP","UP","S_UPH_P1_60",60,"Predator"
"18",18,"08/09/2021 02:54:01",19.9,"UP","UP","S_UPH_P1_60",60,"Predator"
"19",19,"08/09/2021 03:54:01",19.52,"UP","UP","S_UPH_P1_60",60,"Predator"
"20",20,"08/09/2021 04:54:01",18.83,"UP","UP","S_UPH_P1_60",60,"Predator"
"21",21,"08/09/2021 05:54:01",18.96,"UP","UP","S_UPH_P1_60",60,"Predator"
"22",22,"08/09/2021 06:54:01",21.02,"UP","UP","S_UPH_P1_60",60,"Predator"
"23",23,"08/09/2021 07:54:01",23.94,"UP","UP","S_UPH_P1_60",60,"Predator"
"24",24,"08/09/2021 08:54:01",26.68,"UP","UP","S_UPH_P1_60",60,"Predator"
"25",25,"08/09/2021 09:54:01",28.27,"UP","UP","S_UPH_P1_60",60,"Predator"
"26",26,"08/09/2021 10:54:01",30.46,"UP","UP","S_UPH_P1_60",60,"Predator"
"27",27,"08/09/2021 11:54:01",29.86,"UP","UP","S_UPH_P1_60",60,"Predator"
"28",28,"08/09/2021 12:54:01",30.37,"UP","UP","S_UPH_P1_60",60,"Predator"
"29",29,"08/09/2021 13:54:01",31.61,"UP","UP","S_UPH_P1_60",60,"Predator"
"30",30,"08/09/2021 14:54:01",34.83,"UP","UP","S_UPH_P1_60",60,"Predator"
"31",31,"08/09/2021 15:54:01",36.98,"UP","UP","S_UPH_P1_60",60,"Predator"
"32",32,"08/09/2021 16:54:01",34.06,"UP","UP","S_UPH_P1_60",60,"Predator"
"33",33,"08/09/2021 17:54:01",34.83,"UP","UP","S_UPH_P1_60",60,"Predator"
"34",34,"08/09/2021 18:54:01",32.17,"UP","UP","S_UPH_P1_60",60,"Predator"
"35",35,"08/09/2021 19:54:01",25.69,"UP","UP","S_UPH_P1_60",60,"Predator"
"36",36,"08/09/2021 20:54:01",21.62,"UP","UP","S_UPH_P1_60",60,"Predator"
"37",37,"08/09/2021 21:54:01",20.55,"UP","UP","S_UPH_P1_60",60,"Predator"
"38",38,"08/09/2021 22:54:01",19.9,"UP","UP","S_UPH_P1_60",60,"Predator"
"39",39,"08/09/2021 23:54:01",19.6,"UP","UP","S_UPH_P1_60",60,"Predator"
"40",40,"08/10/2021 00:54:01",19.13,"UP","UP","S_UPH_P1_60",60,"Predator"
"41",41,"08/10/2021 01:54:01",19.6,"UP","UP","S_UPH_P1_60",60,"Predator"
"42",42,"08/10/2021 02:54:01",19.17,"UP","UP","S_UPH_P1_60",60,"Predator"
"43",43,"08/10/2021 03:54:01",19.05,"UP","UP","S_UPH_P1_60",60,"Predator"
"44",44,"08/10/2021 04:54:01",19.05,"UP","UP","S_UPH_P1_60",60,"Predator"
"45",45,"08/10/2021 05:54:01",19.05,"UP","UP","S_UPH_P1_60",60,"Predator"
"46",46,"08/10/2021 06:54:01",20.85,"UP","UP","S_UPH_P1_60",60,"Predator"
"47",47,"08/10/2021 07:54:01",24.36,"UP","UP","S_UPH_P1_60",60,"Predator"
"48",48,"08/10/2021 08:54:01",25.78,"UP","UP","S_UPH_P1_60",60,"Predator"
"49",49,"08/10/2021 09:54:01",27.24,"UP","UP","S_UPH_P1_60",60,"Predator"
"50",50,"08/10/2021 10:54:01",29.17,"UP","UP","S_UPH_P1_60",60,"Predator"
"51",51,"08/10/2021 11:54:01",30.89,"UP","UP","S_UPH_P1_60",60,"Predator"
"52",52,"08/10/2021 12:54:01",33.33,"UP","UP","S_UPH_P1_60",60,"Predator"
"53",53,"08/10/2021 13:54:01",34.19,"UP","UP","S_UPH_P1_60",60,"Predator"
"54",54,"08/10/2021 14:54:01",37.71,"UP","UP","S_UPH_P1_60",60,"Predator"
"55",55,"08/10/2021 15:54:01",37.66,"UP","UP","S_UPH_P1_60",60,"Predator"
"56",56,"08/10/2021 16:54:01",35.26,"UP","UP","S_UPH_P1_60",60,"Predator"
"57",57,"08/10/2021 17:54:01",33.37,"UP","UP","S_UPH_P1_60",60,"Predator"
"58",58,"08/10/2021 18:54:01",31.66,"UP","UP","S_UPH_P1_60",60,"Predator"
"59",59,"08/10/2021 19:54:01",26.6,"UP","UP","S_UPH_P1_60",60,"Predator"
"60",60,"08/10/2021 20:54:01",25.78,"UP","UP","S_UPH_P1_60",60,"Predator"
"61",61,"08/10/2021 21:54:01",25.61,"UP","UP","S_UPH_P1_60",60,"Predator"
"62",62,"08/10/2021 22:54:01",24.62,"UP","UP","S_UPH_P1_60",60,"Predator"
"63",63,"08/10/2021 23:54:01",24.66,"UP","UP","S_UPH_P1_60",60,"Predator"
"64",64,"08/11/2021 00:54:01",24.49,"UP","UP","S_UPH_P1_60",60,"Predator"
"65",65,"08/11/2021 01:54:01",24.24,"UP","UP","S_UPH_P1_60",60,"Predator"
"66",66,"08/11/2021 02:54:01",24.02,"UP","UP","S_UPH_P1_60",60,"Predator"
"67",67,"08/11/2021 03:54:01",22.52,"UP","UP","S_UPH_P1_60",60,"Predator"
"68",68,"08/11/2021 04:54:01",22.09,"UP","UP","S_UPH_P1_60",60,"Predator"
"69",69,"08/11/2021 05:54:01",22.61,"UP","UP","S_UPH_P1_60",60,"Predator"
"70",70,"08/11/2021 06:54:01",22.56,"UP","UP","S_UPH_P1_60",60,"Predator"
"71",71,"08/11/2021 07:54:01",23.16,"UP","UP","S_UPH_P1_60",60,"Predator"
"72",72,"08/11/2021 08:54:01",23.59,"UP","UP","S_UPH_P1_60",60,"Predator"
"73",73,"08/11/2021 09:54:01",24.84,"UP","UP","S_UPH_P1_60",60,"Predator"
"74",74,"08/11/2021 10:54:01",26.72,"UP","UP","S_UPH_P1_60",60,"Predator"
"75",75,"08/11/2021 11:54:01",30.59,"UP","UP","S_UPH_P1_60",60,"Predator"
"76",76,"08/11/2021 12:54:01",29.94,"UP","UP","S_UPH_P1_60",60,"Predator"
"77",77,"08/11/2021 13:54:01",34.7,"UP","UP","S_UPH_P1_60",60,"Predator"
"78",78,"08/11/2021 14:54:01",36.16,"UP","UP","S_UPH_P1_60",60,"Predator"
"79",79,"08/11/2021 15:54:01",37.92,"UP","UP","S_UPH_P1_60",60,"Predator"
"80",80,"08/11/2021 16:54:01",33.03,"UP","UP","S_UPH_P1_60",60,"Predator"
"81",81,"08/11/2021 17:54:01",28.23,"UP","UP","S_UPH_P1_60",60,"Predator"
"82",82,"08/11/2021 18:54:01",29.86,"UP","UP","S_UPH_P1_60",60,"Predator"
"83",83,"08/11/2021 19:54:01",27.24,"UP","UP","S_UPH_P1_60",60,"Predator"
"84",84,"08/11/2021 20:54:01",25.22,"UP","UP","S_UPH_P1_60",60,"Predator"
"85",85,"08/11/2021 21:54:01",24.32,"UP","UP","S_UPH_P1_60",60,"Predator"
"86",86,"08/11/2021 22:54:01",22.73,"UP","UP","S_UPH_P1_60",60,"Predator"
"87",87,"08/11/2021 23:54:01",22.52,"UP","UP","S_UPH_P1_60",60,"Predator"
"88",88,"08/12/2021 00:54:01",21.45,"UP","UP","S_UPH_P1_60",60,"Predator"
"89",89,"08/12/2021 01:54:01",22.09,"UP","UP","S_UPH_P1_60",60,"Predator"
"90",90,"08/12/2021 02:54:01",22.13,"UP","UP","S_UPH_P1_60",60,"Predator"
"91",91,"08/12/2021 03:54:01",22.61,"UP","UP","S_UPH_P1_60",60,"Predator"
"92",92,"08/12/2021 04:54:01",22.78,"UP","UP","S_UPH_P1_60",60,"Predator"
"93",93,"08/12/2021 05:54:01",23.12,"UP","UP","S_UPH_P1_60",60,"Predator"
"94",94,"08/12/2021 06:54:01",23.68,"UP","UP","S_UPH_P1_60",60,"Predator"
"95",95,"08/12/2021 07:54:01",25.48,"UP","UP","S_UPH_P1_60",60,"Predator"
"96",96,"08/12/2021 08:54:01",27.75,"UP","UP","S_UPH_P1_60",60,"Predator"
"97",97,"08/12/2021 09:54:01",29.51,"UP","UP","S_UPH_P1_60",60,"Predator"
"98",98,"08/12/2021 10:54:01",31.01,"UP","UP","S_UPH_P1_60",60,"Predator"
"99",99,"08/12/2021 11:54:01",32.56,"UP","UP","S_UPH_P1_60",60,"Predator"
"100",100,"08/12/2021 12:54:01",33.42,"UP","UP","S_UPH_P1_60",60,"Predator"
"101",101,"08/12/2021 13:54:01",31.27,"UP","UP","S_UPH_P1_60",60,"Predator"
"102",102,"08/12/2021 14:54:01",29.86,"UP","UP","S_UPH_P1_60",60,"Predator"
"103",103,"08/12/2021 15:54:01",31.83,"UP","UP","S_UPH_P1_60",60,"Predator"
"104",104,"08/12/2021 16:54:01",30.03,"UP","UP","S_UPH_P1_60",60,"Predator"
"105",105,"08/12/2021 17:54:01",31.19,"UP","UP","S_UPH_P1_60",60,"Predator"
"106",106,"08/12/2021 18:54:01",30.11,"UP","UP","S_UPH_P1_60",60,"Predator"
"107",107,"08/12/2021 19:54:01",27.75,"UP","UP","S_UPH_P1_60",60,"Predator"
"108",108,"08/12/2021 20:54:01",25.18,"UP","UP","S_UPH_P1_60",60,"Predator"
"109",109,"08/12/2021 21:54:01",24.02,"UP","UP","S_UPH_P1_60",60,"Predator"
"110",110,"08/12/2021 22:54:01",22.65,"UP","UP","S_UPH_P1_60",60,"Predator"
"111",111,"08/12/2021 23:54:01",21.88,"UP","UP","S_UPH_P1_60",60,"Predator"
"112",112,"08/13/2021 00:54:01",21.45,"UP","UP","S_UPH_P1_60",60,"Predator"
"113",113,"08/13/2021 01:54:01",20.72,"UP","UP","S_UPH_P1_60",60,"Predator"
"114",114,"08/13/2021 02:54:01",20.59,"UP","UP","S_UPH_P1_60",60,"Predator"
"115",115,"08/13/2021 03:54:01",20.33,"UP","UP","S_UPH_P1_60",60,"Predator"
"116",116,"08/13/2021 04:54:01",19.99,"UP","UP","S_UPH_P1_60",60,"Predator"
"117",117,"08/13/2021 05:54:01",19.39,"UP","UP","S_UPH_P1_60",60,"Predator"
"118",118,"08/13/2021 06:54:01",21.32,"UP","UP","S_UPH_P1_60",60,"Predator"
"119",119,"08/13/2021 07:54:01",26.55,"UP","UP","S_UPH_P1_60",60,"Predator"
"120",120,"08/13/2021 08:54:01",27.54,"UP","UP","S_UPH_P1_60",60,"Predator"
"121",121,"08/13/2021 09:54:01",29.86,"UP","UP","S_UPH_P1_60",60,"Predator"
"122",122,"08/13/2021 10:54:01",31.23,"UP","UP","S_UPH_P1_60",60,"Predator"
"123",123,"08/13/2021 11:54:01",32.17,"UP","UP","S_UPH_P1_60",60,"Predator"
"124",124,"08/13/2021 12:54:01",34.62,"UP","UP","S_UPH_P1_60",60,"Predator"
"125",125,"08/13/2021 13:54:01",36.03,"UP","UP","S_UPH_P1_60",60,"Predator"
"126",126,"08/13/2021 14:54:01",37.54,"UP","UP","S_UPH_P1_60",60,"Predator"
"127",127,"08/13/2021 15:54:01",38.95,"UP","UP","S_UPH_P1_60",60,"Predator"
"128",128,"08/13/2021 16:54:01",37.45,"UP","UP","S_UPH_P1_60",60,"Predator"
"129",129,"08/13/2021 17:54:01",31.44,"UP","UP","S_UPH_P1_60",60,"Predator"
"130",130,"08/13/2021 18:54:01",29.64,"UP","UP","S_UPH_P1_60",60,"Predator"
"131",131,"08/13/2021 19:54:01",24.79,"UP","UP","S_UPH_P1_60",60,"Predator"
"132",132,"08/13/2021 20:54:01",23.81,"UP","UP","S_UPH_P1_60",60,"Predator"
"133",133,"08/13/2021 21:54:01",23.51,"UP","UP","S_UPH_P1_60",60,"Predator"
"134",134,"08/13/2021 22:54:01",23.64,"UP","UP","S_UPH_P1_60",60,"Predator"
"135",135,"08/13/2021 23:54:01",23.38,"UP","UP","S_UPH_P1_60",60,"Predator"
"136",136,"08/14/2021 00:54:01",22.48,"UP","UP","S_UPH_P1_60",60,"Predator"
"137",137,"08/14/2021 01:54:01",22.78,"UP","UP","S_UPH_P1_60",60,"Predator"
"138",138,"08/14/2021 02:54:01",21.66,"UP","UP","S_UPH_P1_60",60,"Predator"
"139",139,"08/14/2021 03:54:01",21.02,"UP","UP","S_UPH_P1_60",60,"Predator"
"140",140,"08/14/2021 04:54:01",21.28,"UP","UP","S_UPH_P1_60",60,"Predator"
"141",141,"08/14/2021 05:54:01",21.36,"UP","UP","S_UPH_P1_60",60,"Predator"
"142",142,"08/14/2021 06:54:01",21.66,"UP","UP","S_UPH_P1_60",60,"Predator"
"143",143,"08/14/2021 07:54:01",20.55,"UP","UP","S_UPH_P1_60",60,"Predator"
"144",144,"08/14/2021 08:54:01",20.2,"UP","UP","S_UPH_P1_60",60,"Predator"
