"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"08/08/2021 10:12:56",30.41,"UP","UP","S_UPH_V1_20",20,"Veg"
"2",2,"08/08/2021 10:13:05",NA,"UP","UP","S_UPH_V1_20",20,"Veg"
"3",3,"08/08/2021 11:12:56",30.2,"UP","UP","S_UPH_V1_20",20,"Veg"
"4",4,"08/08/2021 12:12:56",30.03,"UP","UP","S_UPH_V1_20",20,"Veg"
"5",5,"08/08/2021 13:12:56",30.93,"UP","UP","S_UPH_V1_20",20,"Veg"
"6",6,"08/08/2021 14:12:56",33.42,"UP","UP","S_UPH_V1_20",20,"Veg"
"7",7,"08/08/2021 15:12:56",34.53,"UP","UP","S_UPH_V1_20",20,"Veg"
"8",8,"08/08/2021 16:12:56",34.7,"UP","UP","S_UPH_V1_20",20,"Veg"
"9",9,"08/08/2021 17:12:56",29.51,"UP","UP","S_UPH_V1_20",20,"Veg"
"10",10,"08/08/2021 18:12:56",26.85,"UP","UP","S_UPH_V1_20",20,"Veg"
"11",11,"08/08/2021 19:12:56",25.01,"UP","UP","S_UPH_V1_20",20,"Veg"
"12",12,"08/08/2021 20:12:56",23.21,"UP","UP","S_UPH_V1_20",20,"Veg"
"13",13,"08/08/2021 21:12:56",21.53,"UP","UP","S_UPH_V1_20",20,"Veg"
"14",14,"08/08/2021 22:12:56",20.37,"UP","UP","S_UPH_V1_20",20,"Veg"
"15",15,"08/08/2021 23:12:56",19.86,"UP","UP","S_UPH_V1_20",20,"Veg"
"16",16,"08/09/2021 00:12:56",18.92,"UP","UP","S_UPH_V1_20",20,"Veg"
"17",17,"08/09/2021 01:12:56",18.7,"UP","UP","S_UPH_V1_20",20,"Veg"
"18",18,"08/09/2021 02:12:56",19,"UP","UP","S_UPH_V1_20",20,"Veg"
"19",19,"08/09/2021 03:12:56",19.47,"UP","UP","S_UPH_V1_20",20,"Veg"
"20",20,"08/09/2021 04:12:56",18.49,"UP","UP","S_UPH_V1_20",20,"Veg"
"21",21,"08/09/2021 05:12:56",18.19,"UP","UP","S_UPH_V1_20",20,"Veg"
"22",22,"08/09/2021 06:12:56",18.44,"UP","UP","S_UPH_V1_20",20,"Veg"
"23",23,"08/09/2021 07:12:56",21.23,"UP","UP","S_UPH_V1_20",20,"Veg"
"24",24,"08/09/2021 08:12:56",24.45,"UP","UP","S_UPH_V1_20",20,"Veg"
"25",25,"08/09/2021 09:12:56",27.11,"UP","UP","S_UPH_V1_20",20,"Veg"
"26",26,"08/09/2021 10:12:56",27.97,"UP","UP","S_UPH_V1_20",20,"Veg"
"27",27,"08/09/2021 11:12:56",31.14,"UP","UP","S_UPH_V1_20",20,"Veg"
"28",28,"08/09/2021 12:12:56",30.24,"UP","UP","S_UPH_V1_20",20,"Veg"
"29",29,"08/09/2021 13:12:56",29.86,"UP","UP","S_UPH_V1_20",20,"Veg"
"30",30,"08/09/2021 14:12:56",31.61,"UP","UP","S_UPH_V1_20",20,"Veg"
"31",31,"08/09/2021 15:12:56",34.1,"UP","UP","S_UPH_V1_20",20,"Veg"
"32",32,"08/09/2021 16:12:56",35.78,"UP","UP","S_UPH_V1_20",20,"Veg"
"33",33,"08/09/2021 17:12:56",33.67,"UP","UP","S_UPH_V1_20",20,"Veg"
"34",34,"08/09/2021 18:12:56",33.16,"UP","UP","S_UPH_V1_20",20,"Veg"
"35",35,"08/09/2021 19:12:56",28.27,"UP","UP","S_UPH_V1_20",20,"Veg"
"36",36,"08/09/2021 20:12:56",22.91,"UP","UP","S_UPH_V1_20",20,"Veg"
"37",37,"08/09/2021 21:12:56",20.42,"UP","UP","S_UPH_V1_20",20,"Veg"
"38",38,"08/09/2021 22:12:56",19.43,"UP","UP","S_UPH_V1_20",20,"Veg"
"39",39,"08/09/2021 23:12:56",18.79,"UP","UP","S_UPH_V1_20",20,"Veg"
"40",40,"08/10/2021 00:12:56",18.57,"UP","UP","S_UPH_V1_20",20,"Veg"
