Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,08/08/2021 10:13:38,29.26,UP,UP,UPH_V1,40,Vegetation
2,08/08/2021 10:13:49,NA,UP,UP,UPH_V1,40,Vegetation
3,08/08/2021 11:13:38,28.7,UP,UP,UPH_V1,40,Vegetation
4,08/08/2021 12:13:38,28.4,UP,UP,UPH_V1,40,Vegetation
5,08/08/2021 13:13:38,31.06,UP,UP,UPH_V1,40,Vegetation
6,08/08/2021 14:13:38,31.87,UP,UP,UPH_V1,40,Vegetation
7,08/08/2021 15:13:38,34.19,UP,UP,UPH_V1,40,Vegetation
8,08/08/2021 16:13:38,36.38,UP,UP,UPH_V1,40,Vegetation
9,08/08/2021 17:13:38,29.6,UP,UP,UPH_V1,40,Vegetation
10,08/08/2021 18:13:38,26.94,UP,UP,UPH_V1,40,Vegetation
11,08/08/2021 19:13:38,25.01,UP,UP,UPH_V1,40,Vegetation
12,08/08/2021 20:13:38,23.25,UP,UP,UPH_V1,40,Vegetation
13,08/08/2021 21:13:38,21.58,UP,UP,UPH_V1,40,Vegetation
14,08/08/2021 22:13:38,20.29,UP,UP,UPH_V1,40,Vegetation
15,08/08/2021 23:13:38,19.77,UP,UP,UPH_V1,40,Vegetation
16,08/09/2021 00:13:38,19.05,UP,UP,UPH_V1,40,Vegetation
17,08/09/2021 01:13:38,18.96,UP,UP,UPH_V1,40,Vegetation
18,08/09/2021 02:13:38,19.17,UP,UP,UPH_V1,40,Vegetation
19,08/09/2021 03:13:38,19.65,UP,UP,UPH_V1,40,Vegetation
20,08/09/2021 04:13:38,18.66,UP,UP,UPH_V1,40,Vegetation
21,08/09/2021 05:13:38,18.4,UP,UP,UPH_V1,40,Vegetation
22,08/09/2021 06:13:38,18.74,UP,UP,UPH_V1,40,Vegetation
23,08/09/2021 07:13:38,21.96,UP,UP,UPH_V1,40,Vegetation
24,08/09/2021 08:13:38,25.44,UP,UP,UPH_V1,40,Vegetation
25,08/09/2021 09:13:38,27.97,UP,UP,UPH_V1,40,Vegetation
26,08/09/2021 10:13:38,28.57,UP,UP,UPH_V1,40,Vegetation
27,08/09/2021 11:13:38,31.79,UP,UP,UPH_V1,40,Vegetation
28,08/09/2021 12:13:38,30.76,UP,UP,UPH_V1,40,Vegetation
29,08/09/2021 13:13:38,30.5,UP,UP,UPH_V1,40,Vegetation
30,08/09/2021 14:13:38,32.34,UP,UP,UPH_V1,40,Vegetation
31,08/09/2021 15:13:38,35,UP,UP,UPH_V1,40,Vegetation
32,08/09/2021 16:13:38,38.69,UP,UP,UPH_V1,40,Vegetation
33,08/09/2021 17:13:38,35.35,UP,UP,UPH_V1,40,Vegetation
34,08/09/2021 18:13:38,34.83,UP,UP,UPH_V1,40,Vegetation
35,08/09/2021 19:13:38,29.26,UP,UP,UPH_V1,40,Vegetation
36,08/09/2021 20:13:38,22.95,UP,UP,UPH_V1,40,Vegetation
37,08/09/2021 21:13:38,20.55,UP,UP,UPH_V1,40,Vegetation
38,08/09/2021 22:13:38,19.69,UP,UP,UPH_V1,40,Vegetation
39,08/09/2021 23:13:38,19.09,UP,UP,UPH_V1,40,Vegetation
40,08/10/2021 00:13:38,18.92,UP,UP,UPH_V1,40,Vegetation
41,08/10/2021 01:13:38,18.66,UP,UP,UPH_V1,40,Vegetation
42,08/10/2021 02:13:38,19,UP,UP,UPH_V1,40,Vegetation
43,08/10/2021 03:13:38,18.57,UP,UP,UPH_V1,40,Vegetation
44,08/10/2021 04:13:38,18.32,UP,UP,UPH_V1,40,Vegetation
45,08/10/2021 05:13:38,18.4,UP,UP,UPH_V1,40,Vegetation
46,08/10/2021 06:13:38,18.57,UP,UP,UPH_V1,40,Vegetation
47,08/10/2021 07:13:38,21.45,UP,UP,UPH_V1,40,Vegetation
48,08/10/2021 08:13:38,24.75,UP,UP,UPH_V1,40,Vegetation
