"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/11/2021 14:58:49",26.25,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"2",2,"07/11/2021 15:58:49",24.24,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"3",3,"07/11/2021 16:58:49",24.41,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"4",4,"07/11/2021 17:58:49",22.78,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"5",5,"07/11/2021 18:58:49",21.49,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"6",6,"07/11/2021 19:58:49",20.07,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"7",7,"07/11/2021 20:58:49",19.26,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"8",8,"07/11/2021 21:58:49",19.35,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"9",9,"07/11/2021 22:58:49",18.57,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"10",10,"07/11/2021 23:58:49",18.4,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"11",11,"07/12/2021 00:58:49",18.96,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"12",12,"07/12/2021 01:58:49",19.17,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"13",13,"07/12/2021 02:58:49",19.22,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"14",14,"07/12/2021 03:58:49",19.17,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"15",15,"07/12/2021 04:58:49",19.09,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"16",16,"07/12/2021 05:58:49",19.17,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"17",17,"07/12/2021 06:58:49",19.6,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"18",18,"07/12/2021 07:58:49",19.69,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"19",19,"07/12/2021 08:58:49",18.74,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"20",20,"07/12/2021 09:58:49",18.06,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"21",21,"07/12/2021 10:58:49",19.09,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"22",22,"07/12/2021 11:58:49",19.39,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"23",23,"07/12/2021 12:58:49",19.86,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"24",24,"07/12/2021 13:58:49",20.98,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"25",25,"07/12/2021 14:58:49",21.53,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"26",26,"07/12/2021 15:58:49",20.5,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"27",27,"07/12/2021 16:58:49",19.73,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"28",28,"07/12/2021 17:58:49",19.3,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"29",29,"07/12/2021 18:58:49",18.57,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"30",30,"07/12/2021 19:58:49",18.06,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"31",31,"07/12/2021 20:58:49",17.76,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"32",32,"07/12/2021 21:58:49",17.03,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"33",33,"07/12/2021 22:58:49",17.33,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"34",34,"07/12/2021 23:58:49",16.99,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"35",35,"07/13/2021 00:58:49",17.03,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"36",36,"07/13/2021 01:58:49",16.77,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"37",37,"07/13/2021 02:58:49",16.73,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"38",38,"07/13/2021 03:58:49",16.47,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"39",39,"07/13/2021 04:58:49",16.43,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"40",40,"07/13/2021 05:58:49",16.47,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"41",41,"07/13/2021 06:58:49",17.03,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"42",42,"07/13/2021 07:58:49",17.29,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"43",43,"07/13/2021 08:58:49",19.13,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"44",44,"07/13/2021 09:58:49",19.39,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"45",45,"07/13/2021 10:58:49",20.16,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"46",46,"07/13/2021 11:58:49",21.1,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"47",47,"07/13/2021 12:58:49",20.33,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"48",48,"07/13/2021 13:58:49",21.4,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"49",49,"07/13/2021 14:58:49",20.89,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"50",50,"07/13/2021 15:58:49",20.55,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"51",51,"07/13/2021 16:58:49",20.29,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"52",52,"07/13/2021 17:58:49",19.99,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"53",53,"07/13/2021 18:58:49",19.35,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"54",54,"07/13/2021 19:58:49",18.79,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"55",55,"07/13/2021 20:58:49",18.66,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"56",56,"07/13/2021 21:58:49",18.57,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"57",57,"07/13/2021 22:58:49",18.4,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"58",58,"07/13/2021 23:58:49",18.32,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"59",59,"07/14/2021 00:58:49",18.32,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"60",60,"07/14/2021 01:58:49",18.27,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"61",61,"07/14/2021 02:58:49",18.27,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"62",62,"07/14/2021 03:58:49",18.19,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"63",63,"07/14/2021 04:58:49",18.14,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"64",64,"07/14/2021 05:58:49",18.49,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"65",65,"07/14/2021 06:58:49",18.92,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"66",66,"07/14/2021 07:58:49",20.03,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"67",67,"07/14/2021 08:58:49",20.59,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"68",68,"07/14/2021 09:58:49",21.53,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"69",69,"07/14/2021 10:58:49",23.68,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"70",70,"07/14/2021 11:58:49",25.44,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"71",71,"07/14/2021 12:58:49",26.47,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"72",72,"07/14/2021 13:58:49",29.94,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"73",73,"07/14/2021 14:58:49",29.08,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"74",74,"07/14/2021 15:58:49",30.24,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"75",75,"07/14/2021 16:58:49",28.7,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"76",76,"07/14/2021 17:58:49",29.08,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"77",77,"07/14/2021 18:58:49",25.35,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"78",78,"07/14/2021 19:58:49",23.12,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"79",79,"07/14/2021 20:58:49",20.12,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"80",80,"07/14/2021 21:58:49",19.09,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"81",81,"07/14/2021 22:58:49",19.22,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"82",82,"07/14/2021 23:58:49",18.23,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"83",83,"07/15/2021 00:58:49",17.67,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"84",84,"07/15/2021 01:58:49",17.16,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"85",85,"07/15/2021 02:58:49",17.16,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"86",86,"07/15/2021 03:58:49",16.6,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"87",87,"07/15/2021 04:58:49",16.34,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"88",88,"07/15/2021 05:58:49",18.19,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"89",89,"07/15/2021 06:58:49",18.62,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"90",90,"07/15/2021 07:58:49",23.12,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"91",91,"07/15/2021 08:58:49",28.05,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"92",92,"07/15/2021 09:58:49",29.73,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"93",93,"07/15/2021 10:58:49",30.54,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"94",94,"07/15/2021 11:58:49",31.31,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"95",95,"07/15/2021 12:58:49",33.42,"YF","UP","S_UPS_H1_40",40,"Herbivore"
"96",96,"07/15/2021 13:58:49",34.32,"YF","UP","S_UPS_H1_40",40,"Herbivore"
