Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,7/6/21 9:37,23.89,YF,UP,S_UPS_P1,20,Predator
2,7/6/21 10:37,27.8,YF,UP,S_UPS_P1,20,Predator
3,7/6/21 11:37,27.75,YF,UP,S_UPS_P1,20,Predator
4,7/6/21 12:37,30.67,YF,UP,S_UPS_P1,20,Predator
5,7/6/21 13:37,31.7,YF,UP,S_UPS_P1,20,Predator
6,7/6/21 14:37,30.71,YF,UP,S_UPS_P1,20,Predator
7,7/6/21 15:37,30.37,YF,UP,S_UPS_P1,20,Predator
8,7/6/21 16:37,28.78,YF,UP,S_UPS_P1,20,Predator
9,7/6/21 17:37,21.66,YF,UP,S_UPS_P1,20,Predator
10,7/6/21 18:37,20.07,YF,UP,S_UPS_P1,20,Predator
11,7/6/21 19:37,19.77,YF,UP,S_UPS_P1,20,Predator
12,7/6/21 20:37,19.39,YF,UP,S_UPS_P1,20,Predator
13,7/6/21 21:37,18.83,YF,UP,S_UPS_P1,20,Predator
14,7/6/21 22:37,18.36,YF,UP,S_UPS_P1,20,Predator
15,7/6/21 23:37,18.32,YF,UP,S_UPS_P1,20,Predator
16,7/7/21 0:37,18.06,YF,UP,S_UPS_P1,20,Predator
17,7/7/21 1:37,18.19,YF,UP,S_UPS_P1,20,Predator
18,7/7/21 2:37,18.53,YF,UP,S_UPS_P1,20,Predator
19,7/7/21 3:37,18.27,YF,UP,S_UPS_P1,20,Predator
20,7/7/21 4:37,18.32,YF,UP,S_UPS_P1,20,Predator
21,7/7/21 5:37,18.02,YF,UP,S_UPS_P1,20,Predator
22,7/7/21 6:37,18.66,YF,UP,S_UPS_P1,20,Predator
23,7/7/21 7:37,20.89,YF,UP,S_UPS_P1,20,Predator
24,7/7/21 8:37,23.46,YF,UP,S_UPS_P1,20,Predator
25,7/7/21 9:37,25.74,YF,UP,S_UPS_P1,20,Predator
26,7/7/21 10:37,27.2,YF,UP,S_UPS_P1,20,Predator
27,7/7/21 11:37,28.87,YF,UP,S_UPS_P1,20,Predator
28,7/7/21 12:37,30.89,YF,UP,S_UPS_P1,20,Predator
29,7/7/21 13:37,32.17,YF,UP,S_UPS_P1,20,Predator
30,7/7/21 14:37,32.26,YF,UP,S_UPS_P1,20,Predator
31,7/7/21 15:37,31.01,YF,UP,S_UPS_P1,20,Predator
32,7/7/21 16:37,30.8,YF,UP,S_UPS_P1,20,Predator
33,7/7/21 17:37,27.75,YF,UP,S_UPS_P1,20,Predator
34,7/7/21 18:37,20.12,YF,UP,S_UPS_P1,20,Predator
35,7/7/21 19:37,20.2,YF,UP,S_UPS_P1,20,Predator
36,7/7/21 20:37,19.39,YF,UP,S_UPS_P1,20,Predator
37,7/7/21 21:37,18.57,YF,UP,S_UPS_P1,20,Predator
38,7/7/21 22:37,19.43,YF,UP,S_UPS_P1,20,Predator
39,7/7/21 23:37,19.22,YF,UP,S_UPS_P1,20,Predator
40,7/8/21 0:37,18.62,YF,UP,S_UPS_P1,20,Predator
41,7/8/21 1:37,18.36,YF,UP,S_UPS_P1,20,Predator
42,7/8/21 2:37,19.17,YF,UP,S_UPS_P1,20,Predator
43,7/8/21 3:37,19.22,YF,UP,S_UPS_P1,20,Predator
44,7/8/21 4:37,19.09,YF,UP,S_UPS_P1,20,Predator
45,7/8/21 5:37,16.94,YF,UP,S_UPS_P1,20,Predator
46,7/8/21 6:37,16.73,YF,UP,S_UPS_P1,20,Predator
47,7/8/21 7:37,18.23,YF,UP,S_UPS_P1,20,Predator
48,7/8/21 8:37,18.44,YF,UP,S_UPS_P1,20,Predator
49,7/8/21 9:37,19.05,YF,UP,S_UPS_P1,20,Predator
50,7/8/21 10:37,19.6,YF,UP,S_UPS_P1,20,Predator
51,7/8/21 11:37,18.87,YF,UP,S_UPS_P1,20,Predator
52,7/8/21 12:37,20.46,YF,UP,S_UPS_P1,20,Predator
53,7/8/21 13:37,20.2,YF,UP,S_UPS_P1,20,Predator
54,7/8/21 14:37,19.95,YF,UP,S_UPS_P1,20,Predator
55,7/8/21 15:37,19,YF,UP,S_UPS_P1,20,Predator
56,7/8/21 16:37,19.39,YF,UP,S_UPS_P1,20,Predator
57,7/8/21 17:37,18.19,YF,UP,S_UPS_P1,20,Predator
58,7/8/21 18:37,17.46,YF,UP,S_UPS_P1,20,Predator
59,7/8/21 19:37,17.46,YF,UP,S_UPS_P1,20,Predator
60,7/8/21 20:37,17.07,YF,UP,S_UPS_P1,20,Predator
61,7/8/21 21:37,17.07,YF,UP,S_UPS_P1,20,Predator
62,7/8/21 22:37,17.16,YF,UP,S_UPS_P1,20,Predator
63,7/8/21 23:37,17.16,YF,UP,S_UPS_P1,20,Predator
64,7/9/21 0:37,17.03,YF,UP,S_UPS_P1,20,Predator
65,7/9/21 1:37,17.29,YF,UP,S_UPS_P1,20,Predator
66,7/9/21 2:37,17.63,YF,UP,S_UPS_P1,20,Predator
67,7/9/21 3:37,17.84,YF,UP,S_UPS_P1,20,Predator
68,7/9/21 4:37,17.89,YF,UP,S_UPS_P1,20,Predator
69,7/9/21 5:37,17.89,YF,UP,S_UPS_P1,20,Predator
70,7/9/21 6:37,18.14,YF,UP,S_UPS_P1,20,Predator
71,7/9/21 7:37,18.44,YF,UP,S_UPS_P1,20,Predator
72,7/9/21 8:37,18.53,YF,UP,S_UPS_P1,20,Predator
73,7/9/21 9:37,19,YF,UP,S_UPS_P1,20,Predator
74,7/9/21 10:37,19,YF,UP,S_UPS_P1,20,Predator
75,7/9/21 11:37,18.53,YF,UP,S_UPS_P1,20,Predator
76,7/9/21 12:37,18.96,YF,UP,S_UPS_P1,20,Predator
77,7/9/21 13:37,17.89,YF,UP,S_UPS_P1,20,Predator
78,7/9/21 14:37,21.58,YF,UP,S_UPS_P1,20,Predator
79,7/9/21 15:37,22.82,YF,UP,S_UPS_P1,20,Predator
80,7/9/21 16:37,24.24,YF,UP,S_UPS_P1,20,Predator
81,7/9/21 17:37,24.15,YF,UP,S_UPS_P1,20,Predator
82,7/9/21 18:37,22.18,YF,UP,S_UPS_P1,20,Predator
83,7/9/21 19:37,21.1,YF,UP,S_UPS_P1,20,Predator
84,7/9/21 20:37,19.26,YF,UP,S_UPS_P1,20,Predator
85,7/9/21 21:37,19.26,YF,UP,S_UPS_P1,20,Predator
86,7/9/21 22:37,18.06,YF,UP,S_UPS_P1,20,Predator
87,7/9/21 23:37,18.44,YF,UP,S_UPS_P1,20,Predator
88,7/10/21 0:37,18.32,YF,UP,S_UPS_P1,20,Predator
89,7/10/21 1:37,18.83,YF,UP,S_UPS_P1,20,Predator
90,7/10/21 2:37,18.57,YF,UP,S_UPS_P1,20,Predator
91,7/10/21 3:37,18.1,YF,UP,S_UPS_P1,20,Predator
92,7/10/21 4:37,19.22,YF,UP,S_UPS_P1,20,Predator
93,7/10/21 5:37,18.92,YF,UP,S_UPS_P1,20,Predator
94,7/10/21 6:37,18.74,YF,UP,S_UPS_P1,20,Predator
95,7/10/21 7:37,18.7,YF,UP,S_UPS_P1,20,Predator
96,7/10/21 8:37,19.52,YF,UP,S_UPS_P1,20,Predator
97,7/10/21 9:37,20.16,YF,UP,S_UPS_P1,20,Predator
98,7/10/21 10:37,20.2,YF,UP,S_UPS_P1,20,Predator
99,7/10/21 11:37,21.15,YF,UP,S_UPS_P1,20,Predator
100,7/10/21 12:37,24.66,YF,UP,S_UPS_P1,20,Predator
101,7/10/21 13:37,22.78,YF,UP,S_UPS_P1,20,Predator
102,7/10/21 14:37,23.25,YF,UP,S_UPS_P1,20,Predator
103,7/10/21 15:37,23.81,YF,UP,S_UPS_P1,20,Predator
104,7/10/21 16:37,22.09,YF,UP,S_UPS_P1,20,Predator
105,7/10/21 17:37,23.25,YF,UP,S_UPS_P1,20,Predator
106,7/10/21 18:37,21.49,YF,UP,S_UPS_P1,20,Predator
107,7/10/21 19:37,19.39,YF,UP,S_UPS_P1,20,Predator
108,7/10/21 20:37,16.9,YF,UP,S_UPS_P1,20,Predator
109,7/10/21 21:37,15.7,YF,UP,S_UPS_P1,20,Predator
110,7/10/21 22:37,15.06,YF,UP,S_UPS_P1,20,Predator
111,7/10/21 23:37,14.93,YF,UP,S_UPS_P1,20,Predator
112,7/11/21 0:37,15.83,YF,UP,S_UPS_P1,20,Predator
113,7/11/21 1:37,14.45,YF,UP,S_UPS_P1,20,Predator
114,7/11/21 2:37,16.08,YF,UP,S_UPS_P1,20,Predator
115,7/11/21 3:37,16.86,YF,UP,S_UPS_P1,20,Predator
