Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,07/03/2023 13:12:08,NA,YF,UP,UPS_P1,60,Predator
2,07/03/2023 15:00:00,28.83,YF,UP,UPS_P1,60,Predator
3,07/03/2023 16:00:00,30.33,YF,UP,UPS_P1,60,Predator
4,07/03/2023 17:00:00,31.01,YF,UP,UPS_P1,60,Predator
5,07/03/2023 18:00:00,27.2,YF,UP,UPS_P1,60,Predator
6,07/03/2023 19:00:00,26.98,YF,UP,UPS_P1,60,Predator
7,07/03/2023 20:00:00,23.72,YF,UP,UPS_P1,60,Predator
8,07/03/2023 21:00:00,21.88,YF,UP,UPS_P1,60,Predator
9,07/03/2023 22:00:00,21.45,YF,UP,UPS_P1,60,Predator
10,07/03/2023 23:00:00,20.89,YF,UP,UPS_P1,60,Predator
11,07/04/2023 00:00:00,20.85,YF,UP,UPS_P1,60,Predator
12,07/04/2023 01:00:00,20.72,YF,UP,UPS_P1,60,Predator
13,07/04/2023 02:00:00,20.29,YF,UP,UPS_P1,60,Predator
14,07/04/2023 03:00:00,19.47,YF,UP,UPS_P1,60,Predator
15,07/04/2023 04:00:00,19.95,YF,UP,UPS_P1,60,Predator
16,07/04/2023 05:00:00,20.12,YF,UP,UPS_P1,60,Predator
17,07/04/2023 06:00:00,20.46,YF,UP,UPS_P1,60,Predator
18,07/04/2023 07:00:00,21.15,YF,UP,UPS_P1,60,Predator
19,07/04/2023 08:00:00,21.66,YF,UP,UPS_P1,60,Predator
20,07/04/2023 09:00:00,22.48,YF,UP,UPS_P1,60,Predator
21,07/04/2023 10:00:00,22.22,YF,UP,UPS_P1,60,Predator
22,07/04/2023 11:00:00,23.68,YF,UP,UPS_P1,60,Predator
23,07/04/2023 12:00:00,23.08,YF,UP,UPS_P1,60,Predator
24,07/04/2023 13:00:00,22.65,YF,UP,UPS_P1,60,Predator
25,07/04/2023 14:00:00,21.92,YF,UP,UPS_P1,60,Predator
26,07/04/2023 15:00:00,21.28,YF,UP,UPS_P1,60,Predator
27,07/04/2023 16:00:00,21.53,YF,UP,UPS_P1,60,Predator
28,07/04/2023 17:00:00,22.82,YF,UP,UPS_P1,60,Predator
29,07/04/2023 18:00:00,23.76,YF,UP,UPS_P1,60,Predator
30,07/04/2023 19:00:00,23.38,YF,UP,UPS_P1,60,Predator
31,07/04/2023 20:00:00,21.7,YF,UP,UPS_P1,60,Predator
32,07/04/2023 21:00:00,18.32,YF,UP,UPS_P1,60,Predator
33,07/04/2023 22:00:00,18.74,YF,UP,UPS_P1,60,Predator
34,07/04/2023 23:00:00,20.16,YF,UP,UPS_P1,60,Predator
35,07/05/2023 00:00:00,20.59,YF,UP,UPS_P1,60,Predator
36,07/05/2023 01:00:00,20.42,YF,UP,UPS_P1,60,Predator
37,07/05/2023 02:00:00,19.86,YF,UP,UPS_P1,60,Predator
38,07/05/2023 03:00:00,19.26,YF,UP,UPS_P1,60,Predator
39,07/05/2023 04:00:00,20.03,YF,UP,UPS_P1,60,Predator
40,07/05/2023 05:00:00,20.12,YF,UP,UPS_P1,60,Predator
41,07/05/2023 06:00:00,19.43,YF,UP,UPS_P1,60,Predator
42,07/05/2023 07:00:00,20.33,YF,UP,UPS_P1,60,Predator
43,07/05/2023 08:00:00,22.22,YF,UP,UPS_P1,60,Predator
44,07/05/2023 09:00:00,27.75,YF,UP,UPS_P1,60,Predator
45,07/05/2023 10:00:00,29.47,YF,UP,UPS_P1,60,Predator
46,07/05/2023 11:00:00,31.53,YF,UP,UPS_P1,60,Predator
47,07/05/2023 12:00:00,33.2,YF,UP,UPS_P1,60,Predator
48,07/05/2023 13:00:00,34.32,YF,UP,UPS_P1,60,Predator
49,07/05/2023 14:00:00,32.9,YF,UP,UPS_P1,60,Predator
50,07/05/2023 15:00:00,33.55,YF,UP,UPS_P1,60,Predator
51,07/05/2023 16:00:00,33.16,YF,UP,UPS_P1,60,Predator
52,07/05/2023 17:00:00,33.03,YF,UP,UPS_P1,60,Predator
53,07/05/2023 18:00:00,31.79,YF,UP,UPS_P1,60,Predator
54,07/05/2023 19:00:00,25.78,YF,UP,UPS_P1,60,Predator
55,07/05/2023 20:00:00,22.69,YF,UP,UPS_P1,60,Predator
56,07/05/2023 21:00:00,21.28,YF,UP,UPS_P1,60,Predator
57,07/05/2023 22:00:00,20.5,YF,UP,UPS_P1,60,Predator
58,07/05/2023 23:00:00,20.25,YF,UP,UPS_P1,60,Predator
59,07/06/2023 00:00:00,19.95,YF,UP,UPS_P1,60,Predator
60,07/06/2023 01:00:00,19.3,YF,UP,UPS_P1,60,Predator
61,07/06/2023 02:00:00,18.79,YF,UP,UPS_P1,60,Predator
62,07/06/2023 03:00:00,18.79,YF,UP,UPS_P1,60,Predator
63,07/06/2023 04:00:00,18.4,YF,UP,UPS_P1,60,Predator
64,07/06/2023 05:00:00,18.06,YF,UP,UPS_P1,60,Predator
65,07/06/2023 06:00:00,18.57,YF,UP,UPS_P1,60,Predator
66,07/06/2023 07:00:00,20.72,YF,UP,UPS_P1,60,Predator
67,07/06/2023 08:00:00,28.74,YF,UP,UPS_P1,60,Predator
68,07/06/2023 09:00:00,33.55,YF,UP,UPS_P1,60,Predator
69,07/06/2023 10:00:00,34.4,YF,UP,UPS_P1,60,Predator
70,07/06/2023 11:00:00,35.86,YF,UP,UPS_P1,60,Predator
71,07/06/2023 12:00:00,35.05,YF,UP,UPS_P1,60,Predator
72,07/06/2023 13:00:00,37.02,YF,UP,UPS_P1,60,Predator
73,07/06/2023 14:00:00,36.21,YF,UP,UPS_P1,60,Predator
74,07/06/2023 15:00:00,35.9,YF,UP,UPS_P1,60,Predator
75,07/06/2023 16:00:00,33.2,YF,UP,UPS_P1,60,Predator
76,07/06/2023 17:00:00,33.55,YF,UP,UPS_P1,60,Predator
77,07/06/2023 18:00:00,31.53,YF,UP,UPS_P1,60,Predator
78,07/06/2023 19:00:00,26.47,YF,UP,UPS_P1,60,Predator
79,07/06/2023 20:00:00,23.85,YF,UP,UPS_P1,60,Predator
80,07/06/2023 21:00:00,21.02,YF,UP,UPS_P1,60,Predator
81,07/06/2023 22:00:00,19.47,YF,UP,UPS_P1,60,Predator
82,07/06/2023 23:00:00,18.53,YF,UP,UPS_P1,60,Predator
