Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,2021/07/11 15:20:09,25.05,YF,YF,S_YFH_V1,60,Veg
2,2021/07/11 16:20:09,24.54,YF,YF,S_YFH_V1,60,Veg
3,2021/07/11 17:20:09,23.25,YF,YF,S_YFH_V1,60,Veg
4,2021/07/11 18:20:09,21.96,YF,YF,S_YFH_V1,60,Veg
5,2021/07/11 19:20:09,20.72,YF,YF,S_YFH_V1,60,Veg
6,2021/07/11 20:20:09,19.60,YF,YF,S_YFH_V1,60,Veg
7,2021/07/11 21:20:09,19.17,YF,YF,S_YFH_V1,60,Veg
8,2021/07/11 22:20:09,19.09,YF,YF,S_YFH_V1,60,Veg
9,2021/07/11 23:20:09,18.66,YF,YF,S_YFH_V1,60,Veg
10,2021/07/12 00:20:09,18.44,YF,YF,S_YFH_V1,60,Veg
11,2021/07/12 01:20:09,19.00,YF,YF,S_YFH_V1,60,Veg
12,2021/07/12 02:20:09,19.09,YF,YF,S_YFH_V1,60,Veg
13,2021/07/12 03:20:09,19.09,YF,YF,S_YFH_V1,60,Veg
14,2021/07/12 04:20:09,19.00,YF,YF,S_YFH_V1,60,Veg
15,2021/07/12 05:20:09,19.00,YF,YF,S_YFH_V1,60,Veg
16,2021/07/12 06:20:09,19.26,YF,YF,S_YFH_V1,60,Veg
17,2021/07/12 07:20:09,19.86,YF,YF,S_YFH_V1,60,Veg
18,2021/07/12 08:20:09,19.82,YF,YF,S_YFH_V1,60,Veg
19,2021/07/12 09:20:09,18.10,YF,YF,S_YFH_V1,60,Veg
20,2021/07/12 10:20:09,18.19,YF,YF,S_YFH_V1,60,Veg
21,2021/07/12 11:20:09,19.52,YF,YF,S_YFH_V1,60,Veg
22,2021/07/12 12:20:09,19.22,YF,YF,S_YFH_V1,60,Veg
23,2021/07/12 13:20:09,19.99,YF,YF,S_YFH_V1,60,Veg
24,2021/07/12 14:20:09,21.15,YF,YF,S_YFH_V1,60,Veg
25,2021/07/12 15:20:09,20.50,YF,YF,S_YFH_V1,60,Veg
26,2021/07/12 16:20:09,19.56,YF,YF,S_YFH_V1,60,Veg
27,2021/07/12 17:20:09,19.09,YF,YF,S_YFH_V1,60,Veg
28,2021/07/12 18:20:09,18.62,YF,YF,S_YFH_V1,60,Veg
29,2021/07/12 19:20:09,18.27,YF,YF,S_YFH_V1,60,Veg
30,2021/07/12 20:20:09,17.76,YF,YF,S_YFH_V1,60,Veg
31,2021/07/12 21:20:09,17.54,YF,YF,S_YFH_V1,60,Veg
32,2021/07/12 22:20:09,17.24,YF,YF,S_YFH_V1,60,Veg
33,2021/07/12 23:20:09,17.11,YF,YF,S_YFH_V1,60,Veg
34,2021/07/13 00:20:09,16.99,YF,YF,S_YFH_V1,60,Veg
35,2021/07/13 01:20:09,16.86,YF,YF,S_YFH_V1,60,Veg
36,2021/07/13 02:20:09,16.60,YF,YF,S_YFH_V1,60,Veg
37,2021/07/13 03:20:09,16.34,YF,YF,S_YFH_V1,60,Veg
38,2021/07/13 04:20:09,16.34,YF,YF,S_YFH_V1,60,Veg
39,2021/07/13 05:20:09,16.34,YF,YF,S_YFH_V1,60,Veg
40,2021/07/13 06:20:09,16.43,YF,YF,S_YFH_V1,60,Veg
41,2021/07/13 07:20:09,17.11,YF,YF,S_YFH_V1,60,Veg
42,2021/07/13 08:20:09,17.59,YF,YF,S_YFH_V1,60,Veg
43,2021/07/13 09:20:09,19.05,YF,YF,S_YFH_V1,60,Veg
44,2021/07/13 10:20:09,19.47,YF,YF,S_YFH_V1,60,Veg
45,2021/07/13 11:20:09,20.55,YF,YF,S_YFH_V1,60,Veg
46,2021/07/13 12:20:09,19.95,YF,YF,S_YFH_V1,60,Veg
47,2021/07/13 13:20:09,20.50,YF,YF,S_YFH_V1,60,Veg
48,2021/07/13 14:20:09,20.89,YF,YF,S_YFH_V1,60,Veg
49,2021/07/13 15:20:09,20.68,YF,YF,S_YFH_V1,60,Veg
50,2021/07/13 16:20:09,20.42,YF,YF,S_YFH_V1,60,Veg
51,2021/07/13 17:20:09,19.99,YF,YF,S_YFH_V1,60,Veg
52,2021/07/13 18:20:09,19.65,YF,YF,S_YFH_V1,60,Veg
53,2021/07/13 19:20:09,19.05,YF,YF,S_YFH_V1,60,Veg
54,2021/07/13 20:20:09,18.62,YF,YF,S_YFH_V1,60,Veg
55,2021/07/13 21:20:09,18.53,YF,YF,S_YFH_V1,60,Veg
56,2021/07/13 22:20:09,18.44,YF,YF,S_YFH_V1,60,Veg
57,2021/07/13 23:20:09,18.27,YF,YF,S_YFH_V1,60,Veg
58,2021/07/14 00:20:09,18.27,YF,YF,S_YFH_V1,60,Veg
59,2021/07/14 01:20:09,18.23,YF,YF,S_YFH_V1,60,Veg
