"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/11/2021 15:20:09",25.05,"YF","YF","S_YFH_V1_60",60,"Veg"
"2",2,"07/11/2021 16:20:09",24.54,"YF","YF","S_YFH_V1_60",60,"Veg"
"3",3,"07/11/2021 17:20:09",23.25,"YF","YF","S_YFH_V1_60",60,"Veg"
"4",4,"07/11/2021 18:20:09",21.96,"YF","YF","S_YFH_V1_60",60,"Veg"
"5",5,"07/11/2021 19:20:09",20.72,"YF","YF","S_YFH_V1_60",60,"Veg"
"6",6,"07/11/2021 20:20:09",19.6,"YF","YF","S_YFH_V1_60",60,"Veg"
"7",7,"07/11/2021 21:20:09",19.17,"YF","YF","S_YFH_V1_60",60,"Veg"
"8",8,"07/11/2021 22:20:09",19.09,"YF","YF","S_YFH_V1_60",60,"Veg"
"9",9,"07/11/2021 23:20:09",18.66,"YF","YF","S_YFH_V1_60",60,"Veg"
"10",10,"07/12/2021 00:20:09",18.44,"YF","YF","S_YFH_V1_60",60,"Veg"
"11",11,"07/12/2021 01:20:09",19,"YF","YF","S_YFH_V1_60",60,"Veg"
"12",12,"07/12/2021 02:20:09",19.09,"YF","YF","S_YFH_V1_60",60,"Veg"
"13",13,"07/12/2021 03:20:09",19.09,"YF","YF","S_YFH_V1_60",60,"Veg"
"14",14,"07/12/2021 04:20:09",19,"YF","YF","S_YFH_V1_60",60,"Veg"
"15",15,"07/12/2021 05:20:09",19,"YF","YF","S_YFH_V1_60",60,"Veg"
"16",16,"07/12/2021 06:20:09",19.26,"YF","YF","S_YFH_V1_60",60,"Veg"
"17",17,"07/12/2021 07:20:09",19.86,"YF","YF","S_YFH_V1_60",60,"Veg"
"18",18,"07/12/2021 08:20:09",19.82,"YF","YF","S_YFH_V1_60",60,"Veg"
"19",19,"07/12/2021 09:20:09",18.1,"YF","YF","S_YFH_V1_60",60,"Veg"
"20",20,"07/12/2021 10:20:09",18.19,"YF","YF","S_YFH_V1_60",60,"Veg"
"21",21,"07/12/2021 11:20:09",19.52,"YF","YF","S_YFH_V1_60",60,"Veg"
"22",22,"07/12/2021 12:20:09",19.22,"YF","YF","S_YFH_V1_60",60,"Veg"
"23",23,"07/12/2021 13:20:09",19.99,"YF","YF","S_YFH_V1_60",60,"Veg"
"24",24,"07/12/2021 14:20:09",21.15,"YF","YF","S_YFH_V1_60",60,"Veg"
"25",25,"07/12/2021 15:20:09",20.5,"YF","YF","S_YFH_V1_60",60,"Veg"
"26",26,"07/12/2021 16:20:09",19.56,"YF","YF","S_YFH_V1_60",60,"Veg"
"27",27,"07/12/2021 17:20:09",19.09,"YF","YF","S_YFH_V1_60",60,"Veg"
"28",28,"07/12/2021 18:20:09",18.62,"YF","YF","S_YFH_V1_60",60,"Veg"
"29",29,"07/12/2021 19:20:09",18.27,"YF","YF","S_YFH_V1_60",60,"Veg"
"30",30,"07/12/2021 20:20:09",17.76,"YF","YF","S_YFH_V1_60",60,"Veg"
"31",31,"07/12/2021 21:20:09",17.54,"YF","YF","S_YFH_V1_60",60,"Veg"
"32",32,"07/12/2021 22:20:09",17.24,"YF","YF","S_YFH_V1_60",60,"Veg"
"33",33,"07/12/2021 23:20:09",17.11,"YF","YF","S_YFH_V1_60",60,"Veg"
"34",34,"07/13/2021 00:20:09",16.99,"YF","YF","S_YFH_V1_60",60,"Veg"
"35",35,"07/13/2021 01:20:09",16.86,"YF","YF","S_YFH_V1_60",60,"Veg"
"36",36,"07/13/2021 02:20:09",16.6,"YF","YF","S_YFH_V1_60",60,"Veg"
"37",37,"07/13/2021 03:20:09",16.34,"YF","YF","S_YFH_V1_60",60,"Veg"
"38",38,"07/13/2021 04:20:09",16.34,"YF","YF","S_YFH_V1_60",60,"Veg"
"39",39,"07/13/2021 05:20:09",16.34,"YF","YF","S_YFH_V1_60",60,"Veg"
"40",40,"07/13/2021 06:20:09",16.43,"YF","YF","S_YFH_V1_60",60,"Veg"
"41",41,"07/13/2021 07:20:09",17.11,"YF","YF","S_YFH_V1_60",60,"Veg"
"42",42,"07/13/2021 08:20:09",17.59,"YF","YF","S_YFH_V1_60",60,"Veg"
"43",43,"07/13/2021 09:20:09",19.05,"YF","YF","S_YFH_V1_60",60,"Veg"
"44",44,"07/13/2021 10:20:09",19.47,"YF","YF","S_YFH_V1_60",60,"Veg"
"45",45,"07/13/2021 11:20:09",20.55,"YF","YF","S_YFH_V1_60",60,"Veg"
"46",46,"07/13/2021 12:20:09",19.95,"YF","YF","S_YFH_V1_60",60,"Veg"
"47",47,"07/13/2021 13:20:09",20.5,"YF","YF","S_YFH_V1_60",60,"Veg"
"48",48,"07/13/2021 14:20:09",20.89,"YF","YF","S_YFH_V1_60",60,"Veg"
"49",49,"07/13/2021 15:20:09",20.68,"YF","YF","S_YFH_V1_60",60,"Veg"
"50",50,"07/13/2021 16:20:09",20.42,"YF","YF","S_YFH_V1_60",60,"Veg"
"51",51,"07/13/2021 17:20:09",19.99,"YF","YF","S_YFH_V1_60",60,"Veg"
"52",52,"07/13/2021 18:20:09",19.65,"YF","YF","S_YFH_V1_60",60,"Veg"
"53",53,"07/13/2021 19:20:09",19.05,"YF","YF","S_YFH_V1_60",60,"Veg"
"54",54,"07/13/2021 20:20:09",18.62,"YF","YF","S_YFH_V1_60",60,"Veg"
"55",55,"07/13/2021 21:20:09",18.53,"YF","YF","S_YFH_V1_60",60,"Veg"
"56",56,"07/13/2021 22:20:09",18.44,"YF","YF","S_YFH_V1_60",60,"Veg"
"57",57,"07/13/2021 23:20:09",18.27,"YF","YF","S_YFH_V1_60",60,"Veg"
"58",58,"07/14/2021 00:20:09",18.27,"YF","YF","S_YFH_V1_60",60,"Veg"
"59",59,"07/14/2021 01:20:09",18.23,"YF","YF","S_YFH_V1_60",60,"Veg"
"60",60,"07/14/2021 02:20:09",18.19,"YF","YF","S_YFH_V1_60",60,"Veg"
"61",61,"07/14/2021 03:20:09",18.19,"YF","YF","S_YFH_V1_60",60,"Veg"
"62",62,"07/14/2021 04:20:09",18.14,"YF","YF","S_YFH_V1_60",60,"Veg"
"63",63,"07/14/2021 05:20:09",18.1,"YF","YF","S_YFH_V1_60",60,"Veg"
"64",64,"07/14/2021 06:20:09",18.62,"YF","YF","S_YFH_V1_60",60,"Veg"
"65",65,"07/14/2021 07:20:09",19.13,"YF","YF","S_YFH_V1_60",60,"Veg"
"66",66,"07/14/2021 08:20:09",20.16,"YF","YF","S_YFH_V1_60",60,"Veg"
