Event,Date_Time,TemperatureC,Field,Pop,Cage,Height,Treatment
1,12/14/2022 19:59:57,20.85,UP,YF,YFN_H1,40,Herbivore
2,12/14/2022 20:59:57,16.56,UP,YF,YFN_H1,40,Herbivore
3,12/14/2022 21:59:57,16.77,UP,YF,YFN_H1,40,Herbivore
4,12/14/2022 22:59:57,16.94,UP,YF,YFN_H1,40,Herbivore
5,12/14/2022 23:59:57,16.99,UP,YF,YFN_H1,40,Herbivore
6,12/15/2022 00:59:57,16.94,UP,YF,YFN_H1,40,Herbivore
7,12/15/2022 01:59:57,16.81,UP,YF,YFN_H1,40,Herbivore
8,12/15/2022 02:59:57,16.77,UP,YF,YFN_H1,40,Herbivore
9,12/15/2022 03:59:57,16.73,UP,YF,YFN_H1,40,Herbivore
10,12/15/2022 04:59:57,16.86,UP,YF,YFN_H1,40,Herbivore
11,12/15/2022 05:59:57,17.2,UP,YF,YFN_H1,40,Herbivore
12,12/15/2022 06:59:57,21.88,UP,YF,YFN_H1,40,Herbivore
13,12/15/2022 07:59:57,23.12,UP,YF,YFN_H1,40,Herbivore
14,12/15/2022 08:59:57,23.12,UP,YF,YFN_H1,40,Herbivore
15,12/15/2022 09:59:57,23.25,UP,YF,YFN_H1,40,Herbivore
16,12/15/2022 10:59:57,12.82,UP,YF,YFN_H1,40,Herbivore
17,12/15/2022 11:59:57,6.35,UP,YF,YFN_H1,40,Herbivore
18,12/15/2022 12:59:57,6.43,UP,YF,YFN_H1,40,Herbivore
19,12/15/2022 13:59:57,4.37,UP,YF,YFN_H1,40,Herbivore
20,12/15/2022 14:59:57,3.56,UP,YF,YFN_H1,40,Herbivore
21,12/15/2022 15:59:57,1.16,UP,YF,YFN_H1,40,Herbivore
22,12/15/2022 16:59:57,-0.65,UP,YF,YFN_H1,40,Herbivore
23,12/15/2022 17:59:57,-0.05,UP,YF,YFN_H1,40,Herbivore
24,12/15/2022 18:59:57,3.13,UP,YF,YFN_H1,40,Herbivore
25,12/15/2022 19:59:57,3.26,UP,YF,YFN_H1,40,Herbivore
26,12/15/2022 20:59:57,3.13,UP,YF,YFN_H1,40,Herbivore
27,12/15/2022 21:59:57,2.74,UP,YF,YFN_H1,40,Herbivore
28,12/15/2022 22:59:57,1.84,UP,YF,YFN_H1,40,Herbivore
29,12/15/2022 23:59:57,2.31,UP,YF,YFN_H1,40,Herbivore
30,12/16/2022 00:59:57,1.93,UP,YF,YFN_H1,40,Herbivore
31,12/16/2022 01:59:57,3.34,UP,YF,YFN_H1,40,Herbivore
32,12/16/2022 02:59:57,3.04,UP,YF,YFN_H1,40,Herbivore
33,12/16/2022 03:59:57,2.49,UP,YF,YFN_H1,40,Herbivore
34,12/16/2022 04:59:57,1.2,UP,YF,YFN_H1,40,Herbivore
35,12/16/2022 05:59:57,0.47,UP,YF,YFN_H1,40,Herbivore
36,12/16/2022 06:59:57,0.43,UP,YF,YFN_H1,40,Herbivore
37,12/16/2022 07:59:57,0.38,UP,YF,YFN_H1,40,Herbivore
38,12/16/2022 08:59:57,0.68,UP,YF,YFN_H1,40,Herbivore
39,12/16/2022 09:59:57,1.41,UP,YF,YFN_H1,40,Herbivore
40,12/16/2022 10:59:57,0.94,UP,YF,YFN_H1,40,Herbivore
41,12/16/2022 11:59:57,1.28,UP,YF,YFN_H1,40,Herbivore
42,12/16/2022 12:59:57,1.24,UP,YF,YFN_H1,40,Herbivore
43,12/16/2022 13:59:57,0.98,UP,YF,YFN_H1,40,Herbivore
44,12/16/2022 14:59:57,0.55,UP,YF,YFN_H1,40,Herbivore
45,12/16/2022 15:59:57,0.3,UP,YF,YFN_H1,40,Herbivore
46,12/16/2022 16:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
47,12/16/2022 17:59:57,0.25,UP,YF,YFN_H1,40,Herbivore
48,12/16/2022 18:59:57,0.25,UP,YF,YFN_H1,40,Herbivore
49,12/16/2022 19:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
50,12/16/2022 20:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
51,12/16/2022 21:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
52,12/16/2022 22:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
53,12/16/2022 23:59:57,0.25,UP,YF,YFN_H1,40,Herbivore
54,12/17/2022 00:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
55,12/17/2022 01:59:57,0.21,UP,YF,YFN_H1,40,Herbivore
56,12/17/2022 02:59:57,0.17,UP,YF,YFN_H1,40,Herbivore
57,12/17/2022 03:59:57,0.13,UP,YF,YFN_H1,40,Herbivore
58,12/17/2022 04:59:57,0.13,UP,YF,YFN_H1,40,Herbivore
59,12/17/2022 05:59:57,0.13,UP,YF,YFN_H1,40,Herbivore
