"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"1",1,"07/28/2021 16:42:22",23.81,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"2",2,"07/28/2021 16:42:34",NA,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"3",3,"07/28/2021 17:42:22",22.48,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"4",4,"07/28/2021 18:42:22",22.65,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"5",5,"07/28/2021 19:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"6",6,"07/28/2021 20:42:22",22.39,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"7",7,"07/28/2021 21:42:22",22.65,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"8",8,"07/28/2021 22:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"9",9,"07/28/2021 23:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"10",10,"07/29/2021 00:42:22",22.73,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"11",11,"07/29/2021 01:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"12",12,"07/29/2021 02:42:22",22.82,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"13",13,"07/29/2021 03:42:22",22.82,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"14",14,"07/29/2021 04:42:22",22.86,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"15",15,"07/29/2021 05:42:22",22.86,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"16",16,"07/29/2021 06:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"17",17,"07/29/2021 07:42:22",23.12,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"18",18,"07/29/2021 08:42:22",22.91,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"19",19,"07/29/2021 09:42:22",22.65,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"20",20,"07/29/2021 10:42:22",22.56,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"21",21,"07/29/2021 11:42:22",22.52,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"22",22,"07/29/2021 12:42:22",22.48,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"23",23,"07/29/2021 13:42:22",22.61,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"24",24,"07/29/2021 14:42:22",22.52,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"25",25,"07/29/2021 15:42:22",22.43,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"26",26,"07/29/2021 16:42:22",22.43,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"27",27,"07/29/2021 17:42:22",22.56,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"28",28,"07/29/2021 18:42:22",22.69,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"29",29,"07/29/2021 19:42:22",22.86,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"30",30,"07/29/2021 20:42:22",22.52,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"31",31,"07/29/2021 21:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"32",32,"07/29/2021 22:42:22",22.65,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"33",33,"07/29/2021 23:42:22",22.78,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"34",34,"07/30/2021 00:42:22",22.91,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"35",35,"07/30/2021 01:42:22",22.95,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"36",36,"07/30/2021 02:42:22",22.99,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"37",37,"07/30/2021 03:42:22",22.99,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"38",38,"07/30/2021 04:42:22",22.99,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"39",39,"07/30/2021 05:42:22",22.99,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"40",40,"07/30/2021 06:42:22",22.99,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"41",41,"07/30/2021 07:42:22",22.86,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"42",42,"07/30/2021 08:42:22",22.99,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"43",43,"07/30/2021 09:42:22",22.91,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"44",44,"07/30/2021 10:42:22",22.91,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"45",45,"07/30/2021 11:42:22",22.65,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"46",46,"07/30/2021 12:42:22",22.56,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"47",47,"07/30/2021 13:42:22",22.65,"UP","YF","S_YFN_H1_40",40,"Herbivore"
"48",48,"07/30/2021 14:42:22",22.61,"UP","YF","S_YFN_H1_40",40,"Herbivore"
